date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-25,1.5017189704088167,1.4977161554874363,1.2979041009853207,1.6893670203746212,122.92117122414217,0.0,0.0,0,0
2020-02-26,1.4816538646478303,1.4744545767508326,1.288817259378119,1.656488519995187,1.3330215739940492,0.0,0.0,0,0
2020-02-27,1.458967108147404,1.4524066250609158,1.284395735661184,1.6331390507216033,18.89994390181798,0.0,0.0,0,0
2020-02-28,1.438054187485397,1.4318406058961688,1.2666261097987683,1.594545428111561,35.887376251505486,0.0,0.0,0,0
2020-02-29,1.411207992329602,1.4025654348414793,1.2527348805958607,1.5502074447058851,38.845825112500265,0.0,0.0,0,0
2020-03-01,1.381180585731962,1.3756033820568014,1.2321587780379375,1.5056278494991995,39.25309413848111,0.0,0.0,0,0
2020-03-02,1.3506153721673124,1.3454687184453693,1.2242124181949219,1.4914279714382492,41.61694503145057,7.914786815060779,0.0,0,0
2020-03-03,1.3173528860483796,1.3132115248518912,1.1699771740335774,1.4254277332271796,44.728186349414756,12.30749993317212,0.0,0,0
2020-03-04,1.280631196425517,1.2760828229995278,1.1474853232070488,1.3908535266889934,47.641137465359,15.04506325748818,0.0,0,0
2020-03-05,1.2468735154491506,1.241943953656159,1.1280832539265386,1.363090454655263,50.34498980435998,17.554769711844635,0.0,0,0
2020-03-06,1.2090939362192068,1.2070904016557074,1.1015419112452443,1.3206307021772294,52.92481760259227,20.78343598854203,12.266570654494519,3,16
2020-03-07,1.1691406447471884,1.1679325874060815,1.0709509061400697,1.2781923797460955,55.355317483677894,23.380170117633018,0.0,0,0
2020-03-08,1.1322037279074313,1.1317741693625205,1.0374507040462322,1.2315726001837246,57.565474932460624,26.915195349110373,0.0,0,0
2020-03-09,1.0974123250358876,1.0987938266533128,0.9984927351408697,1.1850569500883867,59.478204436273266,29.063261784433877,0.0,0,0
2020-03-10,1.0643791937095086,1.0657394881090065,0.9710116189053637,1.1521605079012411,61.05497642976575,31.65794882156086,0.0,0,0
2020-03-11,1.0268654609429797,1.025968396232828,0.9469632336967431,1.117734534074558,62.28621266434437,34.86378871953872,0.0,0,0
2020-03-12,0.9939048333505854,0.9939994642074397,0.9159327948439976,1.07809952530843,63.162439964244356,37.23228834192324,29.42132359987783,29,532
2020-03-13,0.9637399610006067,0.9621472898517112,0.8790406052740799,1.0391099283070935,63.64065434461069,39.95117184715905,55.56034943506341,21,204
2020-03-14,0.9354312718787058,0.9326582202282792,0.8592466512577543,1.0238714248364378,63.70380369989643,42.544672288911634,79.95986797003835,48,324
2020-03-15,0.9072562440307963,0.9036057422142447,0.834548339615982,0.9890462049380394,63.38125203188778,45.50252630641985,46.219896057266645,31,362
2020-03-16,0.880836423175315,0.878147511659711,0.8096771300492878,0.9558708530307584,62.5696669720892,47.76266750773569,82.18097541365053,37,243
2020-03-17,0.8574426940299353,0.8534003444609447,0.7816557776493944,0.9207354815607157,61.58763420010172,50.020563877932524,65.9815536427578,50,409
2020-03-18,0.8360136002035284,0.8345982203690578,0.7632140065440361,0.8989902349089102,60.24974437226802,52.18546656089379,66.01003488893454,85,695
2020-03-19,0.817486751694871,0.8140306093338556,0.7456204461677873,0.8776863290126925,58.61029043564352,54.163584815783715,44.72893166832255,60,724
2020-03-20,0.8019349733611939,0.8006570732451873,0.7310458454880976,0.8569993423199254,56.749214304256746,55.86382585683716,69.88400021427628,112,865
2020-03-21,0.7876745378135663,0.7864645764648333,0.7164022192516087,0.8406793871694747,54.718150437985535,57.403541916162894,52.81531493597372,73,746
