date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-15,2.3316286244775632,2.318165195976424,2.017980049395425,2.612784089975713,145.63557477774503,0.0,0.0,0,0
2020-02-16,2.3098258733110733,2.2990532474027683,2.033310686914487,2.592326284412304,2.4504790578242748,0.0,0.0,0,0
2020-02-17,2.295154531991317,2.283189952670268,2.044105557353092,2.5484063944600748,34.75831856545531,0.0,0.0,0,0
2020-02-18,2.275080140068797,2.26217562398432,2.0245463033882665,2.5078522779219448,66.39204972596781,0.0,0.0,0,0
2020-02-19,2.2450305182580563,2.2327019554274052,2.00707579279382,2.4541914293023024,75.20916800948405,0.0,0.0,0,0
2020-02-20,2.2093485857625663,2.2061426082245195,1.952303207118172,2.387690770219479,84.4663273762207,0.0,0.0,0,0
2020-02-21,2.1675485065508515,2.1655584315884804,1.9360879000245044,2.3543569378702567,100.94485741593894,9.288870805386113,0.0,0,0
2020-02-22,2.1157095346640515,2.1075798349368267,1.9042097034345267,2.30182156448129,120.69827922892674,14.499763763400113,0.0,0,0
2020-02-23,2.060721564285018,2.061057176321225,1.851832368229976,2.2216684416541517,142.45142778738654,18.531545167777562,0.0,0,0
2020-02-24,1.9947467904990643,1.9917426423452218,1.7838195229754414,2.1302465878414387,167.08761410637823,23.439157595946536,0.0,0,0
2020-02-25,1.9242293280303033,1.9223190987664909,1.758471847504032,2.079312169840104,195.04415232824962,30.061902902652438,23.684499665847646,8,263
2020-02-26,1.8406500490181075,1.8323064795309127,1.697652168766676,1.9887977861870654,226.13785338612155,36.77403980257785,0.0,0,0
2020-02-27,1.7582402913843582,1.7515928827930312,1.6277491445264138,1.9008432645475308,260.0393358748935,45.701835608037946,0.0,0,0
2020-02-28,1.6710748128440251,1.6706151193167282,1.5357725229271195,1.7974968640682896,296.2032516438317,54.358481076468074,41.44787441523338,14,166
2020-02-29,1.5850896680462976,1.5849183411697814,1.4614412074927294,1.6870052101792163,333.9458016032037,65.12830523611738,2.9605624582309558,1,11
2020-03-01,1.5020290376553478,1.5044919827833134,1.4028521900088207,1.630590772155731,372.4099061442209,78.36735570603531,47.36899933169529,16,50
2020-03-02,1.4188026270461882,1.4188378272095572,1.3192006131437901,1.5272781359266463,410.58000461946955,92.5455170213028,35.52674949877147,12,46
2020-03-03,1.339608612179389,1.3385310048290116,1.241407535755434,1.434312501124338,447.4434363720187,109.34235889040836,103.61968603808346,35,217
2020-03-04,1.2606412648362586,1.2596642810211605,1.1682682671716236,1.3332424348343987,481.86601520101243,128.36394554891436,153.9492478280097,52,444
2020-03-05,1.189094021705091,1.18572096316377,1.1156881510198466,1.273686050575041,512.7216811827301,150.26094594674458,153.9492478280097,52,26
2020-03-06,1.1238640821013883,1.124008958587713,1.0331860581560266,1.1823370015725558,538.6777204503361,173.83010999098002,207.23937207616692,70,233
2020-03-07,1.0660160419575269,1.0634426752103516,0.9810818177903915,1.1255338868014062,559.5033010797366,199.84997587988323,278.2928710737098,94,259
2020-03-08,1.0134698498289731,1.013394388302284,0.9355980361028454,1.0706202450401856,574.4329143053153,228.00116409761355,133.225310620393,45,161
2020-03-09,0.9670190315083498,0.9637984556368756,0.8993041635704437,1.0335582056967245,583.4438047113634,257.8308663666324,296.0562458230956,100,125
2020-03-10,0.9250134012229383,0.9230447269879374,0.851677101113268,0.9859279843467617,586.7451678537094,288.82003984538096,254.60837140786222,86,359
2020-03-11,0.8890312606561754,0.885845147559128,0.8229817637073472,0.9518945621141924,584.6444818427825,320.58144219910645,482.7350220686517,333,928
2020-03-12,0.856352413604348,0.8576107946176652,0.7911623031093596,0.9196601817345146,577.5872653935128,352.20770662544385,498.00131893710613,221,597
2020-03-13,0.8311200567106591,0.8306859638716315,0.7596194304261668,0.8856382356427401,566.1936493776949,383.02551258334523,464.7854346442995,161,466
2020-03-14,0.8093694990215147,0.8091632332663697,0.7427754227439586,0.8673402599906459,551.1373795242297,412.3992845900632,564.9711149206811,244,581
2020-03-15,0.7912655883897891,0.7887589725102465,0.7286118070547453,0.8528725927505537,533.2412819197143,439.6962249598735,589.1519291879603,199,405
2020-03-16,0.7765328275612106,0.7738604033330871,0.7162776183252914,0.8382860829950091,513.3266664849962,464.151656605333,579.3902816593237,233,541
2020-03-17,0.7676976176189483,0.7658488503994165,0.7151860036680925,0.8386550222360152,492.04136693368787,485.34636298671677,732.4299941109686,343,630
2020-03-18,0.7597602569177913,0.7580259241802267,0.6997646095931791,0.8184378415450922,469.95070031234695,502.79176219068074,792.220197711864,318,540
2020-03-19,0.7561440176513194,0.756706413663798,0.6987052686879178,0.814743730892842,447.6657937797358,516.3816863587275,895.9109814777025,634,952
2020-03-20,0.7533579353941895,0.7513719613970082,0.6984547761448016,0.8085920558901194,425.6314865811927,525.894293800991,649.1899629510065,526,1090
2020-03-21,0.7536734546323253,0.7531550060142835,0.6983010499492681,0.8091514448621181,404.1656248510654,531.409952234309,457.7431110644794,868,2551
2020-03-22,0.7563568386613949,0.7555896972446838,0.7002447396470856,0.810467090193099,383.49647463331763,533.0078966346222,588.039734384064,424,970
2020-03-23,0.759727541677938,0.7601313628390081,0.6982447047134034,0.8070335957357332,363.7914148197088,531.0117370657148,680.9293653931198,230,391
2020-03-24,0.7651030964722346,0.7635556729582829,0.7118101345602384,0.8217338444472647,345.20783619881956,525.6896967280296,756.3415935270689,375,667
2020-03-25,0.7723081410111331,0.7711459914622593,0.7157109120425146,0.8235603526132793,327.8032232521577,517.4755935535277,444.4546357134762,373,1129
