date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,10,76.43184793,0,-18,27,28,-32,-22,9,117,51,26,22
2020-02-25,10,81.80288937,18,-22,3,8,-37,-23,11,127,44,29,22
2020-02-26,7.933333333,31.17467698,2,-23,-7,-5,-40,-23,11,104,22,37,19
2020-02-27,6.5,30.72411757,52,-19,-7,7,-39,-23,10,65,12,32,24
2020-02-28,8.6,25.75446207,31,-16,-6,32,-37,-24,10,46,11,37,32
2020-02-29,7.5,43.28793802,7,-24,-5,-12,-34,-20,8,57,23,30,23
2020-03-01,5.95,93.38541803,99,-33,-9,-38,-40,-14,7,80,,,
2020-03-02,6.75,93.43425776,34,-26,-18,-53,-44,-20,11,,,,
2020-03-03,6.5,88.42018855,129,-13,-1,16,-35,-19,9,,17,28,19
2020-03-04,7.25,68.31648018,51,-14,-1,46,-34,-19,8,57,15,31,29
2020-03-05,5.2,84.14599196,114,-22,-6,-31,-42,-21,11,57,18,30,16
2020-03-06,4.883333333,91.72984722,86,-20,-2,1,-40,-22,11,61,20,25,27
2020-03-07,7,62.21283789,138,-25,-1,54,-31,-19,7,72,23,32,24
2020-03-08,7,51.98880847,236,-48,-1,16,-42,-19,8,72,12,38,17
2020-03-09,7.533333333,74.62494603,248,-42,-9,-35,-57,-31,16,50,25,32,22
2020-03-10,9,58.61155872,227,-50,-8,-25,-61,-38,20,76,16,34,16
2020-03-11,11,65.63898611,343,-57,-13,-23,-65,-43,22,55,20,27,26
2020-03-12,12.03333333,79.25584124,321,-74,-26,-62,-74,-52,28,65,38,28,16
2020-03-13,13,82.04792647,232,-78,-27,-57,-76,-58,31,99,25,33,15
2020-03-14,10.25,85.99996241,496,-86,-46,-80,-80,-63,26,70,28,30,11
2020-03-15,6.75,83.3817945,552,-91,-58,-78,-83,-57,22,82,13,31,10
2020-03-16,8,72.42090054,344,-78,-35,-62,-79,-63,30,53,20,34,16
2020-03-17,9.25,75.03419041,233,-80,-39,-59,-80,-65,32,63,30,37,17
2020-03-18,10.75,70.25572826,312,-82,-42,-67,-81,-66,33,93,34,44,16
2020-03-19,12.5,63.7523397,340,-82,-43,-72,-82,-67,34,99,24,46,17
2020-03-20,13,71.87913085,509,-82,-40,-76,-82,-68,36,78,38,46,14
2020-03-21,12.5,74.14053877,715,-88,-55,-84,-83,-67,27,97,25,45,9
2020-03-22,10.73333333,62.31330818,347,-95,-80,-92,-89,-65,24,74,24,32,6
2020-03-23,5,49.1316801,255,-84,-47,-82,-86,-74,35,74,18,31,8
2020-03-24,5.833333333,45.50444029,257,-84,-48,-78,-85,-74,36,50,20,37,14
2020-03-25,4.216666667,63.22849282,344,-86,-50,-82,-86,-75,37,63,20,32,7
2020-03-26,5,68.66131433,386,-86,-51,-83,-86,-77,39,61,23,28,9
2020-03-27,9.5,61.59193531,602,-86,-47,-82,-86,-77,40,70,31,32,11
2020-03-28,11.5,62.48783511,289,-89,-59,-85,-85,-70,28,82,68,39,12
2020-03-29,13.01666667,58.51124637,178,-95,-81,-91,-89,-65,24,89,58,41,8
2020-03-30,10.48333333,71.8491287,137,-85,-48,-82,-85,-75,36,70,27,38,7
2020-03-31,4,75.36375497,139,-92,-42,-78,-84,-76,37,57,9,30,11
2020-04-01,4.65,63.35450285,236,-92,-40,-78,-84,-75,37,38,16,33,15
2020-04-02,6.5,58.18444999,132,-92,-40,-78,-84,-75,38,63,22,41,16
2020-04-03,9.5,55.00299485,144,-88,-39,-78,-84,-74,39,72,33,46,20
2020-04-04,11,55.99797244,273,-91,-53,-84,-84,-68,28,97,38,53,16
2020-04-05,11.75,54.51533219,124,-96,-77,-90,-88,-64,24,104,25,46,17
2020-04-06,13.5,51.2475465,103,-86,-39,-77,-83,-71,34,74,25,53,21
2020-04-07,14.5,45.01340677,53,-85,-39,-75,-83,-72,35,74,31,56,17
2020-04-08,13.5,46.84127335,63,-85,-37,-77,-83,-71,35,93,27,50,18
2020-04-09,15,42.13628285,112,-84,-33,-77,-83,-71,35,82,28,57,18
2020-04-10,15.25,42.90898633,108,-84,-29,-77,-82,-73,38,89,25,57,16
2020-04-11,16.5,40.12945824,107,-89,-47,-83,-82,-67,27,80,23,61,21
2020-04-12,15.75,35.47777178,51,-97,-95,-91,-90,-68,25,76,13,49,10
2020-04-13,16.25,38.07191263,82,-96,-84,-85,-92,-92,43,55,19,54,6
2020-04-14,13,59.68568527,35,-83,-40,-74,-82,-68,34,68,24,47,11
2020-04-15,10,59.97159414,46,-83,-38,-75,-82,-67,34,78,19,40,9
2020-04-16,12.5,57.47299004,46,-82,-38,-75,-82,-67,34,50,25,46,16
2020-04-17,15.5,46.0528862,72,-83,-36,-75,-82,-67,36,65,20,47,15
2020-04-18,16.25,54.2233858,39,-88,-55,-82,-81,-63,27,59,19,45,11
2020-04-19,17.75,61.78083701,60,-95,-79,-89,-87,-60,23,53,24,50,8
2020-04-20,14,90.77539659,49,-82,-52,-81,-83,-65,32,63,20,24,12
