date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,9,85.3416359,0,-7,33,25,-18,-13,6,104,49,21,33
2020-02-25,11,80.80867172,0,-11,1,24,-23,-15,7,109,43,18,34
2020-02-26,8.8,44.02504106,0,-18,-9,-16,-31,-15,8,89,17,29,28
2020-02-27,9.75,36.88205871,0,-12,-6,3,-29,-15,7,42,4,28,19
2020-02-28,8.483333333,32.36243616,0,-11,-5,12,-28,-15,7,13,13,28,40
2020-02-29,10,47.00131561,2,-13,1,4,-23,-16,5,42,20,23,33
2020-03-01,7,87.24885993,0,-26,-5,-39,-38,-8,6,55,33,22,18
2020-03-02,10.75,79.36274706,1,-14,-6,-25,-31,-10,6,82,16,24,32
2020-03-03,7.683333333,87.33952994,3,-12,-6,-20,-31,-13,7,38,9,17,26
2020-03-04,7,77.30822528,5,-13,-4,-6,-30,-13,7,21,16,19,33
2020-03-05,8.933333333,75.57401634,8,-16,-5,-13,-32,-14,8,42,20,15,44
2020-03-06,7.866666667,85.81517664,22,-17,-1,-9,-34,-15,8,46,21,22,37
2020-03-07,8.75,83.65214527,8,-22,5,-8,-31,-18,8,59,31,22,42
2020-03-08,7.25,65.19305164,13,-37,7,26,-33,-13,7,72,13,29,47
2020-03-09,7.5,71.22473178,18,-34,-4,-21,-45,-20,12,38,22,22,44
2020-03-10,9.25,65.40249076,6,-44,-5,-23,-50,-27,16,59,23,23,43
2020-03-11,10.75,57.54596615,22,-50,-11,-20,-54,-32,18,65,20,26,37
2020-03-12,11,77.93388367,14,-68,-17,-51,-63,-40,23,57,30,31,30
2020-03-13,14,77.02542865,33,-73,-18,-61,-68,-46,27,76,20,20,31
2020-03-14,10.56666667,75.08548738,40,-84,-37,-78,-76,-57,26,55,26,24,19
2020-03-15,6.75,65.23282263,35,-90,-56,-72,-80,-53,22,68,11,29,21
2020-03-16,8,61.56766763,61,-73,-31,-60,-70,-50,26,38,18,30,40
2020-03-17,8.5,61.8142376,42,-76,-36,-62,-72,-55,29,57,24,32,38
2020-03-18,11.31666667,64.39453085,62,-77,-38,-67,-73,-56,30,68,32,40,36
2020-03-19,12.5,65.9774219,70,-78,-39,-73,-75,-57,31,76,27,39,32
2020-03-20,14.01666667,71.87771428,87,-79,-33,-77,-76,-58,33,70,31,34,33
2020-03-21,11.75,68.83221867,58,-86,-46,-86,-80,-62,28,80,24,38,22
2020-03-22,11,70.20968866,64,-96,-94,-91,-88,-64,24,63,19,24,14
2020-03-23,5.8,40.3589917,159,-79,-39,-78,-78,-64,32,50,14,28,21
2020-03-24,6.5,45.53286423,135,-80,-43,-79,-77,-66,34,38,17,30,28
2020-03-25,5.766666667,52.02619741,139,-83,-46,-82,-80,-68,35,55,20,26,19
2020-03-26,3.016666667,93.2727555,146,-85,-51,-85,-82,-71,37,50,14,24,20
2020-03-27,8,80.97841876,160,-83,-40,-83,-81,-70,38,46,36,15,20
2020-03-28,10.75,67.92097644,173,-88,-50,-86,-82,-66,29,61,72,35,19
2020-03-29,12,63.49889559,157,-96,-94,-88,-88,-65,24,72,67,35,25
2020-03-30,8.85,78.98613692,129,-81,-42,-77,-78,-67,33,63,42,27,25
2020-03-31,5.916666667,57.42525791,68,-90,-37,-77,-76,-69,35,55,10,30,26
2020-04-01,4.5,54.59598639,144,-90,-35,-75,-76,-68,35,34,14,32,27
2020-04-02,7.25,52.08572697,141,-90,-35,-75,-76,-68,35,50,19,36,33
2020-04-03,9,56.67409102,114,-85,-29,-78,-78,-67,36,59,20,38,33
2020-04-04,9,58.6709031,90,-90,-42,-85,-81,-64,28,61,21,40,31
2020-04-05,10.75,52.41602651,92,-96,-93,-88,-87,-63,24,63,20,38,21
2020-04-06,12.25,50.80927555,96,-82,-32,-74,-76,-63,31,57,27,42,27
2020-04-07,15.43333333,43.2351757,39,-81,-33,-73,-75,-64,33,72,27,41,31
2020-04-08,15.16666667,32.537801,102,-81,-31,-74,-75,-64,33,70,19,41,32
2020-04-09,12.46666667,39.93555679,98,-81,-28,-74,-75,-64,33,55,17,43,36
2020-04-10,15.75,41.13642217,98,-80,-20,-77,-76,-65,35,50,18,50,31
2020-04-11,16.25,40.66948724,121,-87,-38,-84,-79,-63,27,55,19,54,27
2020-04-12,19,24.19173651,122,-96,-95,-89,-89,-66,24,59,9,43,9
2020-04-13,17.5,35.88858957,95,-96,-96,-84,-90,-91,43,34,13,46,15
2020-04-14,14.1,57.58684016,28,-80,-33,-74,-74,-61,31,53,17,43,15
2020-04-15,9.5,59.85396159,60,-80,-31,-73,-73,-60,31,50,16,33,25
2020-04-16,12.25,60.97913021,110,-78,-33,-73,-74,-59,32,38,14,38,27
2020-04-17,15.5,51.40237926,129,-78,-29,-75,-75,-59,33,42,18,42,30
2020-04-18,17.25,61.49832455,60,-85,-43,-83,-78,-58,27,53,17,43,24
2020-04-19,17.25,69.92822326,61,-94,-84,-87,-86,-57,23,38,20,38,15
2020-04-20,14,93.75694062,82,-78,-46,-79,-77,-57,29,46,14,20,28
2020-04-21,12,89.84925057,43,-78,-41,-76,-74,-58,31,25,16,19,25
2020-04-22,13.5,60.03071488,52,-77,-39,-72,-73,-56,30,34,21,36,29
2020-04-23,13.5,56.91921164,54,-77,-37,-70,-72,-57,30,55,25,37,28
2020-04-24,17.13333333,46.91026696,62,-75,-23,-71,-72,-57,31,61,20,47,23
2020-04-25,19,39.4419032,69,-95,-94,-84,-85,-75,30,59,14,39,8
2020-04-26,17.5,51.310992,54,-91,-57,-83,-83,-51,22,42,11,43,20
2020-04-27,19.25,55.01207523,35,-71,-31,-66,-69,-52,26,25,10,,17
2020-04-28,16.775,72.94943625,72,-75,-36,-70,-71,-54,27,25,8,25,18
2020-04-29,16.5,69.17022116,89,-74,-33,-67,-70,-53,28,21,11,28,28
2020-04-30,19.01666667,50.77712596,64,-71,-21,-67,-69,-53,27,30,8,26,11
2020-05-01,18.5,59.89391782,42,-94,-94,-79,-87,-88,45,13,6,28,13
2020-05-02,19.83333333,58.41561179,49,-79,-32,-76,-73,-53,25,13,9,33,15
2020-05-03,15.7,65.50220903,43,-90,-66,-80,-81,-46,22,30,12,31,15
2020-05-04,17.25,52.08572406,40,-57,-25,-13,-53,-40,18,38,12,40,29
2020-05-05,20,53.86225061,29,-60,-26,-19,-54,-42,20,42,12,39,26
2020-05-06,16.28333333,72.97985478,27,-61,-26,-31,-56,-42,21,38,17,26,26
2020-05-07,17,52.02783723,39,-59,-27,-13,-54,-41,20,42,15,41,27
2020-05-08,18.98333333,49.29016024,35,-60,-20,-24,-57,-41,21,38,17,,24
2020-05-09,20,42.77576134,31,-63,-25,-25,-53,-41,16,46,10,43,17
2020-05-10,20.5,48.44336683,22,-73,-53,-22,-58,-28,13,34,12,42,14
2020-05-11,18.75,57.00261934,11,-56,-28,-34,-57,-37,18,34,4,30,17
2020-05-12,18.78333333,70.46171028,21,-55,-23,-13,-53,-38,19,13,8,26,25
2020-05-13,16.11666667,87.83648874,21,-57,-24,-23,-54,-38,19,21,13,22,24
2020-05-14,18.75,82.85953485,15,-56,-24,-21,-54,-38,18,25,26,26,25
2020-05-15,21,52.70585649,12,-56,-19,-22,-55,-38,19,53,15,32,27
2020-05-16,17.25,74.88745645,15,-61,-23,-38,-54,-36,16,38,11,25,23
