date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3
2020-02-24,12,54.39402068,0,10,26,38,-3,-19,4,61,40,11
2020-02-25,8,76.26296722,1,1,15,19,-12,-23,7,97,53,1
2020-02-26,8.5,33.74653846,0,-2,2,-2,-16,-17,6,127,20,16
2020-02-27,6.5,36.20803778,0,0,3,4,-12,-18,6,59,15,27
2020-02-28,9,21.49043353,0,-1,0,10,-12,-17,6,34,23,27
2020-02-29,9,32.15373514,0,-7,0,-3,-9,-7,3,53,16,18
2020-03-01,5,93.33584657,0,-21,-6,-45,-27,-4,6,42,19,25
2020-03-02,5,93.23444164,0,-15,-9,-36,-14,0,3,57,,14
2020-03-03,8,76.10440405,0,-9,-1,-19,-9,0,2,,6,21
2020-03-04,9,37.10043588,0,-3,1,0,-2,0,1,21,6,33
2020-03-05,5,60.67027023,0,-12,1,-24,-21,-14,7,25,11,14
2020-03-06,6,81.29492231,3,-11,-2,-10,-21,-13,7,30,14,12
2020-03-07,10,25.78061974,5,-9,2,9,-9,-8,4,50,6,21
2020-03-08,9,37.10043588,0,-14,4,6,-8,-8,3,21,7,28
2020-03-09,8,61.1515982,0,-28,-2,-38,-34,-18,9,30,11,30
2020-03-10,8,61.85243196,29,-45,2,-47,-41,-25,13,34,10,32
2020-03-11,11.5,64.44715675,37,-55,-16,-44,-47,-32,16,30,14,16
2020-03-12,13,58.80903658,29,-75,-24,-64,-62,-41,22,46,32,34
2020-03-13,15,40.18991571,21,-81,-35,-72,-69,-49,27,85,24,31
2020-03-14,5.5,93.31068668,48,-90,-54,-87,-80,-57,26,72,4,23
2020-03-15,9,71.16370158,31,-92,-72,-84,-80,-58,23,9,9,
2020-03-16,10,57.85549122,37,-82,-44,-74,-73,-58,28,38,10,30
2020-03-17,12,54.14045365,50,-84,-48,-73,-73,-61,29,34,14,29
2020-03-18,16,42.51240077,85,-85,-51,-76,-74,-62,30,46,18,36
2020-03-19,15.5,43.36070138,60,-86,-51,-80,-77,-63,32,57,16,40
2020-03-20,16,45.02270706,112,-86,-49,-84,-78,-63,33,53,20,48
2020-03-21,16.5,46.7798436,73,-90,-60,-89,-80,-61,26,61,24,42
2020-03-22,12.5,58.7312671,57,-96,-95,-93,-87,-65,25,68,16,30
2020-03-23,8,38.80747581,46,-86,-53,-87,-79,-67,32,53,10,32
2020-03-24,9,24.35656345,57,-87,-55,-85,-77,-68,33,21,16,34
2020-03-25,7,45.80573104,77,-88,-56,-88,-80,-69,34,50,18,35
2020-03-26,7,49.61020981,48,-89,-58,-88,-80,-71,36,50,19,22
2020-03-27,10,47.20059725,97,-88,-54,-88,-81,-70,37,55,19,18
2020-03-28,15,39.09794202,106,-91,-61,-90,-81,-63,27,59,31,38
2020-03-29,15,39.09794202,105,-96,-94,-93,-86,-65,25,65,35,34
2020-03-30,8,76.10440405,111,-87,-58,-89,-82,-69,33,61,7,27
2020-03-31,9,21.66916994,46,-86,-53,-85,-79,-69,33,17,6,40
2020-04-01,8,39.99186958,47,-86,-54,-85,-78,-68,33,21,14,32
2020-04-02,11,40.56891503,61,-86,-54,-85,-79,-68,34,38,21,36
2020-04-03,14,38.81942806,80,-86,-50,-85,-79,-67,35,61,20,42
2020-04-04,15,33.5863761,33,-90,-58,-89,-81,-61,26,61,16,43
2020-04-05,17,29.80907877,52,-95,-93,-91,-85,-64,25,55,12,36
2020-04-06,16,31.48922589,78,-84,-51,-84,-77,-65,31,46,18,33
2020-04-07,19,26.54209485,89,-84,-49,-82,-76,-66,31,55,20,11
2020-04-08,18,26.41011866,24,-84,-49,-84,-76,-65,31,61,21,44
2020-04-09,17,27.44103096,68,-84,-45,-84,-76,-66,32,57,18,39
2020-04-10,20,26.54209485,52,-84,-40,-84,-78,-67,34,57,26,46
2020-04-11,21,27.98263539,2,-88,-53,-88,-80,-59,25,61,24,54
2020-04-12,19.5,23.93584379,141,-96,-94,-92,-87,-65,25,65,19,48
2020-04-13,18,26.54209485,51,-95,-95,-89,-87,-89,40,59,16,48
2020-04-14,18,11.4456294,35,-82,-46,-81,-75,-62,29,57,20,43
2020-04-15,15.5,34.85206699,40,-81,-46,-79,-73,-61,29,55,20,34
2020-04-16,17,30.62205717,43,-81,-45,-78,-74,-60,30,42,28,32
2020-04-17,19,32.31729203,29,-81,-44,-79,-74,-60,31,42,21,50
2020-04-18,21,34.9697069,29,-86,-51,-82,-76,-55,23,55,21,52
2020-04-19,20.5,46.20884886,55,-93,-90,-84,-81,-59,22,55,22,55
2020-04-20,16,82.51723858,14,-80,-49,-82,-74,-57,27,55,35,10
2020-04-21,17,48.26917532,16,-78,-46,-75,-70,-57,27,70,14,30
2020-04-22,18,30.08171092,6,-78,-45,-74,-70,-56,26,46,16,38
2020-04-23,19.5,31.4696746,19,-77,-42,-73,-70,-56,27,38,21,52
2020-04-24,20,36.50497618,21,-76,-29,-74,-71,-55,27,55,48,42
2020-04-25,19,45.81895948,20,-91,-90,-78,-79,-65,24,76,25,35
2020-04-26,20,46.59413593,5,-90,-88,-79,-78,-56,21,63,17,38
2020-04-27,18,56.56040005,15,-73,-33,-74,-69,-53,24,55,26,27
2020-04-28,16,77.17211751,2,-75,-39,-74,-69,-53,24,63,20,7
2020-04-29,13,82.28567971,9,-75,-39,-72,-68,-53,25,53,6,
2020-04-30,14,67.18218209,11,-72,-25,-71,-65,-53,25,21,,21
2020-05-01,17,55.62252857,10,-88,-87,-65,-73,-84,37,,5,26
2020-05-02,19,43.046721,7,-76,-35,-63,-62,-48,19,17,7,23
2020-05-03,19,20.55993404,1,-82,-81,-56,-58,-49,17,21,12,39
2020-05-04,20,35.24058078,5,-62,-28,-54,-52,-45,17,34,11,33
2020-05-05,17,56.09628761,1,-64,-28,-54,-52,-45,19,30,25,28
2020-05-06,19.5,50.88235015,1,-64,-30,-52,-52,-44,18,50,16,26
2020-05-07,21,33.12926665,9,-63,-30,-46,-51,-44,18,38,16,36
2020-05-08,21,43.31050707,6,-63,-26,-52,-53,-44,19,38,22,46
2020-05-09,23,36.30517446,9,-63,-27,-42,-46,-37,11,55,24,64
2020-05-10,21,53.19306611,2,-77,-79,-51,-48,-35,11,59,21,54
2020-05-11,14,82.40221827,3,-59,-33,-73,-61,-42,19,59,10,36
2020-05-12,20,56.32953214,0,-53,-24,-46,-48,-41,16,34,9,22
2020-05-13,16,88.02103101,3,-57,-29,-65,-55,-41,18,25,10,31
2020-05-14,22.5,49.92131789,3,-53,-26,-40,-47,-40,15,25,16,32
2020-05-15,17,77.45998054,0,-57,-25,-64,-57,-41,19,38,11,25
2020-05-16,19,63.60595674,0,-56,-24,-47,-47,-30,11,25,8,19
2020-05-17,20,77.6012229,3,-67,-77,-30,-40,-33,9,21,13,26
2020-05-18,23,53.19306611,1,-41,-23,-39,-44,-36,12,34,10,35
2020-05-19,17,88.02103101,5,-45,-23,-54,-48,-37,15,21,12,37
2020-05-20,25,27.06599177,0,-40,-21,-34,-40,-36,12,21,9,35
2020-05-21,24,36.30517446,0,-40,-20,-28,-42,-36,12,13,10,43
2020-05-22,24,44.59662854,3,-42,-19,-36,-44,-35,13,17,18,49
2020-05-23,22.5,53.19306611,0,-45,-21,-31,-39,-23,6,46,18,49
2020-05-24,22,19.66324865,3,-54,-74,-10,-31,-26,3,57,3,37
2020-05-25,23,21.31348095,0,-38,-20,-33,-41,-35,11,13,8,37
2020-05-26,23,15.97963956,0,-36,-18,-24,-38,-33,11,17,10,38
2020-05-27,22,28.2512073,0,-35,-19,-24,-37,-32,10,21,11,41
2020-05-28,22,30.08171092,2,-38,-17,-34,-40,-33,12,30,20,40
2020-05-29,21,29.80907877,0,-38,-15,-32,-41,-33,11,34,10,40
2020-05-30,19.5,41.75210464,1,-41,-14,-30,-37,-19,5,25,14,43
2020-05-31,20,49.29795144,1,-52,-73,-12,-33,-21,5,38,9,37
2020-06-01,23,36.04183622,1,-32,-13,33,-34,-61,9,30,10,39
2020-06-02,24,40.98626736,0,-52,-77,54,-39,-76,13,30,13,41
2020-06-03,24,44.08864964,0,-31,-3,-31,-33,-31,8,42,16,45
2020-06-04,18,75.25369896,0,-39,-15,-61,-45,-34,13,46,10,35
2020-06-05,21,49.54915955,1,-33,-14,-31,-37,-31,9,25,4,39
2020-06-06,23,56.56040005,1,-35,-15,-23,-32,-18,3,13,10,44
2020-06-07,18,82.85348003,3,-62,-81,-65,-52,-25,9,34,7,21
2020-06-08,16,82.74284121,1,-35,-17,-50,-42,-32,10,25,6,13
2020-06-09,19,64.22351528,0,-30,-16,-34,-36,-31,9,17,5,25
2020-06-10,17,77.45998054,0,-30,-16,-40,-36,-30,9,13,6,24
2020-06-11,17,65.59105263,2,-28,-13,-25,-33,-31,8,17,5,34
2020-06-12,22,46.59413593,2,-26,-14,1,-29,-31,5,13,10,43
2020-06-13,24,50.53094102,2,-27,-14,32,-18,-16,-2,25,15,45
2020-06-14,20,73.22993834,3,-44,-73,-15,-29,-16,3,42,11,30
2020-06-15,21,72.5745626,0,-27,-11,-29,-34,-29,7,38,5,17
2020-06-16,23,50.04460237,0,-22,-10,-5,-27,-28,6,17,7,36
2020-06-17,19,77.87849362,0,-24,-11,-22,-30,-28,7,17,9,31
2020-06-18,22,50.28889539,2,-24,-14,-4,-27,-29,5,17,6,45
2020-06-19,18,75.48377298,2,-28,-12,-19,-33,-30,6,17,6,25
2020-06-20,25,29.82851018,3,-21,-8,44,-13,-13,-3,17,5,37
2020-06-21,26,24.2077888,4,-23,-63,63,1,-14,-6,13,5,39
2020-06-22,28,24.58105399,11,-19,-6,26,-23,-31,3,17,9,33
2020-06-23,28,32.71859384,0,-17,-9,46,-18,-31,2,25,13,45
2020-06-24,26,44.08864964,1,-18,-8,28,-20,-28,3,30,20,59
2020-06-25,25,50.53094102,0,-20,-6,12,-22,-30,4,53,19,48
2020-06-26,24,64.42482961,0,-21,-9,24,-25,-35,4,55,20,34
2020-06-27,28,45.34287453,2,-19,-6,62,-9,-16,-4,53,20,58
2020-06-28,28,45.58751917,1,-21,-61,70,4,-9,-7,57,14,55
2020-06-29,24,64.91826408,2,-14,0,32,-19,-29,3,46,15,37
2020-06-30,28,48.0841275,0,-13,-4,46,-18,-27,2,42,13,50
2020-07-01,26,61.43362031,3,-14,-3,24,-21,-28,3,42,19,30
2020-07-02,26,53.89848236,0,-15,-2,35,-19,-28,3,46,10,43
2020-07-03,24,61.01905116,0,-16,-2,24,-24,-28,3,30,6,34
2020-07-04,26,44.59662854,3,-10,2,86,-5,-13,-5,5,9,1
2020-07-05,28,46.71350101,2,-7,-31,106,12,-11,-9,21,14,49
2020-07-06,26,44.34370218,0,-9,6,72,-15,-30,2,46,17,27
2020-07-07,26,26.47379085,1,-2,7,105,-9,-29,1,55,6,32
2020-07-08,26,42.01891264,2,-3,4,90,-10,-27,0,,15,34
2020-07-09,27,44.84745121,3,-6,4,89,-11,-28,1,46,20,41
2020-07-10,28,47.84121299,5,-8,3,76,-13,-29,1,55,25,57
2020-07-11,19,88.25807815,3,-12,10,31,-13,-14,1,59,11,14
2020-07-12,25,47.34895897,5,1,-22,120,22,-6,-9,21,5,39
2020-07-13,24,43.83144823,7,1,12,102,-7,-29,1,21,10,41
2020-07-14,23,50.04460237,1,3,13,113,-5,-28,2,30,11,33
2020-07-15,20,64.42482961,3,2,11,86,-8,-26,3,38,10,24
2020-07-16,24.5,51.73754384,1,1,10,95,-7,-27,2,34,10,36
2020-07-17,26,29.57178902,4,0,10,95,-8,-28,1,34,6,7
2020-07-18,26,24.45698947,1,3,12,136,15,-11,-5,13,6,48
2020-07-19,26,37.08412768,1,9,-6,140,32,-4,-8,13,7,48
2020-07-20,28,42.52309076,0,9,17,143,0,-28,0,25,14,70
2020-07-21,25,61.6376971,1,8,18,142,-2,-28,1,46,16,32
2020-07-22,26.5,49.42744746,0,,,,,,,50,12,44
2020-07-23,28,44.84745121,0,,,,,,,46,10,58
