date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2
2020-02-24,9.25,90.96735105,0,-18,27,28,-32,-22,9,99,51,29
2020-02-25,9.7,94.16549694,0,-22,3,8,-37,-23,11,132,61,31
2020-02-26,7.85,46.3016347,2,-23,-7,-5,-40,-23,11,153,43,27
2020-02-27,6.95,40.62964159,8,-19,-7,7,-39,-23,10,104,15,32
2020-02-28,6.75,44.39045131,3,-16,-6,32,-37,-24,10,38,19,42
2020-02-29,8,60.30539516,1,-24,-5,-12,-34,-20,8,50,21,27
2020-03-01,6.9,93.75382646,35,-33,-9,-38,-40,-14,7,53,,
2020-03-02,6.833333333,92.18811483,11,-26,-18,-53,-44,-20,11,,,
2020-03-03,6.725,88.6779641,26,-13,-1,16,-35,-19,9,,21,23
2020-03-04,6.95,86.52232839,41,-14,-1,46,-34,-19,8,63,16,29
2020-03-05,6.05,93.32824036,28,-22,-6,-31,-42,-21,11,46,13,18
2020-03-06,5.05,93.31350856,27,-20,-2,1,-40,-22,11,38,20,27
2020-03-07,7.55,85.12660571,231,-25,-1,54,-31,-19,7,63,25,24
2020-03-08,7.2,78.1889944,88,-48,-1,16,-42,-19,8,76,9,31
2020-03-09,7.975,88.95785419,238,-42,-9,-35,-57,-31,16,30,20,27
2020-03-10,7.65,77.05129071,51,-50,-8,-25,-61,-38,20,61,33,29
2020-03-11,9.4,81.98995043,561,-57,-13,-23,-65,-43,22,82,29,27
2020-03-12,11.3,88.92129705,247,-74,-26,-62,-74,-52,28,74,50,28
2020-03-13,12.1,88.94843108,186,-78,-27,-57,-76,-58,31,117,25,29
2020-03-14,9.15,92.2158349,338,-86,-46,-80,-80,-63,26,63,23,13
2020-03-15,7.3,83.92589562,351,-91,-58,-78,-83,-57,22,72,10,10
2020-03-16,7.4,82.29801544,445,-78,-35,-62,-79,-63,30,46,18,23
2020-03-17,9.1,80.85667511,382,-80,-39,-59,-80,-65,32,59,32,37
2020-03-18,9.65,84.52459211,484,-82,-42,-67,-81,-66,33,89,40,38
2020-03-19,10.675,80.41614724,463,-82,-43,-72,-82,-67,34,99,30,31
2020-03-20,12.65,82.8089237,401,-82,-40,-76,-82,-68,36,78,39,33
2020-03-21,11,91.7297895,380,-88,-55,-84,-83,-67,27,93,34,13
2020-03-22,10,66.57812297,289,-95,-80,-92,-89,-65,24,91,20,6
2020-03-23,5.575,56.42591673,588,-84,-47,-82,-86,-74,35,61,14,12
2020-03-24,7.175,51.30699928,393,-84,-48,-78,-85,-74,36,38,15,10
2020-03-25,5.6,59.30827811,299,-86,-50,-82,-86,-75,37,46,14,10
2020-03-26,5.55,79.1062921,334,-86,-51,-83,-86,-77,39,46,21,16
2020-03-27,9.85,81.27671734,374,-86,-47,-82,-86,-77,40,61,31,19
2020-03-28,11.1,74.80782618,373,-89,-59,-85,-85,-70,28,70,69,28
2020-03-29,13.175,67.64070293,335,-95,-81,-91,-89,-65,24,117,62,10
2020-03-30,11.45,84.07824227,200,-85,-48,-82,-85,-75,36,107,29,7
2020-03-31,5.65,71.33154551,154,-92,-42,-78,-84,-76,37,63,10,11
2020-04-01,5.95,65.73191755,231,-92,-40,-78,-84,-75,37,34,15,11
2020-04-02,6.975,68.6999744,159,-92,-40,-78,-84,-75,38,50,20,10
2020-04-03,9.2,69.82566081,257,-88,-39,-78,-84,-74,39,61,30,16
2020-04-04,10.6,69.40074833,166,-91,-53,-84,-84,-68,28,85,32,40
2020-04-05,13.5,64.67193832,160,-96,-77,-90,-88,-64,24,87,20,15
2020-04-06,14.05,59.87271195,137,-86,-39,-77,-83,-71,34,63,21,18
2020-04-07,11.7,56.69978942,117,-85,-39,-75,-83,-72,35,63,27,22
2020-04-08,13.075,60.65648356,315,-85,-37,-77,-83,-71,35,68,21,30
2020-04-09,12.7,64.35910512,213,-84,-33,-77,-83,-71,35,57,25,28
2020-04-10,13.85,62.31489557,247,-84,-29,-77,-82,-73,38,63,25,36
2020-04-11,14.875,64.53740653,230,-89,-47,-83,-82,-67,27,65,21,27
2020-04-12,16.25,57.59942887,269,-97,-95,-91,-90,-68,25,57,14,6
2020-04-13,17.675,57.59433664,190,-96,-84,-85,-92,-92,43,46,15,8
2020-04-14,14.425,82.69245174,35,-83,-40,-74,-82,-68,34,50,23,12
2020-04-15,11.55,79.23961514,94,-83,-38,-75,-82,-67,34,57,19,7
2020-04-16,13.15,71.746368,168,-82,-38,-75,-82,-67,34,50,22,15
2020-04-17,14.45,69.74314901,212,-83,-36,-75,-82,-67,36,57,25,27
2020-04-18,16.375,74.65679747,191,-88,-55,-82,-81,-63,27,59,21,36
2020-04-19,17.6,79.36624862,188,-95,-79,-89,-87,-60,23,46,26,32
2020-04-20,14.75,91.15472915,58,-82,-52,-81,-83,-65,32,55,14,4
2020-04-21,12.75,78.34616702,74,-82,-49,-75,-82,-65,33,38,20,10
2020-04-22,14,53.81486301,100,-82,-46,-72,-80,-63,32,57,17,11
2020-04-23,14.925,61.00236464,130,-81,-45,-73,-80,-64,33,46,26,14
2020-04-24,17.3,55.04579418,167,-81,-39,-73,-80,-64,34,61,30,37
2020-04-25,18,58.34629778,65,-92,-69,-82,-84,-71,28,68,19,12
2020-04-26,16.8,59.83145807,24,-94,-74,-86,-85,-57,23,50,12,18
2020-04-27,17.35,71.5966579,35,-78,-42,-72,-79,-61,30,38,19,22
2020-04-28,16.1,84.31336044,92,-80,-46,-71,-80,-62,30,46,15,11
2020-04-29,14.91666667,85.93144204,115,-80,-42,-70,-79,-61,31,38,6,8
2020-04-30,16.2,72.33920729,55,-77,-34,-75,-79,-61,31,9,10,10
2020-05-01,15.1,81.42076522,68,-93,-83,-79,-89,-89,45,30,9,10
2020-05-02,18.05,56.61427793,70,-83,-45,-76,-77,-58,25,21,10,33
2020-05-03,17.5,55.31546587,29,-92,-66,-82,-82,-50,22,34,8,8
2020-05-04,18.275,49.24881282,94,-64,-31,-20,-65,-49,21,25,10,31
2020-05-05,19.425,67.14035242,46,-65,-31,-17,-66,-49,23,21,18,22
2020-05-06,18.25,76.16198503,99,-66,-32,-24,-66,-48,23,38,19,15
2020-05-07,18.225,57.83947431,124,-64,-31,-15,-65,-48,23,46,16,21
2020-05-08,21.2,54.92125375,69,-65,-28,-20,-65,-48,24,42,24,38
2020-05-09,20.225,60.98898163,46,-67,-35,-15,-57,-43,17,55,20,37
2020-05-10,21.175,68.62108394,44,-76,-56,-39,-64,-29,14,42,19,9
2020-05-11,16.8,87.70243047,70,-68,-42,-66,-72,-47,23,46,8,11
2020-05-12,16.85,78.31521954,128,-61,-28,-21,-64,-46,22,21,11,13
2020-05-13,15.5,86.26080916,94,-67,-34,-57,-69,-46,23,34,14,19
2020-05-14,19.29166667,75.27372826,106,-61,-27,-18,-63,-45,21,30,23,19
2020-05-15,16.9,86.84269017,60,-64,-29,-41,-66,-46,24,55,14,17
2020-05-16,17.125,79.03642968,83,-65,-34,-30,-58,-37,17,42,14,12
2020-05-17,18.3,80.88781243,56,-70,-51,-17,-58,-22,13,38,11,19
2020-05-18,20.35,76.4513083,11,-42,-24,9,-56,-40,17,34,22,27
2020-05-19,19.25,84.22419311,41,-46,-23,-23,-59,-41,19,55,16,19
2020-05-20,19.8,70.18462379,50,-41,-19,25,-53,-39,17,38,20,18
2020-05-21,21.625,56.77585168,77,-40,-18,19,-54,-41,17,50,17,21
2020-05-22,22.3,65.53180741,19,-41,-17,17,-54,-39,18,53,22,37
2020-05-23,21.45,75.42222916,72,-43,-23,15,-43,-26,11,55,27,33
2020-05-24,21.2,63.29137049,59,-43,-34,34,-40,-9,7,61,7,8
2020-05-25,22.3,51.7492473,3,-37,-22,24,-54,-39,15,17,13,36
2020-05-26,21.05,60.15827929,10,-36,-18,35,-52,-37,15,38,11,10
2020-05-27,20.8,52.4402407,33,-36,-16,33,-51,-37,15,30,11,12
2020-05-28,21.7,59.75350417,90,-36,-16,25,-52,-37,15,25,17,33
2020-05-29,18.225,64.21995881,71,-36,-14,22,-51,-37,16,38,9,16
2020-05-30,19.8,67.9170416,41,-35,-18,39,-35,-21,8,25,14,11
