date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,11.06666667,78.84002834,0,-18,27,28,-32,-22,9,137,56,29,40
2020-02-25,10,87.51706178,0,-22,3,8,-37,-23,11,149,51,29,32
2020-02-26,6.75,49.2636896,0,-23,-7,-5,-40,-23,11,147,21,33,28
2020-02-27,4.5,65.6373733,0,-19,-7,7,-39,-23,10,65,7,32,42
2020-02-28,7.35,27.47007407,0,-16,-6,32,-37,-24,10,25,18,35,44
2020-02-29,5.7,55.46277548,1,-24,-5,-12,-34,-20,8,61,21,24,31
2020-03-01,6,98.35856444,1,-33,-9,-38,-40,-14,7,63,,,
2020-03-02,4.65,100,0,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.75,44.0828647,2,-13,-1,16,-35,-19,9,,8,30,32
2020-03-04,7.966666667,40.79457927,1,-14,-1,46,-34,-19,8,17,15,35,31
2020-03-05,5.283333333,86.20871503,6,-22,-6,-31,-42,-21,11,38,50,20,26
2020-03-06,3.583333333,100,0,-20,-2,1,-40,-22,11,127,30,19,29
2020-03-07,10.5,24.52213914,12,-25,-1,54,-31,-19,7,104,18,37,28
2020-03-08,5.5,47.36399013,4,-48,-1,16,-42,-19,8,57,16,38,27
2020-03-09,6.85,74.62066928,13,-42,-9,-35,-57,-31,16,57,26,26,28
2020-03-10,7.616666667,58.35607273,6,-50,-8,-25,-61,-38,20,78,18,30,32
2020-03-11,12,76.45894581,31,-57,-13,-23,-65,-43,22,59,12,30,29
2020-03-12,12,90.38051775,21,-74,-26,-62,-74,-52,28,38,27,24,26
2020-03-13,12.5,87.64683375,20,-78,-27,-57,-76,-58,31,65,30,34,26
2020-03-14,10.5,91.86348844,36,-86,-46,-80,-80,-63,26,68,25,26,9
2020-03-15,8.55,76.23175763,30,-91,-58,-78,-83,-57,22,63,24,28,12
2020-03-16,8.75,71.28631151,36,-78,-35,-62,-79,-63,30,72,24,34,22
2020-03-17,8.5,72.31207859,36,-80,-39,-59,-80,-65,32,63,37,34,26
2020-03-18,10.75,62.3873744,30,-82,-42,-67,-81,-66,33,91,33,43,20
2020-03-19,11.5,60.23444482,52,-82,-43,-72,-82,-67,34,85,25,45,23
2020-03-20,11.5,68.29036087,42,-82,-40,-76,-82,-68,36,65,26,47,23
2020-03-21,11.25,61.31396376,72,-88,-55,-84,-83,-67,27,76,22,47,14
2020-03-22,10.86666667,70.38627772,60,-95,-80,-92,-89,-65,24,59,31,37,9
2020-03-23,5.066666667,48.77412189,69,-84,-47,-82,-86,-74,35,85,27,30,13
2020-03-24,5,45.3706789,54,-84,-48,-78,-85,-74,36,68,22,36,18
2020-03-25,4,60.21922191,71,-86,-50,-82,-86,-75,37,70,21,32,15
2020-03-26,5,64.06888347,56,-86,-51,-83,-86,-77,39,65,26,30,10
2020-03-27,9.75,65.17744273,54,-86,-47,-82,-86,-77,40,72,24,36,12
2020-03-28,11.75,59.53142318,87,-89,-59,-85,-85,-70,28,59,59,40,14
2020-03-29,13,57.8407093,111,-95,-81,-91,-89,-65,24,89,54,44,12
2020-03-30,9,90.39825135,47,-85,-48,-82,-85,-75,36,57,16,34,11
2020-03-31,5,70.08412104,40,-92,-42,-78,-84,-76,37,42,11,30,8
2020-04-01,4.8,63.22379968,56,-92,-40,-78,-84,-75,37,38,28,33,17
2020-04-02,6.25,61.74447723,48,-92,-40,-78,-84,-75,38,76,30,40,16
2020-04-03,9.25,53.14045816,51,-88,-39,-78,-84,-74,39,87,37,43,18
2020-04-04,10.75,56.68811177,63,-91,-53,-84,-84,-68,28,97,35,57,15
2020-04-05,13,41.27635353,65,-96,-77,-90,-88,-64,24,97,26,45,9
2020-04-06,13,46.91187195,89,-86,-39,-77,-83,-71,34,76,25,53,20
2020-04-07,14.5,39.97738382,52,-85,-39,-75,-83,-72,35,74,30,56,20
2020-04-08,14.75,39.065501,17,-85,-37,-77,-83,-71,35,85,30,62,20
2020-04-09,14.5,42.60782484,63,-84,-33,-77,-83,-71,35,85,23,60,18
