date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2
2020-02-24,13,82.31470256,0,-18,27,28,-32,-22,9,132,46,16
2020-02-25,12.2,90.80953781,53,-22,3,8,-37,-23,11,107,66,13
2020-02-26,12,11.92882592,4,-23,-7,-5,-40,-23,11,156,40,
2020-02-27,10.5,26.11143266,34,-19,-7,7,-39,-23,10,91,11,
2020-02-28,11.3,13.52799203,32,-16,-6,32,-37,-24,10,34,35,
2020-02-29,9,57.3611161,13,-24,-5,-12,-34,-20,8,46,55,
2020-03-01,7,100,78,-33,-9,-38,-40,-14,7,68,,
2020-03-02,6.65,98.84078908,9,-26,-18,-53,-44,-20,11,,,
2020-03-03,8.75,95.14735436,64,-13,-1,16,-35,-19,9,,17,
2020-03-04,8.75,84.52629396,46,-14,-1,46,-34,-19,8,53,20,
2020-03-05,6,100,73,-22,-6,-31,-42,-21,11,65,22,
2020-03-06,7.1,87.24820698,46,-20,-2,1,-40,-22,11,55,20,
2020-03-07,11.25,58.81660562,110,-25,-1,54,-31,-19,7,61,37,
2020-03-08,9.15,63.62170752,103,-48,-1,16,-42,-19,8,91,13,
2020-03-09,7,100,251,-42,-9,-35,-57,-31,16,55,30,
2020-03-10,11,61.01680414,41,-50,-8,-25,-61,-38,20,72,24,
2020-03-11,13.5,61.59499624,104,-57,-13,-23,-65,-43,22,63,26,25
2020-03-12,14,72.23467376,241,-74,-26,-62,-74,-52,28,65,51,16
2020-03-13,15.7,77.24453707,42,-78,-27,-57,-76,-58,31,119,29,14
2020-03-14,10,81.37382915,221,-86,-46,-80,-80,-63,26,72,30,10
2020-03-15,10.5,59.22854563,227,-91,-58,-78,-83,-57,22,80,14,14
2020-03-16,11.15,33.0115162,89,-78,-35,-62,-79,-63,30,50,22,32
2020-03-17,12.3,46.5774435,192,-80,-39,-59,-80,-65,32,63,30,33
2020-03-18,13.85,53.98040293,94,-82,-42,-67,-81,-66,33,76,50,37
2020-03-19,15.1,56.91778802,119,-82,-43,-72,-82,-67,34,114,51,36
2020-03-20,14,62.96717878,106,-82,-40,-76,-82,-68,36,104,50,22
2020-03-21,14.75,55.75400446,341,-88,-55,-84,-83,-67,27,102,30,14
2020-03-22,11,79.47087126,162,-95,-80,-92,-89,-65,24,85,24,4
2020-03-23,6.7,27.81325405,30,-84,-47,-82,-86,-74,35,61,14,7
2020-03-24,8,22.33384229,136,-84,-48,-78,-85,-74,36,42,19,13
2020-03-25,6.8,47.41028289,95,-86,-50,-82,-86,-75,37,61,17,16
2020-03-26,3.05,100,214,-86,-51,-83,-86,-77,39,53,16,15
2020-03-27,9,71.34785997,126,-86,-47,-82,-86,-77,40,53,38,13
2020-03-28,14,47.34124584,109,-89,-59,-85,-85,-70,28,70,52,9
2020-03-29,14.85,48.02998417,157,-95,-81,-91,-89,-65,24,82,57,10
2020-03-30,12,82.52256553,26,-85,-48,-82,-85,-75,36,85,28,12
2020-03-31,7.65,46.67357445,81,-92,-42,-78,-84,-76,37,72,10,15
2020-04-01,8,39.52115034,72,-92,-40,-78,-84,-75,37,34,21,17
2020-04-02,9.7,36.97408233,33,-92,-40,-78,-84,-75,38,70,28,19
2020-04-03,12.5,36.64075621,123,-88,-39,-78,-84,-74,39,68,28,22
2020-04-04,14,37.18784598,57,-91,-53,-84,-84,-68,28,91,41,15
2020-04-05,14.5,34.31046901,79,-96,-77,-90,-88,-64,24,99,33,21
2020-04-06,17,40.85915726,27,-86,-39,-77,-83,-71,34,93,33,20
2020-04-07,17.1,39.66147809,63,-85,-39,-75,-83,-72,35,87,43,20
2020-04-08,18,23.90309191,99,-85,-37,-77,-83,-71,35,95,30,22
2020-04-09,20.1,24.42613295,67,-84,-33,-77,-83,-71,35,74,25,23
2020-04-10,21.05,31.41842062,73,-84,-29,-77,-82,-73,38,70,30,20
2020-04-11,21.5,37.51114932,96,-89,-47,-83,-82,-67,27,74,25,15
2020-04-12,20.5,29.14617986,63,-97,-95,-91,-90,-68,25,70,19,8
2020-04-13,18.65,37.09148126,224,-96,-84,-85,-92,-92,43,68,17,11
2020-04-14,17.6,61.64416273,227,-83,-40,-74,-82,-68,34,61,33,8
2020-04-15,14,40.60595074,30,-83,-38,-75,-82,-67,34,55,19,8
2020-04-16,16.5,44.45781772,71,-82,-38,-75,-82,-67,34,53,27,13
2020-04-17,18.2,33.88013342,40,-83,-36,-75,-82,-67,36,46,27,14
2020-04-18,21,50.90330847,94,-88,-55,-82,-81,-63,27,65,30,14
2020-04-19,18.25,75.81138551,10,-95,-79,-89,-87,-60,23,63,28,7
2020-04-20,12.7,100,74,-82,-52,-81,-83,-65,32,65,18,7
2020-04-21,12.6,84.6256594,150,-82,-49,-75,-82,-65,33,38,20,13
2020-04-22,16.5,35.27112931,65,-82,-46,-72,-80,-63,32,59,28,21
2020-04-23,18,39.50985704,101,-81,-45,-73,-80,-64,33,55,28,15
2020-04-24,20,43.16023076,60,-81,-39,-73,-80,-64,34,55,39,19
2020-04-25,20.7,49.39415335,39,-92,-69,-82,-84,-71,28,76,20,13
2020-04-26,20.35,50.38783206,60,-94,-74,-86,-85,-57,23,42,14,11
2020-04-27,21,63.02949683,5,-78,-42,-72,-79,-61,30,34,21,11
2020-04-28,16.83333333,100,22,-80,-46,-71,-80,-62,30,38,13,12
2020-04-29,20.7,48.69386791,30,-80,-42,-70,-79,-61,31,25,11,8
2020-04-30,19,62.3979532,14,-77,-34,-75,-79,-61,31,25,13,11
2020-05-01,18.8,68.42912229,31,-93,-83,-79,-89,-89,45,21,11,6
2020-05-02,23.5,23.06440127,20,-83,-45,-76,-77,-58,25,53,16,8
2020-05-03,21,53.90153832,18,-92,-66,-82,-82,-50,22,50,14,4
2020-05-04,21.2,38.3631622,3,-64,-31,-20,-65,-49,21,34,10,12
2020-05-05,22,56.9082556,21,-65,-31,-17,-66,-49,23,21,17,14
2020-05-06,19.95,67.0541902,21,-66,-32,-24,-66,-48,23,53,22,10
2020-05-07,22,32.6493101,27,-64,-31,-15,-65,-48,23,25,19,11
2020-05-08,23.1,42.40885779,41,-65,-28,-20,-65,-48,24,42,17,74
2020-05-09,23.9,29.59324621,23,-67,-35,-15,-57,-43,17,42,13,83
2020-05-10,22.5,55.10867539,6,-76,-56,-39,-64,-29,14,76,16,
2020-05-11,19,70.24910639,2,-68,-42,-66,-72,-47,23,42,17,8
2020-05-12,21.4,70.44152741,5,-61,-28,-21,-64,-46,22,50,15,8
2020-05-13,17,93.92748396,18,-67,-34,-57,-69,-46,23,21,14,6
2020-05-14,21.7,68.9269368,12,-61,-27,-18,-63,-45,21,17,30,15
2020-05-15,18.3,100,18,-64,-29,-41,-66,-46,24,46,17,13
2020-05-16,18.5,85.82704574,10,-65,-34,-30,-58,-37,17,46,19,10
2020-05-17,21.2,75.48048898,10,-70,-51,-17,-58,-22,13,57,18,11
2020-05-18,24,58.97318117,0,-42,-24,9,-56,-40,17,46,26,15
2020-05-19,20,94.08841125,12,-46,-23,-23,-59,-41,19,59,34,13
2020-05-20,23.5,54.97372629,15,-41,-19,25,-53,-39,17,70,24,13
2020-05-21,24,41.24751338,15,-40,-18,19,-54,-41,17,53,18,14
2020-05-22,25.45,50.40292915,9,-41,-17,17,-54,-39,18,53,26,17
2020-05-23,24.25,57.12711314,9,-43,-23,15,-43,-26,11,72,30,16
2020-05-24,23.35,55.08218806,8,-43,-34,34,-40,-9,7,68,20,6
2020-05-25,25.3,29.00003928,5,-37,-22,24,-54,-39,15,63,9,15
2020-05-26,23.6,35.81276821,4,-36,-18,35,-52,-37,15,34,13,10
2020-05-27,23.6,32.20456271,16,-36,-16,33,-51,-37,15,42,14,11
2020-05-28,24,42.03722189,13,-36,-16,25,-52,-37,15,38,20,10
2020-05-29,19,49.29795144,13,-36,-14,22,-51,-37,16,53,10,8
2020-05-30,22,38.11539942,6,-35,-18,39,-35,-21,8,61,,
2020-05-31,22,46.59413593,11,-37,-28,38,-37,-1,6,,,
2020-06-01,25.9,40.50791417,2,-16,1,109,-44,-53,14,,16,10
2020-06-02,25.75,48.90035319,3,-35,-36,184,-54,-77,22,53,14,13
2020-06-03,24.5,53.77980331,6,-37,-15,1,-49,-35,14,42,12,14
2020-06-04,17,100,1,-42,-21,-57,-58,-38,17,42,9,11
2020-06-05,24.25,50.71296668,11,-28,-12,38,-46,-35,12,17,7,12
