date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25
2020-02-24,13.5,74.55583515,0,-6,23,31,-21,-21,5,
2020-02-25,10,87.60397647,0,-10,3,3,-26,-21,7,55
2020-02-26,9.5,30.96098484,0,-14,-7,-12,-29,-19,8,30
2020-02-27,7,39.10742437,0,-9,-4,-2,-26,-18,7,57
2020-02-28,9.5,34.2459113,0,-8,-3,24,-22,-17,7,38
2020-02-29,7,53.09863276,0,-12,-1,-8,-18,-7,5,57
2020-03-01,7,75.78088296,0,-11,-2,3,-14,-3,3,78
2020-03-02,4,93.28552679,0,-15,-10,-38,-29,-15,7,
2020-03-03,11.5,38.73656967,0,-2,1,21,-20,-14,5,
2020-03-04,9.5,44.86466462,0,-4,1,25,-21,-13,5,46
2020-03-05,6.5,73.47229227,0,-14,-3,-23,-27,-15,7,46
2020-03-06,7,75.94372341,1,-13,0,4,-25,-15,8,70
2020-03-07,12,37.39273734,0,-15,2,26,-17,-8,5,68
2020-03-08,9.5,50.0183389,4,-34,5,-2,-25,-8,6,55
2020-03-09,8,75.69836111,6,-31,-2,-19,-42,-24,12,53
2020-03-10,12.5,42.67153085,3,-43,-7,-21,-51,-30,16,72
2020-03-11,15,58.33754784,3,-50,-14,-19,-56,-35,19,65
2020-03-12,12,87.68969102,7,-69,-23,-57,-66,-44,24,95
2020-03-13,12,82.04792647,16,-73,-26,-51,-69,-50,28,63
2020-03-14,8,100,7,-84,-44,-77,-75,-55,26,68
2020-03-15,8,81.55281966,14,-90,-61,-78,-80,-52,22,59
2020-03-16,11.5,62.52900827,30,-73,-35,-58,-73,-56,27,63
2020-03-17,13.5,62.52900827,28,-75,-38,-56,-73,-59,29,61
2020-03-18,14,59.04092137,30,-77,-42,-61,-75,-60,30,65
2020-03-19,16,51.5889411,0,-77,-41,-65,-76,-61,31,85
2020-03-20,13,66.98164479,72,-79,-37,-71,-76,-62,33,74
2020-03-21,15,51.71865844,44,-86,-51,-82,-79,-59,26,89
2020-03-22,11,87.60397647,38,-94,-82,-91,-86,-59,24,70
2020-03-23,4,65.28625553,64,-80,-45,-79,-81,-69,33,89
2020-03-24,6,53.09863276,42,-81,-46,-77,-80,-70,34,42
2020-03-25,3,65.06223972,32,-82,-49,-80,-81,-70,35,57
2020-03-26,3,86.87283314,46,-83,-49,-80,-82,-73,36,55
2020-03-27,6,87.24885993,31,-83,-45,-80,-81,-72,38,55
2020-03-28,14,62.96717878,40,-87,-54,-83,-80,-62,27,42
2020-03-29,14.5,63.07485322,33,-94,-82,-89,-85,-59,23,61
2020-03-30,10,87.51706178,59,-82,-47,-79,-80,-71,34,55
2020-03-31,5,87.06357387,81,-90,-42,-77,-79,-71,34,46
2020-04-01,6,65.61670046,47,-90,-40,-75,-78,-70,34,42
2020-04-02,9,57.36252431,48,-89,-39,-73,-78,-70,35,61
2020-04-03,12,58.0978616,24,-85,-36,-74,-78,-70,37,78
2020-04-04,15,51.46429968,82,-89,-49,-82,-78,-61,27,74
2020-04-05,14.5,47.87291513,139,-95,-80,-88,-85,-59,23,76
