date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2
2020-02-24,11.5,96.1600689,0,3,25,20,0,0,0,55,24,31
2020-02-25,11.2,95.79810278,1,0,12,32,-6,-1,1,55,21,24
2020-02-26,12.6,83.18229559,1,-11,-5,-19,-15,-2,3,57,19,18
2020-02-27,7.2,91.82502654,0,-10,-7,-17,-13,-1,3,34,11,27
2020-02-28,8.35,63.40202116,6,-2,-1,21,-8,0,1,25,14,35
2020-02-29,8.95,77.46588284,0,-5,-2,18,-7,1,1,42,23,33
2020-03-01,11.65,94.21267464,0,-22,-11,-58,-30,-4,6,61,18,10
2020-03-02,11.8,95.54396494,0,-11,-6,-34,-14,0,3,30,,
2020-03-03,9.45,96.38222813,3,-7,-3,-18,-14,0,2,,,23
2020-03-04,6,90.11551933,5,-4,1,0,-11,0,1,21,11,25
2020-03-05,8.45,92.3682796,8,-14,-1,-27,-26,-13,7,30,12,30
2020-03-06,10.7,93.31966664,3,-13,1,-9,-26,-14,7,42,12,29
2020-03-07,9.6,86.10599586,4,-18,2,14,-23,-14,6,25,9,20
2020-03-08,9.7,73.54225645,12,-23,-3,13,-21,-8,5,25,14,23
2020-03-09,9.45,87.03152003,12,-28,-1,-34,-38,-19,10,50,17,27
2020-03-10,10.1,82.01686391,10,-42,-4,-26,-45,-27,15,53,16,33
2020-03-11,8.8,91.06182246,10,-51,-17,-31,-52,-34,18,50,20,33
2020-03-12,10.7,98.71104644,15,-70,-24,-68,-64,-44,25,57,31,26
2020-03-13,11.9,95.60855365,15,-74,-28,-65,-66,-50,28,78,19,20
2020-03-14,12.5,77.2012322,31,-84,-45,-74,-72,-57,25,53,15,9
2020-03-15,11.25,58.48542565,30,-90,-64,-82,-78,-54,23,53,8,3
2020-03-16,10.9,58.60816384,24,-73,-37,-69,-69,-53,26,25,11,22
2020-03-17,10.8,80.01075131,28,-76,-42,-69,-71,-57,28,34,20,23
2020-03-18,14.85,68.42534157,81,-77,-44,-74,-72,-57,29,59,20,13
2020-03-19,13.2,74.46359312,54,-78,-44,-75,-74,-59,31,59,19,17
2020-03-20,13,83.89260823,52,-79,-42,-76,-74,-59,32,59,26,18
2020-03-21,11.75,89.92688239,50,-86,-53,-84,-78,-61,27,72,21,16
2020-03-22,12.4,69.05258564,63,-94,-84,-92,-85,-61,25,65,16,8
2020-03-23,6.9,42.87773278,34,-78,-46,-82,-77,-65,32,53,10,7
2020-03-24,5.45,56.37384279,74,-80,-48,-81,-77,-66,33,25,10,17
2020-03-25,5,79.44898978,87,-82,-52,-84,-79,-68,34,42,10,3
2020-03-26,7.1,69.47618347,55,-84,-53,-86,-81,-71,37,34,10,2
2020-03-27,10.35,76.1760144,0,-82,-48,-83,-80,-70,37,34,25,3
2020-03-28,12.3,68.91415866,91,-87,-55,-84,-79,-65,28,53,,19
2020-03-29,12.5,81.97857972,102,-94,-84,-91,-85,-62,25,99,,10
2020-03-30,11.8,89.9656189,65,-79,-47,-79,-77,-67,32,70,25,15
2020-03-31,9.05,66.03828308,65,-90,-44,-79,-76,-69,34,53,7,5
2020-04-01,7.8,42.36713679,71,-90,-41,-79,-74,-68,34,21,12,5
2020-04-02,8.35,56.48785331,261,-89,-41,-78,-74,-68,35,42,12,16
2020-04-03,10.7,57.00090449,124,-84,-40,-78,-76,-68,35,42,13,17
2020-04-04,14.45,51.3762041,83,-89,-49,-84,-77,-63,28,50,16,26
2020-04-05,14.9,47.1105491,89,-95,-81,-90,-84,-61,25,53,15,7
2020-04-06,16.6,48.35685322,54,-81,-39,-78,-74,-65,31,50,22,6
2020-04-07,16.8,36.86171499,36,-81,-40,-76,-74,-66,32,63,21,14
2020-04-08,16.7,39.95416317,66,-81,-39,-78,-74,-65,32,61,18,12
2020-04-09,13.85,48.89444701,90,-80,-33,-78,-73,-66,33,53,18,17
2020-04-10,14.4,51.00273187,108,-80,-29,-76,-73,-66,34,55,21,
2020-04-11,13.95,60.48713326,85,-85,-44,-82,-75,-62,27,,18,
2020-04-12,14.5,62.63666004,105,-96,-95,-92,-87,-66,26,,14,9
2020-04-13,13.1,68.84943787,10,-96,-95,-88,-89,-91,41,53,15,10
2020-04-14,13.55,69.46213517,42,-79,-39,-76,-73,-64,31,55,12,6
2020-04-15,12.75,51.37594687,61,-79,-39,-77,-72,-63,32,42,9,3
2020-04-16,10.7,65.02025207,71,-78,-39,-76,-72,-63,32,25,12,14
2020-04-17,14.9,81.01360388,51,-78,-37,-75,-72,-62,33,38,18,12
2020-04-18,15.35,93.7520332,69,-84,-50,-81,-74,-57,26,42,20,7
2020-04-19,16.85,95.63306757,46,-93,-81,-90,-83,-56,24,53,24,4
2020-04-20,15.85,97.81856134,44,-78,-45,-82,-76,-61,30,57,10,5
2020-04-21,13.45,87.51452167,51,-79,-42,-79,-74,-61,31,30,10,2
2020-04-22,15.6,63.90524726,56,-78,-41,-79,-73,-60,31,34,14,4
2020-04-23,16.9,59.03624117,35,-77,-37,-73,-70,-59,31,46,18,6
2020-04-24,13.6,74.94158275,54,-74,-27,-71,-69,-59,30,55,20,16
2020-04-25,15.25,73.35170515,75,-94,-94,-83,-81,-74,30,59,12,5
2020-04-26,15.7,84.40151946,79,-90,-61,-86,-78,-48,22,46,10,5
2020-04-27,16.6,88.06966849,8,-70,-31,-70,-68,-55,27,38,10,7
2020-04-28,15.4,97.50835079,28,-76,-39,-76,-71,-58,28,34,10,5
2020-04-29,15.9,91.70711277,40,-74,-35,-74,-69,-56,29,25,15,4
2020-04-30,16.9,85.6371852,41,-70,-25,-70,-67,-55,28,25,13,5
2020-05-01,17.3,92.71684837,36,-91,-91,-57,-80,-87,41,25,13,3
2020-05-02,17.35,92.04361502,37,-75,-36,-54,-63,-51,23,21,15,3
2020-05-03,19.1,62.93348539,17,-83,-62,-57,-65,-41,20,25,8,4
2020-05-04,17.55,61.10049897,14,-57,-25,-29,-52,-43,18,17,8,12
2020-05-05,18.2,87.80385829,18,-60,-27,-32,-53,-44,20,21,12,11
2020-05-06,18.75,72.23615126,15,-61,-28,-34,-53,-43,20,25,9,5
2020-05-07,19.1,50.89734342,18,-60,-27,-26,-53,-43,21,25,10,11
2020-05-08,18.8,66.34015185,21,-60,-27,-23,-53,-43,21,25,13,14
2020-05-09,19.15,76.65762246,9,-65,-32,-22,-47,-40,16,34,12,7
2020-05-10,20.5,71.89224546,11,-72,-53,-40,-53,-28,14,30,13,7
2020-05-11,16.9,97.17521661,6,-57,-29,-49,-57,-40,19,34,11,11
2020-05-12,17.75,96.07418058,11,-57,-27,-31,-53,-40,20,25,10,6
2020-05-13,20.6,85.69519562,7,-58,-28,-36,-52,-39,19,21,16,10
2020-05-14,21.3,90.12413222,13,-57,-26,-26,-51,-39,18,34,33,6
2020-05-15,19.45,92.2199225,18,-59,-24,-33,-54,-40,20,50,15,6
2020-05-16,20,92.88770645,14,-63,-29,-30,-49,-35,16,30,12,9
2020-05-17,23.2,79.23761028,18,-67,-49,-22,-49,-20,12,25,18,6
2020-05-18,21.45,77.72800434,3,-41,-20,-30,-48,-34,15,38,20,11
2020-05-19,21.6,81.30204574,5,-43,-21,-26,-48,-35,16,46,23,15
2020-05-20,19.9,78.66055434,2,-40,-19,-18,-45,-34,16,57,,4
2020-05-21,22.4,57.69269532,7,-38,-18,7,-41,-34,14,,10,17
2020-05-22,21.8,65.2743723,16,-39,-17,18,-41,-34,14,34,12,9
2020-05-23,21.15,70.56498986,9,-40,-20,39,-29,-25,7,38,12,7
2020-05-24,21.8,67.68163007,6,-45,-34,5,-35,-11,5,34,9,4
2020-05-25,22.5,59.33600805,0,-32,-17,6,-41,-32,12,30,8,13
2020-05-26,21.55,52.39630249,1,-33,-17,21,-38,-31,12,21,7,9
2020-05-27,20.15,53.94019883,4,-34,-15,9,-38,-31,12,17,6,11
2020-05-28,19.05,64.47179342,1,-34,-14,10,-39,-31,12,17,10,12
2020-05-29,16.25,70.80625206,1,-36,-13,-4,-42,-32,14,21,5,6
2020-05-30,18.8,65.8706047,6,-36,-16,47,-25,-19,6,13,10,10
2020-05-31,17,78.28068424,3,-39,-27,21,-30,-1,4,25,10,10
2020-06-01,21.55,58.94768132,1,-16,2,69,-32,-43,10,34,8,11
2020-06-02,21.4,67.25753049,3,-38,-50,139,-37,-74,15,21,10,7
2020-06-03,20.9,84.14034644,2,-29,-10,9,-31,-28,9,30,11,6
2020-06-04,20,91.55042827,0,-36,-14,-33,-40,-31,13,30,11,11
2020-06-05,19.9,91.05421944,5,-27,-12,21,-33,-29,10,25,15,8
2020-06-06,20.4,89.71978324,4,-26,-16,67,-18,-18,3,30,15,4
2020-06-07,20.35,94.49529442,1,-33,-24,5,-28,1,3,25,12,6
2020-06-08,19.9,91.70300333,2,-23,-14,9,-35,-28,10,21,13,5
2020-06-09,17.4,94.20030102,1,-24,-15,23,-32,-28,9,21,14,7
2020-06-10,16.15,97.47308166,1,-27,-17,-12,-37,-29,11,25,9,11
2020-06-11,18.25,89.08275944,5,-21,-10,14,-32,-28,9,17,9,11
2020-06-12,20.8,83.83096187,5,-20,-12,61,-27,-28,7,25,11,
2020-06-13,17.75,95.12418237,7,-27,-15,39,-23,-15,4,30,10,
2020-06-14,18.9,96.33239478,6,-26,-20,21,-26,5,2,,7,5
2020-06-15,20.25,94.60973222,3,-17,-12,36,-29,-26,6,17,16,6
2020-06-16,19.5,99.3800631,0,-17,-12,52,-28,-26,7,34,12,14
2020-06-17,20.3,95.76663463,0,-18,-11,34,-28,-27,8,30,17,6
2020-06-18,20.5,83.73341181,1,-16,-11,52,-25,-26,6,30,12,9
2020-06-19,21.15,77.66228537,2,-15,-9,81,-21,-26,5,21,10,9
2020-06-20,22.2,76.57222485,0,-19,-14,117,-7,-12,-1,21,10,7
2020-06-21,22.2,84.77706103,1,-22,-19,55,-11,9,-4,25,10,13
2020-06-22,24.65,72.83674691,0,-12,-8,71,-24,-26,5,38,12,15
2020-06-23,25.6,67.83877563,1,-12,-8,90,-21,-26,4,38,,15
2020-06-24,25.8,63.85083155,0,-13,-10,81,-23,-30,5,46,17,16
2020-06-25,25.3,69.81646918,0,-13,-7,76,-21,-25,4,50,17,17
2020-06-26,25.35,70.30990617,0,-13,-7,105,-17,-26,4,42,16,13
2020-06-27,25.7,68.93155197,2,-18,-12,134,-3,-14,-3,46,13,13
2020-06-28,25.75,69.42805553,0,-21,-17,65,-6,12,-6,42,15,11
2020-06-29,25.65,80.52209509,3,-7,-4,90,-20,-24,3,38,16,8
2020-06-30,26.15,72.25676718,2,-9,-8,90,-21,-23,3,46,,8
2020-07-01,25.95,73.32571367,0,-10,-6,73,-20,-24,3,,,13
2020-07-02,27.3,82.72232536,0,-10,-7,79,-21,-24,4,,14,8
2020-07-03,26.9,84.80541932,7,-11,-6,95,-18,-25,3,34,14,8
2020-07-04,26.6,70.14598214,1,-15,-12,129,-5,-13,-2,38,10,8
2020-07-05,27.1,63.77216032,6,-19,-15,68,-9,11,-6,30,15,6
2020-07-06,27.2,71.70261375,0,-6,-4,99,-20,-25,2,38,16,8
2020-07-07,23.8,67.1866048,7,-6,-5,111,-19,-25,3,38,10,14
2020-07-08,25.65,54.4042847,5,-9,-7,94,-20,-23,2,25,14,5
2020-07-09,26.35,69.67865091,0,-9,-7,98,-19,-24,2,34,18,14
2020-07-10,26.35,68.90898855,0,-10,-6,123,-16,-25,2,46,17,12
2020-07-11,26.35,74.30319078,3,-16,-13,145,-3,-12,-4,46,17,10
2020-07-12,25.5,67.58707691,1,-17,-13,74,-5,14,-6,46,8,8
2020-07-13,24.65,53.33078687,0,-4,-2,110,-17,-24,2,21,9,8
2020-07-14,24.65,54.7934086,0,-4,-5,128,-17,-24,2,25,12,3
2020-07-15,21.5,74.16040496,1,-6,-6,93,-20,-23,3,34,12,13
2020-07-16,24.25,82.41289252,2,-4,-6,108,-18,-23,2,34,15,12
2020-07-17,22.95,82.23456605,1,-6,-4,124,-16,-24,2,46,10,11
2020-07-18,23.45,56.84873695,0,-11,-10,152,1,-12,-3,30,6,13
2020-07-19,24.5,64.88494942,10,-14,-12,83,-3,17,-7,21,6,10
2020-07-20,25.1,80.33509213,0,-2,-2,125,-17,-24,1,25,11,7
2020-07-21,25.45,83.1053798,3,-3,-6,144,-18,-24,1,34,13,9
2020-07-22,26.45,85.2826475,3,,,,,,,34,15,8
2020-07-23,25.6,90.90522207,0,,,,,,,38,15,8
