date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,10,76.43184793,0,-18,27,28,-32,-22,9,117,46,22,21
2020-02-25,10,81.80288937,0,-22,3,8,-37,-23,11,109,54,17,23
2020-02-26,7.933333333,31.17467698,0,-23,-7,-5,-40,-23,11,139,10,35,17
2020-02-27,6.5,30.72411757,0,-19,-7,7,-39,-23,10,30,5,34,15
2020-02-28,8.6,25.75446207,0,-16,-6,32,-37,-24,10,13,5,38,17
2020-02-29,7.5,43.28793802,0,-24,-5,-12,-34,-20,8,17,15,28,27
2020-03-01,5.95,93.38541803,2,-33,-9,-38,-40,-14,7,42,,,
2020-03-02,6.75,93.43425776,1,-26,-18,-53,-44,-20,11,,,,
2020-03-03,6.5,88.42018855,1,-13,-1,16,-35,-19,9,,3,34,18
2020-03-04,7.25,68.31648018,1,-14,-1,46,-34,-19,8,,8,34,23
2020-03-05,5.2,84.14599196,3,-22,-6,-31,-42,-21,11,21,18,24,21
2020-03-06,4.883333333,91.72984722,3,-20,-2,1,-40,-22,11,59,14,23,22
2020-03-07,7,62.21283789,24,-25,-1,54,-31,-19,7,55,5,38,19
2020-03-08,7,51.98880847,18,-48,-1,16,-42,-19,8,17,8,40,15
2020-03-09,7.533333333,74.62494603,13,-42,-9,-35,-57,-31,16,34,8,40,15
2020-03-10,9,58.61155872,23,-50,-8,-25,-61,-38,20,59,19,31,27
2020-03-11,11,65.63898611,24,-57,-13,-23,-65,-43,22,21,6,35,20
2020-03-12,12.03333333,79.25584124,86,-74,-26,-62,-74,-52,28,46,15,34,21
2020-03-13,13,82.04792647,38,-78,-27,-57,-76,-58,31,85,34,24,19
2020-03-14,10.25,85.99996241,50,-86,-46,-80,-80,-63,26,76,29,35,17
2020-03-15,6.75,83.3817945,57,-91,-58,-78,-83,-57,22,59,15,26,10
2020-03-16,8,72.42090054,42,-78,-35,-62,-79,-63,30,53,14,24,9
2020-03-17,9.25,75.03419041,54,-80,-39,-59,-80,-65,32,50,15,33,13
2020-03-18,10.75,70.25572826,26,-82,-42,-67,-81,-66,33,72,24,38,15
2020-03-19,12.5,63.7523397,64,-82,-43,-72,-82,-67,34,63,20,43,16
2020-03-20,13,71.87913085,146,-82,-40,-76,-82,-68,36,57,20,46,17
2020-03-21,12.5,74.14053877,142,-88,-55,-84,-83,-67,27,72,26,43,17
2020-03-22,10.73333333,62.31330818,54,-95,-80,-92,-89,-65,24,61,20,43,10
2020-03-23,5,49.1316801,62,-84,-47,-82,-86,-74,35,78,29,28,6
2020-03-24,5.833333333,45.50444029,81,-84,-48,-78,-85,-74,36,34,16,28,9
2020-03-25,4.216666667,63.22849282,61,-86,-50,-82,-86,-75,37,46,17,35,12
2020-03-26,5,68.66131433,83,-86,-51,-83,-86,-77,39,55,17,30,10
2020-03-27,9.5,61.59193531,51,-86,-47,-82,-86,-77,40,63,21,28,11
2020-03-28,11.5,62.48783511,106,-89,-59,-85,-85,-70,28,72,29,32,11
2020-03-29,13.01666667,58.51124637,65,-95,-81,-91,-89,-65,24,65,55,38,10
2020-03-30,10.48333333,71.8491287,56,-85,-48,-82,-85,-75,36,59,55,39,12
2020-03-31,4,75.36375497,33,-92,-42,-78,-84,-76,37,17,10,32,10
