date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,117,39,28,13
2020-02-25,11,81.63078781,125,-22,3,8,-37,-23,11,97,59,21,35
2020-02-26,8.733333333,32.60943922,3,-23,-7,-5,-40,-23,11,152,28,33,22
2020-02-27,8,39.40478956,31,-19,-7,7,-39,-23,10,74,13,31,42
2020-02-28,9.25,23.66866369,23,-16,-6,32,-37,-24,10,25,12,36,44
2020-02-29,7,48.65854746,55,-24,-5,-12,-34,-20,8,38,30,23,33
2020-03-01,6.5,93.38541803,107,-33,-9,-38,-40,-14,7,80,,,
2020-03-02,5.066666667,96.65496492,40,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.45,84.34583157,98,-13,-1,16,-35,-19,9,,20,15,20
2020-03-04,7.9,69.11199863,77,-14,-1,46,-34,-19,8,63,20,29,20
2020-03-05,6.1,81.79419869,99,-22,-6,-31,-42,-21,11,63,21,24,17
2020-03-06,6.116666667,85.70701063,81,-20,-2,1,-40,-22,11,65,20,26,21
2020-03-07,8.1,75.48936082,72,-25,-1,54,-31,-19,7,70,25,33,20
2020-03-08,8.25,62.87723161,42,-48,-1,16,-42,-19,8,78,20,35,31
2020-03-09,8.5,69.83046449,75,-42,-9,-35,-57,-31,16,68,27,26,29
2020-03-10,10.1,61.1448308,35,-50,-8,-25,-61,-38,20,82,22,30,39
2020-03-11,11.75,69.23783211,72,-57,-13,-23,-65,-43,22,78,24,32,29
2020-03-12,13.06666667,81.52105541,88,-74,-26,-62,-74,-52,28,63,42,25,26
2020-03-13,14.73333333,76.30066992,10,-78,-27,-57,-76,-58,31,109,17,38,23
2020-03-14,11,81.86227923,143,-86,-46,-80,-80,-63,26,61,23,24,11
2020-03-15,8,80.363481,44,-91,-58,-78,-83,-57,22,72,16,32,14
2020-03-16,9,65.31887919,42,-78,-35,-62,-79,-63,30,65,25,35,18
2020-03-17,9.75,70.2241182,56,-80,-39,-59,-80,-65,32,76,40,38,23
2020-03-18,11.25,71.40724149,27,-82,-42,-67,-81,-66,33,102,54,43,30
2020-03-19,13,62.81819219,83,-82,-43,-72,-82,-67,34,132,48,43,27
2020-03-20,12,72.04736894,69,-82,-40,-76,-82,-68,36,124,51,34,27
2020-03-21,13.5,63.9712421,96,-88,-55,-84,-83,-67,27,124,35,42,22
2020-03-22,11,59.43852816,79,-95,-80,-92,-89,-65,24,87,23,33,6
2020-03-23,6,45.88956762,45,-84,-47,-82,-86,-74,35,70,13,31,11
2020-03-24,7.35,39.42287665,43,-84,-48,-78,-85,-74,36,42,22,33,22
2020-03-25,5.5,51.45694876,24,-86,-50,-82,-86,-75,37,72,16,32,9
2020-03-26,6,56.27587431,84,-86,-51,-83,-86,-77,39,55,18,25,14
2020-03-27,10.25,55.64588865,38,-86,-47,-82,-86,-77,40,55,34,28,20
2020-03-28,11.5,66.85855803,23,-89,-59,-85,-85,-70,28,78,64,37,17
2020-03-29,14.25,55.99152586,28,-95,-81,-91,-89,-65,24,95,69,40,17
2020-03-30,11.9,67.13145197,30,-85,-48,-82,-85,-75,36,89,31,37,9
2020-03-31,5.35,70.40178926,29,-92,-42,-78,-84,-76,37,59,12,29,11
2020-04-01,6.75,52.23572694,41,-92,-40,-78,-84,-75,37,46,20,35,17
2020-04-02,8.5,53.62287289,32,-92,-40,-78,-84,-75,38,65,30,39,22
2020-04-03,9.75,56.01004758,25,-88,-39,-78,-84,-74,39,85,39,43,23
2020-04-04,11.25,55.43132713,24,-91,-53,-84,-84,-68,28,99,42,47,22
2020-04-05,12.25,50.10713157,17,-96,-77,-90,-88,-64,24,107,32,45,15
2020-04-06,14,49.53268323,23,-86,-39,-77,-83,-71,34,87,31,50,29
2020-04-07,15.5,38.05723642,43,-85,-39,-75,-83,-72,35,78,40,51,32
2020-04-08,15.25,44.64607734,26,-85,-37,-77,-83,-71,35,85,30,46,23
2020-04-09,15.25,44.92092005,29,-84,-33,-77,-83,-71,35,72,32,51,29
2020-04-10,15.75,45.0057114,43,-84,-29,-77,-82,-73,38,74,33,54,31
2020-04-11,18,28.47416786,53,-89,-47,-83,-82,-67,27,78,21,50,22
2020-04-12,17.5,25.16487785,71,-97,-95,-91,-90,-68,25,59,6,44,17
2020-04-13,17.75,33.83298015,16,-96,-84,-85,-92,-92,43,17,19,49,16
2020-04-14,14,62.52900827,10,-83,-40,-74,-82,-68,34,57,19,43,15
2020-04-15,11.25,50.61561463,18,-83,-38,-75,-82,-67,34,38,20,39,8
2020-04-16,13.86666667,42.00175677,39,-82,-38,-75,-82,-67,34,38,30,45,23
2020-04-17,16.75,40.45157761,52,-83,-36,-75,-82,-67,36,63,16,45,31
2020-04-18,17,61.55264587,36,-88,-55,-82,-81,-63,27,30,20,43,17
2020-04-19,17.25,71.21764813,10,-95,-79,-89,-87,-60,23,53,20,49,11
2020-04-20,14.25,90.46800113,16,-82,-52,-81,-83,-65,32,55,16,35,15
2020-04-21,11.86666667,84.95477784,11,-82,-49,-75,-82,-65,33,55,21,30,17
2020-04-22,15.5,51.64936443,36,-82,-46,-72,-80,-63,32,57,21,46,17
