date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,7.5,90.40716983,0,-18,27,28,-32,-22,9,124,50,31,16
2020-02-25,9,93.48238181,0,-22,3,8,-37,-23,11,107,61,17,30
2020-02-26,9.5,40.56793437,0,-23,-7,-5,-40,-23,11,129,37,31,19
2020-02-27,8,34.4411764,0,-19,-7,7,-39,-23,10,70,10,30,18
2020-02-28,7.55,37.12415487,0,-16,-6,32,-37,-24,10,17,16,34,36
2020-02-29,8.25,48.33763576,1,-24,-5,-12,-34,-20,8,34,28,23,24
2020-03-01,7,95.94703387,3,-33,-9,-38,-40,-14,7,59,,,
2020-03-02,8.683333333,84.58486234,1,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.516666667,90.39892486,10,-13,-1,16,-35,-19,9,,10,17,19
2020-03-04,7.183333333,77.87658084,7,-14,-1,46,-34,-19,8,21,14,25,18
2020-03-05,6.25,86.97226526,4,-22,-6,-31,-42,-21,11,42,16,29,19
2020-03-06,6.533333333,89.45587325,6,-20,-2,1,-40,-22,11,42,18,27,26
2020-03-07,7.983333333,75.13200508,14,-25,-1,54,-31,-19,7,55,33,30,16
2020-03-08,7.5,61.52291669,10,-48,-1,16,-42,-19,8,78,9,37,34
2020-03-09,8.25,73.85731645,46,-42,-9,-35,-57,-31,16,21,27,28,24
2020-03-10,7.933333333,78.20003096,17,-50,-8,-25,-61,-38,20,65,29,26,28
2020-03-11,10.85,69.25567575,18,-57,-13,-23,-65,-43,22,68,34,35,20
2020-03-12,12.5,82.16759276,32,-74,-26,-62,-74,-52,28,80,53,33,19
2020-03-13,13,79.5965107,18,-78,-27,-57,-76,-58,31,119,36,28,13
2020-03-14,11.25,63.53071447,74,-86,-46,-80,-80,-63,26,82,20,26,7
2020-03-15,8.75,61.75208754,78,-91,-58,-78,-83,-57,22,55,12,35,9
2020-03-16,9.5,58.28445108,43,-78,-35,-62,-79,-63,30,30,20,34,31
2020-03-17,9,68.7698612,83,-80,-39,-59,-80,-65,32,55,37,10,25
2020-03-18,11.56666667,65.62814647,49,-82,-42,-67,-81,-66,33,87,51,,34
2020-03-19,12.25,61.54040428,122,-82,-43,-72,-82,-67,34,112,44,41,19
2020-03-20,13.15,68.96572025,87,-82,-40,-76,-82,-68,36,97,42,42,17
2020-03-21,9.95,93.48238181,119,-88,-55,-84,-83,-67,27,95,46,43,12
2020-03-22,10.61666667,52.78910786,63,-95,-80,-92,-89,-65,24,104,20,29,5
2020-03-23,5.216666667,38.38741538,80,-84,-47,-82,-86,-74,35,63,10,34,11
2020-03-24,6.5,44.80389443,108,-84,-48,-78,-85,-74,36,17,16,34,20
2020-03-25,5.316666667,41.91050759,83,-86,-50,-82,-86,-75,37,46,16,32,11
2020-03-26,5.033333333,64.84195561,74,-86,-51,-83,-86,-77,39,30,12,24,12
2020-03-27,10,66.98842941,148,-86,-47,-82,-86,-77,40,38,46,25,13
2020-03-28,11.25,62.57573711,86,-89,-59,-85,-85,-70,28,72,67,37,15
2020-03-29,14,54.89317287,66,-95,-81,-91,-89,-65,24,82,74,39,15
2020-03-30,12.98333333,57.32541061,67,-85,-48,-82,-85,-75,36,72,46,34,8
2020-03-31,5,70.40306007,71,-92,-42,-78,-84,-76,37,57,10,35,7
2020-04-01,5,61.34278676,48,-92,-40,-78,-84,-75,37,25,14,35,13
2020-04-02,7,55.24306987,46,-92,-40,-78,-84,-75,38,38,21,43,29
2020-04-03,8.75,54.62591041,102,-88,-39,-78,-84,-74,39,61,29,49,24
2020-04-04,11.25,53.34186038,97,-91,-53,-84,-84,-68,28,76,36,48,18
2020-04-05,13,40.69580184,63,-96,-77,-90,-88,-64,24,89,21,39,12
2020-04-06,14.86666667,42.11587996,40,-86,-39,-77,-83,-71,34,57,27,46,21
2020-04-07,14.5,30.81244501,58,-85,-39,-75,-83,-72,35,65,41,38,19
2020-04-08,13.75,33.2687179,74,-85,-37,-77,-83,-71,35,89,7,37,8
2020-04-09,14,36.51240604,61,-84,-33,-77,-83,-71,35,21,8,38,10
2020-04-10,15.75,40.64016112,78,-84,-29,-77,-82,-73,38,,24,52,19
2020-04-11,15.75,40.65357746,56,-89,-47,-83,-82,-67,27,59,25,59,14
