date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,95,40,28,22
2020-02-25,11,81.63078781,8,-22,3,8,-37,-23,11,91,55,20,32
2020-02-26,8.733333333,32.60943922,0,-23,-7,-5,-40,-23,11,119,39,32,26
2020-02-27,8,39.40478956,7,-19,-7,7,-39,-23,10,87,11,27,31
2020-02-28,9.25,23.66866369,14,-16,-6,32,-37,-24,10,30,11,35,39
2020-02-29,7,48.65854746,1,-24,-5,-12,-34,-20,8,30,25,20,33
2020-03-01,6.5,93.38541803,16,-33,-9,-38,-40,-14,7,65,,,
2020-03-02,5.066666667,96.65496492,12,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.45,84.34583157,35,-13,-1,16,-35,-19,9,,19,15,28
2020-03-04,7.9,69.11199863,52,-14,-1,46,-34,-19,8,55,22,30,34
2020-03-05,6.1,81.79419869,52,-22,-6,-31,-42,-21,11,59,20,24,29
2020-03-06,6.116666667,85.70701063,70,-20,-2,1,-40,-22,11,59,22,22,32
2020-03-07,8.1,75.48936082,94,-25,-1,54,-31,-19,7,68,29,34,26
2020-03-08,8.25,62.87723161,45,-48,-1,16,-42,-19,8,76,18,35,37
2020-03-09,8.5,69.83046449,100,-42,-9,-35,-57,-31,16,55,25,32,34
2020-03-10,10.1,61.1448308,86,-50,-8,-25,-61,-38,20,72,24,30,27
2020-03-11,11.75,69.23783211,333,-57,-13,-23,-65,-43,22,65,20,34,34
2020-03-12,13.06666667,81.52105541,221,-74,-26,-62,-74,-52,28,50,29,26,30
2020-03-13,14.73333333,76.30066992,161,-78,-27,-57,-76,-58,31,70,14,33,19
2020-03-14,11,81.86227923,244,-86,-46,-80,-80,-63,26,38,22,26,14
2020-03-15,8,80.363481,199,-91,-58,-78,-83,-57,22,68,20,33,24
2020-03-16,9,65.31887919,233,-78,-35,-62,-79,-63,30,65,24,35,33
2020-03-17,9.75,70.2241182,343,-80,-39,-59,-80,-65,32,70,39,37,33
2020-03-18,11.25,71.40724149,318,-82,-42,-67,-81,-66,33,93,44,44,36
2020-03-19,13,62.81819219,634,-82,-43,-72,-82,-67,34,102,41,46,39
2020-03-20,12,72.04736894,526,-82,-40,-76,-82,-68,36,97,43,38,29
2020-03-21,13.5,63.9712421,868,-88,-55,-84,-83,-67,27,102,30,44,25
2020-03-22,11,59.43852816,424,-95,-80,-92,-89,-65,24,74,24,32,6
2020-03-23,6,45.88956762,230,-84,-47,-82,-86,-74,35,63,16,29,16
2020-03-24,7.35,39.42287665,375,-84,-48,-78,-85,-74,36,38,20,34,25
2020-03-25,5.5,51.45694876,373,-86,-50,-82,-86,-75,37,57,17,32,17
2020-03-26,6,56.27587431,848,-86,-51,-83,-86,-77,39,53,18,28,15
2020-03-27,10.25,55.64588865,547,-86,-47,-82,-86,-77,40,53,30,32,20
2020-03-28,11.5,66.85855803,314,-89,-59,-85,-85,-70,28,61,65,38,22
2020-03-29,14.25,55.99152586,546,-95,-81,-91,-89,-65,24,74,63,42,19
2020-03-30,11.9,67.13145197,347,-85,-48,-82,-85,-75,36,65,24,37,16
2020-03-31,5.35,70.40178926,235,-92,-42,-78,-84,-76,37,50,10,30,12
2020-04-01,6.75,52.23572694,611,-92,-40,-78,-84,-75,37,34,20,35,22
2020-04-02,8.5,53.62287289,482,-92,-40,-78,-84,-75,38,59,33,39,28
2020-04-03,9.75,56.01004758,387,-88,-39,-78,-84,-74,39,85,37,47,35
2020-04-04,11.25,55.43132713,428,-91,-53,-84,-84,-68,28,91,42,51,27
2020-04-05,12.25,50.10713157,411,-96,-77,-90,-88,-64,24,102,28,46,17
2020-04-06,14,49.53268323,308,-86,-39,-77,-83,-71,34,72,30,51,33
2020-04-07,15.5,38.05723642,249,-85,-39,-75,-83,-72,35,72,35,54,29
2020-04-08,15.25,44.64607734,252,-85,-37,-77,-83,-71,35,80,30,52,29
2020-04-09,15.25,44.92092005,440,-84,-33,-77,-83,-71,35,72,27,55,29
2020-04-10,15.75,45.0057114,269,-84,-29,-77,-82,-73,38,65,27,56,31
2020-04-11,18,28.47416786,520,-89,-47,-83,-82,-67,27,63,22,56,28
2020-04-12,17.5,25.16487785,412,-97,-95,-91,-90,-68,25,59,11,43,14
2020-04-13,17.75,33.83298015,481,-96,-84,-85,-92,-92,43,38,17,49,10
2020-04-14,14,62.52900827,189,-83,-40,-74,-82,-68,34,53,19,41,9
2020-04-15,11.25,50.61561463,325,-83,-38,-75,-82,-67,34,38,17,41,9
