date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,9,85.3416359,0,-7,33,25,-18,-13,6,144,56,27,26
2020-02-25,11,80.80867172,3,-11,1,24,-23,-15,7,134,53,23,35
2020-02-26,8.8,44.02504106,5,-18,-9,-16,-31,-15,8,102,25,28,27
2020-02-27,9.75,36.88205871,10,-12,-6,3,-29,-15,7,50,9,28,35
2020-02-28,8.483333333,32.36243616,0,-11,-5,12,-28,-15,7,13,19,28,39
2020-02-29,10,47.00131561,4,-13,1,4,-23,-16,5,50,34,20,30
2020-03-01,7,87.24885993,2,-26,-5,-39,-38,-8,6,87,26,16,22
2020-03-02,10.75,79.36274706,5,-14,-6,-25,-31,-10,6,74,16,20,25
2020-03-03,7.683333333,87.33952994,4,-12,-6,-20,-31,-13,7,38,10,13,28
2020-03-04,7,77.30822528,8,-13,-4,-6,-30,-13,7,21,18,21,27
2020-03-05,8.933333333,75.57401634,4,-16,-5,-13,-32,-14,8,46,24,17,28
2020-03-06,7.866666667,85.81517664,28,-17,-1,-9,-34,-15,8,57,21,23,27
2020-03-07,8.75,83.65214527,9,-22,5,-8,-31,-18,8,57,31,24,33
2020-03-08,7.25,65.19305164,15,-37,7,26,-33,-13,7,76,20,32,33
2020-03-09,7.5,71.22473178,19,-34,-4,-21,-45,-20,12,57,30,21,25
2020-03-10,9.25,65.40249076,11,-44,-5,-23,-50,-27,16,78,30,21,38
2020-03-11,10.75,57.54596615,36,-50,-11,-20,-54,-32,18,72,23,28,30
2020-03-12,11,77.93388367,27,-68,-17,-51,-63,-40,23,61,50,30,25
2020-03-13,14,77.02542865,61,-73,-18,-61,-68,-46,27,109,43,29,31
2020-03-14,10.56666667,75.08548738,55,-84,-37,-78,-76,-57,26,91,28,22,6
2020-03-15,6.75,65.23282263,61,-90,-56,-72,-80,-53,22,68,15,31,11
2020-03-16,8,61.56766763,73,-73,-31,-60,-70,-50,26,42,23,33,37
2020-03-17,8.5,61.8142376,20,-76,-36,-62,-72,-55,29,70,32,35,38
2020-03-18,11.31666667,64.39453085,115,-77,-38,-67,-73,-56,30,78,41,39,40
2020-03-19,12.5,65.9774219,88,-78,-39,-73,-75,-57,31,95,30,39,32
2020-03-20,14.01666667,71.87771428,104,-79,-33,-77,-76,-58,33,76,41,33,27
2020-03-21,11.75,68.83221867,139,-86,-46,-86,-80,-62,28,93,26,39,14
2020-03-22,11,70.20968866,104,-96,-94,-91,-88,-64,24,61,18,30,3
2020-03-23,5.8,40.3589917,145,-79,-39,-78,-78,-64,32,46,13,32,29
2020-03-24,6.5,45.53286423,199,-80,-43,-79,-77,-66,34,38,15,32,20
2020-03-25,5.766666667,52.02619741,179,-83,-46,-82,-80,-68,35,50,17,29,11
2020-03-26,3.016666667,93.2727555,143,-85,-51,-85,-82,-71,37,55,12,26,15
2020-03-27,8,80.97841876,96,-83,-40,-83,-81,-70,38,46,30,17,14
2020-03-28,10.75,67.92097644,150,-88,-50,-86,-82,-66,29,63,68,37,14
2020-03-29,12,63.49889559,172,-96,-94,-88,-88,-65,24,76,55,41,10
2020-03-30,8.85,78.98613692,43,-81,-42,-77,-78,-67,33,61,52,37,17
2020-03-31,5.916666667,57.42525791,85,-90,-37,-77,-76,-69,35,55,11,37,10
2020-04-01,4.5,54.59598639,75,-90,-35,-75,-76,-68,35,25,17,39,17
2020-04-02,7.25,52.08572697,119,-90,-35,-75,-76,-68,35,55,19,44,22
2020-04-03,9,56.67409102,82,-85,-29,-78,-78,-67,36,63,24,48,24
2020-04-04,9,58.6709031,53,-90,-42,-85,-81,-64,28,72,26,49,20
2020-04-05,10.75,52.41602651,58,-96,-93,-88,-87,-63,24,72,22,43,21
2020-04-06,12.25,50.80927555,82,-82,-32,-74,-76,-63,31,61,29,48,22
2020-04-07,15.43333333,43.2351757,67,-81,-33,-73,-75,-64,33,74,27,47,22
2020-04-08,15.16666667,32.537801,53,-81,-31,-74,-75,-64,33,72,19,45,22
2020-04-09,12.46666667,39.93555679,56,-81,-28,-74,-75,-64,33,53,18,48,19
2020-04-10,15.75,41.13642217,63,-80,-20,-77,-76,-65,35,57,19,55,18
2020-04-11,16.25,40.66948724,81,-87,-38,-84,-79,-63,27,57,19,57,10
2020-04-12,19,24.19173651,76,-96,-95,-89,-89,-66,24,57,15,50,6
2020-04-13,17.5,35.88858957,45,-96,-96,-84,-90,-91,43,42,15,48,8
2020-04-14,14.1,57.58684016,48,-80,-33,-74,-74,-61,31,42,20,43,15
2020-04-15,9.5,59.85396159,37,-80,-31,-73,-73,-60,31,42,17,41,17
2020-04-16,12.25,60.97913021,45,-78,-33,-73,-74,-59,32,38,21,43,29
2020-04-17,15.5,51.40237926,39,-78,-29,-75,-75,-59,33,53,25,48,15
2020-04-18,17.25,61.49832455,39,-85,-43,-83,-78,-58,27,59,21,46,14
2020-04-19,17.25,69.92822326,50,-94,-84,-87,-86,-57,23,38,29,43,8
2020-04-20,14,93.75694062,21,-78,-46,-79,-77,-57,29,38,19,27,5
2020-04-21,12,89.84925057,38,-78,-41,-76,-74,-58,31,17,23,28,15
2020-04-22,13.5,60.03071488,23,-77,-39,-72,-73,-56,30,21,20,44,16
2020-04-23,13.5,56.91921164,18,-77,-37,-70,-72,-57,30,50,20,49,15
2020-04-24,17.13333333,46.91026696,29,-75,-23,-71,-72,-57,31,59,15,51,13
2020-04-25,19,39.4419032,19,-95,-94,-84,-85,-75,30,55,9,48,7
2020-04-26,17.5,51.310992,24,-91,-57,-83,-83,-51,22,38,14,47,7
2020-04-27,19.25,55.01207523,16,-71,-31,-66,-69,-52,26,34,12,41,16
2020-04-28,16.775,72.94943625,31,-75,-36,-70,-71,-54,27,34,14,28,17
2020-04-29,16.5,69.17022116,21,-74,-33,-67,-70,-53,28,21,11,33,12
2020-04-30,19.01666667,50.77712596,27,-71,-21,-67,-69,-53,27,13,10,35,15
2020-05-01,18.5,59.89391782,21,-94,-94,-79,-87,-88,45,13,10,35,7
2020-05-02,19.83333333,58.41561179,26,-79,-32,-76,-73,-53,25,13,8,38,7
2020-05-03,15.7,65.50220903,33,-90,-66,-80,-81,-46,22,17,11,41,5
2020-05-04,17.25,52.08572406,10,-57,-25,-13,-53,-40,18,38,11,47,14
2020-05-05,20,53.86225061,11,-60,-26,-19,-54,-42,20,30,15,37,16
2020-05-06,16.28333333,72.97985478,8,-61,-26,-31,-56,-42,21,42,20,38,17
2020-05-07,17,52.02783723,6,-59,-27,-13,-54,-41,20,50,14,50,16
