date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,117,53,30,40
2020-02-25,11,81.63078781,3,-22,3,8,-37,-23,11,124,54,23,47
2020-02-26,8.733333333,32.60943922,1,-23,-7,-5,-40,-23,11,112,33,37,39
2020-02-27,8,39.40478956,1,-19,-7,7,-39,-23,10,95,7,31,47
2020-02-28,9.25,23.66866369,1,-16,-6,32,-37,-24,10,30,13,40,51
2020-02-29,7,48.65854746,0,-24,-5,-12,-34,-20,8,55,28,26,41
2020-03-01,6.5,93.38541803,0,-33,-9,-38,-40,-14,7,78,,,
2020-03-02,5.066666667,96.65496492,2,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.45,84.34583157,1,-13,-1,16,-35,-19,9,,20,19,39
2020-03-04,7.9,69.11199863,2,-14,-1,46,-34,-19,8,70,24,33,44
2020-03-05,6.1,81.79419869,8,-22,-6,-31,-42,-21,11,72,22,25,36
2020-03-06,6.116666667,85.70701063,1,-20,-2,1,-40,-22,11,65,27,28,43
2020-03-07,8.1,75.48936082,41,-25,-1,54,-31,-19,7,85,29,41,38
2020-03-08,8.25,62.87723161,0,-48,-1,16,-42,-19,8,80,13,39,40
2020-03-09,8.5,69.83046449,5,-42,-9,-35,-57,-31,16,63,28,34,38
2020-03-10,10.1,61.1448308,1,-50,-8,-25,-61,-38,20,85,31,30,45
2020-03-11,11.75,69.23783211,20,-57,-13,-23,-65,-43,22,89,25,35,39
2020-03-12,13.06666667,81.52105541,45,-74,-26,-62,-74,-52,28,72,,21,32
2020-03-13,14.73333333,76.30066992,13,-78,-27,-57,-76,-58,31,,,35,34
2020-03-14,11,81.86227923,81,-86,-46,-80,-80,-63,26,,26,30,25
2020-03-15,8,80.363481,103,-91,-58,-78,-83,-57,22,72,20,33,24
2020-03-16,9,65.31887919,19,-78,-35,-62,-79,-63,30,85,21,35,32
2020-03-17,9.75,70.2241182,30,-80,-39,-59,-80,-65,32,70,37,37,35
2020-03-18,11.25,71.40724149,25,-82,-42,-67,-81,-66,33,97,43,45,36
2020-03-19,13,62.81819219,94,-82,-43,-72,-82,-67,34,107,38,47,35
2020-03-20,12,72.04736894,321,-82,-40,-76,-82,-68,36,89,44,44,35
2020-03-21,13.5,63.9712421,268,-88,-55,-84,-83,-67,27,99,26,50,23
2020-03-22,11,59.43852816,24,-95,-80,-92,-89,-65,24,70,25,34,13
2020-03-23,6,45.88956762,22,-84,-47,-82,-86,-74,35,70,17,33,20
2020-03-24,7.35,39.42287665,324,-84,-48,-78,-85,-74,36,42,22,38,27
2020-03-25,5.5,51.45694876,133,-86,-50,-82,-86,-75,37,59,20,37,27
2020-03-26,6,56.27587431,163,-86,-51,-83,-86,-77,39,59,20,30,23
2020-03-27,10.25,55.64588865,198,-86,-47,-82,-86,-77,40,63,33,35,27
2020-03-28,11.5,66.85855803,138,-89,-59,-85,-85,-70,28,72,67,43,32
2020-03-29,14.25,55.99152586,179,-95,-81,-91,-89,-65,24,82,63,46,20
2020-03-30,11.9,67.13145197,97,-85,-48,-82,-85,-75,36,74,25,39,21
2020-03-31,5.35,70.40178926,100,-92,-42,-78,-84,-76,37,57,13,32,23
2020-04-01,6.75,52.23572694,81,-92,-40,-78,-84,-75,37,42,20,38,28
2020-04-02,8.5,53.62287289,90,-92,-40,-78,-84,-75,38,63,30,39,38
2020-04-03,9.75,56.01004758,141,-88,-39,-78,-84,-74,39,93,39,48,36
2020-04-04,11.25,55.43132713,161,-91,-53,-84,-84,-68,28,102,40,55,35
2020-04-05,12.25,50.10713157,111,-96,-77,-90,-88,-64,24,102,27,48,25
2020-04-06,14,49.53268323,111,-86,-39,-77,-83,-71,34,80,27,55,32
2020-04-07,15.5,38.05723642,49,-85,-39,-75,-83,-72,35,74,33,58,39
2020-04-08,15.25,44.64607734,58,-85,-37,-77,-83,-71,35,91,30,55,35
2020-04-09,15.25,44.92092005,91,-84,-33,-77,-83,-71,35,76,25,60,36
2020-04-10,15.75,45.0057114,69,-84,-29,-77,-82,-73,38,80,30,59,39
2020-04-11,18,28.47416786,151,-89,-47,-83,-82,-67,27,74,21,65,28
2020-04-12,17.5,25.16487785,64,-97,-95,-91,-90,-68,25,63,13,49,20
2020-04-13,17.75,33.83298015,81,-96,-84,-85,-92,-92,43,46,16,55,17
2020-04-14,14,62.52900827,101,-83,-40,-74,-82,-68,34,61,27,45,26
2020-04-15,11.25,50.61561463,57,-83,-38,-75,-82,-67,34,89,14,41,21
2020-04-16,13.86666667,42.00175677,54,-82,-38,-75,-82,-67,34,30,28,39,32
2020-04-17,16.75,40.45157761,43,-83,-36,-75,-82,-67,36,63,27,48,23
2020-04-18,17,61.55264587,67,-88,-55,-82,-81,-63,27,80,25,50,22
2020-04-19,17.25,71.21764813,56,-95,-79,-89,-87,-60,23,53,18,45,16
2020-04-20,14.25,90.46800113,59,-82,-52,-81,-83,-65,32,42,18,27,16
2020-04-21,11.86666667,84.95477784,54,-82,-49,-75,-82,-65,33,61,21,28,21
2020-04-22,15.5,51.64936443,42,-82,-46,-72,-80,-63,32,63,19,51,20
2020-04-23,16.25,51.2113805,64,-81,-45,-73,-80,-64,33,70,25,57,29
2020-04-24,18,48.12842506,55,-81,-39,-73,-80,-64,34,70,33,66,38
2020-04-25,18.25,52.22133613,45,-92,-69,-82,-84,-71,28,80,16,51,13
2020-04-26,18.25,54.3892351,60,-94,-74,-86,-85,-57,23,46,11,48,12
2020-04-27,17.05,59.38372909,39,-78,-42,-72,-79,-61,30,30,11,38,18
2020-04-28,17,68.60397117,121,-80,-46,-71,-80,-62,30,30,14,32,15
2020-04-29,17.25,69.98225109,37,-80,-42,-70,-79,-61,31,34,9,39,13
2020-04-30,16,80.9410952,30,-77,-34,-75,-79,-61,31,34,12,36,15
2020-05-01,15.75,81.41829003,25,-93,-83,-79,-89,-89,45,46,11,34,10
2020-05-02,20.71666667,36.71589039,16,-83,-45,-76,-77,-58,25,38,10,39,11
2020-05-03,19.25,46.02315642,78,-92,-66,-82,-82,-50,22,25,9,46,9
2020-05-04,19.2,39.78114796,27,-64,-31,-20,-65,-49,21,30,12,50,21
2020-05-05,18,59.60442732,31,-65,-31,-17,-66,-49,23,34,14,43,27
2020-05-06,18.5,64.80238387,12,-66,-32,-24,-66,-48,23,42,21,44,19
2020-05-07,18.5,49.97890364,81,-64,-31,-15,-65,-48,23,65,20,62,22
2020-05-08,20.81666667,34.51952786,41,-65,-28,-20,-65,-48,24,53,22,66,22
2020-05-09,21.25,38.2157742,31,-67,-35,-15,-57,-43,17,50,13,59,14
2020-05-10,19.25,65.2680062,9,-76,-56,-39,-64,-29,14,30,18,55,15
2020-05-11,15.5,93.12776936,19,-68,-42,-66,-72,-47,23,53,15,33,12
2020-05-12,18.3,74.32784377,38,-61,-28,-21,-64,-46,22,46,10,37,15
2020-05-13,15,87.91931223,29,-67,-34,-57,-69,-46,23,34,17,21,20
2020-05-14,19,78.99124773,41,-61,-27,-18,-63,-45,21,38,30,39,17
2020-05-15,17.5,74.03873511,37,-64,-29,-41,-66,-46,24,70,9,41,16
2020-05-16,18.66666667,72.74036881,46,-65,-34,-30,-58,-37,17,21,19,38,10
2020-05-17,19.5,79.14852859,22,-70,-51,-17,-58,-22,13,53,15,36,13
2020-05-18,22.5,64.72240135,9,-42,-24,9,-56,-40,17,25,21,47,13
2020-05-19,18.93333333,82.84858179,42,-46,-23,-23,-59,-41,19,42,18,35,21
2020-05-20,21.75,64.8734713,50,-41,-19,25,-53,-39,17,25,20,53,16
2020-05-21,22,56.78789555,8,-40,-18,19,-54,-41,17,55,19,59,15
2020-05-22,22.75,56.95858828,13,-41,-17,17,-54,-39,18,50,30,58,16
2020-05-23,21.3,61.76121591,12,-43,-23,15,-43,-26,11,61,20,59,13
2020-05-24,20.5,67.84100518,18,-43,-34,34,-40,-9,7,30,11,45,16
2020-05-25,21.25,52.80863768,21,-37,-22,24,-54,-39,15,34,,48,17
2020-05-26,20.25,50.02675777,0,-36,-18,35,-52,-37,15,,,,
2020-05-27,20.5,47.10985868,6,-36,-16,33,-51,-37,15,,,51,17
2020-05-28,20.75,44.96880286,14,-36,-16,25,-52,-37,15,,12,67,24
2020-05-29,17.76666667,56.38231759,30,-36,-14,22,-51,-37,16,38,9,48,13
2020-05-30,20,54.58090478,4,-35,-18,39,-35,-21,8,42,16,58,17
2020-05-31,17.75,68.17213713,4,-37,-28,38,-37,-1,6,55,6,49,12
2020-06-01,21.5,55.49725386,3,-16,1,109,-44,-53,14,25,20,59,22
2020-06-02,20.81666667,56.72303183,7,-35,-36,184,-54,-77,22,53,19,55,17
2020-06-03,20.75,65.50775311,28,-37,-15,1,-49,-35,14,61,14,49,21
2020-06-04,16.68333333,93.85397637,3,-42,-21,-57,-58,-38,17,50,8,26,22
2020-06-05,20,68.93802802,8,-28,-12,38,-46,-35,12,34,8,41,20
2020-06-06,21.25,65.44898937,4,-30,-19,40,-35,-19,6,30,15,46,17
2020-06-07,18.93333333,82.61616726,2,-46,-33,-62,-58,-8,9,30,10,25,11
2020-06-08,16,89.36448732,10,-32,-22,-23,-53,-35,13,25,9,28,20
2020-06-09,18.5,75.3773942,8,-27,-16,14,-48,-34,12,34,10,36,18
2020-06-10,17.75,76.42746093,2,-29,-15,-6,-49,-33,13,25,12,30,20
2020-06-11,17.5,84.25612319,10,-25,-13,-3,-49,-34,13,34,10,37,18
2020-06-12,20.25,66.44009452,24,-24,-13,42,-44,-34,11,30,14,45,20
2020-06-13,18,87.09871733,13,-29,-20,38,-35,-16,5,46,11,43,20
2020-06-14,20.75,76.78440065,10,-27,-24,34,-34,5,2,42,12,44,13
2020-06-15,21.5,79.41978043,6,-25,-19,27,-46,-32,10,42,20,43,23
2020-06-16,21.25,78.1226741,7,-21,-13,39,-44,-31,11,55,10,43,19
2020-06-17,19.38333333,80.3973628,43,-24,-13,13,-46,-32,11,50,9,39,19
2020-06-18,21,67.61003709,6,-22,-15,33,-44,-32,10,30,10,41,25
2020-06-19,20.75,70.06181826,7,-22,-14,36,-43,-33,9,25,7,43,27
2020-06-20,22.33333333,63.0685552,8,-23,-18,80,-27,-13,1,17,12,63,22
2020-06-21,25.25,36.9996374,4,-27,-26,58,-28,6,-2,30,5,39,17
2020-06-22,26,48.48865582,5,-22,-17,51,-43,-33,8,5,10,63,27
