date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2
2020-02-24,13.98333333,74.46267926,0,-1,18,2,-5,-16,3,81,27,23
2020-02-25,13,79.5593672,0,-2,-2,17,-7,-20,5,46,25,18
2020-02-26,13.5,65.24225194,0,-10,-6,-14,-11,-11,4,46,29,11
2020-02-27,10.51666667,47.23936652,3,-6,-1,-4,-15,-16,5,37,17,14
2020-02-28,13.03333333,51.94931112,1,-6,-1,-9,-16,-16,5,31,23,12
2020-02-29,11.5,62.53819147,9,-3,2,12,-5,-10,2,37,20,21
2020-03-01,14.98333333,75.70219684,4,-11,-1,-16,-14,-2,2,37,33,17
2020-03-02,15,78.51524185,0,-8,0,-16,-10,-3,2,53,40,19
2020-03-03,12,65.78357246,13,-7,-1,-16,-11,-2,2,46,34,23
2020-03-04,11,75.10608046,0,-5,2,-9,-9,-1,1,39,25,23
2020-03-05,11.98333333,68.24249721,0,-6,4,-1,-17,-16,5,38,22,22
2020-03-06,13,74.2616698,0,-14,-1,-25,-27,-18,7,48,32,23
2020-03-07,10,76.41945418,0,-22,4,-29,-28,-14,7,41,21,21
2020-03-08,9.7,69.5189673,28,-29,0,-20,-29,-8,6,38,19,16
2020-03-09,10.51666667,62.38831158,10,-26,2,-23,-37,-25,10,47,29,24
2020-03-10,11.5,60.83930228,6,-44,-1,-43,-50,-34,15,59,28,17
2020-03-11,11.75,76.08651768,35,-55,-17,-49,-59,-42,18,57,39,26
2020-03-12,12.75,83.54811732,13,-70,-27,-65,-68,-51,23,79,36,23
2020-03-13,12,82.16759276,31,-75,-33,-71,-73,-57,26,66,39,25
2020-03-14,12.36666667,90.6002461,31,-83,-42,-81,-78,-59,24,69,33,15
2020-03-15,12.35,47.36511141,17,-91,-61,-88,-85,-61,22,67,21,5
2020-03-16,12,50.68498924,31,-77,-43,-76,-79,-62,27,49,22,14
2020-03-17,12,70.73086701,39,-78,-45,-76,-79,-65,28,51,25,12
2020-03-18,12.75,60.79167963,0,-79,-46,-77,-79,-65,28,60,31,19
2020-03-19,13.43333333,68.81781487,100,-80,-48,-79,-80,-66,30,74,36,26
2020-03-20,12.75,71.21202378,58,-81,-45,-81,-81,-67,31,80,40,19
2020-03-21,13.5,75.29283911,47,-84,-49,-85,-82,-64,26,98,37,19
2020-03-22,14.25,50.87748239,41,-94,-79,-92,-89,-68,24,85,35,9
2020-03-23,9.35,43.99220867,39,-82,-52,-84,-83,-70,30,89,27,3
2020-03-24,5.125,41.04347146,45,-82,-52,-82,-82,-71,30,47,12,4
2020-03-25,6,62.11892517,38,-84,-56,-84,-84,-72,31,38,12,5
2020-03-26,11,76.80527398,39,-85,-57,-86,-85,-73,33,32,10,6
2020-03-27,10,87.51706178,69,-82,-48,-84,-84,-71,33,21,15,14
2020-03-28,11.03333333,74.30452812,93,-85,-51,-86,-83,-66,27,42,11,10
2020-03-29,12.8,76.31406556,71,-94,-78,-91,-89,-67,23,35,19,10
2020-03-30,12.5,86.41323972,93,-82,-51,-81,-82,-69,30,63,39,10
2020-03-31,10.33333333,80.88205173,62,-92,-46,-79,-80,-70,30,69,43,10
2020-04-01,7.25,38.97547114,108,-92,-43,-79,-79,-70,30,64,8,2
2020-04-02,9.75,48.03061893,118,-92,-43,-79,-80,-70,31,27,16,6
2020-04-03,10.5,55.00682276,149,-85,-39,-80,-81,-69,32,47,32,7
2020-04-04,13.5,34.8188768,70,-89,-46,-84,-81,-65,26,68,15,2
2020-04-05,15.5,35.6677219,34,-95,-74,-90,-88,-66,24,47,18,2
2020-04-06,16.31666667,46.3154347,36,-84,-45,-79,-80,-68,29,56,24,8
2020-04-07,18.5,31.19950147,75,-82,-39,-77,-79,-68,29,59,26,10
2020-04-08,14.6,41.94603748,25,-82,-36,-77,-78,-68,29,68,27,11
2020-04-09,14.25,60.75728881,31,-81,-32,-77,-78,-68,29,71,36,20
2020-04-10,14,74.53649498,73,-81,-30,-78,-79,-69,31,85,37,23
2020-04-11,14.6,81.96767314,37,-86,-42,-82,-78,-64,26,86,34,14
2020-04-12,14.2,91.99790595,62,-97,-94,-92,-91,-71,25,86,28,9
2020-04-13,15,85.71497195,61,-96,-95,-89,-92,-90,37,68,25,8
2020-04-14,14.73333333,64.59811864,78,-84,-48,-79,-80,-68,29,70,26,10
2020-04-15,12,37.58716345,16,-83,-43,-78,-79,-66,29,63,22,3
2020-04-16,13.25,54.87718351,46,-82,-42,-78,-78,-66,29,37,15,10
2020-04-17,15.25,74.45094997,37,-81,-36,-77,-78,-65,30,34,25,15
2020-04-18,16,78.57351009,21,-86,-45,-83,-79,-60,25,50,23,10
2020-04-19,18,69.90078515,29,-94,-76,-89,-87,-61,23,49,27,10
2020-04-20,16,91.90078694,22,-82,-52,-81,-81,-64,28,45,26,10
2020-04-21,15.65,86.58421745,46,-80,-44,-77,-78,-64,28,48,23,13
2020-04-22,15,93.77870428,36,-83,-51,-82,-80,-65,29,43,14,12
2020-04-23,15.25,62.31441681,53,-80,-41,-78,-78,-63,28,34,11,4
