date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,14,93.80046794,0,-7,33,25,-18,-13,6,124,51,22,21
2020-02-25,11.5,100,4,-11,1,24,-23,-15,7,114,56,22,27
2020-02-26,11.5,54.88798155,4,-18,-9,-16,-31,-15,8,132,30,27,23
2020-02-27,11,66.36530522,2,-12,-6,3,-29,-15,7,68,,30,27
2020-02-28,11,46.65073802,17,-11,-5,12,-28,-15,7,,13,28,38
2020-02-29,9,87.42892162,8,-13,1,4,-23,-16,5,30,30,13,21
2020-03-01,6.5,100,24,-26,-5,-39,-38,-8,6,72,27,13,23
2020-03-02,8,100,2,-14,-6,-25,-31,-10,6,70,30,8,21
2020-03-03,8.25,100,23,-12,-6,-20,-31,-13,7,72,16,14,24
2020-03-04,9,100,31,-13,-4,-6,-30,-13,7,46,27,19,27
2020-03-05,8,100,35,-16,-5,-13,-32,-14,8,55,23,13,15
2020-03-06,8,100,31,-17,-1,-9,-34,-15,8,61,20,20,24
2020-03-07,11,100,48,-22,5,-8,-31,-18,8,59,25,23,17
2020-03-08,9.5,87.76515414,47,-37,7,26,-33,-13,7,70,17,29,28
2020-03-09,7,100,3,-34,-4,-21,-45,-20,12,53,20,23,18
2020-03-10,9.5,96.78827245,46,-44,-5,-23,-50,-27,16,57,17,22,36
2020-03-11,13,82.40221827,53,-50,-11,-20,-54,-32,18,53,22,26,26
2020-03-12,15,93.88572736,52,-68,-17,-51,-63,-40,23,57,47,29,26
2020-03-13,17,100,88,-73,-18,-61,-68,-46,27,104,36,26,18
2020-03-14,11,93.57654491,52,-84,-37,-78,-76,-57,26,82,24,19,4
2020-03-15,10.5,93.80198823,92,-90,-56,-72,-80,-53,22,63,15,29,14
2020-03-16,11,76.57390512,45,-73,-31,-60,-70,-50,26,50,18,32,29
2020-03-17,NA,NA,93,-76,-36,-62,-72,-55,29,59,26,33,41
2020-03-18,18,72.89837824,0,-77,-38,-67,-73,-56,30,72,36,39,48
2020-03-19,NA,NA,69,-78,-39,-73,-75,-57,31,89,34,39,39
2020-03-20,13.5,93.6677059,110,-79,-33,-77,-76,-58,33,85,39,28,30
2020-03-21,14.5,87.93932435,35,-86,-46,-86,-80,-62,28,93,30,34,16
2020-03-22,11,93.52980581,195,-96,-94,-91,-88,-64,24,76,16,26,3
2020-03-23,6,56.6018339,155,-79,-39,-78,-78,-64,32,53,10,30,23
2020-03-24,9,57.61039349,71,-80,-43,-79,-77,-66,34,38,9,31,19
2020-03-25,7,75.86230319,90,-83,-46,-82,-80,-68,35,30,20,28,6
2020-03-26,4,100,86,-85,-51,-85,-82,-71,37,50,18,24,6
2020-03-27,9,100,79,-83,-40,-83,-81,-70,38,46,40,17,15
2020-03-28,14.5,79.7422747,62,-88,-50,-86,-82,-66,29,68,71,32,16
2020-03-29,15,82.40221827,57,-96,-94,-88,-88,-65,24,82,60,36,14
2020-03-30,14,87.93987708,50,-81,-42,-77,-78,-67,33,65,45,30,16
2020-03-31,8,71.34785997,74,-90,-37,-77,-76,-69,35,57,10,30,22
2020-04-01,9.5,66.67596606,72,-90,-35,-75,-76,-68,35,25,19,33,22
2020-04-02,12,62.74935287,44,-90,-35,-75,-76,-68,35,57,21,39,23
2020-04-03,14,67.38033621,34,-85,-29,-78,-78,-67,36,63,27,42,26
2020-04-04,16,67.76965953,118,-90,-42,-85,-81,-64,28,76,30,45,22
2020-04-05,17,59.72161451,74,-96,-93,-88,-87,-63,24,78,20,40,16
2020-04-06,19,60.16332457,42,-82,-32,-74,-76,-63,31,61,27,45,27
2020-04-07,19,56.56040005,48,-81,-33,-73,-75,-64,33,68,27,41,29
2020-04-08,19.5,47.68880434,30,-81,-31,-74,-75,-64,33,70,20,41,24
2020-04-09,21,52.95332492,26,-81,-28,-74,-75,-64,33,55,20,42,27
2020-04-10,22,47.09956915,52,-80,-20,-77,-76,-65,35,57,21,49,22
2020-04-11,23,50.04460237,39,-87,-38,-84,-79,-63,27,59,20,52,9
2020-04-12,22,50.16674888,19,-96,-95,-89,-89,-66,24,57,12,43,3
2020-04-13,20,56.67466283,42,-96,-96,-84,-90,-91,43,38,17,47,4
2020-04-14,18.5,77.84989526,9,-80,-33,-74,-74,-61,31,55,17,44,14
2020-04-15,15,67.76965953,34,-80,-31,-73,-73,-60,31,46,15,36,19
2020-04-16,17.5,70.19237531,82,-78,-33,-73,-74,-59,32,38,20,38,21
2020-04-17,20,60.38066485,27,-78,-29,-75,-75,-59,33,53,20,43,38
2020-04-18,22,68.88455336,43,-85,-43,-83,-78,-58,27,55,22,42,15
2020-04-19,21,83.17707083,45,-94,-84,-87,-86,-57,23,55,24,40,4
2020-04-20,13,100,74,-78,-46,-79,-77,-57,29,57,15,22,3
2020-04-21,13,100,22,-78,-41,-76,-74,-58,31,42,20,21,16
2020-04-22,19,64.22351528,64,-77,-39,-72,-73,-56,30,42,20,38,29
2020-04-23,19.5,68.42912229,26,-77,-37,-70,-72,-57,30,53,21,43,26
2020-04-24,21,68.88455336,12,-75,-23,-71,-72,-57,31,61,20,46,24
2020-04-25,22,73.38896219,23,-95,-94,-84,-85,-75,30,59,12,44,7
2020-04-26,21,72.90617503,39,-91,-57,-83,-83,-51,22,42,13,40,14
2020-04-27,21,78.28183409,39,-71,-31,-66,-69,-52,26,42,11,32,19
2020-04-28,17,93.96867428,10,-75,-36,-70,-71,-54,27,34,10,30,17
2020-04-29,19,100,22,-74,-33,-67,-70,-53,28,25,8,29,9
2020-04-30,19,88.25807815,13,-71,-21,-67,-69,-53,27,21,10,30,17
2020-05-01,20,78.01458531,20,-94,-94,-79,-87,-88,45,25,9,30,7
2020-05-02,22.5,80.72945246,22,-79,-32,-76,-73,-53,25,25,8,34,3
2020-05-03,21,83.07056866,5,-90,-66,-80,-81,-46,22,25,10,35,3
2020-05-04,22.5,64.62284853,23,-57,-25,-13,-53,-40,18,30,,42,34
2020-05-05,22,83.28224539,3,-60,-26,-19,-54,-42,20,,10,33,21
2020-05-06,20,88.51962147,14,-61,-26,-31,-56,-42,21,25,15,33,15
2020-05-07,22,60.80849361,16,-59,-27,-13,-54,-41,20,34,15,45,20
2020-05-08,25,65.39896497,6,-60,-20,-24,-57,-41,21,38,16,50,15
2020-05-09,25,54.12912131,19,-63,-25,-25,-53,-41,16,42,11,49,15
2020-05-10,23,78.28183409,13,-73,-53,-22,-58,-28,13,25,16,43,6
2020-05-11,20,88.41097223,17,-56,-28,-34,-57,-37,18,42,9,35,11
2020-05-12,21.5,85.77825319,2,-55,-23,-13,-53,-38,19,21,10,30,13
2020-05-13,16,100,0,-57,-24,-23,-54,-38,19,30,18,22,10
2020-05-14,23,91.30467117,29,-56,-24,-21,-54,-38,18,34,29,32,12
2020-05-15,20,94.00930975,7,-56,-19,-22,-55,-38,19,61,12,33,7
2020-05-16,19,100,26,-61,-23,-38,-54,-36,16,21,19,30,12
2020-05-17,23.5,85.98732359,0,-67,-45,-1,-54,-20,12,38,20,35,13
2020-05-18,24,83.38611694,13,-36,-19,1,-46,-31,13,57,22,36,21
2020-05-19,20,100,10,-41,-18,-21,-49,-33,16,53,25,27,15
2020-05-20,24,83.58784927,10,-38,-16,-7,-47,-33,15,57,14,41,17
2020-05-21,25,65.20834884,23,-35,-16,23,-43,-33,14,42,16,42,22
2020-05-22,26.5,74.15679677,9,-36,-11,15,-45,-32,14,46,19,50,24
2020-05-23,26,69.58648439,12,-36,-14,23,-36,-25,8,53,16,41,17
2020-05-24,23,78.54269857,18,-43,-29,24,-43,-8,6,46,10,40,8
2020-05-25,26,59.66559822,4,-30,-17,23,-42,-29,11,30,11,43,31
2020-05-26,24,61.22741575,0,-31,-14,25,-42,-30,12,25,13,40,12
2020-05-27,24,60.80849361,5,-31,-13,27,-41,-30,12,30,11,41,23
2020-05-28,25,61.43362031,21,-31,-14,23,-42,-30,12,30,15,48,22
2020-05-29,16.75,90.99028913,9,-34,-11,-9,-47,-31,14,38,9,40,13
2020-05-30,22,75.6337279,1,-31,-10,30,-32,-21,6,30,13,40,11
2020-05-31,21.5,75.84757357,7,-36,-23,37,-39,0,4,42,12,41,14
2020-06-01,23.5,73.46754357,4,-14,3,88,-36,-44,11,46,14,42,13
2020-06-02,26,69.75710989,4,-34,-50,139,-44,-76,18,38,12,45,12
2020-06-03,24,78.21542815,5,-27,-7,21,-34,-28,9,38,10,37,20
2020-06-04,17,100,6,-33,-12,-29,-44,-30,13,30,13,34,11
2020-06-05,23,88.48593772,7,-22,-7,28,-36,-28,10,34,9,40,24
2020-06-06,24,83.17707083,6,-22,-11,49,-24,-19,2,21,13,35,14
2020-06-07,23,88.48593772,7,-30,-20,24,-34,0,2,30,10,28,6
2020-06-08,19,100,7,-24,-14,-2,-38,-26,9,21,14,22,9
2020-06-09,20,100,5,-23,-12,7,-37,-27,10,42,15,30,14
2020-06-10,18.5,98.48187099,8,-21,-10,13,-36,-27,9,38,9,32,15
2020-06-11,19.5,93.98899201,6,-20,-10,11,-37,-27,9,25,11,33,24
2020-06-12,25,78.54269857,9,-16,-7,51,-32,-27,6,34,14,39,20
2020-06-13,24,83.38611694,4,-23,-12,27,-27,-16,2,34,13,38,13
2020-06-14,24,88.70513302,7,-22,-15,44,-27,7,0,21,9,36,23
2020-06-15,22.5,100,3,-18,-12,16,-34,-24,7,17,17,32,18
2020-06-16,24.5,88.70513302,2,-13,-8,49,-31,-24,7,46,13,34,18
2020-06-17,21,100,2,-16,-9,31,-33,-25,7,46,11,31,13
2020-06-18,24,78.28183409,4,-13,-11,55,-29,-25,6,38,11,33,22
2020-06-19,23.5,78.56862016,5,-14,-8,52,-29,-26,5,25,9,38,12
2020-06-20,25.5,73.99976723,6,-16,-12,58,-16,-14,-2,21,10,43,16
2020-06-21,28,65.95870265,0,-22,-20,54,-16,10,-5,25,10,45,27
2020-06-22,29.5,56.78783669,3,-12,-11,59,-27,-24,4,25,12,47,34
2020-06-23,30,66.36000248,2,-10,-9,68,-27,-25,5,25,17,58,21
2020-06-24,28.5,70.25782899,5,-11,-9,68,-26,-25,5,38,20,57,16
2020-06-25,26.5,88.77635749,2,-11,-8,60,-27,-24,5,46,20,44,24
2020-06-26,28.5,76.62458571,0,-12,-8,62,-24,-26,4,46,16,51,13
2020-06-27,30.5,68.289954,16,-17,-12,57,-13,-16,-3,42,15,64,19
2020-06-28,30.5,68.21750881,4,-23,-20,48,-13,14,-6,42,15,50,7
2020-06-29,30,74.7401356,4,-10,-9,58,-24,-22,3,46,,,
2020-06-30,29.5,74.7401356,3,-9,-8,62,-27,-23,4,,,,
2020-07-01,30,83.98328633,0,-10,-8,51,-26,-23,3,,19,48,13
2020-07-02,29,54.80795644,0,-9,-9,57,-26,-23,3,42,18,49,11
2020-07-03,26,61.43362031,3,-14,-8,31,-28,-25,5,46,10,41,6
2020-07-04,26,57.68026896,7,-13,-10,53,-13,-15,-2,25,10,40,17
2020-07-05,28.5,48.29337389,2,-20,-18,48,-13,10,-7,25,12,47,21
2020-07-06,30,48.56365505,12,-9,-10,65,-23,-23,2,38,16,62,18
2020-07-07,24,49.54915955,8,-6,-5,67,-26,-25,4,50,12,41,11
2020-07-08,26,39.16649858,7,-9,-11,67,-25,-22,2,25,17,46,22
2020-07-09,27,51.24387325,3,-9,-10,65,-25,-23,2,42,20,59,32
2020-07-10,30.5,48.56262501,3,-10,-8,64,-23,-25,2,50,25,71,28
2020-07-11,26,54.12912131,2,-19,-14,27,-15,-14,-2,59,19,53,14
