date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,119,39,29,16
2020-02-25,11,81.63078781,27,-22,3,8,-37,-23,11,93,62,22,24
2020-02-26,8.733333333,32.60943922,0,-23,-7,-5,-40,-23,11,154,20,33,15
2020-02-27,8,39.40478956,9,-19,-7,7,-39,-23,10,53,10,32,26
2020-02-28,9.25,23.66866369,13,-16,-6,32,-37,-24,10,38,13,36,44
2020-02-29,7,48.65854746,6,-24,-5,-12,-34,-20,8,46,35,21,33
2020-03-01,6.5,93.38541803,23,-33,-9,-38,-40,-14,7,99,,,
2020-03-02,5.066666667,96.65496492,5,-26,-18,-53,-44,-20,11,,,,
2020-03-03,7.45,84.34583157,39,-13,-1,16,-35,-19,9,,14,22,22
2020-03-04,7.9,69.11199863,4,-14,-1,46,-34,-19,8,46,19,32,27
2020-03-05,6.1,81.79419869,25,-22,-6,-31,-42,-21,11,53,32,25,21
2020-03-06,6.116666667,85.70701063,29,-20,-2,1,-40,-22,11,70,14,30,18
2020-03-07,8.1,75.48936082,41,-25,-1,54,-31,-19,7,,21,31,14
2020-03-08,8.25,62.87723161,22,-48,-1,16,-42,-19,8,,18,39,31
2020-03-09,8.5,69.83046449,53,-42,-9,-35,-57,-31,16,,32,32,22
2020-03-10,10.1,61.1448308,28,-50,-8,-25,-61,-38,20,,19,34,33
2020-03-11,11.75,69.23783211,79,-57,-13,-23,-65,-43,22,,20,34,26
2020-03-12,13.06666667,81.52105541,65,-74,-26,-62,-74,-52,28,,33,29,23
2020-03-13,14.73333333,76.30066992,14,-78,-27,-57,-76,-58,31,,10,40,13
2020-03-14,11,81.86227923,140,-86,-46,-80,-80,-63,26,,28,24,8
2020-03-15,8,80.363481,100,-91,-58,-78,-83,-57,22,,16,35,10
2020-03-16,9,65.31887919,79,-78,-35,-62,-79,-63,30,,23,37,20
2020-03-17,9.75,70.2241182,83,-80,-39,-59,-80,-65,32,,32,40,22
2020-03-18,11.25,71.40724149,94,-82,-42,-67,-81,-66,33,,49,45,23
2020-03-19,13,62.81819219,33,-82,-43,-72,-82,-67,34,,51,46,22
2020-03-20,12,72.04736894,94,-82,-40,-76,-82,-68,36,,39,40,23
2020-03-21,13.5,63.9712421,89,-88,-55,-84,-83,-67,27,89,25,44,19
2020-03-22,11,59.43852816,112,-95,-80,-92,-89,-65,24,80,23,33,9
2020-03-23,6,45.88956762,138,-84,-47,-82,-86,-74,35,70,42,32,13
2020-03-24,7.35,39.42287665,55,-84,-48,-78,-85,-74,36,78,23,36,19
2020-03-25,5.5,51.45694876,79,-86,-50,-82,-86,-75,37,65,19,32,10
2020-03-26,6,56.27587431,107,-86,-51,-83,-86,-77,39,59,16,26,12
2020-03-27,10.25,55.64588865,27,-86,-47,-82,-86,-77,40,59,38,29,15
2020-03-28,11.5,66.85855803,165,-89,-59,-85,-85,-70,28,65,63,38,13
2020-03-29,14.25,55.99152586,97,-95,-81,-91,-89,-65,24,85,61,43,19
2020-03-30,11.9,67.13145197,62,-85,-48,-82,-85,-75,36,70,40,37,13
2020-03-31,5.35,70.40178926,97,-92,-42,-78,-84,-76,37,65,7,32,9
2020-04-01,6.75,52.23572694,47,-92,-40,-78,-84,-75,37,13,25,39,17
2020-04-02,8.5,53.62287289,105,-92,-40,-78,-84,-75,38,65,30,43,22
2020-04-03,9.75,56.01004758,46,-88,-39,-78,-84,-74,39,87,33,45,19
2020-04-04,11.25,55.43132713,168,-91,-53,-84,-84,-68,28,85,37,51,22
2020-04-05,12.25,50.10713157,120,-96,-77,-90,-88,-64,24,95,32,47,13
2020-04-06,14,49.53268323,81,-86,-39,-77,-83,-71,34,85,32,53,23
2020-04-07,15.5,38.05723642,35,-85,-39,-75,-83,-72,35,89,31,59,18
2020-04-08,15.25,44.64607734,88,-85,-37,-77,-83,-71,35,85,30,50,26
2020-04-09,15.25,44.92092005,66,-84,-33,-77,-83,-71,35,76,30,54,22
2020-04-10,15.75,45.0057114,74,-84,-29,-77,-82,-73,38,72,25,59,21
2020-04-11,18,28.47416786,86,-89,-47,-83,-82,-67,27,68,16,55,22
2020-04-12,17.5,25.16487785,84,-97,-95,-91,-90,-68,25,55,10,44,19
2020-04-13,17.75,33.83298015,60,-96,-84,-85,-92,-92,43,38,20,54,11
2020-04-14,14,62.52900827,53,-83,-40,-74,-82,-68,34,61,28,44,12
2020-04-15,11.25,50.61561463,70,-83,-38,-75,-82,-67,34,53,15,41,10
2020-04-16,13.86666667,42.00175677,74,-82,-38,-75,-82,-67,34,30,25,48,16
2020-04-17,16.75,40.45157761,58,-83,-36,-75,-82,-67,36,59,17,45,25
2020-04-18,17,61.55264587,88,-88,-55,-82,-81,-63,27,46,17,48,10
2020-04-19,17.25,71.21764813,46,-95,-79,-89,-87,-60,23,38,20,43,10
2020-04-20,14.25,90.46800113,59,-82,-52,-81,-83,-65,32,70,15,33,11
2020-04-21,11.86666667,84.95477784,64,-82,-49,-75,-82,-65,33,57,19,29,8
2020-04-22,15.5,51.64936443,93,-82,-46,-72,-80,-63,32,53,20,48,11
2020-04-23,16.25,51.2113805,76,-81,-45,-73,-80,-64,33,63,27,51,21
2020-04-24,18,48.12842506,117,-81,-39,-73,-80,-64,34,74,33,59,22
2020-04-25,18.25,52.22133613,45,-92,-69,-82,-84,-71,28,76,10,46,11
2020-04-26,18.25,54.3892351,8,-94,-74,-86,-85,-57,23,42,10,45,8
2020-04-27,17.05,59.38372909,85,-78,-42,-72,-79,-61,30,25,9,38,14
2020-04-28,17,68.60397117,99,-80,-46,-71,-80,-62,30,21,9,29,13
2020-04-29,17.25,69.98225109,52,-80,-42,-70,-79,-61,31,38,8,43,10
2020-04-30,16,80.9410952,69,-77,-34,-75,-79,-61,31,25,12,36,11
2020-05-01,15.75,81.41829003,67,-93,-83,-79,-89,-89,45,38,13,35,9
2020-05-02,20.71666667,36.71589039,40,-83,-45,-76,-77,-58,25,46,4,41,13
2020-05-03,19.25,46.02315642,34,-92,-66,-82,-82,-50,22,30,5,45,8
2020-05-04,19.2,39.78114796,32,-64,-31,-20,-65,-49,21,5,10,51,13
2020-05-05,18,59.60442732,29,-65,-31,-17,-66,-49,23,25,10,38,13
2020-05-06,18.5,64.80238387,70,-66,-32,-24,-66,-48,23,21,14,43,13
2020-05-07,18.5,49.97890364,31,-64,-31,-15,-65,-48,23,42,16,54,12
2020-05-08,20.81666667,34.51952786,52,-65,-28,-20,-65,-48,24,38,27,66,16
2020-05-09,21.25,38.2157742,38,-67,-35,-15,-57,-43,17,68,14,53,10
2020-05-10,19.25,65.2680062,35,-76,-56,-39,-64,-29,14,38,18,50,7
2020-05-11,15.5,93.12776936,24,-68,-42,-66,-72,-47,23,50,10,28,9
2020-05-12,18.3,74.32784377,19,-61,-28,-21,-64,-46,22,25,12,37,10
2020-05-13,15,87.91931223,29,-67,-34,-57,-69,-46,23,34,17,17,19
2020-05-14,19,78.99124773,47,-61,-27,-18,-63,-45,21,53,21,40,9
2020-05-15,17.5,74.03873511,23,-64,-29,-41,-66,-46,24,89,5,39,10
2020-05-16,18.66666667,72.74036881,25,-65,-34,-30,-58,-37,17,9,18,37,8
2020-05-17,19.5,79.14852859,35,-70,-51,-17,-58,-22,13,38,17,40,11
2020-05-18,22.5,64.72240135,43,-42,-24,9,-56,-40,17,38,18,44,10
2020-05-19,18.93333333,82.84858179,25,-46,-23,-23,-59,-41,19,55,14,34,12
2020-05-20,21.75,64.8734713,35,-41,-19,25,-53,-39,17,30,14,51,14
2020-05-21,22,56.78789555,23,-40,-18,19,-54,-41,17,38,14,55,16
2020-05-22,22.75,56.95858828,46,-41,-17,17,-54,-39,18,42,23,70,22
2020-05-23,21.3,61.76121591,33,-43,-23,15,-43,-26,11,65,19,55,10
2020-05-24,20.5,67.84100518,18,-43,-34,34,-40,-9,7,38,10,49,14
2020-05-25,21.25,52.80863768,4,-37,-22,24,-54,-39,15,25,11,52,18
2020-05-26,20.25,50.02675777,23,-36,-18,35,-52,-37,15,30,10,46,16
2020-05-27,20.5,47.10985868,23,-36,-16,33,-51,-37,15,25,10,48,12
2020-05-28,20.75,44.96880286,9,-36,-16,25,-52,-37,15,21,14,58,20
2020-05-29,17.76666667,56.38231759,32,-36,-14,22,-51,-37,16,38,10,44,8
2020-05-30,20,54.58090478,35,-35,-18,39,-35,-21,8,42,20,55,10
2020-05-31,17.75,68.17213713,10,-37,-28,38,-37,-1,6,42,21,52,9
2020-06-01,21.5,55.49725386,1,-16,1,109,-44,-53,14,63,24,53,14
2020-06-02,20.81666667,56.72303183,23,-35,-36,184,-54,-77,22,72,13,48,11
2020-06-03,20.75,65.50775311,3,-37,-15,1,-49,-35,14,53,11,48,11
2020-06-04,16.68333333,93.85397637,6,-42,-21,-57,-58,-38,17,46,9,29,15
2020-06-05,20,68.93802802,22,-28,-12,38,-46,-35,12,30,2,47,13
2020-06-06,21.25,65.44898937,11,-30,-19,40,-35,-19,6,53,18,49,11
2020-06-07,18.93333333,82.61616726,12,-46,-33,-62,-58,-8,9,59,7,34,14
2020-06-08,16,89.36448732,2,-32,-22,-23,-53,-35,13,17,3,28,10
2020-06-09,18.5,75.3773942,5,-27,-16,14,-48,-34,12,,1,35,11
2020-06-10,17.75,76.42746093,6,-29,-15,-6,-49,-33,13,,6,37,9
2020-06-11,17.5,84.25612319,4,-25,-13,-3,-49,-34,13,5,12,40,9
2020-06-12,20.25,66.44009452,23,-24,-13,42,-44,-34,11,30,15,48,11
2020-06-13,18,87.09871733,16,-29,-20,38,-35,-16,5,46,10,41,9
2020-06-14,20.75,76.78440065,13,-27,-24,34,-34,5,2,25,8,45,13
2020-06-15,21.5,79.41978043,3,-25,-19,27,-46,-32,10,17,10,47,14
2020-06-16,21.25,78.1226741,6,-21,-13,39,-44,-31,11,38,10,42,9
2020-06-17,19.38333333,80.3973628,20,-24,-13,13,-46,-32,11,46,6,44,11
2020-06-18,21,67.61003709,12,-22,-15,33,-44,-32,10,30,10,40,10
2020-06-19,20.75,70.06181826,7,-22,-14,36,-43,-33,9,34,6,46,11
2020-06-20,22.33333333,63.0685552,0,-23,-18,80,-27,-13,1,21,9,48,15
2020-06-21,25.25,36.9996374,9,-27,-26,58,-28,6,-2,34,5,45,12
2020-06-22,26,48.48865582,0,-22,-17,51,-43,-33,8,9,10,53,21
2020-06-23,26,48.73424781,4,-18,-12,72,-41,-32,8,17,10,74,30
2020-06-24,26.08333333,56.04901496,3,-20,-12,55,-41,-30,8,25,24,79,29
2020-06-25,24.75,60.82260953,5,-20,-12,38,-42,-31,8,55,19,60,11
2020-06-26,24.75,67.14822892,3,-21,-13,47,-41,-32,7,42,10,64,9
2020-06-27,27,63.61261933,4,-25,-19,62,-28,-16,0,38,16,61,11
2020-06-28,26.5,54.06433434,6,-29,-26,39,-31,10,-3,30,12,49,8
2020-06-29,26.25,61.95297607,0,-20,-15,46,-43,-31,7,38,17,45,10
2020-06-30,25.68333333,69.52521404,1,-16,-12,62,-41,-30,7,50,25,53,10
2020-07-01,25.01666667,66.26687897,1,-18,-10,31,-41,-29,7,,13,51,11
2020-07-02,25.5,69.9977668,3,-18,-13,34,-42,-30,7,,10,51,10
2020-07-03,21.5,70.79408451,11,-25,-17,4,-44,-32,9,21,14,53,11
2020-07-04,24,64.13337689,0,-23,-18,65,-27,-15,-1,17,4,43,11
2020-07-05,25.5,69.50021624,3,-28,-24,41,-29,5,-4,38,4,43,11
2020-07-06,28.5,58.35572227,0,-21,-16,42,-42,-32,6,55,15,55,10
2020-07-07,23.68333333,49.56372331,0,-15,-11,66,-39,-30,6,46,23,76,20
2020-07-08,23,51.01465015,1,-17,-13,58,-40,-29,6,,12,42,8
2020-07-09,24.75,65.1284644,4,-18,-14,49,-41,-29,6,25,15,50,14
2020-07-10,27.25,61.79441271,0,-20,-15,46,-40,-31,5,61,24,81,15
2020-07-11,24.46666667,68.75967508,3,-25,-20,34,-31,-15,1,59,20,84,12
2020-07-12,24,54.24318295,0,-26,-24,43,-27,9,-4,17,16,53,11
2020-07-13,22.81666667,50.77007607,2,-19,-15,43,-41,-31,5,17,12,42,6
2020-07-14,22.25,55.83505276,1,-15,-12,64,-39,-30,6,30,10,45,9
2020-07-15,21.68333333,69.93007778,1,-17,-13,36,-41,-28,6,38,19,50,13
2020-07-16,23.35,68.00247838,0,-15,-14,51,-40,-29,5,46,20,59,11
2020-07-17,23.75,69.97213524,2,-19,-15,44,-40,-30,5,38,13,59,10
2020-07-18,22.75,62.34309479,1,-23,-21,69,-26,-13,-2,53,23,51,9
2020-07-19,24.28333333,53.46670681,1,-26,-24,44,-27,10,-5,17,8,43,7
2020-07-20,26,59.71608018,0,-19,-16,51,-41,-31,4,38,10,66,8
2020-07-21,26.73333333,60.49335084,2,-16,-14,70,-40,-30,5,25,11,57,10
2020-07-22,26.25,63.38455059,0,,,,,,,34,12,55,10
2020-07-23,26.25,70.76245442,0,,,,,,,34,12,57,10
