date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,13,82.31470256,0,-7,33,25,-18,-13,6,124,40,22,33
2020-02-25,12.2,90.80953781,18,-11,1,24,-23,-15,7,102,59,21,32
2020-02-26,12,11.92882592,10,-18,-9,-16,-31,-15,8,151,29,30,17
2020-02-27,10.5,26.11143266,35,-12,-6,3,-29,-15,7,74,11,27,30
2020-02-28,11.3,13.52799203,26,-11,-5,12,-28,-15,7,34,,34,43
2020-02-29,9,57.3611161,49,-13,1,4,-23,-16,5,,30,13,25
2020-03-01,7,100,36,-26,-5,-39,-38,-8,6,76,24,18,16
2020-03-02,6.65,98.84078908,38,-14,-6,-25,-31,-10,6,76,25,11,19
2020-03-03,8.75,95.14735436,44,-12,-6,-20,-31,-13,7,72,18,17,26
2020-03-04,8.75,84.52629396,63,-13,-4,-6,-30,-13,7,55,21,,29
2020-03-05,6,100,59,-16,-5,-13,-32,-14,8,61,26,18,26
2020-03-06,7.1,87.24820698,48,-17,-1,-9,-34,-15,8,72,21,25,27
2020-03-07,11.25,58.81660562,53,-22,5,-8,-31,-18,8,68,25,30,22
2020-03-08,9.15,63.62170752,49,-37,7,26,-33,-13,7,74,17,31,34
2020-03-09,7,100,74,-34,-4,-21,-45,-20,12,59,27,26,29
2020-03-10,11,61.01680414,31,-44,-5,-23,-50,-27,16,74,20,27,36
2020-03-11,13.5,61.59499624,31,-50,-11,-20,-54,-32,18,59,29,30,29
2020-03-12,14,72.23467376,15,-68,-17,-51,-63,-40,23,68,45,26,27
2020-03-13,15.7,77.24453707,31,-73,-18,-61,-68,-46,27,109,28,34,27
2020-03-14,10,81.37382915,143,-84,-37,-78,-76,-57,26,78,23,22,15
2020-03-15,10.5,59.22854563,159,-90,-56,-72,-80,-53,22,72,19,34,24
2020-03-16,11.15,33.0115162,61,-73,-31,-60,-70,-50,26,57,21,35,39
2020-03-17,12.3,46.5774435,131,-76,-36,-62,-72,-55,29,59,29,32,38
2020-03-18,13.85,53.98040293,136,-77,-38,-67,-73,-56,30,76,45,37,41
2020-03-19,15.1,56.91778802,88,-78,-39,-73,-75,-57,31,112,40,42,38
2020-03-20,14,62.96717878,147,-79,-33,-77,-76,-58,33,104,33,36,22
2020-03-21,14.75,55.75400446,118,-86,-46,-86,-80,-62,28,87,24,40,14
2020-03-22,11,79.47087126,72,-96,-94,-91,-88,-64,24,72,20,32,4
2020-03-23,6.7,27.81325405,120,-79,-39,-78,-78,-64,32,59,16,33,26
2020-03-24,8,22.33384229,96,-80,-43,-79,-77,-66,34,46,16,35,26
2020-03-25,6.8,47.41028289,141,-83,-46,-82,-80,-68,35,53,18,32,29
2020-03-26,3.05,100,91,-85,-51,-85,-82,-71,37,55,15,27,23
2020-03-27,9,71.34785997,63,-83,-40,-83,-81,-70,38,55,36,25,16
2020-03-28,14,47.34124584,114,-88,-50,-86,-82,-66,29,74,64,38,16
2020-03-29,14.85,48.02998417,85,-96,-94,-88,-88,-65,24,89,60,41,18
2020-03-30,12,82.52256553,41,-81,-42,-77,-78,-67,33,72,31,35,20
2020-03-31,7.65,46.67357445,119,-90,-37,-77,-76,-69,35,61,10,32,25
2020-04-01,8,39.52115034,81,-90,-35,-75,-76,-68,35,34,20,36,24
2020-04-02,9.7,36.97408233,49,-90,-35,-75,-76,-68,35,65,22,41,24
2020-04-03,12.5,36.64075621,46,-85,-29,-78,-78,-67,36,70,28,46,29
2020-04-04,14,37.18784598,31,-90,-42,-85,-81,-64,28,78,28,48,19
2020-04-05,14.5,34.31046901,50,-96,-93,-88,-87,-63,24,80,20,44,27
2020-04-06,17,40.85915726,44,-82,-32,-74,-76,-63,31,65,27,50,37
2020-04-07,17.1,39.66147809,17,-81,-33,-73,-75,-64,33,74,31,50,33
2020-04-08,18,23.90309191,27,-81,-31,-74,-75,-64,33,78,25,46,37
2020-04-09,20.1,24.42613295,40,-81,-28,-74,-75,-64,33,61,20,46,27
2020-04-10,21.05,31.41842062,29,-80,-20,-77,-76,-65,35,55,22,53,20
2020-04-11,21.5,37.51114932,14,-87,-38,-84,-79,-63,27,63,17,51,18
2020-04-12,20.5,29.14617986,37,-96,-95,-89,-89,-66,24,57,12,48,10
2020-04-13,18.65,37.09148126,38,-96,-96,-84,-90,-91,43,46,16,50,13
2020-04-14,17.6,61.64416273,29,-80,-33,-74,-74,-61,31,55,23,45,19
2020-04-15,14,40.60595074,56,-80,-31,-73,-73,-60,31,63,18,39,29
2020-04-16,16.5,44.45781772,26,-78,-33,-73,-74,-59,32,42,22,45,24
2020-04-17,18.2,33.88013342,25,-78,-29,-75,-75,-59,33,59,20,45,27
2020-04-18,21,50.90330847,25,-85,-43,-83,-78,-58,27,55,19,42,21
2020-04-19,18.25,75.81138551,70,-94,-84,-87,-86,-57,23,50,20,45,11
2020-04-20,12.7,100,24,-78,-46,-79,-77,-57,29,55,14,30,14
2020-04-21,12.6,84.6256594,67,-78,-41,-76,-74,-58,31,53,20,28,21
2020-04-22,16.5,35.27112931,73,-77,-39,-72,-73,-56,30,55,22,45,28
2020-04-23,18,39.50985704,53,-77,-37,-70,-72,-57,30,61,24,48,31
2020-04-24,20,43.16023076,49,-75,-23,-71,-72,-57,31,65,21,57,35
2020-04-25,20.7,49.39415335,60,-95,-94,-84,-85,-75,30,63,15,44,20
2020-04-26,20.35,50.38783206,56,-91,-57,-83,-83,-51,22,50,11,43,13
2020-04-27,21,63.02949683,75,-71,-31,-66,-69,-52,26,34,14,39,20
2020-04-28,16.83333333,100,92,-75,-36,-70,-71,-54,27,46,11,30,21
2020-04-29,20.7,48.69386791,75,-74,-33,-67,-70,-53,28,30,8,39,11
2020-04-30,19,62.3979532,69,-71,-21,-67,-69,-53,27,30,13,34,19
2020-05-01,18.8,68.42912229,53,-94,-94,-79,-87,-88,45,42,14,34,18
2020-05-02,23.5,23.06440127,60,-79,-32,-76,-73,-53,25,42,9,37,7
2020-05-03,21,53.90153832,39,-90,-66,-80,-81,-46,22,30,10,43,8
2020-05-04,21.2,38.3631622,37,-57,-25,-13,-53,-40,18,30,13,45,18
2020-05-05,22,56.9082556,35,-60,-26,-19,-54,-42,20,38,15,37,23
2020-05-06,19.95,67.0541902,9,-61,-26,-31,-56,-42,21,42,19,42,15
2020-05-07,22,32.6493101,5,-59,-27,-13,-54,-41,20,55,18,50,29
2020-05-08,23.1,42.40885779,34,-60,-20,-24,-57,-41,21,50,19,57,24
2020-05-09,23.9,29.59324621,12,-63,-25,-25,-53,-41,16,53,13,55,19
2020-05-10,22.5,55.10867539,15,-73,-53,-22,-58,-28,13,34,14,50,5
2020-05-11,19,70.24910639,14,-56,-28,-34,-57,-37,18,42,10,39,11
2020-05-12,21.4,70.44152741,11,-55,-23,-13,-53,-38,19,34,14,36,19
2020-05-13,17,93.92748396,5,-57,-24,-23,-54,-38,19,46,20,25,14
2020-05-14,21.7,68.9269368,14,-56,-24,-21,-54,-38,18,46,27,40,11
2020-05-15,18.3,100,7,-56,-19,-22,-55,-38,19,63,13,32,17
2020-05-16,18.5,85.82704574,5,-61,-23,-38,-54,-36,16,30,19,32,16
2020-05-17,21.2,75.48048898,5,-67,-45,-1,-54,-20,12,50,18,41,14
2020-05-18,24,58.97318117,11,-36,-19,1,-46,-31,13,57,26,42,22
2020-05-19,20,94.08841125,3,-41,-18,-21,-49,-33,16,65,24,32,19
2020-05-20,23.5,54.97372629,11,-38,-16,-7,-47,-33,15,61,18,48,18
2020-05-21,24,41.24751338,2,-35,-16,23,-43,-33,14,50,19,49,35
2020-05-22,25.45,50.40292915,6,-36,-11,15,-45,-32,14,53,23,64,23
2020-05-23,24.25,57.12711314,2,-36,-14,23,-36,-25,8,61,20,59,20
2020-05-24,23.35,55.08218806,2,-43,-29,24,-43,-8,6,55,11,47,13
2020-05-25,25.3,29.00003928,5,-30,-17,23,-42,-29,11,38,13,48,30
2020-05-26,23.6,35.81276821,1,-31,-14,25,-42,-30,12,38,,47,22
2020-05-27,23.6,32.20456271,4,-31,-13,27,-41,-30,12,,15,47,22
2020-05-28,24,42.03722189,6,-31,-14,23,-42,-30,12,34,20,62,20
2020-05-29,19,49.29795144,0,-34,-11,-9,-47,-31,14,46,10,44,27
2020-05-30,22,38.11539942,2,-31,-10,30,-32,-21,6,25,12,49,16
2020-05-31,22,46.59413593,10,-36,-23,37,-39,0,4,42,13,48,22
2020-06-01,25.9,40.50791417,2,-14,3,88,-36,-44,11,46,15,48,28
2020-06-02,25.75,48.90035319,4,-34,-50,139,-44,-76,18,46,14,49,24
2020-06-03,24.5,53.77980331,2,-27,-7,21,-34,-28,9,42,15,40,25
2020-06-04,17,100,1,-33,-12,-29,-44,-30,13,38,10,33,21
2020-06-05,24.25,50.71296668,2,-22,-7,28,-36,-28,10,38,10,45,24
2020-06-06,24.13333333,59.24070245,2,-22,-11,49,-24,-19,2,25,13,39,20
2020-06-07,21.35,79.77939927,3,-30,-20,24,-34,0,2,34,9,29,17
2020-06-08,19,100,3,-24,-14,-2,-38,-26,9,21,10,25,
2020-06-09,20.25,85.71148688,1,-23,-12,7,-37,-27,10,38,12,34,18
2020-06-10,18,72.74136748,7,-21,-10,13,-36,-27,9,38,11,32,22
2020-06-11,18.5,95.46620813,5,-20,-10,11,-37,-27,9,30,19,34,22
2020-06-12,23.35,54.019822,2,-16,-7,51,-32,-27,6,59,16,44,28
2020-06-13,24.15,58.98791003,2,-23,-12,27,-27,-16,2,50,11,42,11
2020-06-14,24.5,59.59050949,0,-22,-15,44,-27,7,0,42,8,40,21
2020-06-15,25,76.55194284,0,-18,-12,16,-34,-24,7,21,19,44,18
2020-06-16,24.8,61.23822133,4,-13,-8,49,-31,-24,7,53,17,44,20
2020-06-17,20.45,95.19525025,1,-16,-9,31,-33,-25,7,42,10,40,14
2020-06-18,22.75,58.8939079,6,-13,-11,55,-29,-25,6,25,14,36,17
2020-06-19,20.66666667,71.19437213,0,-14,-8,52,-29,-26,5,34,11,39,29
2020-06-20,25,42.5549533,1,-16,-12,58,-16,-14,-2,34,11,45,22
2020-06-21,26.95,34.94185708,1,-22,-20,54,-16,10,-5,34,10,47,13
2020-06-22,29.6,30.3456476,1,-12,-11,59,-27,-24,4,25,12,48,42
2020-06-23,30.1,37.256035,1,-10,-9,68,-27,-25,5,34,20,64,55
2020-06-24,28.5,48.59233528,0,-11,-9,68,-26,-25,5,50,22,68,29
2020-06-25,27,54.83942347,1,-11,-8,60,-27,-24,5,55,22,57,24
2020-06-26,27.7,51.00732034,0,-12,-8,62,-24,-26,4,53,21,65,26
2020-06-27,29,49.23657413,28,-17,-12,57,-13,-16,-3,55,20,66,8
2020-06-28,30,45.73264409,0,-23,-20,48,-13,14,-6,55,15,56,27
2020-06-29,31.2,45.82915102,1,-10,-9,58,-24,-22,3,50,22,50,30
2020-06-30,29,64.34636257,0,-9,-8,62,-27,-23,4,55,26,60,29
2020-07-01,28,67.56947186,1,-10,-8,51,-26,-23,3,61,21,57,17
2020-07-02,28.8,60.65040177,2,-9,-9,57,-26,-23,3,46,16,53,18
2020-07-03,25,73.85499492,1,-14,-8,31,-28,-25,5,50,14,45,20
2020-07-04,25.3,62.83183344,2,-13,-10,53,-13,-15,-2,42,9,43,25
2020-07-05,28,55.69562486,1,-20,-18,48,-13,10,-7,30,13,58,35
2020-07-06,29,51.47720705,4,-9,-10,65,-23,-23,2,42,22,71,31
2020-07-07,23.25,57.7928352,2,-6,-5,67,-26,-25,4,61,15,43,17
2020-07-08,24.75,34.57032562,2,-9,-11,67,-25,-22,2,38,20,46,34
2020-07-09,27,46.21892076,2,-9,-10,65,-25,-23,2,46,25,76,47
2020-07-10,28.2,51.7336448,5,-10,-8,64,-23,-25,2,59,30,87,33
2020-07-11,26.25,67.05252878,0,-19,-14,27,-15,-14,-2,65,18,50,14
2020-07-12,24.9,50.40991821,1,-14,-11,55,-10,13,-6,46,10,41,14
2020-07-13,24.2,41.90168557,2,-6,-8,73,-21,-22,1,34,15,45,25
