date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,14,93.80046794,0,-7,33,25,-18,-13,6,NaN,53,25,28
2020-02-25,11.5,100,0,-11,1,24,-23,-15,7,122,52,24,31
2020-02-26,11.5,54.88798155,0,-18,-9,-16,-31,-15,8,112,24,29,24
2020-02-27,11,66.36530522,0,-12,-6,3,-29,-15,7,59,10,30,30
2020-02-28,11,46.65073802,1,-11,-5,12,-28,-15,7,17,26,30,41
2020-02-29,9,87.42892162,3,-13,1,4,-23,-16,5,30,43,21,29
2020-03-01,6.5,100,3,-26,-5,-39,-38,-8,6,78,29,,21
2020-03-02,8,100,1,-14,-6,-25,-31,-10,6,,21,11,25
2020-03-03,8.25,100,6,-12,-6,-20,-31,-13,7,57,9,15,27
2020-03-04,9,100,6,-13,-4,-6,-30,-13,7,34,14,23,24
2020-03-05,8,100,11,-16,-5,-13,-32,-14,8,42,20,13,26
2020-03-06,8,100,13,-17,-1,-9,-34,-15,8,57,29,24,27
2020-03-07,11,100,4,-22,5,-8,-31,-18,8,53,31,24,29
2020-03-08,9.5,87.76515414,22,-37,7,26,-33,-13,7,65,20,32,38
2020-03-09,7,100,33,-34,-4,-21,-45,-20,12,50,20,22,38
2020-03-10,9.5,96.78827245,1,-44,-5,-23,-50,-27,16,57,,22,24
2020-03-11,13,82.40221827,10,-50,-11,-20,-54,-32,18,,28,31,41
2020-03-12,15,93.88572736,9,-68,-17,-51,-63,-40,23,61,29,32,39
2020-03-13,17,100,15,-73,-18,-61,-68,-46,27,107,51,30,32
2020-03-14,11,93.57654491,15,-84,-37,-78,-76,-57,26,87,40,21,25
2020-03-15,10.5,93.80198823,32,-90,-56,-72,-80,-53,22,68,26,31,10
2020-03-16,11,76.57390512,56,-73,-31,-60,-70,-50,26,46,14,33,13
2020-03-17,NA,NA,58,-76,-36,-62,-72,-55,29,57,27,35,39
2020-03-18,18,72.89837824,115,-77,-38,-67,-73,-56,30,72,36,40,40
2020-03-19,NA,NA,194,-78,-39,-73,-75,-57,31,91,42,40,48
2020-03-20,13.5,93.6677059,165,-79,-33,-77,-76,-58,33,85,36,33,43
2020-03-21,14.5,87.93932435,204,-86,-46,-86,-80,-62,28,99,42,38,25
2020-03-22,11,93.52980581,190,-96,-94,-91,-88,-64,24,78,25,27,19
