date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,8.25,85.99353021,0,-7,33,25,-18,-13,6,70,34,32,11
2020-02-25,13.73333333,61.7642738,1,-11,1,24,-23,-15,7,46,20,37,3
2020-02-26,13,58.01342339,2,-18,-9,-16,-31,-15,8,13,9,37,3
2020-02-27,10,47.78591875,3,-12,-6,3,-29,-15,7,13,7,34,3
2020-02-28,9.733333333,38.71972079,3,-11,-5,12,-28,-15,7,13,16,33,8
2020-02-29,13.11666667,46.66758555,6,-13,1,4,-23,-16,5,17,20,37,4
2020-03-01,13,65.02022396,1,-26,-5,-39,-38,-8,6,38,28,38,13
2020-03-02,13.03333333,67.59025251,3,-14,-6,-25,-31,-10,6,53,18,33,3
2020-03-03,10.73333333,68.860133,5,-12,-6,-20,-31,-13,7,13,16,34,10
2020-03-04,8,86.15374388,9,-13,-4,-6,-30,-13,7,13,21,23,8
2020-03-05,9.35,73.34184904,35,-16,-5,-13,-32,-14,8,17,14,30,6
2020-03-06,8.433333333,81.71027923,25,-17,-1,-9,-34,-15,8,13,21,33,8
2020-03-07,7.65,88.27652756,11,-22,5,-8,-31,-18,8,30,33,26,6
2020-03-08,6.366666667,66.21268688,9,-37,7,26,-33,-13,7,55,20,35,4
2020-03-09,7.5,76.58179166,51,-34,-4,-21,-45,-20,12,17,28,35,9
2020-03-10,9.15,68.03291857,42,-44,-5,-23,-50,-27,16,42,39,30,11
2020-03-11,9.25,71.10463566,39,-50,-11,-20,-54,-32,18,,,39,8
2020-03-12,10.68333333,83.55186419,67,-68,-17,-51,-63,-40,23,30,35,32,5
2020-03-13,13,81.6191219,51,-73,-18,-61,-68,-46,27,30,16,30,5
2020-03-14,11.55,75.15024252,35,-84,-37,-78,-76,-57,26,34,19,29,3
2020-03-15,9.25,60.99232531,27,-90,-56,-72,-80,-53,22,30,16,38,5
2020-03-16,6.75,69.67657165,84,-73,-31,-60,-70,-50,26,30,19,37,6
2020-03-17,7.666666667,84.00208729,0,-76,-36,-62,-72,-55,29,42,33,37,6
2020-03-18,8.75,76.22332643,104,-77,-38,-67,-73,-56,30,70,56,43,10
2020-03-19,10.6,70.04229277,78,-78,-39,-73,-75,-57,31,91,49,43,6
2020-03-20,11.25,86.99256866,66,-79,-33,-77,-76,-58,33,74,38,37,7
2020-03-21,11.05,90.66750569,69,-86,-46,-86,-80,-62,28,70,35,40,5
2020-03-22,11.98333333,62.63918057,116,-96,-94,-91,-88,-64,24,89,28,33,3
2020-03-23,6,39.08255964,93,-79,-39,-78,-78,-64,32,30,29,33,3
2020-03-24,6.483333333,49.32361151,49,-80,-43,-79,-77,-66,34,42,44,33,3
2020-03-25,7,60.97218263,52,-83,-46,-82,-80,-68,35,55,22,34,3
2020-03-26,7.4,81.35984248,53,-85,-51,-85,-82,-71,37,42,27,33,4
2020-03-27,8,93.38541803,75,-83,-40,-83,-81,-70,38,42,35,26,6
2020-03-28,9.8,73.05082501,59,-88,-50,-86,-82,-66,29,55,93,34,4
2020-03-29,10.56666667,74.20261816,34,-96,-94,-88,-88,-65,24,91,86,41,3
2020-03-30,11,72.78771353,25,-81,-42,-77,-78,-67,33,76,54,37,3
2020-03-31,7.533333333,55.17609512,25,-90,-37,-77,-76,-69,35,42,21,35,4
2020-04-01,7,39.67515039,38,-90,-35,-75,-76,-68,35,30,23,39,3
2020-04-02,5.333333333,56.1170546,11,-90,-35,-75,-76,-68,35,38,20,43,4
2020-04-03,6.866666667,71.72254457,55,-85,-29,-78,-78,-67,36,50,22,45,4
2020-04-04,9.75,58.11317896,12,-90,-42,-85,-81,-64,28,61,30,43,5
2020-04-05,11.38333333,53.89627079,30,-96,-93,-88,-87,-63,24,57,29,43,3
2020-04-06,11.56666667,57.62460828,22,-82,-32,-74,-76,-63,31,53,33,47,4
2020-04-07,11,58.78094986,9,-81,-33,-73,-75,-64,33,72,31,44,4
2020-04-08,10.33333333,52.88169519,12,-81,-31,-74,-75,-64,33,65,26,43,4
2020-04-09,11.56666667,44.45493778,17,-81,-28,-74,-75,-64,33,59,20,44,6
2020-04-10,13.21666667,49.26329394,38,-80,-20,-77,-76,-65,35,53,24,52,5
2020-04-11,13.41666667,57.72637339,26,-87,-38,-84,-79,-63,27,55,30,59,3
2020-04-12,14.28333333,57.61950867,29,-96,-95,-89,-89,-66,24,61,21,48,3
2020-04-13,18,39.09573317,21,-96,-96,-84,-90,-91,43,55,19,48,3
