date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,16.5,63.50069854,0,2,18,17,-3,-3,1,70,24,15,8
2020-02-25,16,61.44630594,3,1,7,12,-7,-3,1,57,17,20,
2020-02-26,15,67.57614853,0,-8,-3,-7,-10,0,2,38,20,24,1
2020-02-27,12,40.28163421,0,-4,0,0,-9,1,1,46,10,22,3
2020-02-28,15.5,29.12009043,0,-3,0,5,-7,1,1,17,13,24,1
2020-02-29,14.5,53.17873627,3,-2,0,13,-6,1,0,30,14,20,5
2020-03-01,15,67.76965953,0,-17,-6,-40,-22,-3,3,34,22,24,1
2020-03-02,14.75,77.09877308,1,-12,-7,-29,-13,1,2,30,,,
2020-03-03,12.5,58.57459232,7,-7,-1,-24,-14,0,2,,22,22,5
2020-03-04,13,54.7690434,15,-5,4,-8,-11,1,1,34,10,19,4
2020-03-05,13.5,41.37164941,13,-10,6,-7,-22,-15,6,25,9,18,5
2020-03-06,14.5,69.81897366,7,-16,2,-15,-26,-16,8,25,17,24,
2020-03-07,14,67.38033621,22,-18,4,-3,-23,-8,5,21,10,19,4
2020-03-08,15,40.39581793,6,-23,4,11,-30,-8,4,30,7,23,1
2020-03-09,13.5,51.33584258,14,-28,2,-24,-39,-25,11,21,10,21,5
2020-03-10,16,38.90819967,0,-44,-2,-37,-52,-36,17,30,11,24,2
2020-03-11,17,45.55592014,23,-53,-15,-38,-60,-44,21,38,20,18,5
2020-03-12,16.5,59.72161451,63,-72,-25,-63,-70,-55,28,53,16,18,5
2020-03-13,13,91.20110913,56,-77,-32,-69,-75,-60,31,53,22,15,6
2020-03-14,14,82.28567971,70,-84,-43,-79,-77,-56,24,57,20,16,4
2020-03-15,17.5,52.09517281,66,-90,-55,-82,-82,-55,22,46,15,22,2
2020-03-16,15.5,48.64162958,58,-76,-39,-74,-79,-64,30,53,18,22,3
2020-03-17,16,55.62039168,74,-79,-43,-77,-80,-67,32,55,25,19,4
2020-03-18,18,50.25353575,104,-80,-46,-77,-81,-68,32,65,28,20,4
2020-03-19,18.5,39.87043663,88,-80,-46,-79,-82,-69,33,76,30,24,4
2020-03-20,18,38.5743336,77,-81,-45,-81,-81,-68,34,82,27,23,3
2020-03-21,16.5,46.7798436,138,-86,-53,-86,-81,-61,26,78,34,21,4
2020-03-22,18,51.84457758,156,-94,-76,-91,-87,-62,24,85,33,23,4
2020-03-23,11,29.92659689,122,-80,-47,-84,-83,-71,33,82,20,25,1
2020-03-24,8.5,46.08876506,116,-82,-49,-84,-84,-72,34,68,12,23,1
2020-03-25,12,27.23932984,141,-83,-50,-84,-84,-73,35,42,7,23,1
2020-03-26,11,73.68108945,139,-85,-55,-87,-86,-74,37,25,7,18,1
2020-03-27,14.5,67.72861956,136,-83,-49,-85,-84,-72,37,21,6,17,3
2020-03-28,14,65.3793381,136,-86,-53,-87,-82,-62,27,17,31,15,3
2020-03-29,16,63.39544034,106,-94,-76,-90,-88,-62,24,50,56,18,4
2020-03-30,17,63.60595674,123,-80,-47,-82,-83,-71,33,65,53,19,3
2020-03-31,13,64.77391645,118,-90,-43,-82,-82,-72,34,61,14,19,3
2020-04-01,11,32.73279474,74,-90,-43,-81,-82,-71,34,46,12,28,1
2020-04-02,13,44.75247779,133,-90,-42,-81,-82,-72,35,38,16,27,2
2020-04-03,15,46.3744856,110,-85,-40,-81,-82,-70,35,50,19,26,3
2020-04-04,18.5,25.87955101,117,-88,-47,-84,-80,-60,26,57,16,28,2
2020-04-05,19,30.21720663,94,-94,-71,-89,-87,-61,24,57,17,28,1
2020-04-06,18.5,33.65359618,55,-82,-40,-80,-81,-69,32,59,23,29,2
2020-04-07,19.5,40.05505521,61,-81,-39,-80,-81,-70,33,65,29,26,3
2020-04-08,19.5,40.05505521,80,-81,-37,-80,-81,-69,33,72,30,27,4
2020-04-09,18.5,47.30368627,116,-80,-33,-81,-81,-70,33,78,28,26,4
2020-04-10,19.5,44.56473328,88,-80,-30,-80,-80,-70,34,70,29,25,3
2020-04-11,20.5,46.59300529,105,-85,-41,-83,-78,-59,25,74,28,25,3
2020-04-12,20.5,51.00894116,96,-96,-95,-91,-89,-67,25,74,23,25,2
2020-04-13,18.5,50.50413098,116,-96,-94,-88,-92,-91,41,68,20,26,1
2020-04-14,13,87.68969102,129,-82,-45,-84,-82,-69,33,63,15,19,3
2020-04-15,16.5,39.18229832,105,-80,-39,-79,-79,-68,32,55,14,25,1
2020-04-16,18,49.17116538,102,-79,-38,-79,-80,-68,33,38,17,21,3
2020-04-17,19,57.91335184,121,-80,-37,-79,-80,-67,34,42,,20,3
2020-04-18,17,75.01727157,130,-84,-45,-83,-78,-55,25,,,,
2020-04-19,19,72.90617503,64,-93,-74,-88,-86,-57,23,,,,
2020-04-20,17,100,51,-80,-49,-84,-82,-67,32,,,,
2020-04-21,17,88.0610663,56,-79,-43,-81,-80,-67,32,,18,15,2
2020-04-22,15,93.80046794,68,-82,-47,-83,-82,-67,33,46,9,12,1
2020-04-23,18.5,64.01881562,56,-79,-39,-79,-79,-66,32,25,8,18,1
2020-04-24,19,60.16332457,48,-76,-28,-76,-77,-65,32,17,15,22,2
2020-04-25,20,52.5889894,73,-94,-92,-83,-84,-73,28,50,12,22,1
2020-04-26,20,47.6912099,67,-89,-57,-84,-81,-51,22,38,8,20,1
2020-04-27,20,56.67466283,68,-72,-32,-75,-76,-63,29,25,10,19,2
2020-04-28,19.5,72.98759776,73,-76,-37,-78,-78,-64,29,34,15,19,2
2020-04-29,19,64.1217358,52,-76,-34,-76,-77,-63,30,25,16,22,1
2020-04-30,19,56.09628761,62,-72,-22,-74,-75,-62,29,21,12,19,1
2020-05-01,20,56.32834383,51,-94,-92,-82,-89,-88,42,25,12,23,
2020-05-02,22.5,56.79690494,56,-77,-34,-77,-72,-49,23,21,18,19,1
