date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25
2020-02-24,13.2,54.65855627,0,-6,23,31,-21,-21,5,
2020-02-25,6,100,3,-10,3,3,-26,-21,7,112
2020-02-26,4.35,39.01183891,0,-14,-7,-12,-29,-19,8,139
2020-02-27,2.35,37.24072333,0,-9,-4,-2,-26,-18,7,34
2020-02-28,5.75,29.79069877,9,-8,-3,24,-22,-17,7,25
2020-02-29,4.5,50.66834996,0,-12,-1,-8,-18,-7,5,50
2020-03-01,2.75,98.3213817,38,-11,-2,3,-14,-3,3,70
2020-03-02,2.45,100,0,-15,-10,-38,-29,-15,7,
2020-03-03,5.2,27.41721946,1,-2,1,21,-20,-14,5,
2020-03-04,5.1,34.2621217,4,-4,1,25,-21,-13,5,25
2020-03-05,3.45,96.99636337,8,-14,-3,-23,-27,-15,7,46
2020-03-06,2.95,98.3213817,15,-13,0,4,-25,-15,8,65
2020-03-07,6.3,24.03461562,21,-15,2,26,-17,-8,5,65
2020-03-08,6,33.89865918,34,-34,5,-2,-25,-8,6,63
2020-03-09,5.5,80.37926423,0,-31,-2,-19,-42,-24,12,46
2020-03-10,8.9,38.40973087,24,-43,-7,-21,-51,-30,16,76
2020-03-11,11.25,47.06516553,48,-50,-14,-19,-56,-35,19,78
2020-03-12,8.1,100,28,-69,-23,-57,-66,-44,24,65
2020-03-13,8,90.59561079,118,-73,-26,-51,-69,-50,28,55
2020-03-14,5,100,0,-84,-44,-77,-75,-55,26,55
2020-03-15,5,81.46429087,54,-90,-61,-78,-80,-52,22,55
2020-03-16,7,68.42340049,183,-73,-35,-58,-73,-56,27,57
2020-03-17,10,56.64929703,207,-75,-38,-56,-73,-59,29,68
2020-03-18,10.75,64.86115755,293,-77,-42,-61,-75,-60,30,87
2020-03-19,12.7,56.47803288,0,-77,-41,-65,-76,-61,31,95
2020-03-20,12.05,61.14513085,514,-79,-37,-71,-76,-62,33,93
2020-03-21,12,63.54442708,124,-86,-51,-82,-79,-59,26,82
2020-03-22,8.5,90.97161663,309,-94,-82,-91,-86,-59,24,76
2020-03-23,3.75,62.5702776,209,-80,-45,-79,-81,-69,33,80
2020-03-24,4.5,52.64472972,298,-81,-46,-77,-80,-70,34,38
2020-03-25,1.65,70.84221066,317,-82,-49,-80,-81,-70,35,50
2020-03-26,0.45,83.47775708,295,-83,-49,-80,-82,-73,36,55
2020-03-27,3.7,91.93091745,253,-83,-45,-80,-81,-72,38,50
2020-03-28,8.05,63.91524788,297,-87,-54,-83,-80,-62,27,46
2020-03-29,8.8,64.87635289,275,-94,-82,-89,-85,-59,23,65
2020-03-30,5,100,217,-82,-47,-79,-80,-71,34,72
2020-03-31,1.35,87.26608924,305,-90,-42,-77,-79,-71,34,50
2020-04-01,1.7,53.55289792,256,-90,-40,-75,-78,-70,34,30
2020-04-02,4.15,58.99853277,280,-89,-39,-73,-78,-70,35,57
2020-04-03,6.45,60.00403802,304,-85,-36,-74,-78,-70,37,76
2020-04-04,8.25,44.19559664,477,-89,-49,-82,-78,-61,27,89
2020-04-05,8.4,41.53131364,213,-95,-80,-88,-85,-59,23,80
2020-04-06,10.9,44.63381845,195,-82,-38,-73,-77,-67,32,74
2020-04-07,12.2,35.31590241,195,-81,-36,-72,-77,-68,33,68
2020-04-08,11.85,28.85963112,220,-81,-36,-73,-77,-67,33,65
2020-04-09,13,26.5622576,330,-80,-31,-72,-77,-67,33,59
2020-04-10,14,26.27744456,301,-80,-25,-72,-76,-68,35,59
2020-04-11,14.3,23.83245203,379,-85,-42,-81,-76,-59,26,55
2020-04-12,12.9,31.73171152,334,-96,-90,-90,-86,-61,24,53
2020-04-13,10.15,50.16992725,190,-96,-95,-83,-90,-91,41,38
2020-04-14,12.7,68.1055881,210,-80,-37,-73,-76,-65,31,42
2020-04-15,10.45,61.8046158,317,-80,-37,-73,-76,-64,32,42
2020-04-16,12.7,62.51494242,460,-79,-35,-72,-75,-64,32,25
2020-04-17,14.05,61.28601451,387,-79,-33,-71,-75,-64,34,50
2020-04-18,14.35,70.35663047,288,-85,-51,-80,-76,-55,26,46
2020-04-19,13.7,98.11393078,353,-95,-81,-89,-85,-55,23,50
2020-04-20,10,100,134,-81,-53,-81,-80,-63,31,53
2020-04-21,7.9,100,332,-80,-48,-78,-78,-63,32,42
2020-04-22,11.75,48.38397356,414,-78,-43,-70,-74,-61,30,30
2020-04-23,13,53.17688676,217,-77,-39,-69,-74,-61,31,46
2020-04-24,15.75,56.94528541,374,-76,-29,-65,-72,-60,32,55
2020-04-25,14.75,75.52979398,321,-95,-95,-84,-84,-72,29,55
2020-04-26,13.2,98.89492745,263,-92,-65,-87,-81,-50,22,53
2020-04-27,13,100,125,-74,-38,-72,-74,-59,28,42
2020-04-28,11.225,100,240,-78,-44,-75,-76,-60,29,38
2020-04-29,13.3,82.26887093,275,-75,-36,-65,-71,-58,28,17
2020-04-30,12.45,97.15093316,259,-72,-26,-68,-71,-58,28,21
2020-05-01,11.9,86.69848599,213,-95,-94,-79,-88,-88,44,30
2020-05-02,14.2,58.58440332,292,-80,-40,-73,-71,-50,24,25
2020-05-03,15.3,56.28146547,191,-91,-69,-79,-77,-44,21,13
2020-05-04,15.95,61.30925575,122,-61,-28,-15,-58,-46,19,17
2020-05-05,16,74.70881383,102,-62,-29,-17,-58,-47,21,30
2020-05-06,15.55,87.31564184,98,-63,-30,-19,-58,-46,21,42
2020-05-07,16.1,60.75893421,88,-62,-29,-14,-58,-46,21,42
2020-05-08,16,64.95469748,116,-63,-26,-19,-58,-46,23,42
2020-05-09,15.25,58.0086847,108,-67,-34,-24,-52,-36,16,46
2020-05-10,13.2,100,66,-79,-59,-52,-62,-27,15,42
2020-05-11,11.8,100,66,-62,-36,-47,-62,-45,21,38
2020-05-12,13.35,98.26904177,71,-58,-27,-19,-55,-43,20,21
2020-05-13,11.1,100,88,-65,-36,-62,-65,-44,22,21
2020-05-14,12.75,97.46184326,88,-58,-25,-16,-55,-43,19,30
2020-05-15,13.25,100,89,-60,-25,-26,-57,-43,22,21
2020-05-16,12.85,100,84,-66,-33,-53,-57,-32,17,21
2020-05-17,14.5,96.16209156,45,-72,-54,-23,-53,-21,13,25
2020-05-18,16.7,88.06782142,43,-42,-22,16,-46,-38,15,30
2020-05-19,16,82.96010875,53,-45,-18,-1,-48,-39,16,38
2020-05-20,19.25,60.80861962,116,-43,-18,28,-46,-38,15,30
2020-05-21,18.35,76.67884235,57,-43,-15,19,-45,-38,16,34
2020-05-22,18.9,83.63920069,55,-46,-14,21,-45,-37,17,63
2020-05-23,18.15,93.88308962,33,-44,-20,-2,-36,-19,9,76
2020-05-24,17.45,54.77797419,17,-45,-36,30,-29,-7,5,57
2020-05-25,18.25,66.63293596,14,-34,-19,28,-43,-36,13,30
2020-05-26,17.9,62.53427178,47,-34,-15,28,-43,-35,13,38
2020-05-27,16.85,71.06445423,38,-34,-14,26,-43,-34,13,42
2020-05-28,18.3,76.73691429,29,-34,-14,25,-42,-35,13,38
2020-05-29,14,79.90916118,32,-36,-11,16,-42,-35,15,53
2020-05-30,15.85,58.85471765,28,-36,-16,25,-27,-14,6,34
2020-05-31,15.7,75.50626178,20,-40,-30,22,-27,-1,5,42
2020-06-01,18.3,73.64161009,12,-16,2,74,-35,-49,12,57
2020-06-02,19.25,81.92419826,25,-35,-41,129,-48,-75,18,55
2020-06-03,17,89.1833026,9,-34,-13,-7,-40,-33,12,53
2020-06-04,14.2,100,9,-35,-12,-36,-44,-35,14,42
2020-06-05,17.6,61.51330171,12,-26,-10,42,-34,-32,11,25
2020-06-06,16.85,85.88120879,22,-27,-15,29,-23,-12,4,25
2020-06-07,15.25,100,4,-39,-29,-29,-38,-4,6,25
2020-06-08,13.15,99.04622105,7,-32,-22,-25,-44,-33,12,21
2020-06-09,12.5,99.50985958,7,-29,-17,-19,-43,-33,12,17
2020-06-10,14.6,89.84481917,8,-23,-12,10,-38,-31,10,17
2020-06-11,13.4,100,29,-25,-14,-22,-43,-32,12,25
2020-06-12,13.3,100,16,-26,-12,-2,-40,-32,11,25
2020-06-13,14,88.7514196,10,-30,-17,-14,-32,-11,6,30
2020-06-14,18.3,60.91535559,14,-20,-24,59,-12,6,-1,25
2020-06-15,18.15,63.97657971,1,-19,-16,34,-34,-30,8,25
2020-06-16,16.9,85.62403225,11,-21,-13,11,-37,-30,9,25
2020-06-17,15,96.87847031,17,-22,-13,-2,-38,-30,10,21
2020-06-18,15.35,96.92154882,5,-18,-11,17,-35,-30,9,17
2020-06-19,17.85,85.16109408,7,-16,-8,60,-29,-30,7,30
2020-06-20,19.1,65.17430945,8,-20,-13,55,-17,-7,0,25
2020-06-21,20.8,56.02506975,10,-22,-26,56,-12,6,-4,30
2020-06-22,22.85,51.84440172,5,-17,-14,47,-32,-31,6,30
2020-06-23,23.6,47.33545004,3,-14,-9,57,-29,-30,6,34
2020-06-24,22.6,73.82652024,7,-13,-13,62,-37,-35,7,
2020-06-25,20.75,91.55219184,5,-16,-9,37,-31,-29,7,
2020-06-26,19.6,80.57477415,5,-19,-9,46,-29,-30,7,
2020-06-27,19.9,69.02527651,5,-23,-16,25,-21,-9,1,55
2020-06-28,22.75,78.44751055,2,-22,-24,44,-12,9,-4,53
2020-06-29,24.2,85.61667171,1,-15,-12,45,-31,-29,5,46
2020-06-30,22.5,83.90056753,6,-12,-8,48,-30,-28,6,50
2020-07-01,22.51666667,84.64299425,5,-14,-8,18,-33,-27,6,25
2020-07-02,22.8,73.38837891,9,-14,-9,35,-29,-28,6,46
2020-07-03,20.125,91.03058439,2,-22,-13,10,-33,-29,7,38
2020-07-04,21.25,72.35195534,4,-18,-12,52,-16,-8,-2,25
2020-07-05,23.25,72.67109745,5,-21,-23,49,-12,6,-6,21
2020-07-06,24.65,77.50899454,1,-15,-12,45,-30,-30,4,30
2020-07-07,21.95,72.8202297,0,-11,-7,50,-29,-29,4,50
2020-07-08,22.85,69.65530592,7,-13,-10,50,-30,-27,4,30
2020-07-09,24.45,76.59285226,6,-13,-10,50,-28,-27,4,46
2020-07-10,23.7,84.00834699,2,-18,-11,37,-29,-29,5,57
2020-07-11,23.4,93.17047968,1,-20,-14,39,-18,-7,-1,61
2020-07-12,21.2,72.17808427,3,-20,-21,41,-11,8,-5,53
2020-07-13,21.05,77.56852333,4,-14,-11,44,-30,-29,4,25
2020-07-14,21,74.28458768,1,-12,-10,49,-30,-28,4,
2020-07-15,20.6,84.14797952,0,-12,-10,32,-31,-26,5,
2020-07-16,22.75,83.24012788,1,-10,-10,52,-28,-27,3,
2020-07-17,22.4,75.34193623,8,-15,-11,52,-28,-28,4,57
2020-07-18,20,81.57707413,2,-17,-14,46,-16,-7,-2,46
2020-07-19,22.4,76.50982815,3,-20,-23,47,-9,10,-6,30
2020-07-20,23.3,89.98137901,0,-14,-14,46,-30,-30,3,42
2020-07-21,24,93.96821973,3,-12,-11,49,-30,-29,4,46
2020-07-22,23.2,87.15529274,1,,,,,,,55
2020-07-23,23.75,70.963426,0,,,,,,,53
