date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2
2020-02-24,11.06666667,78.84002834,0,-18,27,28,-32,-22,9,144,52,29
2020-02-25,10,87.51706178,0,-22,3,8,-37,-23,11,119,50,28
2020-02-26,6.75,49.2636896,0,-23,-7,-5,-40,-23,11,114,21,22
2020-02-27,4.5,65.6373733,0,-19,-7,7,-39,-23,10,68,10,27
2020-02-28,7.35,27.47007407,3,-16,-6,32,-37,-24,10,38,14,40
2020-02-29,5.7,55.46277548,1,-24,-5,-12,-34,-20,8,50,18,27
2020-03-01,6,98.35856444,0,-33,-9,-38,-40,-14,7,61,,
2020-03-02,4.65,100,0,-26,-18,-53,-44,-20,11,,,
2020-03-03,7.75,44.0828647,3,-13,-1,16,-35,-19,9,,7,30
2020-03-04,7.966666667,40.79457927,4,-14,-1,46,-34,-19,8,38,10,39
2020-03-05,5.283333333,86.20871503,6,-22,-6,-31,-42,-21,11,30,23,27
2020-03-06,3.583333333,100,6,-20,-2,1,-40,-22,11,78,24,31
2020-03-07,10.5,24.52213914,4,-25,-1,54,-31,-19,7,82,14,25
2020-03-08,5.5,47.36399013,5,-48,-1,16,-42,-19,8,50,11,31
2020-03-09,6.85,74.62066928,12,-42,-9,-35,-57,-31,16,38,22,27
2020-03-10,7.616666667,58.35607273,6,-50,-8,-25,-61,-38,20,70,8,22
2020-03-11,12,76.45894581,25,-57,-13,-23,-65,-43,22,25,17,38
2020-03-12,12,90.38051775,23,-74,-26,-62,-74,-52,28,59,24,26
2020-03-13,12.5,87.64683375,27,-78,-27,-57,-76,-58,31,70,24,25
2020-03-14,10.5,91.86348844,33,-86,-46,-80,-80,-63,26,72,17,16
2020-03-15,8.55,76.23175763,26,-91,-58,-78,-83,-57,22,57,16,13
2020-03-16,8.75,71.28631151,18,-78,-35,-62,-79,-63,30,55,21,26
2020-03-17,8.5,72.31207859,32,-80,-39,-59,-80,-65,32,65,25,26
2020-03-18,10.75,62.3873744,31,-82,-42,-67,-81,-66,33,74,28,31
2020-03-19,11.5,60.23444482,45,-82,-43,-72,-82,-67,34,85,20,31
2020-03-20,11.5,68.29036087,28,-82,-40,-76,-82,-68,36,68,30,25
2020-03-21,11.25,61.31396376,21,-88,-55,-84,-83,-67,27,80,21,22
2020-03-22,10.86666667,70.38627772,27,-95,-80,-92,-89,-65,24,76,30,7
2020-03-23,5.066666667,48.77412189,35,-84,-47,-82,-86,-74,35,87,19,12
2020-03-24,5,45.3706789,29,-84,-48,-78,-85,-74,36,53,20,23
2020-03-25,4,60.21922191,18,-86,-50,-82,-86,-75,37,53,20,17
2020-03-26,5,64.06888347,34,-86,-51,-83,-86,-77,39,61,23,19
2020-03-27,9.75,65.17744273,209,-86,-47,-82,-86,-77,40,76,24,18
2020-03-28,11.75,59.53142318,57,-89,-59,-85,-85,-70,28,76,58,27
2020-03-29,13,57.8407093,44,-95,-81,-91,-89,-65,24,80,60,19
2020-03-30,9,90.39825135,54,-85,-48,-82,-85,-75,36,78,11,15
2020-03-31,5,70.08412104,27,-92,-42,-78,-84,-76,37,50,12,14
2020-04-01,4.8,63.22379968,44,-92,-40,-78,-84,-75,37,38,18,25
2020-04-02,6.25,61.74447723,65,-92,-40,-78,-84,-75,38,61,27,34
2020-04-03,9.25,53.14045816,83,-88,-39,-78,-84,-74,39,85,30,40
2020-04-04,10.75,56.68811177,63,-91,-53,-84,-84,-68,28,93,33,18
2020-04-05,13,41.27635353,43,-96,-77,-90,-88,-64,24,97,21,13
2020-04-06,13,46.91187195,102,-86,-39,-77,-83,-71,34,76,21,12
2020-04-07,14.5,39.97738382,33,-85,-39,-75,-83,-72,35,74,21,11
2020-04-08,14.75,39.065501,22,-85,-37,-77,-83,-71,35,72,23,12
2020-04-09,14.5,42.60782484,143,-84,-33,-77,-83,-71,35,76,24,17
2020-04-10,15.75,39.55498266,98,-84,-29,-77,-82,-73,38,70,17,12
2020-04-11,18.5,27.99982209,44,-89,-47,-83,-82,-67,27,65,15,12
2020-04-12,16.25,26.60691034,30,-97,-95,-91,-90,-68,25,63,10,5
2020-04-13,16.75,36.22530681,48,-96,-84,-85,-92,-92,43,42,15,2
2020-04-14,13.05,62.72259969,102,-83,-40,-74,-82,-68,34,57,20,12
2020-04-15,11.5,52.59455696,71,-83,-38,-75,-82,-67,34,65,17,7
2020-04-16,12.5,53.78637848,69,-82,-38,-75,-82,-67,34,53,23,15
2020-04-17,16,46.82862446,68,-83,-36,-75,-82,-67,36,63,20,15
2020-04-18,16.75,62.63486529,85,-88,-55,-82,-81,-63,27,61,22,9
