date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2
2020-02-24,7.5,90.40716983,0,-12,28,14,-21,-18,6,142,55,35,22
2020-02-25,9,93.48238181,0,-11,3,9,-26,-19,7,137,64,22,25
2020-02-26,9.5,40.56793437,0,-15,-7,-6,-29,-17,7,154,46,32,23
2020-02-27,8,34.4411764,0,-11,-5,2,-29,-15,7,102,20,31,27
2020-02-28,7.55,37.12415487,0,-10,-4,10,-28,-15,7,50,26,36,35
2020-02-29,8.25,48.33763576,0,-13,-1,-2,-26,-16,5,53,29,26,20
2020-03-01,7,95.94703387,2,-30,-8,-65,-42,-10,8,59,,,
2020-03-02,8.683333333,84.58486234,6,-19,-9,-40,-36,-13,7,,,,
2020-03-03,7.516666667,90.39892486,9,-11,-2,-21,-33,-13,7,,10,22,22
2020-03-04,7.183333333,77.87658084,4,-8,-2,3,-27,-12,5,38,11,30,19
2020-03-05,6.25,86.97226526,4,-12,-1,-15,-32,-13,6,34,16,30,24
2020-03-06,6.533333333,89.45587325,17,-14,0,-9,-33,-13,7,42,20,24,18
2020-03-07,7.983333333,75.13200508,10,-16,2,8,-27,-16,5,59,24,30,12
2020-03-08,7.5,61.52291669,11,-31,8,12,-26,-11,5,68,11,38,18
2020-03-09,8.25,73.85731645,10,-30,0,-22,-45,-19,10,42,27,34,20
2020-03-10,7.933333333,78.20003096,23,-39,1,-30,-50,-23,14,68,36,29,25
2020-03-11,10.85,69.25567575,14,-48,-6,-37,-55,-27,16,89,39,33,22
2020-03-12,12.5,82.16759276,40,-70,-13,-62,-65,-37,22,95,53,25,19
2020-03-13,13,79.5965107,60,-76,-16,-68,-71,-45,27,122,41,29,16
2020-03-14,11.25,63.53071447,65,-85,-37,-84,-80,-57,26,95,19,29,13
2020-03-15,8.75,61.75208754,60,-91,-61,-82,-82,-53,23,59,13,38,6
2020-03-16,9.5,58.28445108,90,-76,-30,-69,-75,-51,26,46,27,37,14
2020-03-17,9,68.7698612,56,-77,-34,-68,-76,-54,29,63,42,41,17
2020-03-18,11.56666667,65.62814647,145,-79,-37,-72,-76,-55,29,93,43,45,20
2020-03-19,12.25,61.54040428,60,-79,-35,-75,-78,-56,30,107,28,45,16
2020-03-20,13.15,68.96572025,98,-80,-29,-78,-79,-57,32,76,39,47,13
2020-03-21,9.95,93.48238181,170,-88,-47,-88,-84,-62,28,91,51,43,12
2020-03-22,10.61666667,52.78910786,92,-96,-96,-93,-89,-62,25,127,22,33,9
2020-03-23,5.216666667,38.38741538,53,-80,-37,-79,-81,-63,31,68,15,36,8
2020-03-24,6.5,44.80389443,129,-80,-39,-78,-79,-64,33,34,19,36,12
2020-03-25,5.316666667,41.91050759,76,-83,-43,-82,-81,-65,33,53,14,35,11
2020-03-26,5.033333333,64.84195561,98,-84,-44,-84,-83,-69,36,42,18,33,10
2020-03-27,10,66.98842941,243,-83,-37,-82,-83,-69,38,46,39,28,14
2020-03-28,11.25,62.57573711,109,-88,-52,-87,-84,-65,28,74,64,39,10
2020-03-29,14,54.89317287,122,-96,-95,-91,-89,-62,25,76,69,43,6
2020-03-30,12.98333333,57.32541061,106,-83,-42,-80,-81,-67,33,78,37,37,6
2020-03-31,5,70.40306007,130,-90,-37,-77,-79,-68,34,59,10,35,9
2020-04-01,5,61.34278676,175,-90,-36,-77,-78,-67,34,30,17,37,9
2020-04-02,7,55.24306987,118,-90,-34,-77,-79,-67,35,53,22,42,11
2020-04-03,8.75,54.62591041,83,-85,-29,-79,-80,-67,36,63,37,50,15
