date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,9.2,93.88841179,0,-6,23,31,-21,-21,5,124,32,12,1.795751375,1.791214157,1.583473092,1.964006334,16.52040734,0,0,0,0
2020-02-25,9,93.52980581,0,-10,3,3,-26,-21,7,80,19,14,1.759563108,1.757155497,1.590207586,1.93817839,31.44700448,0,0,0,0
2020-02-26,7.5,18.70248307,0,-14,-7,-12,-29,-19,8,157,33,12,1.721424201,1.718514759,1.543452127,1.863751592,34.68940014,0,0,0,0
2020-02-27,6.85,61.82869637,0,-9,-4,-2,-26,-18,7,65,27,17,1.677777029,1.675393884,1.510212084,1.822428638,36.64598319,0,0,0,0
2020-02-28,8.475,11.96583037,0,-8,-3,24,-22,-17,7,42,36,22,1.632544784,1.630854854,1.494671663,1.789943115,40.89008991,5.495765007,0,0,0
2020-02-29,7,79.98218505,0,-12,-1,-8,-18,-7,5,53,19,22,1.58376321,1.578923362,1.448296783,1.722739819,45.9423359,8.560457113,0,0,0
2020-03-01,,,0,-11,-2,3,-14,-3,3,82,,,1.532408228,1.530664179,1.395626808,1.648943922,50.96236556,10.67555559,0,0,0
2020-03-02,7.25,96.25707234,0,-15,-10,-38,-29,-15,7,,,,1.479835137,1.477267514,1.354557838,1.594836603,56.03764793,12.92989691,0,0,0
2020-03-03,7.7,53.51231707,1,-2,1,21,-20,-14,5,,28,19,1.426436723,1.426443594,1.305270398,1.539342381,61.23675352,15.89596571,2.911720051,1,5
2020-03-04,8,27.22160456,15,-4,1,25,-21,-13,5,,34,16,1.373879906,1.373356632,1.26738907,1.478950362,66.45860364,18.59231388,43.67580076,15,49
2020-03-05,4,100,6,-14,-3,-23,-27,-15,7,,26,20,1.319489287,1.315829271,1.215372875,1.418333523,71.57256081,22.14347005,17.47032031,6,0
2020-03-06,7.7,80.33691592,10,-13,0,4,-25,-15,8,,28,21,1.269078409,1.268752189,1.188332347,1.379011614,76.46982293,24.95962112,29.11720051,10,71
2020-03-07,8.5,25.10231893,8,-15,2,26,-17,-8,5,157,33,12,1.223512872,1.22100078,1.132517973,1.317652799,81.03521778,28.33107273,23.29376041,8,32
2020-03-08,,,20,-34,5,-2,-25,-8,6,172,37,13,1.172695802,1.169624445,1.084093506,1.261487725,85.17546243,32.36136879,58.23440102,20,77
2020-03-09,5.55,93.33584657,3,-31,-2,-19,-42,-24,12,,37,13,1.128230374,1.124506888,1.046760251,1.209960775,88.83815346,36.02807492,0,0,0
2020-03-10,8.6,62.30610241,2,-43,-7,-21,-51,-30,16,59,34,19,1.088324174,1.087878017,1.011924963,1.168354761,91.9223268,40.16671971,5.823440102,2,13
2020-03-11,10,89.1836294,40,-50,-14,-19,-56,-35,19,65,36,11,1.04877574,1.048265165,0.977371013,1.124636542,94.35312421,44.42896961,116.468802,40,48
2020-03-12,9,99.50105597,27,-69,-23,-57,-66,-44,24,50,32,9,1.014495415,1.014663202,0.930554051,1.080523129,96.13369607,49.12290961,54.51767601,27,153
2020-03-13,9,100,4,-73,-26,-51,-69,-50,28,53,32,18,0.98345879,0.983174199,0.913065881,1.062972789,97.14108091,53.48342515,0,0,0
2020-03-14,8.9,93.43425776,46,-84,-44,-77,-75,-55,26,38,40,6,0.955538067,0.952397077,0.879300206,1.024973324,97.64906098,57.96408457,17.71937766,46,802
2020-03-15,,,25,-90,-61,-78,-80,-52,22,70,23,6,0.930373492,0.930649532,0.857419092,0.997679944,97.5183359,62.45298855,72.79300127,25,73
2020-03-16,10,40.27469147,66,-73,-35,-58,-73,-56,27,53,33,7,0.907405855,0.907348424,0.840095239,0.974826787,96.81479306,66.82760738,102.9778325,66,198
2020-03-17,10.7,47.64554783,50,-75,-38,-56,-73,-59,29,78,36,11,0.888242183,0.887144547,0.814638564,0.950641075,95.6252584,70.97581597,123.573399,50,125
2020-03-18,12.1,48.81252061,51,-77,-42,-61,-75,-60,30,76,38,11,0.872153824,0.86994519,0.807043559,0.942560751,94.00637429,74.93128167,140.6750747,51,112
2020-03-19,13.5,37.04666642,0,-77,-41,-65,-76,-61,31,114,43,15,0.857324482,0.856803374,0.784867684,0.919920313,92.02230576,78.48905348,0,0,0
2020-03-20,12.5,66.98043201,221,-79,-37,-71,-76,-62,33,132,45,15,0.844229051,0.84190374,0.773375759,0.90441675,89.75106022,81.62021395,145.5742067,221,469
2020-03-21,11.5,56.86866336,59,-86,-51,-82,-79,-59,26,97,34,11,0.834847427,0.831543427,0.763086134,0.891342457,87.25478753,84.33727436,123.9937166,59,147
2020-03-22,,,106,-94,-82,-91,-86,-59,24,74,41,7,0.825592994,0.823135129,0.768854214,0.89475666,84.58137082,86.64629005,103.3026837,106,317
2020-03-23,4.85,30.17507793,57,-80,-45,-79,-81,-69,33,89,29,5,0.818396377,0.817898938,0.757819919,0.883453567,81.79198288,88.43958782,158.6415257,57,111
2020-03-24,5.2,27.29757216,129,-81,-46,-77,-80,-70,34,50,31,9,0.812609568,0.812032994,0.760720723,0.882123102,78.93481591,89.76046717,105.70934,129,377
2020-03-25,4,37.52616022,0,-82,-49,-80,-81,-70,35,61,35,10,0.808482362,0.80922638,0.742019521,0.870429982,76.04479843,90.55359934,0,0,0
2020-03-26,2,57.30675051,34,-83,-49,-80,-82,-73,36,59,32,5,0.804741232,0.804907148,0.737034739,0.867475566,73.15696849,90.92280574,98.99848173,34,93
2020-03-27,6,66.62997572,126,-83,-45,-80,-81,-72,38,55,26,5,0.802510492,0.800137988,0.742830004,0.866969405,70.30212425,90.8333838,104.3582324,126,373
2020-03-28,11.5,56.24594114,91,-87,-54,-83,-80,-62,27,80,27,8,0.802028633,0.802660699,0.739988574,0.868001347,67.50053714,90.35326619,98.98925445,91,284
2020-03-29,,,58,-94,-82,-89,-85,-59,23,112,37,8,0.800019313,0.800072853,0.734075708,0.860176236,64.76835482,89.47800725,64.92080743,58,276
2020-03-30,9,78.12792406,25,-82,-47,-79,-80,-71,34,109,39,5,0.798980685,0.798628895,0.734010568,0.864847144,62.12584465,88.29086349,72.79300127,25,70
2020-03-31,6.1,49.30659044,37,-90,-42,-77,-79,-71,34,80,35,10,0.797952747,0.797841869,0.729223892,0.856725935,59.57401503,86.79910011,83.43459419,37,137
2020-04-01,5.6,34.9617706,61,-90,-40,-75,-78,-70,34,38,31,6,0.797735374,0.795328124,0.738560632,0.864305517,57.10789037,85.07231332,63.45098768,61,297
2020-04-02,7,43.46177311,50,-89,-39,-73,-78,-70,35,61,37,8,0.795923696,0.794903976,0.735947103,0.859501837,54.72973521,83.12948962,84.4080594,50,183
2020-04-03,10.8,34.48145834,63,-85,-36,-74,-78,-70,37,78,41,8,0.794288313,0.792341867,0.7353481,0.860486117,52.44121146,81.03461899,76.9281041,63,253
2020-04-04,13.7,24.66659128,100,-89,-49,-82,-78,-61,27,91,45,11,0.791687914,0.790438825,0.732035563,0.858549122,50.23533094,78.81056873,86.53599367,100,357
2020-04-05,,,172,-95,-80,-88,-85,-59,23,91,47,7,0.78904071,0.78772346,0.711396801,0.839878318,48.10258363,76.51244793,148.4261496,172,358
2020-04-06,15,32.38395209,141,-82,-38,-73,-77,-67,32,78,46,11,0.784742173,0.782843636,0.724439852,0.855862391,46.03563409,74.12114067,67.22164064,141,648
2020-04-07,17,24.5516207,42,-81,-36,-72,-77,-68,33,87,53,11,0.778538001,0.778472083,0.711726231,0.841435474,44.02963456,71.70903985,43.10699964,42,301
2020-04-08,16.6,27.16799942,70,-81,-36,-73,-77,-67,33,91,46,11,0.773272476,0.771956401,0.715870338,0.842285452,42.07601593,69.28877246,38.13993795,70,567
2020-04-09,15.1,20.4677371,65,-80,-31,-72,-77,-67,33,78,51,8,0.768761813,0.766239644,0.702620548,0.827112103,40.16131779,66.88446606,45.7418618,65,439
2020-04-10,16.45,29.25887786,38,-80,-25,-72,-76,-68,35,72,53,11,0.763584561,0.761348566,0.685571162,0.812053555,38.28327085,64.48423344,32.51931552,38,361
2020-04-11,16.2,32.2542693,72,-85,-42,-81,-76,-59,26,74,49,7,0.759973129,0.757912035,0.693897501,0.817888882,36.45059544,62.1272149,60.11678868,72,370
2020-04-12,,,57,-96,-90,-90,-86,-61,24,63,42,4,0.754638899,0.750561773,0.693063231,0.81742241,34.66742599,59.80896444,50.6011763,57,348
2020-04-13,,,67,-96,-95,-83,-90,-91,41,53,50,,0.74986521,0.747765024,0.688974006,0.810660018,32.93794158,57.53768372,55.94201169,67,370
2020-04-14,15.05,52.8744333,52,-80,-37,-73,-76,-65,31,59,41,4,0.744258608,0.745068128,0.680674147,0.802934778,31.26166879,55.32180823,68.35975262,52,235
2020-04-15,12,48.82081449,40,-80,-37,-73,-76,-64,32,61,37,6,0.739094049,0.737547428,0.674322407,0.795403934,29.6365139,53.14698452,41.74776992,40,296
2020-04-16,13.1,50.48009716,173,-79,-35,-72,-75,-64,32,50,45,13,0.737059829,0.736480225,0.678726075,0.797673244,28.06189093,51.02460254,53.82225081,173,993
2020-04-17,13.2,76.27642832,116,-79,-33,-71,-75,-64,34,59,41,15,0.734263637,0.730721663,0.673775602,0.789454747,26.5385843,48.94862342,35.76475619,116,1002
2020-04-18,13,93.71279798,56,-85,-51,-80,-76,-55,26,53,43,10,0.732208549,0.730213336,0.671859907,0.789792243,25.07631066,46.92812196,39.77074909,56,435
2020-04-19,,,31,-95,-81,-89,-85,-55,23,57,35,4,0.730863788,0.729640905,0.670347731,0.78471168,23.68072206,44.94024989,0,0,0
2020-04-20,13,96.36441533,32,-81,-53,-81,-80,-63,31,61,33,6,0.728587813,0.727264544,0.668608926,0.784701953,22.35109508,43.00329551,58.15218775,32,170
2020-04-21,9,87.38422578,84,-80,-48,-78,-78,-63,32,61,29,6,0.729318741,0.727516298,0.665468496,0.783786811,21.08740533,41.11641997,58.18478426,84,446
2020-04-22,14,27.79777925,109,-78,-43,-70,-74,-61,30,59,45,7,0.729496573,0.728782663,0.664977231,0.782995762,19.88695949,39.26769522,50.78997167,109,663
2020-04-23,16,35.28939186,26,-77,-39,-69,-74,-61,31,68,48,15,0.731710259,0.73035437,0.670812249,0.785303757,18.75109888,37.47445018,35.69898192,26,225
2020-04-24,15,41.69369384,80,-76,-29,-65,-72,-60,32,72,54,17,0.734808092,0.729985773,0.674597576,0.795280487,17.68143777,35.72659966,44.45086294,80,556
2020-04-25,,,66,-95,-95,-84,-84,-72,29,72,42,5,0.736512588,0.732090038,0.673034488,0.792775126,16.67819479,34.02620172,47.4176996,66,430
2020-04-26,,,8,-92,-65,-87,-81,-50,22,50,41,4,0.741237293,0.73889394,0.68063785,0.803366763,15.74185391,32.37312379,23.29376041,8,74
2020-04-27,12,82.22663623,83,-74,-38,-72,-74,-59,28,30,33,9,0.746089056,0.742740478,0.675264931,0.797181243,14.8677067,30.78407725,39.63134511,83,647
2020-04-28,12,93.66802689,47,-78,-44,-75,-76,-60,29,30,31,10,0.751464495,0.748891006,0.686255752,0.812978767,14.05330272,29.2271373,32.26638751,47,450
2020-04-29,13.3,74.64128948,28,-75,-36,-65,-71,-58,28,38,38,6,0.756064925,0.752915946,0.693019527,0.820014363,13.29807312,27.7411202,34.60055171,28,250
