date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,10,76.43184793,0,-18,27,28,-32,-22,9,117,51,26,22,1.686317273,1.682793112,1.528793794,1.798790613,165.891661,30.46160131,0,0,0
2020-02-25,10,81.80288937,18,-22,3,8,-37,-23,11,127,44,29,22,1.621839976,1.613453066,1.484261461,1.735759968,186.5468873,38.20018443,27.14416186,18,592
2020-02-26,7.933333333,31.17467698,2,-23,-7,-5,-40,-23,11,104,22,37,19,1.556744345,1.553832709,1.438740162,1.664093074,208.2790667,45.62459127,0,0,0
2020-02-27,6.5,30.72411757,52,-19,-7,7,-39,-23,10,65,12,32,24,1.486505737,1.485836687,1.37202218,1.592434736,230.6084434,55.41113281,78.4164676,52,40
2020-02-28,8.6,25.75446207,31,-16,-6,32,-37,-24,10,46,11,37,32,1.421224419,1.416497066,1.304276803,1.514722433,253.0638579,64.02573797,46.74827876,31,367
2020-02-29,7.5,43.28793802,7,-24,-5,-12,-34,-20,8,57,23,30,23,1.354905448,1.351659232,1.255901175,1.456159262,275.0663636,74.49219919,10.55606295,7,74
2020-03-01,5.95,93.38541803,99,-33,-9,-38,-40,-14,7,80,,,,1.289848458,1.288940288,1.171827355,1.369576478,296.0807477,87.09917199,149.2928902,99,310
2020-03-02,6.75,93.43425776,34,-26,-18,-53,-44,-20,11,,,,,1.227363406,1.224873935,1.119760077,1.313826439,315.5872555,99.56577002,51.27230574,34,132
2020-03-03,6.5,88.42018855,129,-13,-1,16,-35,-19,9,,17,28,19,1.164258238,1.163840746,1.063887203,1.240910807,333.0091909,113.8830043,148.4135007,129,801
2020-03-04,7.25,68.31648018,51,-14,-1,46,-34,-19,8,57,15,31,29,1.106362561,1.106022295,1.011523388,1.181150471,347.8445137,129.2906082,76.90845861,51,435
2020-03-05,5.2,84.14599196,114,-22,-6,-31,-42,-21,11,57,18,30,16,1.056057766,1.054357374,0.9702269,1.130443176,359.6034838,146.4869852,0,0,0
2020-03-06,4.883333333,91.72984722,86,-20,-2,1,-40,-22,11,61,20,25,27,1.005985095,1.003693382,0.935782883,1.078668341,367.666634,163.702647,129.6887733,86,286
2020-03-07,7,62.21283789,138,-25,-1,54,-31,-19,7,72,23,32,24,0.96097458,0.957442703,0.897990223,1.030290643,372.7131266,181.9156752,208.1052409,138,380
2020-03-08,7,51.98880847,236,-48,-1,16,-42,-19,8,72,12,38,17,0.922711139,0.921702916,0.85864572,0.984816725,374.2898882,200.7509097,257.0738223,236,846
2020-03-09,7.533333333,74.62494603,248,-42,-9,-35,-57,-31,16,50,25,32,22,0.885649227,0.883785307,0.823508041,0.946620184,372.4903173,219.7645963,373.9862301,248,310
2020-03-10,9,58.61155872,227,-50,-8,-25,-61,-38,20,76,16,34,16,0.85273204,0.850948113,0.788950293,0.911516695,367.7148064,238.5192961,220.8981573,227,947
2020-03-11,11,65.63898611,343,-57,-13,-23,-65,-43,22,55,20,27,26,0.825694148,0.825051462,0.764780639,0.884828738,360.2799352,256.8715853,330.6377544,343,956
2020-03-12,12.03333333,79.25584124,321,-74,-26,-62,-74,-52,28,65,38,28,16,0.801613927,0.800577297,0.74468682,0.858246391,350.4734669,274.0981884,341.1946006,321,867
2020-03-13,13,82.04792647,232,-78,-27,-57,-76,-58,31,99,25,33,15,0.780199439,0.77984479,0.722771013,0.834175091,338.7614024,289.8836554,318.6263435,232,671
2020-03-14,10.25,85.99996241,496,-86,-46,-80,-80,-63,26,70,28,30,11,0.761715298,0.761970096,0.70706829,0.818998308,325.6206516,304.0175598,387.3609919,496,1180
2020-03-15,6.75,83.3817945,552,-91,-58,-78,-83,-57,22,82,13,31,10,0.746908062,0.744581696,0.685509353,0.796551462,311.4263337,316.2894051,452.5733549,552,1124
2020-03-16,8,72.42090054,344,-78,-35,-62,-79,-63,30,53,20,34,16,0.735459876,0.734561747,0.683354492,0.799897023,296.512905,326.2692508,397.2571899,344,798
2020-03-17,9.25,75.03419041,233,-80,-39,-59,-80,-65,32,63,30,37,17,0.726560996,0.724821106,0.670577993,0.786607333,281.2258031,333.9206437,351.3660952,233,428
2020-03-18,10.75,70.25572826,312,-82,-42,-67,-81,-66,33,93,34,44,16,0.720026848,0.719311729,0.665727688,0.779794023,265.9041904,339.0240341,470.4988056,312,530
2020-03-19,12.5,63.7523397,340,-82,-43,-72,-82,-67,34,99,24,46,17,0.715164683,0.714399666,0.653675095,0.766529894,250.8165661,341.7720133,512.7230574,340,511
2020-03-20,13,71.87913085,509,-82,-40,-76,-82,-68,36,78,38,46,14,0.711081224,0.710276008,0.654227324,0.765205123,236.1559078,342.0914552,445.0341995,509,1054
2020-03-21,12.5,74.14053877,715,-88,-55,-84,-83,-67,27,97,25,45,9,0.709547861,0.707446468,0.646272899,0.760231243,222.0499429,340.1910248,313.4653526,715,2102
2020-03-22,10.73333333,62.31330818,347,-95,-80,-92,-89,-65,24,74,24,32,6,0.710204425,0.708230108,0.655740359,0.769278722,208.5642071,336.1515768,402.740391,347,794
2020-03-23,5,49.1316801,255,-84,-47,-82,-86,-74,35,74,18,31,8,0.711748764,0.708107565,0.646343361,0.759742317,195.7689838,330.2810295,384.542293,255,434
2020-03-24,5.833333333,45.50444029,257,-84,-48,-78,-85,-74,36,50,20,37,14,0.716372453,0.713410749,0.655453815,0.773418351,183.7384011,322.7368174,387.558311,257,457
2020-03-25,4.216666667,63.22849282,344,-86,-50,-82,-86,-75,37,63,20,32,7,0.722615459,0.719785128,0.665973646,0.778367992,172.4957066,313.8366976,304.5256845,344,1041
2020-03-26,5,68.66131433,386,-86,-51,-83,-86,-77,39,61,23,28,9,0.730080308,0.725517231,0.669144807,0.782156328,162.0637595,303.790922,387.4903028,386,918
2020-03-27,9.5,61.59193531,602,-86,-47,-82,-86,-77,40,70,31,32,11,0.737497887,0.736624601,0.675944188,0.78875142,152.4623969,292.9091906,272.4801894,602,2036
2020-03-28,11.5,62.48783511,289,-89,-59,-85,-85,-70,28,82,68,39,12,0.744895409,0.741906091,0.691674772,0.804889292,143.6733511,281.3965644,293.6342903,289,907
2020-03-29,13.01666667,58.51124637,178,-95,-81,-91,-89,-65,24,89,58,41,8,0.753855219,0.75303571,0.703903655,0.81252247,135.638942,269.5181459,268.4256006,178,547
2020-03-30,10.48333333,71.8491287,137,-85,-48,-82,-85,-75,36,70,27,38,7,0.763058931,0.762396154,0.706536547,0.823594209,128.2855801,257.3573461,206.5972319,137,434
2020-03-31,4,75.36375497,139,-92,-42,-78,-84,-76,37,57,9,30,11,0.772634484,0.77088638,0.717778904,0.833387465,121.5674908,245.1927331,209.6132499,139,476
2020-04-01,4.65,63.35450285,236,-92,-40,-78,-84,-75,37,38,16,33,15,0.783185354,0.781775751,0.730439265,0.845703284,115.4488146,233.1518626,211.7667514,236,1027
2020-04-02,6.5,58.18444999,132,-92,-40,-78,-84,-75,38,63,22,41,16,0.793722626,0.790979359,0.732247659,0.856455622,109.882175,221.3756659,174.0255321,132,699
2020-04-03,9.5,55.00299485,144,-88,-39,-78,-84,-74,39,72,33,46,20,0.805045171,0.80435799,0.740367978,0.871917842,104.825437,209.9104735,198.0632515,144,670
2020-04-04,11,55.99797244,273,-91,-53,-84,-84,-68,28,97,38,53,16,0.816340362,0.814101647,0.747417248,0.882111547,100.2409412,198.9040571,215.7646592,273,1166
2020-04-05,11.75,54.51533219,124,-96,-77,-90,-88,-64,24,104,25,46,17,0.826734643,0.823860009,0.762578039,0.899529799,96.09561464,188.3883897,151.9567721,124,752
2020-04-06,13.5,51.2475465,103,-86,-39,-77,-83,-71,34,74,25,53,21,0.8353449,0.832177534,0.778084383,0.911767632,92.35826642,178.4104606,155.3249262,103,478
2020-04-07,14.5,45.01340677,53,-85,-39,-75,-83,-72,35,74,31,56,17,0.842125921,0.838993639,0.776865665,0.907534536,88.98445468,169.0075869,79.92447659,53,291
2020-04-08,13.5,46.84127335,63,-85,-37,-77,-83,-71,35,93,27,50,18,0.848662733,0.846843943,0.777840711,0.908504657,85.91613565,160.1568884,95.00456651,63,476
2020-04-09,15,42.13628285,112,-84,-33,-77,-83,-71,35,82,28,57,18,0.854019413,0.852205936,0.782562492,0.913005711,83.0943924,151.8866389,136.1648563,112,758
2020-04-10,15.25,42.90898633,108,-84,-29,-77,-82,-73,38,89,25,57,16,0.85887236,0.857905433,0.784028337,0.918457503,80.47980789,144.1765638,122.5699309,108,812
2020-04-11,16.5,40.12945824,107,-89,-47,-83,-82,-67,27,80,23,61,21,0.863148179,0.862967467,0.782021945,0.918353428,78.04649982,137.033781,142.6993337,107,691
2020-04-12,15.75,35.47777178,51,-97,-95,-91,-90,-68,25,76,13,49,10,0.866805247,0.86256355,0.790494045,0.924755456,75.77110026,130.3876618,76.90845861,51,333
2020-04-13,16.25,38.07191263,82,-96,-84,-85,-92,-92,43,55,19,54,6,0.868478335,0.867098138,0.800287405,0.935751105,73.63373806,124.2572982,123.6567374,82,342
2020-04-14,13,59.68568527,35,-83,-40,-74,-82,-68,34,68,24,47,11,0.870101485,0.86737969,0.802230526,0.937167748,71.61698444,118.6130482,52.78031473,35,131
2020-04-15,10,59.97159414,46,-83,-38,-75,-82,-67,34,78,19,40,9,0.87180303,0.868653054,0.798426127,0.933929299,69.69561645,113.3955793,69.36841365,46,395
