date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,9,85.3416359,0,-7,33,25,-18,-13,6,104,49,21,33,1.923070317,1.913745387,1.75042114,2.136114845,21.58051328,0,0,0,0
2020-02-25,11,80.80867172,0,-11,1,24,-23,-15,7,109,43,18,34,1.896302603,1.88695258,1.715798801,2.084014463,24.82448454,2.963402395,0,0,0
2020-02-26,8.8,44.02504106,0,-18,-9,-16,-31,-15,8,89,17,29,28,1.86399935,1.85382076,1.650104303,2.0070928,28.73485999,4.618944552,0,0,0
2020-02-27,9.75,36.88205871,0,-12,-6,3,-29,-15,7,42,4,28,19,1.825212257,1.824501813,1.648466621,1.964158562,32.89900921,5.803845845,0,0,0
2020-02-28,8.483333333,32.36243616,0,-11,-5,12,-28,-15,7,13,13,28,40,1.784680943,1.783510509,1.594923048,1.90152688,37.46655986,7.12611776,0,0,0
2020-02-29,10,47.00131561,2,-13,1,4,-23,-16,5,42,20,23,33,1.740732669,1.743995536,1.575624393,1.864005449,42.5247923,8.882780889,4.028402087,2,8
2020-03-01,7,87.24885993,0,-26,-5,-39,-38,-8,6,55,33,22,18,1.692215749,1.687569334,1.544185867,1.818596985,48.04652605,10.5510167,0,0,0
2020-03-02,10.75,79.36274706,1,-14,-6,-25,-31,-10,6,82,16,24,32,1.639141695,1.635469358,1.508052962,1.76844822,53.99008304,12.76458332,2.014201044,1,4
2020-03-03,7.683333333,87.33952994,3,-12,-6,-20,-31,-13,7,38,9,17,26,1.583003364,1.579779475,1.463894238,1.70559594,60.302106,14.69196131,0,0,0
2020-03-04,7,77.30822528,5,-13,-4,-6,-30,-13,7,21,16,19,33,1.526210783,1.523363364,1.410408032,1.637014354,66.89869586,17.05603468,10.07100522,5,20
2020-03-05,8.933333333,75.57401634,8,-16,-5,-13,-32,-14,8,42,20,15,44,1.466396909,1.467967029,1.34029974,1.564329669,73.66946901,19.93993843,16.11360835,8,20
