date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,12,54.39402068,0,10,26,38,-3,-19,4,61,40,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-25,8,76.26296722,1,1,15,19,-12,-23,7,97,53,1,1.50171897,1.497716155,1.297904101,1.68936702,122.9211712,0,0,0,0
2020-02-26,8.5,33.74653846,0,-2,2,-2,-16,-17,6,127,20,16,1.481653865,1.474454577,1.288817259,1.65648852,1.333021574,0,0,0,0
2020-02-27,6.5,36.20803778,0,0,3,4,-12,-18,6,59,15,27,1.458967108,1.452406625,1.284395736,1.633139051,18.8999439,0,0,0,0
2020-02-28,9,21.49043353,0,-1,0,10,-12,-17,6,34,23,27,1.438054187,1.431840606,1.26662611,1.594545428,35.88737625,0,0,0,0
2020-02-29,9,32.15373514,0,-7,0,-3,-9,-7,3,53,16,18,1.411207992,1.402565435,1.252734881,1.550207445,38.84582511,0,0,0,0
2020-03-01,5,93.33584657,0,-21,-6,-45,-27,-4,6,42,19,25,1.381180586,1.375603382,1.232158778,1.505627849,39.25309414,0,0,0,0
2020-03-02,5,93.23444164,0,-15,-9,-36,-14,0,3,57,,14,1.350615372,1.345468718,1.224212418,1.491427971,41.61694503,7.914786815,0,0,0
2020-03-03,8,76.10440405,0,-9,-1,-19,-9,0,2,,6,21,1.317352886,1.313211525,1.169977174,1.425427733,44.72818635,12.30749993,0,0,0
2020-03-04,9,37.10043588,0,-3,1,0,-2,0,1,21,6,33,1.280631196,1.276082823,1.147485323,1.390853527,47.64113747,15.04506326,0,0,0
2020-03-05,5,60.67027023,0,-12,1,-24,-21,-14,7,25,11,14,1.246873515,1.241943954,1.128083254,1.363090455,50.3449898,17.55476971,0,0,0
2020-03-06,6,81.29492231,3,-11,-2,-10,-21,-13,7,30,14,12,1.209093936,1.207090402,1.101541911,1.320630702,52.9248176,20.78343599,12.26657065,3,16
2020-03-07,10,25.78061974,5,-9,2,9,-9,-8,4,50,6,21,1.169140645,1.167932587,1.070950906,1.27819238,55.35531748,23.38017012,0,0,0
2020-03-08,9,37.10043588,0,-14,4,6,-8,-8,3,21,7,28,1.132203728,1.131774169,1.037450704,1.2315726,57.56547493,26.91519535,0,0,0
2020-03-09,8,61.1515982,0,-28,-2,-38,-34,-18,9,30,11,30,1.097412325,1.098793827,0.998492735,1.18505695,59.47820444,29.06326178,0,0,0
2020-03-10,8,61.85243196,29,-45,2,-47,-41,-25,13,34,10,32,1.064379194,1.065739488,0.971011619,1.152160508,61.05497643,31.65794882,0,0,0
2020-03-11,11.5,64.44715675,37,-55,-16,-44,-47,-32,16,30,14,16,1.026865461,1.025968396,0.946963234,1.117734534,62.28621266,34.86378872,0,0,0
2020-03-12,13,58.80903658,29,-75,-24,-64,-62,-41,22,46,32,34,0.993904833,0.993999464,0.915932795,1.078099525,63.16243996,37.23228834,29.4213236,29,532
2020-03-13,15,40.18991571,21,-81,-35,-72,-69,-49,27,85,24,31,0.963739961,0.96214729,0.879040605,1.039109928,63.64065434,39.95117185,55.56034944,21,204
2020-03-14,5.5,93.31068668,48,-90,-54,-87,-80,-57,26,72,4,23,0.935431272,0.93265822,0.859246651,1.023871425,63.7038037,42.54467229,79.95986797,48,324
2020-03-15,9,71.16370158,31,-92,-72,-84,-80,-58,23,9,9,,0.907256244,0.903605742,0.83454834,0.989046205,63.38125203,45.50252631,46.21989606,31,362
2020-03-16,10,57.85549122,37,-82,-44,-74,-73,-58,28,38,10,30,0.880836423,0.878147512,0.80967713,0.955870853,62.56966697,47.76266751,82.18097541,37,243
2020-03-17,12,54.14045365,50,-84,-48,-73,-73,-61,29,34,14,29,0.857442694,0.853400344,0.781655778,0.920735482,61.5876342,50.02056388,65.98155364,50,409
2020-03-18,16,42.51240077,85,-85,-51,-76,-74,-62,30,46,18,36,0.8360136,0.83459822,0.763214007,0.898990235,60.24974437,52.18546656,66.01003489,85,695
2020-03-19,15.5,43.36070138,60,-86,-51,-80,-77,-63,32,57,16,40,0.817486752,0.814030609,0.745620446,0.877686329,58.61029044,54.16358482,44.72893167,60,724
2020-03-20,16,45.02270706,112,-86,-49,-84,-78,-63,33,53,20,48,0.801934973,0.800657073,0.731045845,0.856999342,56.7492143,55.86382586,69.88400021,112,865
2020-03-21,16.5,46.7798436,73,-90,-60,-89,-80,-61,26,61,24,42,0.787674538,0.786464576,0.716402219,0.840679387,54.71815044,57.40354192,52.81531494,73,746
2020-03-22,12.5,58.7312671,57,-96,-95,-93,-87,-65,25,68,16,30,0.774579756,0.771269577,0.71348279,0.836428906,52.5631643,58.56158846,57.07710427,57,539
2020-03-23,8,38.80747581,46,-86,-53,-87,-79,-67,32,53,10,32,0.762788779,0.763063911,0.694263543,0.814934276,50.32442905,59.35874782,67.83480602,46,366
2020-03-24,9,24.35656345,57,-87,-55,-85,-77,-68,33,21,16,34,0.754878828,0.752501381,0.68889222,0.814104104,48.03137969,59.86737394,72.38719812,57,425
2020-03-25,7,45.80573104,77,-88,-56,-88,-80,-69,34,50,18,35,0.747433537,0.744063548,0.678548863,0.801497925,45.71147098,60.14358513,296.8510098,77,140
2020-03-26,7,49.61020981,48,-89,-58,-88,-80,-71,36,50,19,22,0.739651851,0.737953355,0.683229965,0.806315188,43.4033946,60.0655254,23.65935819,48,1095
2020-03-27,10,47.20059725,97,-88,-54,-88,-81,-70,37,55,19,18,0.733854321,0.735054514,0.674233813,0.796910363,41.13718394,59.71261663,67.4661386,97,776
2020-03-28,15,39.09794202,106,-91,-61,-90,-81,-63,27,59,31,38,0.729248073,0.728029809,0.669269511,0.791003461,38.92157212,59.01466733,88.28902088,106,648
2020-03-29,15,39.09794202,105,-96,-94,-93,-86,-65,25,65,35,34,0.723850482,0.722728149,0.666981195,0.789182056,36.76642783,58.12110474,58.48457835,105,969
2020-03-30,8,76.10440405,111,-87,-58,-89,-82,-69,33,61,7,27,0.720063404,0.718792063,0.650347048,0.770502144,34.68568973,56.97321447,119.1052308,111,503
2020-03-31,9,21.66916994,46,-86,-53,-85,-79,-69,33,17,6,40,0.715704816,0.714966437,0.649343035,0.76902326,32.68367538,55.65062725,39.09848662,46,635
2020-04-01,8,39.99186958,47,-86,-54,-85,-78,-68,33,21,14,32,0.712345773,0.709959051,0.655119109,0.77311344,30.7630134,54.12151984,37.52554455,47,676
2020-04-02,11,40.56891503,61,-86,-54,-85,-79,-68,34,38,21,36,0.712030342,0.71113281,0.651807849,0.764470392,28.92585003,52.47711322,45.34914,61,726
2020-04-03,14,38.81942806,80,-86,-50,-85,-79,-67,35,61,20,42,0.710570281,0.710143023,0.655959504,0.768366581,27.17373488,50.69661257,33.23966798,80,1299
2020-04-04,15,33.5863761,33,-90,-58,-89,-81,-61,26,61,16,43,0.709223533,0.709551512,0.64554934,0.762208269,25.51556022,48.84647304,16.66142244,33,1069
2020-04-05,17,29.80907877,52,-95,-93,-91,-85,-64,25,55,12,36,0.707955422,0.705779452,0.648265318,0.765087443,23.95316338,46.9190087,41.39515289,52,678
2020-04-06,16,31.48922589,78,-84,-51,-84,-77,-65,31,46,18,33,0.707017251,0.704014726,0.653375174,0.773035266,22.47951515,44.97184493,38.20224182,78,1102
2020-04-07,19,26.54209485,89,-84,-49,-82,-76,-66,31,55,20,11,0.708187699,0.70790511,0.649429301,0.764378629,21.08944162,43.00449315,51.32039603,89,936
2020-04-08,18,26.41011866,24,-84,-49,-84,-76,-65,31,61,21,44,0.708672613,0.708170449,0.648904774,0.763709549,19.78004447,41.06384635,11.7332415,24,1104
2020-04-09,17,27.44103096,68,-84,-45,-84,-76,-66,32,57,18,39,0.711501634,0.709952633,0.660132831,0.772155586,18.5518171,39.09245281,36.33819742,68,1010
2020-04-10,20,26.54209485,52,-84,-40,-84,-78,-67,34,57,26,46,0.711419562,0.710782046,0.65348305,0.776275263,17.40343099,37.16888639,28.32080087,52,991
2020-04-11,21,27.98263539,2,-88,-53,-88,-80,-59,25,61,24,54,0.712962083,0.711213967,0.647925955,0.772212142,16.3330862,35.29133769,0.817771377,2,1320
2020-04-12,19.5,23.93584379,141,-96,-94,-92,-87,-65,25,65,19,48,0.713946246,0.714325657,0.651643511,0.77483428,15.33404153,33.4776007,71.79415504,141,1060
2020-04-13,18,26.54209485,51,-95,-95,-89,-87,-89,40,59,16,48,0.715757904,0.714993031,0.653784171,0.777473223,14.39907265,31.69550253,30.21535077,51,911
2020-04-14,18,11.4456294,35,-82,-46,-81,-75,-62,29,57,20,43,0.716731806,0.71707882,0.654123859,0.777609815,13.52456795,29.98965852,62.96839603,35,300
2020-04-15,15.5,34.85206699,40,-81,-46,-79,-73,-61,29,55,20,34,0.718502096,0.716725387,0.653412083,0.777368156,12.70743213,28.34659872,23.64640126,40,913
