date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,9.25,90.96735105,0,-18,27,28,-32,-22,9,99,51,29,1.921693984,1.919639969,1.711281433,2.0657796,134.0589504,13.22083961,0,0,0
2020-02-25,9.7,94.16549694,0,-22,3,8,-37,-23,11,132,61,31,1.837455181,1.838054586,1.663856349,1.981574177,156.7544257,20.63165072,0,0,0
2020-02-26,7.85,46.3016347,2,-23,-7,-5,-40,-23,11,153,43,27,1.751494354,1.742879497,1.592183443,1.880246384,180.2276786,26.28382692,0,0,0
2020-02-27,6.95,40.62964159,8,-19,-7,7,-39,-23,10,104,15,32,1.661565433,1.652443153,1.529957066,1.789235338,204.905734,33.05972584,0,0,0
2020-02-28,6.75,44.39045131,3,-16,-6,32,-37,-24,10,38,19,42,1.572711072,1.572678871,1.447652279,1.686896566,230.7562364,42.15779685,8.051472464,3,36
2020-02-29,8,60.30539516,1,-24,-5,-12,-34,-20,8,50,21,27,1.484146991,1.482674034,1.369832046,1.586930639,257.0391385,51.19595302,2.683824155,1,11
2020-03-01,6.9,93.75382646,35,-33,-9,-38,-40,-14,7,53,,,1.399350846,1.39514252,1.294451372,1.490575633,282.9157399,63.06127559,93.93384542,35,110
2020-03-02,6.833333333,92.18811483,11,-26,-18,-53,-44,-20,11,,,,1.320101033,1.316271593,1.223257666,1.40558132,307.5936164,74.05917204,29.5220657,11,43
2020-03-03,6.725,88.6779641,26,-13,-1,16,-35,-19,9,,21,23,1.246675465,1.24730182,1.154392866,1.334536951,330.3034077,87.39072795,69.77942802,26,161
2020-03-04,6.95,86.52232839,41,-14,-1,46,-34,-19,8,63,16,29,1.178679087,1.177875733,1.085198127,1.257708969,350.384997,103.3181306,100.1020401,41,350
2020-03-05,6.05,93.32824036,28,-22,-6,-31,-42,-21,11,46,13,18,1.115131029,1.114297724,1.037248254,1.198503319,367.3220398,119.358133,75.14707633,28,14
2020-03-06,5.05,93.31350856,27,-20,-2,1,-40,-22,11,38,20,27,1.057135103,1.054047637,0.98109007,1.133998134,380.7177304,137.5366752,72.46325218,27,90
2020-03-07,7.55,85.12660571,231,-25,-1,54,-31,-19,7,63,25,24,1.004094323,1.000689467,0.929455963,1.077105142,390.2766358,156.9141115,310.8603781,231,635
2020-03-08,7.2,78.1889944,88,-48,-1,16,-42,-19,8,76,9,31,0.957722776,0.953682265,0.877862866,1.018500893,395.8603697,178.0512983,236.1765256,88,315
2020-03-09,7.975,88.95785419,238,-42,-9,-35,-57,-31,16,30,20,27,0.919534472,0.915190701,0.845964874,0.982313311,397.1636343,198.9063972,638.7501488,238,298
2020-03-10,7.65,77.05129071,51,-50,-8,-25,-61,-38,20,61,33,29,0.883226413,0.881380135,0.815131283,0.946277815,395.2041914,220.3385226,136.8750319,51,213
2020-03-11,9.4,81.98995043,561,-57,-13,-23,-65,-43,22,82,29,27,0.852774976,0.85084467,0.777505627,0.90933873,389.9195381,241.7739563,306.5160561,561,1564
2020-03-12,11.3,88.92129705,247,-74,-26,-62,-74,-52,28,74,50,28,0.825241167,0.821717766,0.764411496,0.889846704,381.7794033,262.5948561,316.4449983,247,667
2020-03-13,12.1,88.94843108,186,-78,-27,-57,-76,-58,31,117,25,29,0.802571283,0.800349961,0.745893574,0.870308885,371.2841861,282.2475895,295.4321703,186,538
