date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.06666667,78.84002834,0,-18,27,28,-32,-22,9,137,56,29,40,2.023318746,2.010941432,1.785667246,2.209053134,15.33440448,0,0,0,0
2020-02-25,10,87.51706178,0,-22,3,8,-37,-23,11,149,51,29,32,1.984889039,1.971164287,1.753539812,2.158397393,17.89199818,1.903367745,0,0,0
2020-02-26,6.75,49.2636896,0,-23,-7,-5,-40,-23,11,147,21,33,28,1.941746814,1.935500829,1.735562926,2.125057657,20.9547611,2.968503875,0,0,0
2020-02-27,4.5,65.6373733,0,-19,-7,7,-39,-23,10,65,7,32,42,1.888407414,1.882762603,1.718172481,2.078510386,24.23878739,3.756025182,0,0,0
2020-02-28,7.35,27.47007407,0,-16,-6,32,-37,-24,10,25,18,35,44,1.832531907,1.832438184,1.631418622,1.975180972,27.85971694,4.668746563,0,0,0
2020-02-29,5.7,55.46277548,1,-24,-5,-12,-34,-20,8,61,21,24,31,1.774896505,1.772477902,1.623500875,1.940402003,31.86894119,5.888600682,1.997062921,1,11
2020-03-01,6,98.35856444,1,-33,-9,-38,-40,-14,7,63,,,,1.711694958,1.706897102,1.553159512,1.848938316,36.22725089,7.078397625,1.997062921,1,3
2020-03-02,4.65,100,0,-26,-18,-53,-44,-20,11,,,,,1.649435025,1.651470269,1.50839107,1.78611469,40.89027428,8.654081092,0,0,0
2020-03-03,7.75,44.0828647,2,-13,-1,16,-35,-19,9,,8,30,32,1.583417984,1.580440094,1.451449198,1.712211473,45.79922557,10.08877145,3.994125842,2,12
2020-03-04,7.966666667,40.79457927,1,-14,-1,46,-34,-19,8,17,15,35,31,1.519187286,1.516671937,1.398330649,1.643010719,50.88046106,11.85290249,1.997062921,1,9
2020-03-05,5.283333333,86.20871503,6,-22,-6,-31,-42,-21,11,38,50,20,26,1.4527804,1.449432199,1.314697022,1.546047628,56.03932908,14.0027066,11.98237753,6,3
2020-03-06,3.583333333,100,0,-20,-2,1,-40,-22,11,127,30,19,29,1.386649076,1.384815452,1.269222641,1.491985505,61.16995226,16.2055861,0,0,0
2020-03-07,10.5,24.52213914,12,-25,-1,54,-31,-19,7,104,18,37,28,1.32492886,1.325592356,1.226009446,1.438817611,66.1501098,18.78028846,23.96475505,12,33
2020-03-08,5.5,47.36399013,4,-48,-1,16,-42,-19,8,57,16,38,27,1.264589521,1.263104988,1.159608052,1.352747993,70.84463839,21.62765918,7.988251684,4,14
2020-03-09,6.85,74.62066928,13,-42,-9,-35,-57,-31,16,57,26,26,28,1.206321276,1.20456645,1.104658165,1.292651283,75.14382307,24.87006957,25.96181797,13,16
