date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,13,82.31470256,0,-18,27,28,-32,-22,9,132,46,16,1.574949183,1.569524947,1.434932266,1.685229261,79.79728675,15.62817921,0,0,0
2020-02-25,12.2,90.80953781,53,-22,3,8,-37,-23,11,107,66,13,1.510635776,1.504148256,1.395954697,1.635576647,88.54211303,19.52224981,11.05297078,53,1744
2020-02-26,12,11.92882592,4,-23,-7,-5,-40,-23,11,156,40,,1.447014459,1.441671119,1.31553468,1.551976693,97.4236328,23.21399281,0,0,0
2020-02-27,10.5,26.11143266,34,-19,-7,7,-39,-23,10,91,11,,1.383345949,1.382116858,1.277292192,1.492192365,106.226933,28.06286491,0,0,0
2020-02-28,11.3,13.52799203,32,-16,-6,32,-37,-24,10,34,35,,1.321123247,1.320321054,1.217045667,1.422491363,114.7699178,32.22176476,30.70862714,32,379
2020-02-29,9,57.3611161,13,-24,-5,-12,-34,-20,8,46,55,,1.264562747,1.260894159,1.166619034,1.363602996,122.8477827,37.22794857,27.1110604,13,137
2020-03-01,7,100,78,-33,-9,-38,-40,-14,7,68,,,1.210501248,1.207398508,1.11964954,1.300535035,130.2508878,43.20523357,116.2664492,78,244
2020-03-02,6.65,98.84078908,9,-26,-18,-53,-44,-20,11,,,,1.159859815,1.15509559,1.074259218,1.255542703,136.830528,48.94603986,18.76919566,9,35
2020-03-03,8.75,95.14735436,64,-13,-1,16,-35,-19,9,,17,,1.107948892,1.108471343,1.019074899,1.185661419,142.4733238,55.44120589,58.63259287,64,397
2020-03-04,8.75,84.52629396,46,-14,-1,46,-34,-19,8,53,20,,1.064884482,1.061317107,0.988202546,1.145315282,147.0710454,62.26741885,42.57110412,46,393
2020-03-05,6,100,73,-22,-6,-31,-42,-21,11,65,22,,1.022504001,1.020038073,0.940647637,1.092638819,150.4946526,69.76331272,0,0,0
2020-03-06,7.1,87.24820698,46,-20,-2,1,-40,-22,11,55,20,,0.985384996,0.983320963,0.902593594,1.051870693,152.5717505,77.00370238,95.9314445,46,153
2020-03-07,11.25,58.81660562,110,-25,-1,54,-31,-19,7,61,37,,0.950857973,0.948047291,0.873753218,1.020782313,153.6698705,84.492931,132.0382287,110,303
2020-03-08,9.15,63.62170752,103,-48,-1,16,-42,-19,8,91,13,,0.91978383,0.917995321,0.84947235,0.997459612,153.5912605,92.05302112,101.5220763,103,369
2020-03-09,7,100,251,-42,-9,-35,-57,-31,16,55,30,,0.891331052,0.889248517,0.812641002,0.955701549,152.4285476,99.48993809,290.7325827,251,314
2020-03-10,11,61.01680414,41,-50,-8,-25,-61,-38,20,72,24,,0.866991136,0.866755463,0.806480742,0.935677963,150.3136383,106.6297627,85.50411358,41,171
2020-03-11,13.5,61.59499624,104,-57,-13,-23,-65,-43,22,63,26,25,0.845167214,0.846054418,0.784218681,0.916400506,147.3523031,113.4652679,130.4322465,104,290
2020-03-12,14,72.23467376,241,-74,-26,-62,-74,-52,28,65,51,16,0.827208948,0.827781331,0.763940116,0.890528525,143.6685587,119.7038978,134.6435913,241,651
2020-03-13,15.7,77.24453707,42,-78,-27,-57,-76,-58,31,119,29,14,0.811275685,0.810075008,0.748955687,0.869517935,139.3999254,125.2666173,87.58957976,42,121
2020-03-14,10,81.37382915,221,-86,-46,-80,-80,-63,26,72,30,10,0.798598518,0.796764772,0.738047231,0.855347863,134.6869073,130.1270755,152.8115435,221,526
2020-03-15,10.5,59.22854563,227,-91,-58,-78,-83,-57,22,80,14,14,0.788729665,0.786028368,0.732717535,0.845000083,129.6553472,134.2559068,178.7036877,227,462
2020-03-16,11.15,33.0115162,89,-78,-35,-62,-79,-63,30,50,22,32,0.778883295,0.776801185,0.713054836,0.831442791,124.4204994,137.4982222,156.3757098,89,207
