date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,13.5,74.55583515,0,-6,23,31,-21,-21,5,,,,,,,,,,
2020-02-25,10,87.60397647,0,-10,3,3,-26,-21,7,55,1.995520471,1.981888068,1.773491737,2.246777536,51.68717936,0,0,0,0
2020-02-26,9.5,30.96098484,0,-14,-7,-12,-29,-19,8,30,1.970633074,1.957678004,1.710452716,2.168449004,0.747226977,0,0,0,0
2020-02-27,7,39.10742437,0,-9,-4,-2,-26,-18,7,57,1.941361508,1.937788828,1.735790222,2.156506946,10.59706609,0,0,0,0
2020-02-28,9.5,34.2459113,0,-8,-3,24,-22,-17,7,38,1.911235563,1.905089017,1.720043365,2.110422484,20.19213453,0,0,0,0
2020-02-29,7,53.09863276,0,-12,-1,-8,-18,-7,5,57,1.866802695,1.862418886,1.679788743,2.041836901,22.44815489,0,0,0,0
2020-03-01,7,75.78088296,0,-11,-2,3,-14,-3,3,78,1.814904622,1.81110615,1.624429516,1.964273035,24.15694655,0,0,0,0
2020-03-02,4,93.28552679,0,-15,-10,-38,-29,-15,7,,1.759846995,1.754993034,1.580454299,1.898288617,27.51987036,3.284113957,0,0,0
2020-03-03,11.5,38.73656967,0,-2,1,21,-20,-14,5,,1.698557033,1.692014919,1.544202083,1.855476298,31.46926921,5.118662731,0,0,0
2020-03-04,9.5,44.86466462,0,-4,1,25,-21,-13,5,46,1.635262987,1.625607374,1.478917,1.771906268,35.46966838,6.429390995,0,0,0
2020-03-05,6.5,73.47229227,0,-14,-3,-23,-27,-15,7,46,1.571088669,1.565710173,1.429727762,1.700032628,39.60026665,7.888741248,0,0,0
2020-03-06,7,75.94372341,1,-13,0,4,-25,-15,8,70,1.501850436,1.500799167,1.359716888,1.609818726,43.89053302,9.823918039,2.740003766,1,7
2020-03-07,12,37.39273734,0,-15,2,26,-17,-8,5,68,1.433509509,1.430848936,1.318599849,1.550333602,48.24854753,11.64797786,0,0,0
2020-03-08,9.5,50.0183389,4,-34,5,-2,-25,-8,6,55,1.363501718,1.360869465,1.244711071,1.472951206,52.54678457,14.05026958,10.96001506,4,15
2020-03-09,8,75.69836111,6,-31,-2,-19,-42,-24,12,53,1.298364414,1.29556961,1.197825196,1.410077982,56.66336299,16.09279072,0,0,0
2020-03-10,12.5,42.67153085,3,-43,-7,-21,-51,-30,16,72,1.23357879,1.232191099,1.133584195,1.326281208,60.47862976,18.55488954,8.220011297,3,20
2020-03-11,15,58.33754784,3,-50,-14,-19,-56,-35,19,65,1.17735945,1.176690537,1.079735966,1.26507955,63.89058053,21.49981565,8.220011297,3,4
2020-03-12,12,87.68969102,7,-69,-23,-57,-66,-44,24,95,1.128104668,1.125483481,1.036020766,1.210100811,66.8087051,24.3152823,19.18002636,7,40
2020-03-13,12,82.04792647,16,-73,-26,-51,-69,-50,28,63,1.079049395,1.077665653,0.994695749,1.152997556,69.18308267,27.5034426,43.84006025,16,14
2020-03-14,8,100,7,-84,-44,-77,-75,-55,26,68,1.036566834,1.033839878,0.958468106,1.110977947,71.01228529,30.84920078,12.57706647,7,122
2020-03-15,8,81.55281966,14,-90,-61,-78,-80,-52,22,59,0.998808568,0.994515767,0.920155771,1.075800545,72.27604537,34.52210092,38.36005272,14,41
2020-03-16,11.5,62.52900827,30,-73,-35,-58,-73,-56,27,63,0.964134017,0.958020001,0.886764438,1.034704151,72.89258247,38.04753826,73.06676709,30,90
