date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.5,96.1600689,0,3,25,20,0,0,0,55,24,31,1.702250682,1.694568219,1.488198287,1.869962486,20.15724991,4.817875541,0,0,0
2020-02-25,11.2,95.79810278,1,0,12,32,-6,-1,1,55,21,24,1.687419175,1.683448313,1.49191713,1.835449511,22.50579809,5.856395795,2.047782121,1,78
2020-02-26,12.6,83.18229559,1,-11,-5,-19,-15,-2,3,57,19,18,1.668562024,1.666580196,1.505450676,1.830802294,25.10780992,6.7789838,0,0,0
2020-02-27,7.2,91.82502654,0,-10,-7,-17,-13,-1,3,34,11,27,1.646847415,1.646899544,1.489078604,1.801070123,27.96626781,8.017392525,0,0,0
2020-02-28,8.35,63.40202116,6,-2,-1,21,-8,0,1,25,14,35,1.622307807,1.618530565,1.447818232,1.754323465,31.08405531,8.975590831,12.28669273,6,27
2020-02-29,8.95,77.46588284,0,-5,-2,18,-7,1,1,42,23,33,1.588739348,1.586973589,1.437948699,1.71950363,34.45975847,10.15387254,0,0,0
2020-03-01,11.65,94.21267464,0,-22,-11,-58,-30,-4,6,61,18,10,1.555346416,1.551769252,1.3897813,1.671565477,38.08421223,11.60828329,0,0,0
2020-03-02,11.8,95.54396494,0,-11,-6,-34,-14,0,3,30,,,1.514198445,1.509375048,1.37317411,1.638551442,41.9222373,12.97188782,0,0,0
2020-03-03,9.45,96.38222813,3,-7,-3,-18,-14,0,2,,,23,1.473580888,1.464566418,1.346768185,1.597272571,45.93405732,14.5836766,6.143346364,3,42
2020-03-04,6,90.11551933,5,-4,1,0,-11,0,1,21,11,25,1.428595845,1.425016625,1.302780324,1.53752677,50.06254565,16.3399223,10.23891061,5,21
2020-03-05,8.45,92.3682796,8,-14,-1,-27,-26,-13,7,30,12,30,1.385488063,1.381067601,1.254721108,1.48320955,54.24409272,18.39029763,0,0,0
2020-03-06,10.7,93.31966664,3,-13,1,-9,-26,-14,7,42,12,29,1.341045064,1.338307081,1.221095129,1.438321657,58.36696513,20.47812829,6.143346364,3,54
2020-03-07,9.6,86.10599586,4,-18,2,14,-23,-14,6,25,9,20,1.29613364,1.293160132,1.197410977,1.407157883,62.45344756,22.80954613,8.191128485,4,28
2020-03-08,9.7,73.54225645,12,-23,-3,13,-21,-8,5,25,14,23,1.250303084,1.24761049,1.147450319,1.344884201,66.36627928,25.37490603,24.57338546,12,65
2020-03-09,9.45,87.03152003,12,-28,-1,-34,-38,-19,10,50,17,27,1.207244924,1.204582372,1.11286885,1.307224256,70.02532383,28.15715702,24.57338546,12,114
2020-03-10,10.1,82.01686391,10,-42,-4,-26,-45,-27,15,53,16,33,1.162169514,1.160637589,1.057701835,1.246915515,73.35526319,31.13590583,20.47782121,10,99
2020-03-11,8.8,91.06182246,10,-51,-17,-31,-52,-34,18,50,20,33,1.122526947,1.118098097,1.030239424,1.204989425,76.28947281,34.33702915,20.47782121,10,41
2020-03-12,10.7,98.71104644,15,-70,-24,-68,-64,-44,25,57,31,26,1.082628051,1.079372307,1.001447871,1.176187466,78.75721219,37.68586324,30.71673182,15,123
2020-03-13,11.9,95.60855365,15,-74,-28,-65,-66,-50,28,78,19,20,1.047996688,1.047478617,0.965131589,1.137444656,80.71794448,41.16323197,30.71673182,15,125
2020-03-14,12.5,77.2012322,31,-84,-45,-74,-72,-57,25,53,15,9,1.01474731,1.011626463,0.938458175,1.10061682,82.14970063,44.75438301,63.48124576,31,106
2020-03-15,11.25,58.48542565,30,-90,-64,-82,-78,-54,23,53,8,3,0.985286479,0.982590931,0.909232526,1.065712734,83.05251687,48.43076869,61.43346364,30,107
2020-03-16,10.9,58.60816384,24,-73,-37,-69,-69,-53,26,25,11,22,0.958138429,0.952880991,0.8831705,1.033674337,83.44324337,52.10882871,49.14677091,24,220
2020-03-17,10.8,80.01075131,28,-76,-42,-69,-71,-57,28,34,20,23,0.934442902,0.931936986,0.848769283,0.992642291,83.34800549,55.75223898,57.3378994,28,122
2020-03-18,14.85,68.42534157,81,-77,-44,-74,-72,-57,29,59,20,13,0.912234268,0.908033035,0.830735862,0.981299674,82.80475492,59.27957474,165.8703518,81,257
2020-03-19,13.2,74.46359312,54,-78,-44,-75,-74,-59,31,59,19,17,0.894984473,0.894918185,0.823556553,0.963978211,81.85864845,62.66495174,99.1781837,54,450
2020-03-20,13,83.89260823,52,-79,-42,-76,-74,-59,32,59,26,18,0.879488138,0.877852305,0.807828789,0.941692875,80.55455756,65.82853054,106.4846703,52,256
2020-03-21,11.75,89.92688239,50,-86,-53,-84,-78,-61,27,72,21,16,0.865134543,0.864615149,0.798445386,0.932953264,78.95640823,68.73171137,102.3891061,50,343
2020-03-22,12.4,69.05258564,63,-94,-84,-92,-85,-61,25,65,16,8,0.85366414,0.852922253,0.784192788,0.918080086,77.12940497,71.3136212,129.0102736,63,322
2020-03-23,6.9,42.87773278,34,-78,-46,-82,-77,-65,32,53,10,7,0.843560128,0.842696682,0.77359768,0.904856284,75.11458066,73.55426535,69.62459212,34,108
2020-03-24,5.45,56.37384279,74,-80,-48,-81,-77,-66,33,25,10,17,0.833521269,0.831042958,0.768673827,0.899689292,72.95525547,75.41385182,106.3650086,74,575
2020-03-25,5,79.44898978,87,-82,-52,-84,-79,-68,34,42,10,3,0.828112082,0.828080706,0.761877888,0.89386876,70.69337057,76.88633674,104.0581522,87,691
2020-03-26,7.1,69.47618347,55,-84,-53,-86,-81,-71,37,34,10,2,0.821678052,0.821541206,0.759197658,0.884879438,68.35403065,77.95649862,68.04890349,55,668
2020-03-27,10.35,76.1760144,0,-82,-48,-83,-80,-70,37,34,25,3,0.815933227,0.816207561,0.761324593,0.888834804,65.9795491,78.63689342,0,0,0
2020-03-28,12.3,68.91415866,91,-87,-55,-84,-79,-65,28,53,,19,0.810208073,0.809651235,0.751415831,0.876618325,63.60285515,78.9350888,162.4408696,91,463
2020-03-29,12.5,81.97857972,102,-94,-84,-91,-85,-62,25,99,,10,0.806231489,0.802901832,0.749619278,0.872643143,61.23244388,78.87909136,128.3127186,102,657
2020-03-30,11.8,89.9656189,65,-79,-47,-79,-77,-67,32,70,25,15,0.801566053,0.80040463,0.737408781,0.859100162,58.87479994,78.47558824,95.0823295,65,565
2020-03-31,9.05,66.03828308,65,-90,-44,-79,-76,-69,34,53,7,5,0.796216057,0.794955092,0.739675448,0.866573272,56.54533616,77.77165023,52.82351639,65,1017
2020-04-01,7.8,42.36713679,71,-90,-41,-79,-74,-68,34,21,12,5,0.791808292,0.790616653,0.719689354,0.846864284,54.25439012,76.79528063,62.75981321,71,935
2020-04-02,8.35,56.48785331,261,-89,-41,-78,-74,-68,35,42,12,16,0.784226577,0.783676935,0.716214615,0.840840907,51.99819195,75.58201327,80.88209582,261,2667
2020-04-03,10.7,57.00090449,124,-84,-40,-78,-76,-68,35,42,13,17,0.778577511,0.777524652,0.719950672,0.836762381,49.77677736,74.15598626,49.9922552,124,2050
2020-04-04,14.45,51.3762041,83,-89,-49,-84,-77,-63,28,50,16,26,0.772894145,0.771656641,0.707337559,0.826238393,47.58233028,72.56073251,41.49924,83,1653
2020-04-05,14.9,47.1105491,89,-95,-81,-90,-84,-61,25,53,15,7,0.76642155,0.765228097,0.701608694,0.826058397,45.41579665,70.82209738,46.61416534,89,1578
2020-04-06,16.6,48.35685322,54,-81,-39,-78,-74,-65,31,50,22,6,0.759104647,0.75660983,0.695828731,0.821845141,43.28895802,68.96935794,69.08697007,54,646
2020-04-07,16.8,36.86171499,36,-81,-40,-76,-74,-66,32,63,21,14,0.752051063,0.747687648,0.68874146,0.807273467,41.20396963,67.0300375,37.37871245,36,796
2020-04-08,16.7,39.95416317,66,-81,-39,-78,-74,-65,32,61,18,12,0.745428937,0.743590903,0.681590755,0.798075411,39.15683523,65.02066424,39.27141903,66,1389
2020-04-09,13.85,48.89444701,90,-80,-33,-78,-73,-66,33,53,18,17,0.738511223,0.738609053,0.68295332,0.794810568,37.14855182,62.96479545,31.93801536,90,2329
2020-04-10,14.4,51.00273187,108,-80,-29,-76,-73,-66,34,55,21,,0.728525831,0.729474508,0.666010143,0.787211815,35.18550816,60.87570651,22.11604691,108,4036
2020-04-11,13.95,60.48713326,85,-85,-44,-82,-75,-62,27,,18,,0.720700712,0.720338173,0.656691568,0.776139187,33.27154841,58.76927663,50.83300539,85,1382
2020-04-12,14.5,62.63666004,105,-96,-95,-92,-87,-66,26,,14,9,0.711707399,0.711511247,0.652461048,0.767945115,31.39926872,56.64737714,79.39699061,105,1093
2020-04-13,13.1,68.84943787,10,-96,-95,-88,-89,-91,41,53,15,10,0.703737521,0.702812937,0.639197256,0.752644188,29.56866976,54.5259063,20.47782121,10,145
2020-04-14,13.55,69.46213517,42,-79,-39,-76,-73,-64,31,55,12,6,0.696069969,0.695559019,0.639988434,0.755484787,27.78639701,52.41172194,82.06232694,42,423
2020-04-15,12.75,51.37594687,61,-79,-39,-77,-72,-63,32,42,9,3,0.6902114,0.689904888,0.628086208,0.743736746,26.05871776,50.30618495,28.16512666,61,1790
2020-04-16,10.7,65.02025207,71,-78,-39,-76,-72,-63,32,25,12,14,0.682705774,0.680884978,0.621424361,0.733678583,24.39223747,48.22093702,43.17912094,71,1359
2020-04-17,14.9,81.01360388,51,-78,-37,-75,-72,-62,33,38,18,12,0.676674613,0.67570512,0.619042289,0.73231551,22.7941111,46.15646706,30.12918375,51,1399
2020-04-18,15.35,93.7520332,69,-84,-50,-81,-74,-57,26,42,20,7,0.671960689,0.670550567,0.613087686,0.726089102,21.26514082,44.11658183,28.58519079,69,1995
2020-04-19,16.85,95.63306757,46,-93,-81,-90,-83,-56,24,53,24,4,0.668629864,0.668284468,0.613657524,0.722817213,19.80567557,42.10326385,0,0,0
2020-04-20,15.85,97.81856134,44,-78,-45,-82,-76,-61,30,57,10,5,0.664650173,0.664202225,0.612508151,0.718129031,18.42054482,40.12471376,84.17901394,44,432
2020-04-21,13.45,87.51452167,51,-79,-42,-79,-74,-61,31,30,10,2,0.662325246,0.661684128,0.608563454,0.717762217,17.11408413,38.17099439,44.79354737,51,941
2020-04-22,15.6,63.90524726,56,-78,-41,-79,-73,-60,31,34,14,4,0.661031811,0.658249821,0.600357455,0.710205519,15.88583727,36.25942996,19.88962286,56,2327
2020-04-23,16.9,59.03624117,35,-77,-37,-73,-70,-59,31,46,18,6,0.659629447,0.658554321,0.601233022,0.70970589,14.73428631,34.38749716,24.68171523,35,1172
2020-04-24,13.6,74.94158275,54,-74,-27,-71,-69,-59,30,55,20,16,0.659223569,0.658204826,0.604658898,0.712316345,13.65930997,32.55857284,45.72764617,54,976
2020-04-25,15.25,73.35170515,75,-94,-94,-83,-81,-74,30,59,12,5,0.660608704,0.658509968,0.598134768,0.710825054,12.65845412,30.77691742,44.33931675,75,1398
2020-04-26,15.7,84.40151946,79,-90,-61,-86,-78,-48,22,46,10,5,0.66226983,0.661239903,0.607874823,0.722712304,11.72847926,29.04635894,109.3673438,79,597
2020-04-27,16.6,88.06966849,8,-70,-31,-70,-68,-55,27,38,10,7,0.664941565,0.664245293,0.600167319,0.717928247,10.86791732,27.37050569,16.38225697,8,280
2020-04-28,15.4,97.50835079,28,-76,-39,-76,-71,-58,28,34,10,5,0.668378071,0.666205009,0.608880094,0.728456602,10.07436758,25.75283402,14.22346416,28,1627
2020-04-29,15.9,91.70711277,40,-74,-35,-74,-69,-56,29,25,15,4,0.673855592,0.672183904,0.607045035,0.730134113,9.344091189,24.19646068,22.32234609,40,1481
2020-04-30,16.9,85.6371852,41,-70,-25,-70,-67,-55,28,25,13,5,0.679527488,0.67606452,0.616635964,0.74268658,8.673670533,22.70403594,20.27880277,41,1671
2020-05-01,17.3,92.71684837,36,-91,-91,-57,-80,-87,41,25,13,3,0.68370961,0.682424427,0.623469974,0.749250659,8.060595399,21.27761151,27.91130873,36,1066
