date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,10,76.43184793,0,-18,27,28,-32,-22,9,117,46,22,21,1.992980523,1.985223403,1.763294602,2.175166236,18.73878111,0,0,0,0
2020-02-25,10,81.80288937,0,-22,3,8,-37,-23,11,109,54,17,23,1.929291673,1.922161087,1.740708726,2.102752446,20.4937869,0,0,0,0
2020-02-26,7.933333333,31.17467698,0,-23,-7,-5,-40,-23,11,139,10,35,17,1.861137551,1.855486757,1.685881649,2.023101318,23.75222107,2.528674851,0,0,0
2020-02-27,6.5,30.72411757,0,-19,-7,7,-39,-23,10,30,5,34,15,1.785221262,1.78323969,1.624671652,1.936254219,27.55534686,3.944150436,0,0,0
2020-02-28,8.6,25.75446207,0,-16,-6,32,-37,-24,10,13,5,38,17,1.709996421,1.706339938,1.561894435,1.837317631,31.45513674,4.996488901,0,0,0
2020-02-29,7.5,43.28793802,0,-24,-5,-12,-34,-20,8,17,15,28,27,1.630844964,1.630070117,1.501615661,1.762565434,35.52640346,6.223497356,0,0,0
2020-03-01,5.95,93.38541803,2,-33,-9,-38,-40,-14,7,42,,,,1.551247813,1.548239711,1.415785425,1.666877741,39.78355031,7.862834516,3.848689797,2,6
2020-03-02,6.75,93.43425776,1,-26,-18,-53,-44,-20,11,,,,,1.472359019,1.471133024,1.360705226,1.589265774,44.11945751,9.459385955,1.924344899,1,4
2020-03-03,6.5,88.42018855,1,-13,-1,16,-35,-19,9,,3,34,18,1.394225442,1.391329738,1.27990645,1.490196044,48.40271172,11.55685979,1.924344899,1,6
2020-03-04,7.25,68.31648018,1,-14,-1,46,-34,-19,8,,8,34,23,1.321819033,1.318900814,1.221256986,1.42658888,52.51376241,13.44285616,1.924344899,1,9
2020-03-05,5.2,84.14599196,3,-22,-6,-31,-42,-21,11,21,18,24,21,1.249567142,1.249596091,1.150321562,1.339071947,56.33112021,15.72459631,0,0,0
2020-03-06,4.883333333,91.72984722,3,-20,-2,1,-40,-22,11,59,14,23,22,1.185872429,1.182578127,1.107139155,1.282367344,59.74816108,18.45116141,5.773034696,3,10
2020-03-07,7,62.21283789,24,-25,-1,54,-31,-19,7,55,5,38,19,1.126556123,1.126613089,1.030203609,1.19289607,62.66233658,21.14898153,46.18427757,24,66
2020-03-08,7,51.98880847,18,-48,-1,16,-42,-19,8,17,8,40,15,1.070167998,1.068932133,0.98387341,1.140966841,65.00531649,24.20588324,34.63820817,18,65
2020-03-09,7.533333333,74.62494603,13,-42,-9,-35,-57,-31,16,34,8,40,15,1.021165254,1.019174381,0.950800843,1.109627205,66.74357962,27.44914881,25.01648368,13,16
