date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2/24/20,11.75,72.76027212,0,-18,27,28,-32,-22,9,117,39,28,13,1.206380587,1.205480867,1.096593291,1.305260059,50.51809367,18.1473152,0,0,0
2/25/20,11,81.63078781,125,-22,3,8,-37,-23,11,97,59,21,35,1.171426618,1.169251462,1.062197289,1.262114439,52.80094854,21.44806877,13.46150032,125,4112
2/26/20,8.733333333,32.60943922,3,-23,-7,-5,-40,-23,11,152,28,33,22,1.139369796,1.137857415,1.033508863,1.219665514,54.89621923,24.07953677,0,0,0
2/27/20,8,39.40478956,31,-19,-7,7,-39,-23,10,74,13,31,42,1.108863145,1.103147488,1.015451828,1.193494397,56.74413715,27.66195778,0,0,0
2/28/20,9.25,23.66866369,23,-16,-6,32,-37,-24,10,25,12,36,44,1.07963078,1.075769443,0.986892303,1.157372125,58.31874092,29.77969628,24.76916059,23,272
2/29/20,7,48.65854746,55,-24,-5,-12,-34,-20,8,38,30,23,33,1.052106704,1.049963185,0.964792532,1.128633641,59.61166827,32.32815228,41.9201778,55,581
3/1/20,6.5,93.38541803,107,-33,-9,-38,-40,-14,7,80,,,,1.027722446,1.025449782,0.93577866,1.102563927,60.61274797,35.47629613,115.2304427,107,335
3/2/20,5.066666667,96.65496492,40,-26,-18,-53,-44,-20,11,,,,,1.004868604,1.002081829,0.923254621,1.081807029,61.31706304,37.72371669,43.07680103,40,155
3/3/20,7.45,84.34583157,98,-13,-1,16,-35,-19,9,,20,15,20,0.982872379,0.983487694,0.900148068,1.059100349,61.73547579,40.30017832,71.25992188,98,609
3/4/20,7.9,69.11199863,77,-14,-1,46,-34,-19,8,63,20,29,20,0.962704326,0.958076173,0.883264811,1.040135695,61.88495562,42.71374543,51.8993495,77,657
3/5/20,6.1,81.79419869,99,-22,-6,-31,-42,-21,11,63,21,24,17,0.944577804,0.94311022,0.866120079,1.021762335,61.77667562,45.47766271,0,0,0
3/6/20,6.116666667,85.70701063,81,-20,-2,1,-40,-22,11,65,20,26,21,0.926970154,0.922828725,0.858815675,1.010953699,61.28369826,47.5002506,87.23052208,81,270
3/7/20,8.1,75.48936082,72,-25,-1,54,-31,-19,7,70,25,33,20,0.9133067,0.910516876,0.823922404,0.976046864,60.73755292,49.51255539,77.53824185,72,198
3/8/20,8.25,62.87723161,42,-48,-1,16,-42,-19,8,78,20,35,31,0.901540898,0.899043753,0.822604173,0.975428675,59.94544737,51.43224934,45.23064108,42,151
3/9/20,8.5,69.83046449,75,-42,-9,-35,-57,-31,16,68,27,26,29,0.890802878,0.889341331,0.821792038,0.966965017,58.95288074,53.17689877,80.76900193,75,94
3/10/20,10.1,61.1448308,35,-50,-8,-25,-61,-38,20,82,22,30,39,0.879488679,0.879043768,0.801864876,0.945502762,57.83086364,54.66937939,37.6922009,35,146
3/11/20,11.75,69.23783211,72,-57,-13,-23,-65,-43,22,78,24,32,29,0.870763019,0.869167504,0.811389458,0.951716695,56.60676748,56.04820519,77.53824185,72,201
3/12/20,13.06666667,81.52105541,88,-74,-26,-62,-74,-52,28,63,42,25,26,0.865826751,0.865111113,0.785471992,0.928650767,55.28333052,57.09833573,94.76896226,88,238
3/13/20,14.73333333,76.30066992,10,-78,-27,-57,-76,-58,31,109,17,38,23,0.861065911,0.857400549,0.786630643,0.930236145,53.87706835,57.85260374,10.76920026,10,29
3/14/20,11,81.86227923,143,-86,-46,-80,-80,-63,26,61,23,24,11,0.858523058,0.853516258,0.783885581,0.928577358,52.43014627,58.3953443,153.9995637,143,340
3/15/20,8,80.363481,44,-91,-58,-78,-83,-57,22,72,16,32,14,0.856454227,0.854363598,0.784335443,0.934156496,50.97096983,58.79198265,47.38448113,44,90
