date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,7.5,90.40716983,0,-18,27,28,-32,-22,9,124,50,31,16,2.059311027,2.054657797,1.862638819,2.280436717,16.5574795,0,0,0,0
2020-02-25,9,93.48238181,0,-22,3,8,-37,-23,11,107,61,17,30,2.01902595,2.01317789,1.8158143,2.199884294,19.42800947,2.001318172,0,0,0
2020-02-26,9.5,40.56793437,0,-23,-7,-5,-40,-23,11,129,37,31,19,1.970809201,1.961160836,1.785451847,2.148734769,22.85670413,3.121907171,0,0,0
2020-02-27,8,34.4411764,0,-19,-7,7,-39,-23,10,70,10,30,18,1.916294222,1.907068412,1.743321853,2.078481235,26.54598328,3.95938119,0,0,0
2020-02-28,7.55,37.12415487,0,-16,-6,32,-37,-24,10,17,16,34,36,1.856591143,1.855028841,1.680420621,1.995614115,30.62819333,4.941758922,0,0,0
2020-02-29,8.25,48.33763576,1,-24,-5,-12,-34,-20,8,34,28,23,24,1.792885617,1.790178787,1.641974011,1.928010209,35.16244702,6.257987793,1.312758761,1,11
2020-03-01,7,95.94703387,3,-33,-9,-38,-40,-14,7,59,,,,1.72338282,1.722942548,1.561025725,1.852666579,40.10115802,7.554274015,3.938276284,3,9
2020-03-02,8.683333333,84.58486234,1,-26,-18,-53,-44,-20,11,,,,,1.652922579,1.653187256,1.521997444,1.790013438,45.37843197,9.272171205,1.312758761,1,4
2020-03-03,7.516666667,90.39892486,10,-13,-1,16,-35,-19,9,,10,17,19,1.583595814,1.585587424,1.443443867,1.694294833,50.91234816,10.86083482,13.12758761,10,62
2020-03-04,7.183333333,77.87658084,7,-14,-1,46,-34,-19,8,21,14,25,18,1.511707391,1.514087802,1.394209972,1.634967374,56.60340829,12.81773415,9.189311329,7,60
2020-03-05,6.25,86.97226526,4,-22,-6,-31,-42,-21,11,42,16,29,19,1.437735922,1.43623697,1.333559173,1.557959364,62.34762573,15.20396095,0,0,0
2020-03-06,6.533333333,89.45587325,6,-20,-2,1,-40,-22,11,42,18,27,26,1.368007522,1.369283221,1.243598561,1.456679748,68.00908376,17.6719456,7.876552568,6,20
2020-03-07,7.983333333,75.13200508,14,-25,-1,54,-31,-19,7,55,33,30,16,1.30041575,1.30057484,1.199582425,1.395701669,73.41790569,20.55999422,18.37862266,14,39
2020-03-08,7.5,61.52291669,10,-48,-1,16,-42,-19,8,78,9,37,34,1.236784974,1.234487932,1.13398898,1.32002266,78.42487912,23.7643419,13.12758761,10,36
2020-03-09,8.25,73.85731645,46,-42,-9,-35,-57,-31,16,21,27,28,24,1.178005144,1.174928576,1.081677738,1.26097227,82.9016258,27.4115415,60.38690302,46,58
2020-03-10,7.933333333,78.20003096,17,-50,-8,-25,-61,-38,20,65,29,26,28,1.123698324,1.12243319,1.030392456,1.203043087,86.68653015,31.23313112,22.31689894,17,71
