date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,95,40,28,22,1.99474679,1.991742642,1.783819523,2.130246588,167.0876141,23.4391576,0,0,0
2020-02-25,11,81.63078781,8,-22,3,8,-37,-23,11,91,55,20,32,1.924229328,1.922319099,1.758471848,2.07931217,195.0441523,30.0619029,23.68449967,8,263
2020-02-26,8.733333333,32.60943922,0,-23,-7,-5,-40,-23,11,119,39,32,26,1.840650049,1.83230648,1.697652169,1.988797786,226.1378534,36.7740398,0,0,0
2020-02-27,8,39.40478956,7,-19,-7,7,-39,-23,10,87,11,27,31,1.758240291,1.751592883,1.627749145,1.900843265,260.0393359,45.70183561,0,0,0
2020-02-28,9.25,23.66866369,14,-16,-6,32,-37,-24,10,30,11,35,39,1.671074813,1.670615119,1.535772523,1.797496864,296.2032516,54.35848108,41.44787442,14,166
2020-02-29,7,48.65854746,1,-24,-5,-12,-34,-20,8,30,25,20,33,1.585089668,1.584918341,1.461441207,1.68700521,333.9458016,65.12830524,2.960562458,1,11
2020-03-01,6.5,93.38541803,16,-33,-9,-38,-40,-14,7,65,,,,1.502029038,1.504491983,1.40285219,1.630590772,372.4099061,78.36735571,47.36899933,16,50
2020-03-02,5.066666667,96.65496492,12,-26,-18,-53,-44,-20,11,,,,,1.418802627,1.418837827,1.319200613,1.527278136,410.5800046,92.54551702,35.5267495,12,46
2020-03-03,7.45,84.34583157,35,-13,-1,16,-35,-19,9,,19,15,28,1.339608612,1.338531005,1.241407536,1.434312501,447.4434364,109.3423589,103.619686,35,217
2020-03-04,7.9,69.11199863,52,-14,-1,46,-34,-19,8,55,22,30,34,1.260641265,1.259664281,1.168268267,1.333242435,481.8660152,128.3639455,153.9492478,52,444
2020-03-05,6.1,81.79419869,52,-22,-6,-31,-42,-21,11,59,20,24,29,1.189094022,1.185720963,1.115688151,1.273686051,512.7216812,150.2609459,153.9492478,52,26
2020-03-06,6.116666667,85.70701063,70,-20,-2,1,-40,-22,11,59,22,22,32,1.123864082,1.124008959,1.033186058,1.182337002,538.6777205,173.83011,207.2393721,70,233
2020-03-07,8.1,75.48936082,94,-25,-1,54,-31,-19,7,68,29,34,26,1.066016042,1.063442675,0.981081818,1.125533887,559.5033011,199.8499759,278.2928711,94,259
2020-03-08,8.25,62.87723161,45,-48,-1,16,-42,-19,8,76,18,35,37,1.01346985,1.013394388,0.935598036,1.070620245,574.4329143,228.0011641,133.2253106,45,161
2020-03-09,8.5,69.83046449,100,-42,-9,-35,-57,-31,16,55,25,32,34,0.967019032,0.963798456,0.899304164,1.033558206,583.4438047,257.8308664,296.0562458,100,125
2020-03-10,10.1,61.1448308,86,-50,-8,-25,-61,-38,20,72,24,30,27,0.925013401,0.923044727,0.851677101,0.985927984,586.7451679,288.8200398,254.6083714,86,359
2020-03-11,11.75,69.23783211,333,-57,-13,-23,-65,-43,22,65,20,34,34,0.889031261,0.885845148,0.822981764,0.951894562,584.6444818,320.5814422,482.7350221,333,928
