date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,9,85.3416359,0,-7,33,25,-18,-13,6,144,56,27,26,1.818567437,1.807960172,1.650350041,1.976489297,22.60820182,4.527150171,0,0,0
2020-02-25,11,80.80867172,3,-11,1,24,-23,-15,7,134,53,23,35,1.786971549,1.777060712,1.615536369,1.937501785,25.69865058,5.606677859,4.455876212,3,91
2020-02-26,8.8,44.02504106,5,-18,-9,-16,-31,-15,8,102,25,28,27,1.751881481,1.747387891,1.597072573,1.907632766,29.14346482,6.616400696,7.426460354,5,44
2020-02-27,9.75,36.88205871,10,-12,-6,3,-29,-15,7,50,9,28,35,1.714285737,1.711405214,1.553535815,1.852401829,32.9285964,7.960707275,14.85292071,10,91
2020-02-28,8.483333333,32.36243616,0,-11,-5,12,-28,-15,7,13,19,28,39,1.673527171,1.667384159,1.519224638,1.797165851,37.0425137,9.104933457,0,0,0
2020-02-29,10,47.00131561,4,-13,1,4,-23,-16,5,50,34,20,30,1.624862228,1.619384077,1.46776809,1.740835272,41.47267023,10.51377263,5.941168283,4,15
2020-03-01,7,87.24885993,2,-26,-5,-39,-38,-8,6,87,26,16,22,1.575380267,1.567491836,1.435750482,1.69210663,46.19160603,12.24351797,2.970584142,2,7
2020-03-02,10.75,79.36274706,5,-14,-6,-25,-31,-10,6,74,16,20,25,1.522081849,1.518058154,1.366200881,1.621173171,51.13667329,13.96515669,7.426460354,5,18
2020-03-03,7.683333333,87.33952994,4,-12,-6,-20,-31,-13,7,38,10,13,28,1.467452856,1.464397497,1.338819269,1.575259714,56.23132934,15.99920511,0,0,0
2020-03-04,7,77.30822528,8,-13,-4,-6,-30,-13,7,21,18,21,27,1.410399213,1.403517552,1.300068671,1.533070208,61.38955211,18.25681918,11.88233657,8,31
2020-03-05,8.933333333,75.57401634,4,-16,-5,-13,-32,-14,8,46,24,17,28,1.352966235,1.348180252,1.241434058,1.451273218,66.50898503,20.87660366,5.941168283,4,10
2020-03-06,7.866666667,85.81517664,28,-17,-1,-9,-34,-15,8,57,21,23,27,1.301013767,1.301029948,1.209682382,1.405700305,71.42648998,23.6266216,41.58817798,28,41
2020-03-07,8.75,83.65214527,9,-22,5,-8,-31,-18,8,57,31,24,33,1.247225871,1.245370699,1.144523386,1.333835697,76.10756198,26.69546765,13.36762864,9,30
2020-03-08,7.25,65.19305164,15,-37,7,26,-33,-13,7,76,20,32,33,1.1970894,1.196680564,1.110441624,1.287808109,80.39999612,30.06881421,22.27938106,15,65
2020-03-09,7.5,71.22473178,19,-34,-4,-21,-45,-20,12,57,30,21,25,1.14814483,1.146731019,1.056533852,1.228930414,84.21720324,33.72054881,28.22054935,19,52
2020-03-10,9.25,65.40249076,11,-44,-5,-23,-50,-27,16,78,30,21,38,1.102105259,1.100576013,1.015058688,1.184005051,87.48034032,37.61946881,16.33821278,11,44
2020-03-11,10.75,57.54596615,36,-50,-11,-20,-54,-32,18,72,23,28,30,1.060165558,1.058220216,0.972180778,1.127042456,90.11791499,41.77218344,53.47051455,36,200
2020-03-12,11,77.93388367,27,-68,-17,-51,-63,-40,23,61,50,30,25,1.021976423,1.020112658,0.945783072,1.098035861,92.07716017,46.08744701,40.10288591,27,125
2020-03-13,14,77.02542865,61,-73,-18,-61,-68,-46,27,109,43,29,31,0.988772716,0.987706136,0.906368422,1.055655766,93.34822572,50.51966572,90.60281632,61,229
2020-03-14,10.56666667,75.08548738,55,-84,-37,-78,-76,-57,26,91,28,22,6,0.957718032,0.955461985,0.873361175,1.022044543,93.95066542,55.02416586,81.69106389,55,181
2020-03-15,6.75,65.23282263,61,-90,-56,-72,-80,-53,22,68,15,31,11,0.930668356,0.927908797,0.852419256,0.999893361,93.92909406,59.5426828,90.60281632,61,273
2020-03-16,8,61.56766763,73,-73,-31,-60,-70,-50,26,42,23,33,37,0.905287514,0.902088503,0.841330451,0.974365445,93.33087142,63.96829471,108.4263212,73,177
2020-03-17,8.5,61.8142376,20,-76,-36,-62,-72,-55,29,70,32,35,38,0.883393496,0.880244891,0.823589378,0.958485306,92.21191968,68.23954616,29.70584142,20,69
2020-03-18,11.31666667,64.39453085,115,-77,-38,-67,-73,-56,30,78,41,39,40,0.862391793,0.860248312,0.794187026,0.927271301,90.63182164,72.25709479,170.8085881,115,184
2020-03-19,12.5,65.9774219,88,-78,-39,-73,-75,-57,31,95,30,39,32,0.84534694,0.843762411,0.767955513,0.904034385,88.65198103,75.97753974,107.192883,88,368
2020-03-20,14.01666667,71.87771428,104,-79,-33,-77,-76,-58,33,76,41,33,27,0.830728561,0.830473045,0.75796505,0.891338444,86.3275064,79.31529162,140.4191545,104,332
2020-03-21,11.75,68.83221867,139,-86,-46,-86,-80,-62,28,93,26,39,14,0.816902956,0.81418481,0.747526564,0.874730441,83.72603672,82.23031017,85.47091828,139,729
2020-03-22,11,70.20968866,104,-96,-94,-91,-88,-64,24,61,18,30,3,0.803489406,0.801712135,0.735194053,0.859226974,80.92555188,84.6690862,112.0652867,104,416
2020-03-23,5.8,40.3589917,145,-79,-39,-78,-78,-64,32,46,13,32,29,0.794607819,0.792626958,0.736787246,0.864012199,77.97790058,86.62107322,138.2933326,145,470
2020-03-24,6.5,45.53286423,199,-80,-43,-79,-77,-66,34,38,15,32,20,0.786400839,0.783987395,0.719762588,0.844995764,74.91655164,88.06200874,138.5154786,199,644
2020-03-25,5.766666667,52.02619741,179,-83,-46,-82,-80,-68,35,50,17,29,11,0.7768169,0.77520795,0.712229166,0.835220089,71.79718804,89.00147079,79.36572236,179,1011
2020-03-26,3.016666667,93.2727555,143,-85,-51,-85,-82,-71,37,55,12,26,15,0.770189991,0.768635667,0.707268498,0.828784122,68.67123542,89.44228698,78.55556865,143,816
2020-03-27,8,80.97841876,96,-83,-40,-83,-81,-70,38,46,30,17,14,0.76669242,0.764545832,0.702271512,0.818456986,65.55237646,89.41317335,64.03730671,96,672
2020-03-28,10.75,67.92097644,150,-88,-50,-86,-82,-66,29,63,68,37,14,0.762411372,0.760584886,0.697766509,0.81799109,62.46150645,88.93860779,68.61140005,150,980
2020-03-29,12,63.49889559,172,-96,-94,-88,-88,-65,24,76,55,41,10,0.759368471,0.757755972,0.697659007,0.81924477,59.4434367,88.06180751,0,0,0
2020-03-30,8.85,78.98613692,43,-81,-42,-77,-78,-67,33,61,52,37,17,0.756154462,0.755678111,0.695968388,0.81414106,56.52146306,86.80505259,0,0,0
2020-03-31,5.916666667,57.42525791,85,-90,-37,-77,-76,-69,35,55,11,37,10,0.75442052,0.752861002,0.694567235,0.807622139,53.70076797,85.22663782,68.77652977,85,554
2020-04-01,4.5,54.59598639,75,-90,-35,-75,-76,-68,35,25,17,39,17,0.753772428,0.750310472,0.697739521,0.81323688,50.98364892,83.36776976,81.40335599,75,413
2020-04-02,7.25,52.08572697,119,-90,-35,-75,-76,-68,35,55,19,44,22,0.75335341,0.750156498,0.70033546,0.808283004,48.3763471,81.27428202,119.3357416,119,447
2020-04-03,9,56.67409102,82,-85,-29,-78,-78,-67,36,63,24,48,24,0.753219157,0.749309916,0.690529731,0.800460548,45.88889151,78.97896127,84.49980242,82,435
2020-04-04,9,58.6709031,53,-90,-42,-85,-81,-64,28,72,26,49,20,0.751456199,0.749070423,0.684997469,0.796996563,43.52324839,76.53234277,78.72047975,53,296
2020-04-05,10.75,52.41602651,58,-96,-93,-88,-87,-63,24,72,22,43,21,0.752481583,0.751794222,0.691849475,0.808444554,41.27590149,73.96924496,84.41281339,58,308
2020-04-06,12.25,50.80927555,82,-82,-32,-74,-76,-63,31,61,29,48,22,0.753071032,0.753997425,0.698032424,0.8155399,39.13594035,71.32675878,96.22359699,82,382
2020-04-07,15.43333333,43.2351757,67,-81,-33,-73,-75,-64,33,74,27,47,22,0.753047223,0.750822714,0.701681394,0.822178534,37.10230558,68.63877706,39.83222393,67,754
2020-04-08,15.16666667,32.537801,53,-81,-31,-74,-75,-64,33,72,19,45,22,0.751445655,0.748698407,0.688471836,0.813456716,35.1777167,65.92788812,57.66466211,53,412
2020-04-09,12.46666667,39.93555679,56,-81,-28,-74,-75,-64,33,53,18,48,19,0.749135431,0.747663158,0.686374444,0.811081351,33.3553615,63.222834,59.34426532,56,423
2020-04-10,15.75,41.13642217,63,-80,-20,-77,-76,-65,35,57,19,55,18,0.746738058,0.745252444,0.682268509,0.807859894,31.62193354,60.54322212,48.52311385,63,582
2020-04-11,16.25,40.66948724,81,-87,-38,-84,-79,-63,27,57,19,57,10,0.743699374,0.741824187,0.671032278,0.79397027,29.9651452,57.91003066,38.66789447,81,939
2020-04-12,19,24.19173651,76,-96,-95,-89,-89,-66,24,57,15,50,6,0.741551104,0.740030801,0.668384889,0.793966771,28.37860121,55.32900157,41.95547681,76,812
2020-04-13,17.5,35.88858957,45,-96,-96,-84,-90,-91,43,42,15,48,8,0.738204251,0.73770652,0.677443851,0.800258068,26.85850247,52.81701181,65.49270004,45,308
2020-04-14,14.1,57.58684016,48,-80,-33,-74,-74,-61,31,42,20,43,15,0.736411318,0.733773531,0.676064267,0.796217421,25.4039855,50.38202896,49.12450926,48,438
2020-04-15,9.5,59.85396159,37,-80,-31,-73,-73,-60,31,42,17,41,17,0.732285142,0.730271447,0.673559526,0.79258144,24.01255055,48.02588787,29.20010993,37,568
2020-04-16,12.25,60.97913021,45,-78,-33,-73,-74,-59,32,38,21,43,29,0.72769073,0.727373821,0.667091672,0.786641312,22.68364672,45.75798124,34.42278432,45,586
2020-04-17,15.5,51.40237926,39,-78,-29,-75,-75,-59,33,53,25,48,15,0.724729128,0.720019233,0.668253069,0.791803279,21.41324834,43.57559492,33.04760819,39,529
2020-04-18,17.25,61.49832455,39,-85,-43,-83,-78,-58,27,59,21,46,14,0.720981051,0.716155497,0.658928275,0.777380807,20.19413517,41.4780692,35.67792802,39,490
2020-04-19,17.25,69.92822326,50,-94,-84,-87,-86,-57,23,38,29,43,8,0.717251549,0.713567984,0.654515085,0.773108069,19.02657061,39.46270442,0,0,0
2020-04-20,14,93.75694062,21,-78,-46,-79,-77,-57,29,38,19,27,5,0.712427786,0.709887807,0.656213487,0.773132726,17.9111968,37.53212037,31.19113349,21,145
2020-04-21,12,89.84925057,38,-78,-41,-76,-74,-58,31,17,23,28,15,0.70955198,0.707395196,0.651949984,0.772263102,16.84578706,35.67186469,40.75101336,38,418
