date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,117,53,30,40,1.859449731,1.853341369,1.650193319,2.022994538,31.94832457,5.625420736,0,0,0
2020-02-25,11,81.63078781,3,-22,3,8,-37,-23,11,124,54,23,47,1.813417431,1.806946407,1.635132086,1.986363522,36.55565752,7.050036237,8.663028553,3,99
2020-02-26,8.733333333,32.60943922,1,-23,-7,-5,-40,-23,11,112,33,37,39,1.762632478,1.754912027,1.599978482,1.930571708,41.656736,8.420387977,0,0,0
2020-02-27,8,39.40478956,1,-19,-7,7,-39,-23,10,95,7,31,47,1.707744269,1.701006773,1.546803611,1.855043184,47.22120578,10.23798318,0,0,0
2020-02-28,9.25,23.66866369,1,-16,-6,32,-37,-24,10,30,13,40,51,1.652886399,1.648770674,1.500022492,1.777628177,53.20082744,11.85825793,2.887676184,1,12
2020-02-29,7,48.65854746,0,-24,-5,-12,-34,-20,8,55,28,26,41,1.592740654,1.586875688,1.443852064,1.701292858,59.53267678,13.8536033,0,0,0
2020-03-01,6.5,93.38541803,0,-33,-9,-38,-40,-14,7,78,,,,1.533637029,1.531352389,1.404132039,1.643226962,66.14537276,16.29524779,0,0,0
2020-03-02,5.066666667,96.65496492,2,-26,-18,-53,-44,-20,11,,,,,1.475306178,1.471057718,1.362848879,1.584251802,72.92878618,18.78324341,5.775352368,2,8
2020-03-03,7.45,84.34583157,1,-13,-1,16,-35,-19,9,,20,19,39,1.414231821,1.409487287,1.300770028,1.516965267,79.75482952,21.71216943,2.887676184,1,6
2020-03-04,7.9,69.11199863,2,-14,-1,46,-34,-19,8,70,24,33,44,1.353614673,1.347991683,1.25647839,1.471148017,86.49970929,24.97272679,5.775352368,2,17
2020-03-05,6.1,81.79419869,8,-22,-6,-31,-42,-21,11,72,22,25,36,1.297761975,1.294703038,1.190737762,1.39878155,93.00262349,28.72860637,0,0,0
2020-03-06,6.116666667,85.70701063,1,-20,-2,1,-40,-22,11,65,27,28,43,1.237983357,1.234730256,1.154899312,1.351111139,99.03623858,32.68935533,2.887676184,1,3
2020-03-07,8.1,75.48936082,41,-25,-1,54,-31,-19,7,85,29,41,38,1.186350971,1.185274093,1.087971044,1.283969727,104.5946531,37.07322162,118.3947236,41,113
2020-03-08,8.25,62.87723161,0,-48,-1,16,-42,-19,8,80,13,39,40,1.139968625,1.139304868,1.057150613,1.225847492,109.4343989,41.84526858,0,0,0
2020-03-09,8.5,69.83046449,5,-42,-9,-35,-57,-31,16,63,28,34,38,1.09330698,1.092058795,1.010386741,1.173322394,113.4581866,46.95267914,0,0,0
2020-03-10,10.1,61.1448308,1,-50,-8,-25,-61,-38,20,85,31,30,45,1.053570111,1.052012401,0.969506082,1.127936819,116.6654343,52.33673389,2.887676184,1,4
