date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,13.98333333,74.46267926,0,-1,18,2,-5,-16,3,81,27,23,1.56681772,1.56154459,1.404247965,1.737558137,20.3101834,3.342418728,0,0,0
2020-02-25,13,79.5593672,0,-2,-2,17,-7,-20,5,46,25,18,1.54762728,1.542862311,1.399580858,1.717505397,22.48886699,5.2006796,0,0,0
2020-02-26,13.5,65.24225194,0,-10,-6,-14,-11,-11,4,46,29,11,1.527032923,1.521882168,1.339272128,1.638030015,24.6972574,6.404138752,0,0,0
2020-02-27,10.51666667,47.23936652,3,-6,-1,-4,-15,-16,5,37,17,14,1.504524716,1.499109546,1.369355421,1.64992666,26.97696077,7.577212765,0,0,0
2020-02-28,13.03333333,51.94931112,1,-6,-1,-9,-16,-16,5,31,23,12,1.479596642,1.47473344,1.327240577,1.599019861,29.40403836,9.101940524,1.357225004,1,203
2020-02-29,11.5,62.53819147,9,-3,2,12,-5,-10,2,37,20,21,1.455014659,1.450660311,1.308841774,1.57080158,31.97124331,10.40239729,12.21502503,9,160
2020-03-01,14.98333333,75.70219684,4,-11,-1,-16,-14,-2,2,37,33,17,1.42824142,1.420848617,1.287746416,1.537982058,34.64780389,12.15681319,0,0,0
2020-03-02,15,78.51524185,0,-8,0,-16,-10,-3,2,53,40,19,1.401509372,1.394523424,1.27455814,1.515867184,37.41280807,13.39794669,0,0,0
2020-03-03,12,65.78357246,13,-7,-1,-16,-11,-2,2,46,34,23,1.370571725,1.365256089,1.263896063,1.484392346,40.24645441,14.91348785,17.64392505,13,32
2020-03-04,11,75.10608046,0,-5,2,-9,-9,-1,1,39,25,23,1.33901004,1.332384471,1.229928712,1.446175899,43.12538809,16.78133599,0,0,0
2020-03-05,11.98333333,68.24249721,0,-6,4,-1,-17,-16,5,38,22,22,1.305182299,1.300702743,1.195547536,1.404296805,46.00941451,18.39945155,0,0,0
2020-03-06,13,74.2616698,0,-14,-1,-25,-27,-18,7,48,32,23,1.268215781,1.263804499,1.164446318,1.370613434,48.85027665,20.28730416,0,0,0
2020-03-07,10,76.41945418,0,-22,4,-29,-28,-14,7,41,21,21,1.231843972,1.227583937,1.125056365,1.324024608,51.59951383,22.2566061,0,0,0
2020-03-08,9.7,69.5189673,28,-29,0,-20,-29,-8,6,38,19,16,1.195704904,1.194381532,1.077864261,1.277805213,54.19528734,24.52464223,38.0023001,28,258
2020-03-09,10.51666667,62.38831158,10,-26,2,-23,-37,-25,10,47,29,24,1.159874758,1.158208798,1.048290161,1.233329305,56.5213263,26.65484771,0,0,0
2020-03-10,11.5,60.83930228,6,-44,-1,-43,-50,-34,15,59,28,17,1.12432765,1.123069868,1.041719658,1.207687767,58.67477625,28.95161536,8.143350021,6,138
2020-03-11,11.75,76.08651768,35,-55,-17,-49,-59,-42,18,57,39,26,1.089191326,1.087185603,1.008315865,1.164856081,60.5203025,31.37961806,47.50287512,35,303
2020-03-12,12.75,83.54811732,13,-70,-27,-65,-68,-51,23,79,36,23,1.05598019,1.053102171,0.974686186,1.130271674,62.02731332,33.89643959,17.64392505,13,92
2020-03-13,12,82.16759276,31,-75,-33,-71,-73,-57,26,66,39,25,1.02418331,1.022131456,0.937782003,1.090353813,63.18060616,36.45820603,42.07397511,31,91
2020-03-14,12.36666667,90.6002461,31,-83,-42,-81,-78,-59,24,69,33,15,0.992501481,0.990393593,0.91513657,1.059990811,63.96562261,39.10193926,42.07397511,31,158
2020-03-15,12.35,47.36511141,17,-91,-61,-88,-85,-61,22,67,21,5,0.964454676,0.963725163,0.893193822,1.032650871,64.37514561,41.71256372,23.07282506,17,77
2020-03-16,12,50.68498924,31,-77,-43,-76,-79,-62,27,49,22,14,0.936376324,0.935286671,0.863561926,1.00440253,64.40326133,44.27179424,42.07397511,31,141
2020-03-17,12,70.73086701,39,-78,-45,-76,-79,-65,28,51,25,12,0.912133881,0.910556125,0.843867893,0.983055961,64.06359374,46.77800864,52.93177514,39,109
2020-03-18,12.75,60.79167963,0,-79,-46,-77,-79,-65,28,60,31,19,0.886434926,0.884030227,0.818851579,0.951185141,63.37551287,49.21805423,0,0,0
2020-03-19,13.43333333,68.81781487,100,-80,-48,-79,-80,-66,30,74,36,26,0.862281114,0.860055182,0.793323757,0.928976809,62.36823712,51.50084005,135.7225004,100,447
2020-03-20,12.75,71.21202378,58,-81,-45,-81,-81,-67,31,80,40,19,0.840767026,0.839615007,0.759675633,0.898155811,61.06319404,53.61932698,78.71905021,58,180
2020-03-21,13.5,75.29283911,47,-84,-49,-85,-82,-64,26,98,37,19,0.821265164,0.821124255,0.759871331,0.885494915,59.47786913,55.50310732,63.78957517,47,298
2020-03-22,14.25,50.87748239,41,-94,-79,-92,-89,-68,24,85,35,9,0.805330826,0.806510729,0.734901711,0.859245508,57.65117025,57.17570627,55.64622515,41,221
2020-03-23,9.35,43.99220867,39,-82,-52,-84,-83,-70,30,89,27,3,0.790829025,0.789180498,0.727282124,0.853168633,55.63357822,58.57581995,52.93177514,39,377
2020-03-24,5.125,41.04347146,45,-82,-52,-82,-82,-71,30,47,12,4,0.777481526,0.776110759,0.714418699,0.839599675,53.47983148,59.70567765,61.07512516,45,290
2020-03-25,6,62.11892517,38,-84,-56,-84,-84,-72,31,38,12,5,0.767650131,0.765707341,0.701939157,0.819486566,51.23550375,60.52635658,51.57455014,38,262
2020-03-26,11,76.80527398,39,-85,-57,-86,-85,-73,33,32,10,6,0.75801925,0.758585071,0.689716636,0.807104487,48.9333377,61.05617094,52.93177514,39,483
2020-03-27,10,87.51706178,69,-82,-48,-84,-84,-71,33,21,15,14,0.750256566,0.751208627,0.683371612,0.802763233,46.61124449,61.27119832,79.88666618,69,607
2020-03-28,11.03333333,74.30452812,93,-85,-51,-86,-83,-66,27,42,11,10,0.742664356,0.7425318,0.682851132,0.798166217,44.29950794,61.19050135,96.6830073,93,676
2020-03-29,12.8,76.31406556,71,-94,-78,-91,-89,-67,23,35,19,10,0.737149845,0.736179618,0.679299973,0.792260262,42.01829918,60.80903812,96.36297525,71,506
2020-03-30,12.5,86.41323972,93,-82,-51,-81,-82,-69,30,63,39,10,0.73050347,0.729250063,0.665653388,0.781790148,39.78323401,60.15682985,116.5021621,93,561
2020-03-31,10.33333333,80.88205173,62,-92,-46,-79,-80,-70,30,69,43,10,0.726097104,0.724953782,0.671147223,0.785359634,37.60889301,59.2460216,68.61702146,62,635
2020-04-01,7.25,38.97547114,108,-92,-43,-79,-79,-70,30,64,8,2,0.723794307,0.722600135,0.662886953,0.77423111,35.5013889,58.11380715,73.76023279,108,1029
