date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2/24/20,14,93.80046794,0,-7,33,25,-18,-13,6,124,51,22,21,1.496738098,1.490490557,1.365430305,1.608744601,44.99589388,10.34251495,0,0,0
2/25/20,11.5,100,4,-11,1,24,-23,-15,7,114,56,22,27,1.442181891,1.440077146,1.332248894,1.558655732,49.30712882,12.73086851,7.357945499,4,122
2/26/20,11.5,54.88798155,4,-18,-9,-16,-31,-15,8,132,30,27,23,1.387302786,1.383637246,1.278509263,1.491616545,53.64542297,14.91239756,7.357945499,4,35
2/27/20,11,66.36530522,2,-12,-6,3,-29,-15,7,68,,30,27,1.334038888,1.330988628,1.217781758,1.419175945,57.9062219,17.78963966,3.67897275,2,18
2/28/20,11,46.65073802,17,-11,-5,12,-28,-15,7,,13,28,38,1.282869041,1.280789511,1.185353698,1.381970587,62.00220457,20.09713064,31.27126837,17,86
2/29/20,9,87.42892162,8,-13,1,4,-23,-16,5,30,30,13,21,1.236545396,1.233183563,1.135453208,1.324176125,65.84947172,22.86735338,14.715891,8,30
3/1/20,6.5,100,24,-26,-5,-39,-38,-8,6,72,27,13,23,1.190223321,1.192772225,1.096394264,1.273455513,69.37506476,26.18350417,44.14767299,24,86
3/2/20,8,100,2,-14,-6,-25,-31,-10,6,70,30,8,21,1.148136266,1.150026701,1.059926204,1.226460212,72.52893073,29.22923109,0,0,0
3/3/20,8.25,100,23,-12,-6,-20,-31,-13,7,72,16,14,24,1.107948257,1.107303463,1.027342937,1.186408026,75.25580416,32.67164379,42.30818662,23,11
3/4/20,9,100,31,-13,-4,-6,-30,-13,7,46,27,19,27,1.069876848,1.067960528,0.988593621,1.139835743,77.50982377,36.23144846,57.02407762,31,122
3/5/20,8,100,35,-16,-5,-13,-32,-14,8,55,23,13,15,1.036956262,1.036899604,0.967597152,1.113715877,79.2639509,40.1527748,64.38202312,35,87
3/6/20,8,100,31,-17,-1,-9,-34,-15,8,61,20,20,24,1.003801639,0.999894609,0.931150364,1.072087438,80.40774511,43.82364287,57.02407762,31,45
3/7/20,11,100,48,-22,5,-8,-31,-18,8,59,25,23,17,0.976875505,0.974181364,0.908894997,1.047561454,81.16179097,47.60545124,88.29534599,48,160
3/8/20,9.5,87.76515414,47,-37,7,26,-33,-13,7,70,17,29,28,0.952459179,0.949654609,0.887202374,1.019862104,81.39210125,51.40742129,79.83460598,47,205
3/9/20,7,100,3,-34,-4,-21,-45,-20,12,53,20,23,18,0.927387167,0.925903805,0.865562802,0.996222993,81.14425826,55.13154574,0,0,0
3/10/20,9.5,96.78827245,46,-44,-5,-23,-50,-27,16,57,17,22,36,0.90580368,0.903731886,0.835319069,0.967234523,80.49662703,58.6902293,84.61637324,46,184
3/11/20,13,82.40221827,53,-50,-11,-20,-54,-32,18,53,22,26,26,0.887539825,0.889471515,0.827754992,0.955750243,79.47126388,62.11122577,62.56061983,53,295
3/12/20,15,93.88572736,52,-68,-17,-51,-63,-40,23,57,47,29,26,0.872482385,0.871707298,0.808300256,0.940518457,78.094158,65.22988276,75.44653366,52,240
3/13/20,17,100,88,-73,-18,-61,-68,-46,27,104,36,26,18,0.858296658,0.856940659,0.790154247,0.924616927,76.42658596,68.02162193,92.57673663,88,331
