date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.75,72.76027212,0,-18,27,28,-32,-22,9,119,39,29,16,1.677057357,1.676565763,1.549432145,1.81643885,49.30045874,9.615673383,0,0,0
2020-02-25,11,81.63078781,27,-22,3,8,-37,-23,11,93,62,22,24,1.620317704,1.614305767,1.489906679,1.741122486,55.26828808,11.96883356,10.12213226,27,888
2020-02-26,8.733333333,32.60943922,0,-23,-7,-5,-40,-23,11,154,20,33,15,1.566909463,1.568478204,1.431816032,1.674313711,61.60967735,14.18885775,0,0,0
2020-02-27,8,39.40478956,9,-19,-7,7,-39,-23,10,53,10,32,26,1.512432138,1.513604399,1.416645781,1.63545671,68.19229293,17.12298577,0,0,0
2020-02-28,9.25,23.66866369,13,-16,-6,32,-37,-24,10,38,13,36,44,1.453281753,1.451585997,1.354125435,1.565874504,74.91023068,19.63520393,25.32342821,13,154
2020-02-29,7,48.65854746,6,-24,-5,-12,-34,-20,8,46,35,21,33,1.396803912,1.394740071,1.295275055,1.496468261,81.67006347,22.68782831,11.6877361,6,63
2020-03-01,6.5,93.38541803,23,-33,-9,-38,-40,-14,7,99,,,,1.342575715,1.339089922,1.238065615,1.440397351,88.32064787,26.37460378,44.80298837,23,72
2020-03-02,5.066666667,96.65496492,5,-26,-18,-53,-44,-20,11,,,,,1.285194787,1.286483769,1.200668079,1.388311807,94.70990849,29.97087716,9.739780081,5,19
2020-03-03,7.45,84.34583157,39,-13,-1,16,-35,-19,9,,14,22,22,1.229933624,1.229889204,1.146379517,1.317231257,100.7166277,34.11605395,53.65008943,39,242
2020-03-04,7.9,69.11199863,4,-14,-1,46,-34,-19,8,46,19,32,27,1.178319285,1.178071583,1.07848607,1.245967113,106.1789376,38.57700158,7.791824065,4,34
2020-03-05,6.1,81.79419869,25,-22,-6,-31,-42,-21,11,53,32,25,21,1.130768529,1.129263152,1.041026455,1.20428721,110.9359909,43.5918639,0,0,0
