date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,13,82.31470256,0,-7,33,25,-18,-13,6,124,40,22,33,1.316886165,1.314482694,1.212906705,1.412984287,70.22302654,19.59219489,0,0,0
2020-02-25,12.2,90.80953781,18,-11,1,24,-23,-15,7,102,59,21,32,1.27196641,1.271004498,1.17558734,1.364666909,74.89586586,23.74245528,12.14514404,18,547
2020-02-26,12,11.92882592,10,-18,-9,-16,-31,-15,8,151,29,30,17,1.226181777,1.226840211,1.140915332,1.315426828,79.3206226,27.35076693,18.10978571,10,89
2020-02-27,10.5,26.11143266,35,-12,-6,3,-29,-15,7,74,11,27,30,1.186776587,1.186835192,1.0964422,1.267824707,83.39684936,32.11994498,40.49438917,35,319
2020-02-28,11.3,13.52799203,26,-11,-5,12,-28,-15,7,34,,34,43,1.151461829,1.147914033,1.063777809,1.239630098,87.04125477,35.55241373,47.08544285,26,132
2020-02-29,9,57.3611161,49,-13,1,4,-23,-16,5,,30,13,25,1.116885065,1.112418038,1.033103954,1.207074922,90.21361931,39.62050874,88.73794998,49,186
2020-03-01,7,100,36,-26,-5,-39,-38,-8,6,76,24,18,16,1.084835052,1.08121706,1.007589743,1.171456569,92.91450322,44.47115811,65.19522855,36,130
2020-03-02,6.65,98.84078908,38,-14,-6,-25,-31,-10,6,76,25,11,19,1.054880789,1.051304713,0.97271324,1.133922511,95.12440468,48.50876506,68.8171857,38,135
2020-03-03,8.75,95.14735436,44,-12,-6,-20,-31,-13,7,72,18,17,26,1.026496321,1.026221883,0.937136924,1.103741123,96.82151586,53.00425814,79.68305712,44,20
2020-03-04,8.75,84.52629396,63,-13,-4,-6,-30,-13,7,55,21,,29,1.001012321,0.99887196,0.918066573,1.082512479,98.00458966,57.41775292,93.75757365,63,248
2020-03-05,6,100,59,-16,-5,-13,-32,-14,8,61,26,18,26,0.974334201,0.973814771,0.88328412,1.04162561,98.67772458,62.2432932,106.8477357,59,147
2020-03-06,7.1,87.24820698,48,-17,-1,-9,-34,-15,8,72,21,25,27,0.951538333,0.947078641,0.861922955,1.019079639,98.69295246,66.31820963,86.92697141,48,70
2020-03-07,11.25,58.81660562,53,-22,5,-8,-31,-18,8,68,25,30,22,0.930442914,0.927162502,0.856716176,1.008578238,98.42806352,70.38099621,95.98186426,53,177
2020-03-08,9.15,63.62170752,49,-37,7,26,-33,-13,7,74,17,31,34,0.910811343,0.909489717,0.835709371,0.982324629,97.64811324,74.31323489,84.90513711,49,213
2020-03-09,7,100,74,-34,-4,-21,-45,-20,12,59,27,26,29,0.891699408,0.88924296,0.820536364,0.957286711,96.42034781,77.99311962,134.0124143,74,202
2020-03-10,11,61.01680414,31,-44,-5,-23,-50,-27,16,74,20,27,36,0.876725147,0.875531563,0.810956433,0.947768227,94.82838741,81.31691369,56.1403357,31,124
2020-03-11,13.5,61.59499624,31,-50,-11,-20,-54,-32,18,59,29,30,29,0.862928882,0.862253307,0.795675222,0.923714124,92.90610457,84.4073558,56.1403357,31,172
2020-03-12,14,72.23467376,15,-68,-17,-51,-63,-40,23,68,45,26,27,0.851018296,0.850372333,0.785076486,0.910455118,90.7041538,87.01788258,27.16467856,15,69
2020-03-13,15.7,77.24453707,31,-73,-18,-61,-68,-46,27,109,28,34,27,0.842599766,0.84284471,0.786371848,0.909484121,88.28569408,89.16554541,56.1403357,31,116
2020-03-14,10,81.37382915,143,-84,-37,-78,-76,-57,26,78,23,22,15,0.834119562,0.833813365,0.779817487,0.904610308,85.70184386,90.92111549,112.0553564,143,471
2020-03-15,10.5,59.22854563,159,-90,-56,-72,-80,-53,22,72,19,34,24,0.826372699,0.826203839,0.763769636,0.888827458,83.01343867,92.33593387,82.42038175,159,712
2020-03-16,11.15,33.0115162,61,-73,-31,-60,-70,-50,26,57,21,35,39,0.819768388,0.818215597,0.750668004,0.87559868,80.26299103,93.27206268,110.4696928,61,148
2020-03-17,12.3,46.5774435,131,-76,-36,-62,-72,-55,29,59,29,32,38,0.815033251,0.812335918,0.751593271,0.875150241,77.47015052,93.81058096,106.7310015,131,453
2020-03-18,13.85,53.98040293,136,-77,-38,-67,-73,-56,30,76,45,37,41,0.810181379,0.806260253,0.742089839,0.865353374,74.65568445,93.87019774,230.2501415,136,218
2020-03-19,15.1,56.91778802,88,-78,-39,-73,-75,-57,31,112,40,42,38,0.807135673,0.804019472,0.735367798,0.861965461,71.850945,93.6069453,88.25764697,88,368
2020-03-20,14,62.96717878,147,-79,-33,-77,-76,-58,33,104,33,36,22,0.805425637,0.802642839,0.736316688,0.867441335,69.07747522,92.95424373,115.4348566,147,470
2020-03-21,14.75,55.75400446,118,-86,-46,-86,-80,-62,28,87,24,40,14,0.805190725,0.802850666,0.740835135,0.870463856,66.35220254,91.99929538,70.3572489,118,619
2020-03-22,11,79.47087126,72,-96,-94,-91,-88,-64,24,72,20,32,4,0.80357737,0.800656887,0.735041159,0.862196352,63.69892608,90.71223569,92.26935819,72,288
2020-03-23,6.7,27.81325405,120,-79,-39,-78,-78,-64,32,59,16,33,26,0.803708139,0.803763666,0.730100326,0.856790836,61.13703831,89.19504476,113.8542209,120,389
2020-03-24,8,22.33384229,96,-80,-43,-79,-77,-66,34,46,16,35,26,0.803476166,0.801005057,0.734608992,0.861016231,58.66693431,87.42903223,113.9274391,96,311
2020-03-25,6.8,47.41028289,141,-83,-46,-82,-80,-68,35,53,18,32,29,0.805187638,0.802318127,0.740638857,0.865976889,56.2889697,85.49097961,65.37678143,141,796
2020-03-26,3.05,100,91,-85,-51,-85,-82,-71,37,55,15,27,23,0.80602322,0.803510137,0.743322285,0.871608741,54.00640804,83.37890176,64.71299881,91,519
2020-03-27,9,71.34785997,63,-83,-40,-83,-81,-70,38,55,36,25,16,0.807897631,0.80825363,0.733686782,0.863510372,51.82596206,81.16188207,52.72534754,63,441
