date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,14,93.80046794,0,-7,33,25,-18,-13,6,,53,25,28,1.849640842,1.840348635,1.654949806,1.993812293,28.81420542,3.489773125,0,0,0
2020-02-25,11.5,100,0,-11,1,24,-23,-15,7,122,52,24,31,1.810556241,1.805385743,1.626885139,1.95373912,33.20792956,5.439186019,0,0,0
2020-02-26,11.5,54.88798155,0,-18,-9,-16,-31,-15,8,112,24,29,24,1.767353039,1.766388488,1.611192392,1.930576204,37.82619641,6.831707787,0,0,0
2020-02-27,11,66.36530522,0,-12,-6,3,-29,-15,7,59,10,30,30,1.717050208,1.716308265,1.570013134,1.866333136,42.80935091,8.381922298,0,0,0
2020-02-28,11,46.65073802,1,-11,-5,12,-28,-15,7,17,26,30,41,1.666003502,1.665124249,1.537942871,1.807172941,48.24243166,10.43943167,3.083351354,1,5
2020-02-29,9,87.42892162,3,-13,1,4,-23,-16,5,30,43,21,29,1.614441853,1.615742231,1.468459856,1.735233231,54.05747723,12.38554176,9.250054062,3,11
2020-03-01,6.5,100,3,-26,-5,-39,-38,-8,6,78,29,,21,1.557846971,1.554459968,1.429976197,1.680222299,60.1705405,14.96098845,9.250054062,3,11
2020-03-02,8,100,1,-14,-6,-25,-31,-10,6,,21,11,25,1.501948907,1.502849272,1.36180753,1.604291294,66.51421354,17.18087112,3.083351354,1,4
2020-03-03,8.25,100,6,-12,-6,-20,-31,-13,7,57,9,15,27,1.443960234,1.439874852,1.334670118,1.569160455,72.98595483,19.88955884,18.50010812,6,3
2020-03-04,9,100,6,-13,-4,-6,-30,-13,7,34,14,23,24,1.386833717,1.38411008,1.272141938,1.501637576,79.45994201,23.17576796,18.50010812,6,24
2020-03-05,8,100,11,-16,-5,-13,-32,-14,8,42,20,13,26,1.327769228,1.325401312,1.226016335,1.431689162,85.79887059,26.41561076,33.91686489,11,27
2020-03-06,8,100,13,-17,-1,-9,-34,-15,8,57,29,24,27,1.269341462,1.270151521,1.172586843,1.37045969,91.85796489,30.17239166,40.0835676,13,19
2020-03-07,11,100,4,-22,5,-8,-31,-18,8,53,31,24,29,1.21349732,1.211983899,1.114831642,1.304578691,97.4784578,34.24998382,12.33340542,4,13
2020-03-08,9.5,87.76515414,22,-37,7,26,-33,-13,7,65,20,32,38,1.15904745,1.159193483,1.05301452,1.238956553,102.5000435,38.8643675,67.83372979,22,96
2020-03-09,7,100,33,-34,-4,-21,-45,-20,12,50,20,22,38,1.108926278,1.109541344,1.02402939,1.193143471,106.71687,43.54813178,101.7505947,33,90
2020-03-10,9.5,96.78827245,1,-44,-5,-23,-50,-27,16,57,,22,24,1.064220249,1.063504395,0.977701072,1.134410097,110.1981179,48.60047642,3.083351354,1,4
2020-03-11,13,82.40221827,10,-50,-11,-20,-54,-32,18,,28,31,41,1.023705486,1.017410494,0.941960092,1.095985389,112.7556961,53.94562518,30.83351354,10,56
