date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,8.25,85.99353021,0,-7,33,25,-18,-13,6,70,34,32,11,1.542591146,1.534103309,1.385884451,1.651472796,27.41382812,5.941235585,0,0,0
2020-02-25,13.73333333,61.7642738,1,-11,1,24,-23,-15,7,46,20,37,3,1.482593362,1.475839922,1.343044721,1.595083766,30.24044455,7.346547603,2.631258418,1,30
2020-02-26,13,58.01342339,2,-18,-9,-16,-31,-15,8,13,9,37,3,1.422051557,1.414543053,1.309113959,1.545940937,33.11309955,8.646499706,5.262516836,2,18
2020-02-27,10,47.78591875,3,-12,-6,3,-29,-15,7,13,7,34,3,1.367382463,1.363566713,1.244549955,1.47366214,35.95604726,10.3597718,7.893775254,3,27
2020-02-28,9.733333333,38.71972079,3,-11,-5,12,-28,-15,7,13,16,33,8,1.312561572,1.307277756,1.212422236,1.424890226,38.70383362,11.76797437,7.893775254,3,15
2020-02-29,13.11666667,46.66758555,6,-13,1,4,-23,-16,5,17,20,37,4,1.257442932,1.254308985,1.173814046,1.368059566,41.30918041,13.46310437,15.78755051,6,23
2020-03-01,13,65.02022396,1,-26,-5,-39,-38,-8,6,38,28,38,13,1.205489391,1.200199902,1.102820112,1.292803022,43.72294081,15.49487574,2.631258418,1,4
2020-03-02,13.03333333,67.59025251,3,-14,-6,-25,-31,-10,6,53,18,33,3,1.15676467,1.153065717,1.075730123,1.25669547,45.88173392,17.399618,7.893775254,3,11
2020-03-03,10.73333333,68.860133,5,-12,-6,-20,-31,-13,7,13,16,34,10,1.114218405,1.111114867,1.013330662,1.189789007,47.73145539,19.56054425,0,0,0
2020-03-04,8,86.15374388,9,-13,-4,-6,-30,-13,7,13,21,23,8,1.073805682,1.07158859,0.979488905,1.149604213,49.24122485,21.81817091,23.68132576,9,35
2020-03-05,9.35,73.34184904,35,-16,-5,-13,-32,-14,8,17,14,30,6,1.033176156,1.032130265,0.958249074,1.124367179,50.40622289,24.30913599,78.54457599,35,87
2020-03-06,8.433333333,81.71027923,25,-17,-1,-9,-34,-15,8,13,21,33,8,0.998556222,0.995751346,0.910830406,1.069375641,51.17057075,26.68175454,65.78146045,25,37
2020-03-07,7.65,88.27652756,11,-22,5,-8,-31,-18,8,30,33,26,6,0.964133846,0.964029288,0.898110472,1.053755977,51.63995214,29.13900882,28.9438426,11,37
2020-03-08,6.366666667,66.21268688,9,-37,7,26,-33,-13,7,55,20,35,4,0.935392353,0.932923665,0.850049084,1.000031617,51.7332572,31.62270186,23.68132576,9,39
