date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,16.5,63.50069854,0,2,18,17,-3,-3,1,70,24,15,8,1.899610417,1.892383148,1.657042635,2.091810031,16.86890723,0,0,0,0
2020-02-25,16,61.44630594,3,1,7,12,-7,-3,1,57,17,20,,1.879357261,1.877249222,1.643151416,2.06061517,19.27277677,2.445995173,0,0,0
2020-02-26,15,67.57614853,0,-8,-3,-7,-10,0,2,38,20,24,1,1.855061002,1.849434522,1.65351603,2.038798237,22.21661481,3.811105311,0,0,0
2020-02-27,12,40.28163421,0,-4,0,0,-9,1,1,46,10,22,3,1.822975593,1.822958674,1.637536436,2.013727994,25.37154552,4.768844927,0,0,0
2020-02-28,15.5,29.12009043,0,-3,0,5,-7,1,1,17,13,24,1,1.788702024,1.785074303,1.613411938,1.951525605,28.84471378,5.811722199,0,0,0
2020-02-29,14.5,53.17873627,3,-2,0,13,-6,1,0,30,14,20,5,1.754309355,1.750096,1.605600602,1.92948436,32.71145513,7.192297643,3.064022897,3,68
2020-03-01,15,67.76965953,0,-17,-6,-40,-22,-3,3,34,22,24,1,1.713912129,1.714418985,1.549047485,1.861364305,36.96162184,8.481899701,0,0,0
2020-03-02,14.75,77.09877308,1,-12,-7,-29,-13,1,2,30,,,,1.67216951,1.664902527,1.527365257,1.815804938,41.58236603,10.19977891,1.021340966,1,49
2020-03-03,12.5,58.57459232,7,-7,-1,-24,-14,0,2,,22,22,5,1.624512692,1.618869841,1.479239676,1.740883582,46.55400169,11.65830974,7.149386759,7,104
2020-03-04,13,54.7690434,15,-5,4,-8,-11,1,1,34,10,19,4,1.57431945,1.569632571,1.442731636,1.701517837,51.84160487,13.4541188,15.32011448,15,111
2020-03-05,13.5,41.37164941,13,-10,6,-7,-22,-15,6,25,9,18,5,1.521703044,1.516805971,1.380197238,1.62067542,57.38344937,15.65805899,13.27743255,13,167
2020-03-06,14.5,69.81897366,7,-16,2,-15,-26,-16,8,25,17,24,,1.468422605,1.462308015,1.345076097,1.577557117,63.09431331,17.84346771,7.149386759,7,139
2020-03-07,14,67.38033621,22,-18,4,-3,-23,-8,5,21,10,19,4,1.422044169,1.416904974,1.305302419,1.530232585,68.8772706,20.41568739,22.46950124,22,209
2020-03-08,15,40.39581793,6,-23,4,11,-30,-8,4,30,7,23,1,1.375064514,1.370530326,1.271591921,1.490318125,74.63028783,23.2533386,6.128045793,6,189
2020-03-09,13.5,51.33584258,14,-28,2,-24,-39,-25,11,21,10,21,5,1.32753518,1.326918865,1.21491879,1.423959132,80.28835558,26.52742084,0,0,0
2020-03-10,16,38.90819967,0,-44,-2,-37,-52,-36,17,30,11,24,2,1.282911443,1.279567301,1.187547867,1.391226702,85.72509791,29.93164001,0,0,0
2020-03-11,17,45.55592014,23,-53,-15,-38,-60,-44,21,38,20,18,5,1.239218806,1.237221592,1.141552586,1.335045147,90.94686058,33.6983859,0,0,0
2020-03-12,16.5,59.72161451,63,-72,-25,-63,-70,-55,28,53,16,18,5,1.198712951,1.197739508,1.113233114,1.292769389,95.77359384,37.79869365,64.34448083,63,2521
2020-03-13,13,91.20110913,56,-77,-32,-69,-75,-60,31,53,22,15,6,1.16010094,1.156763577,1.084846006,1.268530831,100.1344954,42.18892257,57.19509407,56,654
2020-03-14,14,82.28567971,70,-84,-43,-79,-77,-56,24,57,20,16,4,1.123339182,1.119894605,1.029674585,1.2029373,103.9833167,46.82046313,71.49386759,70,739
2020-03-15,17.5,52.09517281,66,-90,-55,-82,-82,-55,22,46,15,22,2,1.089750888,1.087730237,1.01860567,1.191932099,107.2708736,51.69898611,67.40850373,66,844
2020-03-16,15.5,48.64162958,58,-76,-39,-74,-79,-64,30,53,18,22,3,1.061698735,1.057370015,0.976039936,1.144346439,109.953686,56.71344388,59.237776,58,657
2020-03-17,16,55.62039168,74,-79,-43,-77,-80,-67,32,55,25,19,4,1.033453622,1.031255762,0.953218381,1.111998798,112.0183184,61.81958469,75.57923145,74,93
2020-03-18,18,50.25353575,104,-80,-46,-77,-81,-68,32,65,28,20,4,1.009425537,1.009110539,0.924007703,1.080484395,113.49939,66.97891281,106.2194604,104,1519
2020-03-19,18.5,39.87043663,88,-80,-46,-79,-82,-69,33,76,30,24,4,0.986013141,0.98322315,0.90361465,1.051657652,114.4144769,72.13928208,0,0,0
2020-03-20,18,38.5743336,77,-81,-45,-81,-81,-68,34,82,27,23,3,0.968383565,0.964897181,0.898104188,1.042841366,114.78326,77.19020594,78.64325435,77,1142
2020-03-21,16.5,46.7798436,138,-86,-53,-86,-81,-61,26,78,34,21,4,0.952959107,0.948734579,0.880719826,1.021127716,114.6381769,82.08353672,0,0,0
2020-03-22,18,51.84457758,156,-94,-76,-91,-87,-62,24,85,33,23,4,0.938486834,0.938237362,0.858944649,0.99630973,114.0446643,86.72409134,159.3291906,156,3198
2020-03-23,11,29.92659689,122,-80,-47,-84,-83,-71,33,82,20,25,1,0.924880547,0.924223025,0.862343566,0.997109624,113.0865025,91.08703205,124.6035978,122,409
2020-03-24,8.5,46.08876506,116,-82,-49,-84,-84,-72,34,68,12,23,1,0.912796748,0.912511319,0.850542689,0.977715675,111.811422,95.09086661,0,0,0
2020-03-25,12,27.23932984,141,-83,-50,-84,-84,-73,35,42,7,23,1,0.90322793,0.901384065,0.845773336,0.975263963,110.2420316,98.70705633,144.0090761,141,1873
