date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,13.2,54.65855627,0,-6,23,31,-21,-21,5,,1.821638585,1.815382748,1.665124143,2.001358433,88.4735693,11.03826944,0,0,0
2020-02-25,6,100,3,-10,3,3,-26,-21,7,112,1.796464034,1.791092191,1.632974745,1.94452893,101.4391049,17.19867999,0,0,0
2020-02-26,4.35,39.01183891,0,-14,-7,-12,-29,-19,8,139,1.762404482,1.760383161,1.593440683,1.887586431,115.1506273,21.52002757,0,0,0
2020-02-27,2.35,37.24072333,0,-9,-4,-2,-26,-18,7,34,1.72518173,1.718932474,1.558634205,1.851685626,130.0747697,26.22397636,0,0,0
2020-02-28,5.75,29.79069877,9,-8,-3,24,-22,-17,7,25,1.686431901,1.682070953,1.5651059,1.836547279,146.4929208,32.44456603,30.9405259,9,71
2020-02-29,4.5,50.66834996,0,-12,-1,-8,-18,-7,5,50,1.64498502,1.645620809,1.501605313,1.758428001,164.2770987,38.2332002,0,0,0
2020-03-01,2.75,98.3213817,38,-11,-2,3,-14,-3,3,70,1.596764993,1.594908253,1.462084672,1.715035096,183.2844117,45.9140358,130.637776,38,54
2020-03-02,2.45,100,0,-15,-10,-38,-29,-15,7,,1.547272194,1.542329773,1.427957691,1.666061878,203.382786,52.36223091,0,0,0
2020-03-03,5.2,27.41721946,1,-2,1,21,-20,-14,5,,1.49081107,1.484613948,1.378202433,1.610903605,224.3072336,60.24719108,3.437836211,1,5
2020-03-04,5.1,34.2621217,4,-4,1,25,-21,-13,5,25,1.434914772,1.4350453,1.314163293,1.536255296,245.7099321,69.8645149,13.75134484,4,13
2020-03-05,3.45,96.99636337,8,-14,-3,-23,-27,-15,7,46,1.376729975,1.37300592,1.271942254,1.467020142,267.1137702,79.26095874,0,0,0
2020-03-06,2.95,98.3213817,15,-13,0,4,-25,-15,8,65,1.321263912,1.320708257,1.217254412,1.415563008,288.0182681,90.23231248,51.56754317,15,107
2020-03-07,6.3,24.03461562,21,-15,2,26,-17,-8,5,65,1.265869127,1.261478705,1.161338186,1.352301881,307.9337008,102.1916142,72.19456044,21,83
2020-03-08,6,33.89865918,34,-34,5,-2,-25,-8,6,63,1.212520165,1.211143282,1.120604003,1.299659715,326.3919403,115.8676687,116.8864312,34,131
2020-03-09,5.5,80.37926423,0,-31,-2,-19,-42,-24,12,46,1.161399746,1.162806944,1.072112835,1.252403452,342.7092056,129.8296334,0,0,0
2020-03-10,8.9,38.40973087,24,-43,-7,-21,-51,-30,16,76,1.116223809,1.116297884,1.033163622,1.208535001,357.0316943,145.0737533,82.50806907,24,161
2020-03-11,11.25,47.06516553,48,-50,-14,-19,-56,-35,19,78,1.072134265,1.070613502,0.987777338,1.149679176,368.6574266,161.4125637,165.0161381,48,57
2020-03-12,8.1,100,28,-69,-23,-57,-66,-44,24,65,1.030230814,1.027642716,0.948564901,1.104050505,377.4983483,178.5904297,96.25941391,28,159
2020-03-13,8,90.59561079,118,-73,-26,-51,-69,-50,28,55,0.993788749,0.994826873,0.905460935,1.055798311,383.5481722,196.3307227,405.6646729,118,103
2020-03-14,5,100,0,-84,-44,-77,-75,-55,26,55,0.960881631,0.960527558,0.885821081,1.034232954,386.7152114,214.59646,0,0,0
2020-03-15,5,81.46429087,54,-90,-61,-78,-80,-52,22,55,0.932003689,0.930645946,0.84999541,0.99689491,387.0876835,232.817799,185.6431554,54,158
2020-03-16,7,68.42340049,183,-73,-35,-58,-73,-56,27,57,0.907645154,0.908183032,0.830938788,0.977389348,384.9069168,250.7350278,383.9034206,183,548
2020-03-17,10,56.64929703,207,-75,-38,-56,-73,-59,29,68,0.886908932,0.88685037,0.817616867,0.954006697,380.4651002,268.1325793,458.5159399,207,519
2020-03-18,10.75,64.86115755,293,-77,-42,-61,-75,-60,30,87,0.869401721,0.867567686,0.806616765,0.940883603,374.1014568,284.7612613,524.6673547,293,642
2020-03-19,12.7,56.47803288,0,-77,-41,-65,-76,-61,31,95,0.852934974,0.849460189,0.78038075,0.908697347,366.1648313,300.139088,0,0,0
2020-03-20,12.05,61.14513085,514,-79,-37,-71,-76,-62,33,93,0.837811754,0.833520234,0.76931887,0.894657042,356.9849209,314.0892834,542.1108152,514,1090
2020-03-21,12,63.54442708,124,-86,-51,-82,-79,-59,26,82,0.825492627,0.822402885,0.755595804,0.883828121,346.8036341,326.2521669,426.2916902,124,309
2020-03-22,8.5,90.97161663,309,-94,-82,-91,-86,-59,24,76,0.816451263,0.814568156,0.745685293,0.870837363,335.7913,336.6182294,384.0326925,309,925
2020-03-23,3.75,62.5702776,209,-80,-45,-79,-81,-69,33,80,0.808536035,0.806182464,0.74263213,0.864944766,324.1678785,344.9416452,590.3415176,209,407
2020-03-24,4.5,52.64472972,298,-81,-46,-77,-80,-70,34,38,0.80301143,0.802581825,0.742279461,0.864005018,312.2086589,351.2346295,393.7752918,298,870
2020-03-25,1.65,70.84221066,317,-82,-49,-80,-81,-70,35,50,0.798670058,0.798937516,0.737926219,0.862109632,300.1277905,355.4159543,493.1355074,317,739
2020-03-26,0.45,83.47775708,295,-83,-49,-80,-82,-73,36,55,0.794593988,0.795420312,0.732288972,0.850170037,288.0888447,357.6281757,419.2035433,295,809
2020-03-27,3.7,91.93091745,253,-83,-45,-80,-81,-72,38,50,0.793595237,0.792701905,0.737453132,0.856050703,276.2261339,357.9012396,388.3203532,253,749
2020-03-28,8.05,63.91524788,297,-87,-54,-83,-80,-62,27,46,0.792218608,0.790412516,0.72971483,0.847784835,264.6139465,356.4182123,368.7201851,297,926
2020-03-29,8.8,64.87635289,275,-94,-82,-89,-85,-59,23,65,0.789755476,0.788832826,0.728940719,0.855601502,253.3465908,353.2825771,241.5152162,275,1309
