date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,11.06666667,78.84002834,0,-18,27,28,-32,-22,9,144,52,29,1.815303233,1.819364723,1.627294454,2.01867284,14.43553114,1.841000599,0,0,0
2020-02-25,10,87.51706178,0,-22,3,8,-37,-23,11,119,50,28,1.790284119,1.788409486,1.626124585,1.993581919,16.52780853,2.868150752,0,0,0
2020-02-26,6.75,49.2636896,0,-23,-7,-5,-40,-23,11,114,21,22,1.754545209,1.753947189,1.592824191,1.931500758,18.73706905,3.584395193,0,0,0
2020-02-27,4.5,65.6373733,0,-19,-7,7,-39,-23,10,68,10,27,1.719480031,1.719402933,1.56389617,1.874890363,21.13437948,4.358222072,0,0,0
2020-02-28,7.35,27.47007407,3,-16,-6,32,-37,-24,10,38,14,40,1.681325465,1.679521032,1.527637208,1.815878911,23.76742441,5.380554195,5.861557011,3,36
2020-02-29,5.7,55.46277548,1,-24,-5,-12,-34,-20,8,50,18,27,1.636859276,1.628349687,1.509648311,1.792453577,26.62037777,6.327240429,1.953852337,1,11
2020-03-01,6,98.35856444,0,-33,-9,-38,-40,-14,7,61,,,1.591673082,1.587462057,1.443161382,1.715607956,29.67174596,7.585099959,0,0,0
2020-03-02,4.65,100,0,-26,-18,-53,-44,-20,11,,,,1.546511171,1.547297056,1.400613435,1.657474221,32.89036145,8.632556829,0,0,0
2020-03-03,7.75,44.0828647,3,-13,-1,16,-35,-19,9,,7,30,1.495801399,1.497793896,1.368928136,1.617643321,36.23951903,9.914253061,5.861557011,3,19
2020-03-04,7.966666667,40.79457927,4,-14,-1,46,-34,-19,8,38,10,39,1.445739694,1.442470309,1.329451025,1.561985639,39.68274641,11.47902184,7.815409348,4,34
2020-03-05,5.283333333,86.20871503,6,-22,-6,-31,-42,-21,11,30,23,27,1.401148796,1.394986312,1.277802267,1.506351081,43.15948606,13.00059103,0,0,0
2020-03-06,3.583333333,100,6,-20,-2,1,-40,-22,11,78,24,31,1.353687006,1.347987317,1.236019422,1.448483696,46.60333002,14.77762282,11.72311402,6,20
2020-03-07,10.5,24.52213914,4,-25,-1,54,-31,-19,7,82,14,25,1.310465965,1.306770729,1.207041834,1.411728919,49.97377617,16.71218579,7.815409348,4,11
2020-03-08,5.5,47.36399013,5,-48,-1,16,-42,-19,8,50,11,31,1.268275734,1.262920387,1.144076717,1.342993505,53.21962581,18.92559592,9.769261685,5,18
2020-03-09,6.85,74.62066928,12,-42,-9,-35,-57,-31,16,38,22,27,1.230096473,1.227253646,1.125309305,1.309028105,56.24790467,21.17890281,23.44622804,12,15
2020-03-10,7.616666667,58.35607273,6,-50,-8,-25,-61,-38,20,70,8,22,1.195164921,1.192073082,1.110196836,1.288594778,59.10525244,23.63936526,11.72311402,6,25
2020-03-11,12,76.45894581,25,-57,-13,-23,-65,-43,22,25,17,38,1.158155235,1.153537398,1.069505646,1.252160467,61.69699927,26.27921992,48.84630843,25,70
2020-03-12,12,90.38051775,23,-74,-26,-62,-74,-52,28,59,24,26,1.126972211,1.125875161,1.040817107,1.21609947,64.00790111,29.06138704,44.93860375,23,62
2020-03-13,12.5,87.64683375,27,-78,-27,-57,-76,-58,31,70,24,25,1.097662218,1.096893367,1.003824135,1.17586954,66.00899321,31.94839562,52.7540131,27,78
2020-03-14,10.5,91.86348844,33,-86,-46,-80,-80,-63,26,72,17,16,1.068850739,1.067536003,0.973306971,1.146691052,67.68201578,34.94575907,64.47712712,33,79
2020-03-15,8.55,76.23175763,26,-91,-58,-78,-83,-57,22,57,16,13,1.043244586,1.040782403,0.960875382,1.121159692,69.03035622,37.97255627,50.80016076,26,53
