date,med_temp,med_hum,Daily,retail,grocery,parks,transit,work,home,pm25,pm10,o3,no2,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-24,7.5,90.40716983,0,-12,28,14,-21,-18,6,142,55,35,22,1.733418017,1.72478922,1.552182894,1.914455902,36.08158564,0,0,0,0
2020-02-25,9,93.48238181,0,-11,3,9,-26,-19,7,137,64,22,25,1.709157011,1.697733052,1.529041434,1.885461175,38.03920039,0,0,0,0
2020-02-26,9.5,40.56793437,0,-15,-7,-6,-29,-17,7,154,46,32,23,1.679976028,1.674786151,1.522223098,1.844970307,42.45018816,6.051731409,0,0,0
2020-02-27,8,34.4411764,0,-11,-5,2,-29,-15,7,102,20,31,27,1.646170002,1.639537058,1.484360593,1.792724783,47.84172512,9.423652723,0,0,0
2020-02-28,7.55,37.12415487,0,-10,-4,10,-28,-15,7,50,26,36,35,1.604961423,1.599492123,1.475874008,1.755141616,53.36192526,11.71141523,0,0,0
2020-02-29,8.25,48.33763576,0,-13,-1,-2,-26,-16,5,53,29,26,20,1.559804805,1.558361642,1.420555623,1.678331236,59.1270893,14.09536609,0,0,0
2020-03-01,7,95.94703387,2,-30,-8,-65,-42,-10,8,59,,,,1.510720664,1.506978418,1.372877881,1.619525774,65.22751235,17.22508587,4.662043213,2,11
2020-03-02,8.683333333,84.58486234,6,-19,-9,-40,-36,-13,7,,,,,1.457957456,1.452762931,1.328617022,1.569533849,71.56111163,20.03733726,13.98612964,6,436
2020-03-03,7.516666667,90.39892486,9,-11,-2,-21,-33,-13,7,,10,22,22,1.408322301,1.40204964,1.292474372,1.527748296,77.98637068,23.77867554,20.97919446,9,104
2020-03-04,7.183333333,77.87658084,4,-8,-2,3,-27,-12,5,38,11,30,19,1.357259246,1.349141709,1.22630805,1.446235666,84.36290668,26.71100728,9.324086426,4,26
2020-03-05,6.25,86.97226526,4,-12,-1,-15,-32,-13,6,34,16,30,24,1.303225026,1.29951823,1.205016259,1.408930813,90.57788749,30.27066334,9.324086426,4,122
2020-03-06,6.533333333,89.45587325,17,-14,0,-9,-33,-13,7,42,20,24,18,1.24971096,1.249803611,1.151114958,1.336023803,96.51450984,34.5947738,39.62736731,17,225
2020-03-07,7.983333333,75.13200508,10,-16,2,8,-27,-16,5,59,24,30,12,1.201364701,1.201723834,1.100790096,1.28552333,102.0113541,38.58300289,23.31021607,10,256
2020-03-08,7.5,61.52291669,11,-31,8,12,-26,-11,5,68,11,38,18,1.158379848,1.158379565,1.059760522,1.236726376,106.9096638,43.17441488,25.64123767,11,129
2020-03-09,8.25,73.85731645,10,-30,0,-22,-45,-19,10,42,27,34,20,1.113041288,1.116031338,1.035039585,1.203844608,111.1227772,48.00652821,0,0,0
2020-03-10,7.933333333,78.20003096,23,-39,1,-30,-50,-23,14,68,36,29,25,1.073458426,1.073377689,0.994317239,1.151027027,114.6273224,53.43701226,53.61349695,23,141
2020-03-11,10.85,69.25567575,14,-48,-6,-37,-55,-27,16,89,39,33,22,1.035919701,1.032668321,0.959004881,1.109029238,117.2337141,58.63697251,32.63430249,14,399
2020-03-12,12.5,82.16759276,40,-70,-13,-62,-65,-37,22,95,53,25,19,1.000590968,0.998724103,0.916623092,1.060827769,119.1724829,64.11494736,93.24086426,40,226
2020-03-13,13,79.5965107,60,-76,-16,-68,-71,-45,27,122,41,29,16,0.971267246,0.969813876,0.905087245,1.043826729,120.2587704,69.7500453,128.4716557,60,641
2020-03-14,11.25,63.53071447,65,-85,-37,-84,-80,-57,26,95,19,29,13,0.944700932,0.944842655,0.87585019,1.011392727,120.5199818,75.40146485,151.5164044,65,245
2020-03-15,8.75,61.75208754,60,-91,-61,-82,-82,-53,23,59,13,38,6,0.921789532,0.920446571,0.852521718,0.986380694,120.0551557,80.9329599,57.95237953,60,1421
2020-03-16,9.5,58.28445108,90,-76,-30,-69,-75,-51,26,46,27,37,14,0.902088356,0.901413734,0.833555468,0.964717197,118.9509581,86.36520103,164.9205567,90,749
2020-03-17,9,68.7698612,56,-77,-34,-68,-76,-54,29,63,42,41,17,0.885973862,0.886754406,0.823108753,0.950877791,117.2847362,91.45218549,130.53721,56,103
2020-03-18,11.56666667,65.62814647,145,-79,-37,-72,-76,-55,29,93,43,45,20,0.871544889,0.869346631,0.814749299,0.94104994,115.1481178,96.13589114,130.500525,145,1525
2020-03-19,12.25,61.54040428,60,-79,-35,-75,-78,-56,30,107,28,45,16,0.859592986,0.85899696,0.78976896,0.922104244,112.6375743,100.3998875,97.11123976,60,848
2020-03-20,13.15,68.96572025,98,-80,-29,-78,-79,-57,32,76,39,47,13,0.848729879,0.844650686,0.777013895,0.906985679,109.832934,104.2186305,162.0548689,98,830
2020-03-21,9.95,93.48238181,170,-88,-47,-88,-84,-62,28,91,51,43,12,0.840252627,0.836174802,0.766509049,0.898583977,106.8032993,107.4421491,184.7394606,170,1263
2020-03-22,10.61666667,52.78910786,92,-96,-96,-93,-89,-62,25,127,22,33,9,0.833601525,0.830320729,0.768064789,0.899058029,103.6092277,110.090091,172.0306649,92,734
2020-03-23,5.216666667,38.38741538,53,-80,-37,-79,-81,-63,31,68,15,36,8,0.829066245,0.828338335,0.767411307,0.896204609,100.3078268,112.0785745,123.5441451,53,477
2020-03-24,6.5,44.80389443,129,-80,-39,-78,-79,-64,33,34,19,36,12,0.824616081,0.82265841,0.764779548,0.890616275,96.95426323,113.5039579,120.1175118,129,1474
2020-03-25,5.316666667,41.91050759,76,-83,-43,-82,-81,-65,33,53,14,35,11,0.82222895,0.818410822,0.760447158,0.883100178,93.59970484,114.3160817,144.2744394,76,723
2020-03-26,5.033333333,64.84195561,98,-84,-44,-84,-83,-69,36,42,18,33,10,0.818855276,0.819796146,0.758514207,0.882883182,90.27589756,114.583066,76.16395309,98,1766
2020-03-27,10,66.98842941,243,-83,-37,-82,-83,-69,38,46,39,28,14,0.818260129,0.818928406,0.755080351,0.87685714,87.00724732,114.2973352,199.4729915,243,1672
2020-03-28,11.25,62.57573711,109,-88,-52,-87,-84,-65,28,74,64,39,10,0.817058836,0.817141536,0.75836147,0.876901957,83.80363822,113.5511317,103.3170593,109,1448
2020-03-29,14,54.89317287,122,-96,-95,-91,-89,-62,25,76,69,43,6,0.815127915,0.815601509,0.754477973,0.873094369,80.68244865,112.3557924,108.7309569,122,1540
