date, pm25, pm10, o3, no2
2020-08-02,39,19, ,8
2020-08-03,57,19, ,16
2020-08-04,55,25, ,14
2020-08-05,63,20, ,10
2020-08-06,47,20, ,9
2020-08-07,38, , , 
2020-07-02,53,31,79,10
2020-07-03,68,26,61,8
2020-07-04,50,25,75,9
2020-07-05,58,18,67,9
2020-07-06,49,14,54,13
2020-07-07,37,12,36,11
2020-07-08,32,9,21,8
2020-07-09,25,18,61,15
2020-07-10,47,18,60,13
2020-07-11,39,15,41,7
2020-07-12,36,14,59,7
2020-07-13,36,16,71,11
2020-07-14,38,24,84,12
2020-07-15,54,26,75,13
2020-07-16,58,30,75,11
2020-07-17,57,35,57,11
2020-07-18,58,34,62,9
2020-07-19,66,30,57,9
2020-07-20,62,21,66,14
2020-07-21,51,20,74,13
2020-07-22,50,16,89,14
2020-07-23,44,26,82,11
2020-07-24,62,18,88,11
2020-07-25,48,20,79,12
2020-07-26,56,10,35,10
2020-07-27,32,13,41,12
2020-07-28,33,12,26,12
2020-07-29,38,15,25,16
2020-07-30,46,23,23,15
2020-07-31,58,17, ,13
2020-08-01,47,13, ,12
2020-06-02,64,27,60,9
2020-06-03,64,13,25,6
2020-06-04,32,16,47,8
2020-06-05,33,20,58,8
2020-06-06,45,23,62,10
2020-06-07,49,18,50,7
2020-06-08,47,18,79,10
2020-06-09,47,14,80,13
2020-06-10,36,26,64,12
2020-06-11,52,21,43,7
2020-06-12,44,15,40,5
2020-06-13,24,17,50,5
2020-06-14,38,24,67,7
2020-06-15,59,29,72,9
2020-06-16,68,37,88,12
2020-06-17,77,34,76,11
2020-06-18,68,27,57,11
2020-06-19,53,23,67,9
2020-06-20,44,21,56,8
2020-06-21,47,26,74,10
2020-06-22,63,21,48,15
2020-06-23,57,15,54,12
2020-06-24,42,11,32,12
2020-06-25,34,9,24,9
2020-06-26,27,14,36,9
2020-06-27,33,28,86,9
2020-06-28,62,29,64,9
2020-06-29,55,30,64,12
2020-06-30,64,24,90,13
2020-07-01,60,21,69,11
2020-05-02,38,25,87,13
2020-05-03,61,22,79,8
2020-05-04,54,18,74,11
2020-05-05,40,27,69,10
2020-05-06,59,19,90,8
2020-05-07,47,23,50,14
2020-05-08,58,24,59,9
2020-05-09,66,36,70,12
2020-05-10,83,25,77,7
2020-05-11,64,23,82,12
2020-05-12,61,26,57,10
2020-05-13,66,32,69,12
2020-05-14,81,33,83,8
2020-05-15,80,35,72,13
2020-05-16,80,21,44,4
2020-05-17,48,20,83,7
2020-05-18,50,32,88,10
2020-05-19,69,21,87,11
2020-05-20,48,46,90,12
2020-05-21,100,56,100,17
2020-05-22,127,37,87,12
2020-05-23,82,31,86,11
2020-05-24,68,32,78,6
2020-05-25,74,23,76,9
2020-05-26,53,33,96,11
2020-05-27,72,52,104,17
2020-05-28,112,40,91,13
2020-05-29,84,25,62,13
2020-05-30,58,20,55,10
2020-05-31,48,23,64,8
2020-06-01,60,26,71,8
2020-04-02,73,33, ,13
2020-04-03,67,25,65,14
2020-04-04,55,22,62,12
2020-04-05,53,27,68,10
2020-04-06,61,29,47,13
2020-04-07,62,26,61,15
2020-04-08,57,28,84,14
2020-04-09,63,31,98,14
2020-04-10,68,27,66,5
2020-04-11,59,29,54,5
2020-04-12,59,31,38,4
2020-04-13,60,29,72,11
2020-04-14,60,37,53,12
2020-04-15,66,38,77,12
2020-04-16,76,44,86,12
2020-04-17,86,39,90,12
2020-04-18,77,42,82,15
2020-04-19,91,45,96,10
2020-04-20,98,37,84,13
2020-04-21,73,45,85,13
2020-04-22,64,29,84,11
2020-04-23,64,24,77,9
2020-04-24,57,34,70,13
2020-04-25,76,32,63,12
2020-04-26,73,26,64,7
2020-04-27,61,16,78,9
2020-04-28,36,27,66,11
2020-04-29,56,24,59,11
2020-04-30,47,25,62,11
2020-05-01,40,14,58,11
2020-03-02,60,23,18,20
2020-03-03,50,24,27,14
2020-03-04,44,23,27,14
2020-03-05,38,42,53,25
2020-03-06,68,53,6,26
2020-03-07,107,56,56,23
2020-03-08,114,33,63,20
2020-03-09,65,32,57,18
2020-03-10,58,43,73,21
2020-03-11,84,40,40,25
2020-03-12,69,35,69,19
2020-03-13,58,33,56,21
2020-03-14,56,36,49,16
2020-03-15,57,29,48,13
2020-03-16,58,28,38,14
2020-03-17,60,22,41,21
2020-03-18,51, , , 
2020-03-20,59,28,64,16
2020-03-21,50,33,79,10
2020-03-22,70,30,67,11
2020-03-23,63,24,71,16
2020-03-24,47,28,70,18
2020-03-25,52,34,91,16
2020-03-26,60,42,62,18
2020-03-27,74,29,46,17
2020-03-28,53,36,69,12
2020-03-29,69,45,54,7
2020-03-30,76,45, ,13
2020-03-31,77,42, ,13
2020-04-01,60,41, ,14
2020-02-02,66,33,37,20
2020-02-03,72,14,24,10
2020-02-04,25,11,19,10
2020-02-05,24,9,16,6
2020-02-06,17,10,32,11
2020-02-07,21,17,36,20
2020-02-08,33,21,61,18
2020-02-09,42,19,46,14
2020-02-10,44,24,58,18
2020-02-11,48,26,64,19
2020-02-12,52,19,38,12
2020-02-13,38,31,40,27
2020-02-14,62,57,84,13
2020-02-15,117, , , 
2020-02-18,54,28,33,29
2020-02-19,48,37,71,33
2020-02-20,66,36,48,19
2020-02-21,58,29,51,12
2020-02-22,50,38,83,21
2020-02-23,65,36,87,15
2020-02-24,64,35,47,17
2020-02-25,54,21,34,16
2020-02-26,33,35,58,21
2020-02-27,53,44,55,24
2020-02-28,71,39,34,24
2020-02-29,66,35,45,24
2020-03-01,64,31,51,13
2020-01-02,23,13,19,4
2020-01-03,17,13,34,14
2020-01-04,27,32,46,22
2020-01-05,70,24,60,24
2020-01-06,56,46,82,41
2020-01-07,93,34,45,23
2020-01-08,60,46,71,36
2020-01-09,84,40,65,28
2020-01-10,73,25,40,20
2020-01-11,46,23,53,21
2020-01-12,47,33,62,21
2020-01-13,66,34,61,28
2020-01-14,63,33,52,26
2020-01-15,59,35,53,20
2020-01-16,62,41,49,18
2020-01-17,77,27,15,18
2020-01-18,56, , , 
2020-01-21,55,26,33,21
2020-01-22,60,26,42,21
2020-01-23,62,19,29,15
2020-01-24,47,22,27,17
2020-01-25,50,21,32,16
2020-01-26,46,14,30,13
2020-01-27,32,13,22,16
2020-01-28,23,13,39,17
2020-01-29,23,20,35,22
2020-01-30,35,17,25,16
2020-01-31,26,13,33,12
2020-02-01,25,33,42,20
2019-10-02,46,15,37,15
2019-10-03,36,15,36,13
2019-10-04,34,21,39,17
2019-10-05,50,22,35,12
2019-10-06,53,19,40,10
2019-10-07,44,19,28,11
2019-10-08,36,11,16,12
2019-10-09,26,15,35,13
2019-10-10,35,22,26,15
2019-10-11,55,24,32,16
2019-10-12,55,17,32,11
2019-10-13,39,21,19,10
2019-10-14,55,27,30,12
2019-10-15,46,30,47,18
2019-10-16,57,20,10,16
2019-10-17,47,9,5,17
2019-10-18,25,15,20,16
2019-10-19,33,17,28,15
2019-10-20,39,10,14,11
2019-10-21,27,13,27,17
2019-10-22,33,21,21,13
2019-10-23,48,19,25,15
2019-10-24,40,22,23,21
2019-10-25,51,29,20,23
2019-10-26,72,22,24,20
2019-10-27,60,28,44,16
2019-10-28,75,33,36,29
2019-10-29,84,28,24,21
2019-10-30,69,27,34,23
2019-10-31,66,16,18,16
2019-11-01,37,29,32,19
2019-11-02,65,28,16,16
2019-11-03,69,15,25,15
2019-11-04,41,30,33,22
2019-11-05,69,25,30,20
2019-11-06,59,20,27,16
2019-11-07,44,26,31, 
2019-11-08,48,20,17, 
2019-11-09,33,16,27,11
2019-11-10,29,21,30,13
2019-11-11,44,29,28, 
2019-11-12,57,25,24, 
2019-11-13,53,13,18, 
2019-11-14,26,18,24, 
2019-11-15,34,33,28, 
2019-11-16,72,39,22, 
2019-11-17,83,24,34, 
