date, pm25, pm10, o3, no2
2020-08-02,68,19,28,14
2020-08-03,52, ,30,23
2020-08-05,60,28, ,15
2020-08-06,50,25,13,14
2020-08-07,32, , , 
2020-07-02,71,36,45,18
2020-07-03,59,40,35,17
2020-07-04,64,36,41,16
2020-07-05,76,28,44,14
2020-07-06,68,29,39,23
2020-07-07,60,31,29,20
2020-07-08,75,18,18,16
2020-07-09,47,26,35,23
2020-07-10,58,29,34,23
2020-07-11,54,23,26,15
2020-07-12,53,17,36,14
2020-07-13,43,24,41,20
2020-07-14,52,28,44,22
2020-07-15,58,39,45, 
2020-07-16,81,43,43,20
2020-07-17,79,46,40,19
2020-07-18,74,41,40,20
2020-07-19,83,35,44,14
2020-07-20,73,29,45,22
2020-07-21,69,25,39,17
2020-07-22,47,30,52,25
2020-07-23,67,29,49,20
2020-07-24,62,30,51,20
2020-07-25,63,33,49,19
2020-07-26,70, , , 
2020-07-29,55,31,24,28
2020-07-30,68,29,39,20
2020-07-31,66,26,30,20
2020-08-01,57,27,29,22
2020-06-02,73,35,37,16
2020-06-03,71,22,17,12
2020-06-04,40,24,17,15
2020-06-05,40,25,34,13
2020-06-06,50,28,36,16
2020-06-07,56,21,42,12
2020-06-08,48,27,53,19
2020-06-09,65,33,58,28
2020-06-10,72,37,39,22
2020-06-11,71,32,28,15
2020-06-12,53,31,27,11
2020-06-13,40,32,34,14
2020-06-14,62,28,45,13
2020-06-15,62,36,49,16
2020-06-16,83,42,51,20
2020-06-17,87,42,44,17
2020-06-18,83,39,36,17
2020-06-19,69,34,36,17
2020-06-20,54,33,35,16
2020-06-21,67,37,43, 
2020-06-22,88,25,31,22
2020-06-23,65,30,32,22
2020-06-24,70,28,32,22
2020-06-25,75,18,21,17
2020-06-26,46,24,35,19
2020-06-27,51,42,61,18
2020-06-28,95,47,48,16
2020-06-29,91,41,39,18
2020-06-30,78,34,52,26
2020-07-01,73,36,42,21
2020-05-02,55,29,55,21
2020-05-03,66,25,55,15
2020-05-04,52,29,47,20
2020-05-05,54,34,43,20
2020-05-06,57,29,52,17
2020-05-07,60,33,40,19
2020-05-08,78,34,41,22
2020-05-09,77,33,53,19
2020-05-10,73,30,51,16
2020-05-11,73,28,52,21
2020-05-12,65,36,61,20
2020-05-13,75,38,62,24
2020-05-14,81,38,66,23
2020-05-15,81,41,61,22
2020-05-16,81,31,40,19
2020-05-17,63,31,56,15
2020-05-18,68,40,51,18
2020-05-19,72,33,66,21
2020-05-20,67,50,59,24
2020-05-21,97,53,79,26
2020-05-22,112,38,55,25
2020-05-23,79,35,52,22
2020-05-24,71,38,60,15
2020-05-25,76,39,74,21
2020-05-26,76,46,87,24
2020-05-27,91,59,70,22
2020-05-28,122,42,55,25
2020-05-29,81,31,39,21
2020-05-30,59,28,34,16
2020-05-31,62,28,40,14
2020-06-01,66,33,44,15
2020-04-02,86,38,58,22
2020-04-03,66,36,56,26
2020-04-04,69,36,70,23
2020-04-05,79,32,54,16
2020-04-06,63,37,49,22
2020-04-07,71,39,53,23
2020-04-08,72,43,64,25
2020-04-09,77,40,72,23
2020-04-10,82,30,59,17
2020-04-11,63,35,46,15
2020-04-12,67,31,36,7
2020-04-13,60,38,66,24
2020-04-14,71,54,50,23
2020-04-15,90,53,74, 
2020-04-16,106,54,77, 
2020-04-17,92,51,79, 
2020-04-18,92,47,65, 
2020-04-19,87,46,72, 
2020-04-20,85,44,58, 
2020-04-21,77,53,72, 
2020-04-22,76,34,79,18
2020-04-23,67,32,54,23
2020-04-24,65,39,68,21
2020-04-25,80,36,57,23
2020-04-26,79,27,47,12
2020-04-27,57,30,54,18
2020-04-28,52,37,46,24
2020-04-29,62,39,47,22
2020-04-30,59,25,46,19
2020-05-01,46,22,47,18
2020-03-02,71,40,28,34
2020-03-03,65,40,34,21
2020-03-04,59,35,50,29
2020-03-05,61,60,58,33
2020-03-06,85,58,28,28
2020-03-07,101,57,34,28
2020-03-08,100,45,48,27
2020-03-09,82,49,53,30
2020-03-10,81,48,41,25
2020-03-11,80,46,32,31
2020-03-12,80,44,49,29
2020-03-13,65,43,39,28
2020-03-14,49,48,52,28
2020-03-15,69,42,41,18
2020-03-16,77,44,39,19
2020-03-17,79,34,35,29
2020-03-18,65, , , 
2020-03-20,42,39,41,22
2020-03-21,67,43,46,18
2020-03-22,84,32,48,19
2020-03-23,66,34,48,27
2020-03-24,60,39,49,29
2020-03-25,61,48,68,30
2020-03-26,72,44,57,30
2020-03-27,81,49,42,29
2020-03-28,85,48,64,23
2020-03-29,79,53,70,14
2020-03-30,85,49,68,22
2020-03-31,84,53,43,21
2020-04-01,75,49,64,24
2020-02-02,96,48,28,31
2020-02-03,91,33,21,16
2020-02-04,47,26,17,17
2020-02-05,45,22,13,11
2020-02-06,36,18,27,16
2020-02-07,36,41,36,37
2020-02-08,70,39,47,33
2020-02-09,69,38,53,30
2020-02-10,70,42,47,33
2020-02-11,66,43,53,29
2020-02-12,67,44,35,30
2020-02-13,73,49,27,30
2020-02-14,83, ,99, 
2020-02-19,63,49,53,34
2020-02-20,72,54,38,29
2020-02-21,88,41,47,19
2020-02-22,53,50,66,28
2020-02-23,78,45,48,28
2020-02-24,71,47,48,27
2020-02-25,66,35,35,22
2020-02-26,55,54,40,27
2020-02-27,67,61,50,34
