date, pm25, o3, no2
2020-08-07,55, , 
2020-08-06,51,18,9
2020-08-05,66,71,13
2020-08-04,52,69,15
2020-08-03,57,40,18
2020-08-02,51,46,11
2020-08-01,49,39,15
2020-07-31,61,35,14
2020-07-30,39,64,18
2020-07-29,31,29,15
2020-07-28,36,26,8
2020-07-27,38,37,10
2020-07-26,57,38,11
2020-07-25,42,80,11
2020-07-24,64,76,10
2020-07-23,42,75,12
2020-07-22,59,77,12
2020-07-21,67,74,13
2020-07-20,61,85,15
2020-07-19,64,58,8
2020-07-18,62,58,10
2020-07-17,60,54,9
2020-07-16,53,74,11
2020-07-15,52,73,12
2020-07-14,48,84,12
2020-07-13,38,75,13
2020-07-12,38,55,8
2020-07-11,50,46,9
2020-07-10,43,61,15
2020-07-09,22,61,16
2020-07-08,28,19,11
2020-07-07,38,36,12
2020-07-06,50,52,12
2020-07-05,57,50,8
2020-07-04,51,67,10
2020-07-03,64,63,10
2020-07-02,39,76,12
2020-07-01,58,60,10
2020-06-30,69,85,11
2020-06-29,65,66,13
2020-06-28,62,59,7
2020-06-27,41,82,9
2020-06-26,36,37,10
2020-06-25,38,23,11
2020-06-24,42,15,12
2020-06-23,60,56,11
2020-06-22,60,51,17
2020-06-21,55,62,11
2020-06-20,47,64,8
2020-06-19,59,76,8
2020-06-18,63,64,11
2020-06-17,63,88,12
2020-06-16,65,97,12
2020-06-15,53,72,11
2020-06-14,40,66,8
2020-06-13,29,57,8
2020-06-12,49,38,7
2020-06-11,52,45,9
2020-06-10,46,64,11
2020-06-09,41,83,12
2020-06-08,50,73,7
2020-06-07,44,57,7
2020-06-06,45,64,8
2020-06-05,43,61,8
2020-06-04,36,47,9
2020-06-03,59,26,6
2020-06-02,60,56,9
2020-06-01,53,72,10
2020-05-31,49,72,9
2020-05-30,54,57,10
2020-05-29,88,66,12
2020-05-28,118,92,14
2020-05-27,85, ,11
2020-05-26,74, ,13
2020-05-25,79, ,13
2020-05-24,74, ,8
2020-05-23,95,88,12
2020-05-22,137,100,17
2020-05-21,98,93,15
2020-05-20,60,96,15
2020-05-19,75,90,11
2020-05-18,60,92,10
2020-05-17,53,82,9
2020-05-16,86,50,10
2020-05-15,89,73,13
2020-05-14,75,72,12
2020-05-13,66,65,10
2020-05-12,45,73,11
2020-05-11,60,79,11
2020-05-10,82,84,9
2020-05-09,64,72,12
2020-05-08,59,65,11
2020-05-07,57,48,14
2020-05-06,60,83,9
2020-05-05,47,78,10
2020-05-04,49,72,9
2020-05-03,49,84,9
2020-05-02,42,88,11
2020-05-01,48,67,11
2020-04-30,58,81,12
2020-04-29,55,67,12
2020-04-28,38,70,12
2020-04-27,60,84,9
2020-04-26,77,68,7
2020-04-25,77,63,11
2020-04-24,66,84,14
2020-04-23,70,80,12
2020-04-22,79,88,12
2020-04-21,84,91,11
2020-04-20,107,100,12
2020-04-19,98,92,12
2020-04-18,95,99,16
2020-04-17,99,94,14
2020-04-16,101,81,13
2020-04-15,83,75,13
2020-04-14,72,53,12
2020-04-13,71,82,12
2020-04-12,74,44,8
2020-04-11,66,62,10
2020-04-10,73,75,11
2020-04-09,64,80,13
2020-04-08,65,87,13
2020-04-07,65,67,14
2020-04-06,60,53,13
2020-04-05,52,65,11
2020-04-04,65,66,12
2020-04-03,77,73,13
2020-04-02,77,78,14
2020-04-01,67,86,12
2020-03-31,88,65,13
2020-03-30,87,103,12
2020-03-29,73,87,8
2020-03-28,65,73,16
2020-03-27,77,49,17
2020-03-26,65,67,16
2020-03-25,59,105,15
2020-03-24,51,83,20
2020-03-23,61,83,17
2020-03-22,75,79,13
2020-03-21,62,84,11
2020-03-20,87,70,16
2020-03-19, ,24,15
2020-03-18,52, , 
2020-03-17,60,53,20
2020-03-16,62,45,15
2020-03-15,62,65,14
2020-03-14,64,79,16
2020-03-13,64,69,22
2020-03-12,72,92,22
2020-03-11,75,60,27
2020-03-10,70,91,24
2020-03-09,65,71,23
2020-03-08,95,80,21
2020-03-07,95,81,26
2020-03-06,69,54,29
2020-03-05,47,77,27
2020-03-04,45,50,21
2020-03-03,71,34,19
2020-03-02,73,17,24
2020-03-01,64,51,23
2020-02-29,66,46,23
2020-02-28,66,60,24
2020-02-27,54,37,25
2020-02-26,45,41,24
2020-02-25,63,30, 
2020-02-24,64,40, 
2020-02-23,64,64, 
2020-02-22,52,61, 
2020-02-21,75,39, 
2020-02-20,66,41, 
2020-02-19,54,65, 
2020-02-18,63,61, 
2020-02-17, ,27, 
2020-02-15,65, , 
2020-02-14,61,81, 
2020-02-13,49,28,29
2020-02-12,61,39,19
2020-02-11,54,51,24
2020-02-10,49,44,21
2020-02-09,43,48,18
2020-02-08,44,49,20
2020-02-07,30,44,24
2020-02-06,19,35,12
2020-02-05,26,16,9
2020-02-04,30,20,11
2020-02-03,62,25,10
2020-02-02,63,39,21
2020-02-01,38,38,20
2020-01-31,30,37,14
2020-01-30,34,26,17
2020-01-29,30,35,16
2020-01-28,35,46,18
2020-01-27,38,38,15
2020-01-26,51,34,13
2020-01-25,48,32,14
2020-01-24,53,30,16
2020-01-23,63,28,20
2020-01-22,54,44,20
2020-01-21,51,36,20
2020-01-20, ,10,22
2020-01-18,60, , 
2020-01-17,69,17,17
2020-01-16,61,34,14
2020-01-15,60,42,19
2020-01-14,62,44,23
2020-01-13,75,54,27
2020-01-12,56,51,24
2020-01-11,52,54,23
2020-01-10,73,37,26
2020-01-09,75,60,31
2020-01-08,64,65,33
2020-01-07,90,43,26
2020-01-06,59,78,45
2020-01-05,83,60,26
2020-01-04,32,48,28
2020-01-03,16,38,18
2020-01-02,32,23,5
2020-01-01, ,17,7
2019-12-29,83,4,33
2019-12-28,85,55,29
2019-12-27,65,52,24
2019-12-26,100,60,17
2019-12-25,57,33,20
2019-12-24,77,61,22
2019-12-23,86,16,22
2019-12-22,85,35,27
2019-12-21,105,33,46
2019-12-20,98,66,38
2019-12-19,98,33,32
2019-12-18,71,46,26
2019-12-17,67,50,28
2019-12-16,74,77,29
2019-12-15,57,58,29
2019-12-14,60,41,26
