date, pm25, pm10, o3, no2
2020-08-02,23,5,35,18
2020-08-03,21, ,38,21
2020-08-05,84,28,49,17
2020-08-06,68,30,16,11
2020-08-07,61, , , 
2020-07-02,39,36,58,18
2020-07-03,65,28,44,18
2020-07-04,47,30,59,18
2020-07-05,62,29,61,18
2020-07-06,73,21,53,24
2020-07-07,57,16,34,17
2020-07-08,43,13,20,17
2020-07-09,37,19,44,22
2020-07-10,50,31,46,27
2020-07-11,61,20,37,15
2020-07-12,50,19,47,14
2020-07-13,45,23,57,21
2020-07-14,52,29,65,23
2020-07-15,53,26,56,22
2020-07-16,45,39,55,20
2020-07-17,63,43,50,17
2020-07-18,58,33,48,18
2020-07-19,60,33,49,15
2020-07-20,61,35,73,25
2020-07-21,69,31,56,22
2020-07-22,60,12,58,21
2020-07-23,43, ,63,19
2020-07-25,55,30,67,21
2020-07-26,65,16,36,20
2020-07-27,41,23,42,19
2020-07-28,48,13,29,13
2020-07-29,31,19,26,21
2020-07-30,42,36,56,25
2020-07-31,78,22,32,22
2020-08-01,50,8,39,26
2020-06-02,79,38,46,15
2020-06-03,73,22,20,11
2020-06-04,49,31,35,13
2020-06-05,48,30,43,15
2020-06-06,51,29,53,14
2020-06-07,54,24,58,10
2020-06-08,48,24,66,16
2020-06-09,49,31,77,25
2020-06-10,67,34,47,21
2020-06-11,58,28,35,13
2020-06-12,63,26,32,12
2020-06-13,50,28,54,16
2020-06-14,47,28,63,15
2020-06-15,63,43,62,19
2020-06-16,89,43,81,19
2020-06-17,83,43,73,20
2020-06-18,83,37,51,19
2020-06-19,59,36,56,17
2020-06-20,56,34,51,19
2020-06-21,70,31,54,16
2020-06-22,68,30,43,24
2020-06-23,67,28,43,23
2020-06-24,60,20,37,19
2020-06-25,55,15,23,15
2020-06-26,40,18,46,15
2020-06-27,50,39,74,17
2020-06-28,79,35,57,14
2020-06-29,61,33,51,20
2020-06-30,68,30,65,21
2020-07-01,64,21,49,17
2020-05-02,58,33,68,20
2020-05-03,70,33,71,15
2020-05-04,61,33,59,23
2020-05-05,57,36,61,18
2020-05-06,60,34,71,16
2020-05-07,67,32,46,22
2020-05-08,81,34,62,23
2020-05-09,77,40,75,16
2020-05-10,92,23,73,13
2020-05-11,60,25,73,18
2020-05-12,62,37,76,22
2020-05-13,81,40,62,23
2020-05-14,91,44,80,26
2020-05-15,99,43,74,24
2020-05-16,91,33,51,16
2020-05-17,70,36,84,15
2020-05-18,78,47,77,19
2020-05-19,81,37,83,22
2020-05-20,75,51,86,26
2020-05-21,103,57,91,26
2020-05-22,128,51,86,30
2020-05-23,105,43,79,25
2020-05-24,84,45,77,18
2020-05-25,90,36,87,20
2020-05-26,69,42,90,22
2020-05-27,83,61,92,23
2020-05-28,125,50,80,25
2020-05-29,98,31,50,18
2020-05-30,69,25,45,15
2020-05-31,55,25,60,15
2020-06-01,56,36,54,19
2020-04-02,82,47,70, 
2020-04-03,82,38,48, 
2020-04-04,71,32,74,21
2020-04-05,66,30,61,15
2020-04-06,59,42,52,22
2020-04-07,75,39,61,20
2020-04-08,69,47,74,23
2020-04-09,84,41,86,23
2020-04-10,79,40,78,18
2020-04-11,77,41,57,16
2020-04-12,71,39,41,13
2020-04-13,63,45,85,22
2020-04-14,84,54,54,26
2020-04-15,87,52,74, 
2020-04-16,93,53,91,23
2020-04-17,99,53,101,25
2020-04-18,93,55,99,27
2020-04-19,111,54,97,17
2020-04-20,111,52,88,22
2020-04-21,83,63,81,22
2020-04-22,83,43,83,23
2020-04-23,85,38,61,27
2020-04-24,70,44,70,24
2020-04-25,90,37,63,24
2020-04-26,74,27,56,11
2020-04-27,62,27,67,17
2020-04-28,55,38,56,25
2020-04-29,65,41,64,25
2020-04-30,70,26,68,17
2020-05-01,46,25,61,20
2020-03-02,85,51,23,41
2020-03-03,83,48,34,22
2020-03-04,51,42,33,28
2020-03-05,54,58,65,31
2020-03-06,71,65,36,32
2020-03-07,104,63,59,32
2020-03-08,113,49,71,26
2020-03-09,81,46,53,28
2020-03-10,75,55,73,31
2020-03-11,89,52,38,36
2020-03-12,92,55,66,36
2020-03-13,71,48,47,31
2020-03-14,70,54,65,28
2020-03-15,67,32,51,21
2020-03-16,57,34,35,22
2020-03-17,65,37,41,34
2020-03-18,73, , , 
2020-03-28,70,52,71,22
2020-03-29,89,62,89,20
2020-03-30,92,59,80, 
2020-03-31,94,57,46, 
2020-04-01,70,50,73, 
2020-02-02,72,43,36,31
2020-02-03,79,32,26,16
2020-02-04,39,21,11,19
2020-02-05,28, , , 
2020-02-09,67,33,58, 
2020-02-10,57,43,53, 
2020-02-11,63,53,63, 
2020-02-12,80,40,33, 
2020-02-13,59,43,4, 
2020-02-14,76, , , 
2020-02-18,54,48,53,44
2020-02-19,66,57,59,45
2020-02-20,79,57,40,32
2020-02-21,84,29,55,21
