date, pm25, pm10, o3, no2
2020-08-02,68,28,41,11
2020-08-03,64,25,36,14
2020-08-04,55,33,43,15
2020-08-05,67,23,42,10
2020-08-06,49,19,22,6
2020-08-07,23, , , 
2020-07-02,53,40,50,12
2020-07-03,65,32,37,9
2020-07-04,53, ,52,11
2020-07-09,25,21,36,16
2020-07-10,47,29,42,17
2020-07-11,48,17,35,8
2020-07-12,36,19,46,8
2020-07-13,42,37,52,14
2020-07-14,61,41,54,16
2020-07-15,64,35,56,15
2020-07-16,66,44,47,16
2020-07-17,63,47,44,13
2020-07-18,69,34,46,11
2020-07-19,62,44,57,11
2020-07-20,83,40,56,17
2020-07-21,82,38,47,15
2020-07-22,63,34,57,16
2020-07-23,57,33,56,13
2020-07-24,65,28,58,12
2020-07-25,53,36,60,15
2020-07-26,67,17,43,11
2020-07-27,43,25,42,12
2020-07-28,47,21,34,12
2020-07-29,39,20,31,12
2020-07-30,43,31,47,14
2020-07-31,73,25,36,15
2020-08-01,50,29,37,17
2020-06-02,69,36,37,9
2020-06-03,56,21,20,6
2020-06-04,37,28,30,8
2020-06-05,33,34,38,8
2020-06-06,48,30,43,9
2020-06-07,46,29,50,7
2020-06-08,48,27,64,11
2020-06-09,48,31,65,19
2020-06-10,59,39,42,15
2020-06-11,62,25,33,7
2020-06-12,41,20,32,7
2020-06-13,25,29,41,7
2020-06-14,44,31,52,8
2020-06-15,61,41,55,10
2020-06-16,75,41,58,12
2020-06-17,62,46,52,11
2020-06-18,80,39,43,13
2020-06-19,58,43,43,11
2020-06-20,53,39,38,10
2020-06-21,67,34,49,10
2020-06-22,65,34,39,15
2020-06-23,71,26,12,19
2020-06-24,53,26,43,13
2020-06-25,58,17,23,10
2020-06-26,35,27,39,12
2020-06-27,55,42,62,13
2020-06-28,69,50,45,12
2020-06-29,75,41,44,14
2020-06-30,62,34,49,19
2020-07-01,71,27,41,12
2020-05-02,58,35,59,14
2020-05-03,68,33,55,13
2020-05-04,66,40,52,16
2020-05-05,61,41,46,13
2020-05-06,58,29,45,13
2020-05-07,58,34,47,13
2020-05-08,74,39,56,17
2020-05-09,76,38,59,14
2020-05-10,80,25,55,10
2020-05-11,55,22,56,12
2020-05-12,48,40,76,17
2020-05-13,75,52,54,19
2020-05-14,106,53,74,15
2020-05-15,106,52,66,16
2020-05-16,97,48,58,15
2020-05-17,89,41,54,12
2020-05-18,77,45,60,12
2020-05-19,66,41,71,15
2020-05-20,70,57,67,17
2020-05-21,99,55,82,24
2020-05-22,109,52,69,20
2020-05-23,96,46,64,20
2020-05-24,85,46,62,12
2020-05-25,87,43,78,17
2020-05-26,70,51,74,15
2020-05-27,83,61,67,15
2020-05-28,108,50,55,17
2020-05-29,82,30,40,15
2020-05-30,58,30,37,13
2020-05-31,57,25,40,8
2020-06-01,49,38,45,10
2020-04-02,94,49,53,15
2020-04-03,80,36,50,16
2020-04-04,76,35,49,17
2020-04-05,70,25,43,13
2020-04-06,48,43,39,20
2020-04-07,80,46,52,17
2020-04-08,80,47,51,19
2020-04-09,72,41,63,15
2020-04-10,77,39,56,14
2020-04-11,70,52,46,15
2020-04-12,79,42,37,8
2020-04-13,69,54,61,17
2020-04-14,80,57,35,21
2020-04-15,82,60,56,14
2020-04-16,107,52,57,12
2020-04-17,84,51,65,16
2020-04-18,85,56,62,19
2020-04-19,98,57,80,14
2020-04-20,113,54,56,16
2020-04-21,93,57,61,16
2020-04-22,84,49,78,20
2020-04-23,88,43,64,21
2020-04-24,74,52,69,20
2020-04-25,96,46,52,17
2020-04-26,86,28,47,8
2020-04-27,57,29,57,10
2020-04-28,52,41,48,17
2020-04-29,60,57,50,18
2020-04-30,72,32,48,11
2020-05-01,55,26,50,12
2020-03-02,86,51,29,26
2020-03-03,77,51,24,24
2020-03-04,58,43,44,23
2020-03-05,57,59,46,24
2020-03-06,74,53,31,16
2020-03-07,77,62,36,20
2020-03-08,108,47,42,21
2020-03-09,77,53,48,24
2020-03-10,89,54,44,18
2020-03-11,87,48,37,23
2020-03-12,85,61,51,26
2020-03-13,79,49,39,22
2020-03-14,59,49,48,23
2020-03-15,71,37,34,15
2020-03-16,67,29,34,15
2020-03-17,52,37,34,22
2020-03-18,62, , , 
2020-03-20,59,44,40,17
2020-03-21,69,37,38,14
2020-03-22,67,38,49,17
2020-03-23,68,41,52,19
2020-03-24,60,53,47,25
2020-03-25,78,52,66,23
2020-03-26,72,60,58,23
2020-03-27,86,68,40,25
2020-03-28,93,55,53,17
2020-03-29,85,58,62,10
