date, pm25, o3
2020-08-07,57, 
2020-08-06,65,18
2020-08-05,74,33
2020-08-04,49,36
2020-08-03,38,30
2020-08-02,71,35
2020-08-01,25,30
2020-07-31,48,12
2020-07-30,40,24
2020-07-29,51,12
2020-07-28,40,38
2020-07-27,61,26
2020-07-26, ,42
2020-07-25,42, 
2020-07-24,58,20
2020-07-23,93,39
2020-07-22,14,34
2020-07-21,62,12
2020-07-20,66,51
2020-07-19,53,52
2020-07-18,54,18
2020-07-17,63,50
2020-07-16,72,60
2020-07-15,55,42
2020-07-14,71,38
2020-07-13, ,56
2020-07-12,36, 
2020-07-11,38,13
2020-07-10,56,25
2020-07-09,43,24
2020-07-08,60,28
2020-07-07,70,45
2020-07-06,56,69
2020-07-05,80,51
2020-07-04,64,40
2020-07-03,48,36
2020-07-02,58,46
2020-07-01,83,35
2020-06-30,54,49
2020-06-29,64,42
2020-06-28,77,31
2020-06-27,50,31
2020-06-26,54,17
2020-06-25,54,24
2020-06-24,53,32
2020-06-23,54,41
2020-06-22,55,60
2020-06-21,97,72
2020-06-20,66,59
2020-06-19,83,52
2020-06-18,82,67
2020-06-17,78,76
2020-06-16,72,60
2020-06-15,76,58
2020-06-14,92,50
2020-06-13,60,37
2020-06-12,82,24
2020-06-11,98,34
2020-06-10,78,35
2020-06-09,80,72
2020-06-08,78,35
2020-06-07,105,33
2020-06-06,76,58
2020-06-05,91,36
2020-06-04,87,34
2020-06-03,77,38
2020-06-02,58,67
2020-06-01,67,34
2020-05-31,114,49
2020-05-30,74,35
2020-05-29,122,29
2020-05-28,124,61
2020-05-27,93,65
2020-05-26,84,58
2020-05-25,70,51
2020-05-24,68,45
2020-05-23,81,33
2020-05-22,84,32
2020-05-21,75,23
2020-05-20,110,29
2020-05-19,107,52
2020-05-18,86,62
2020-05-17,83,44
2020-05-16,117,35
2020-05-15,89,28
2020-05-14,86,52
2020-05-13,86,52
2020-05-12,81,44
2020-05-11,72,45
2020-05-10,70,43
2020-05-09,77,49
2020-05-08,56,51
2020-05-07,56,44
2020-05-06,75,46
2020-05-05,96,50
2020-05-04,88,59
2020-05-03,103,58
2020-05-02,60,47
2020-05-01,129,24
2020-04-30,100,45
2020-04-29,105,66
2020-04-28,95,40
2020-04-27,105,54
2020-04-26,117,45
2020-04-25,83,58
2020-04-24,101,51
2020-04-23,99,44
2020-04-22,103,49
2020-04-21,90,65
2020-04-20, ,32
2020-04-19,103, 
2020-04-18,102,16
2020-04-17,107,43
2020-04-16,87,43
2020-04-15,106,35
2020-04-14,84,51
2020-04-13,105,40
2020-04-12,56,26
2020-04-11,80,19
2020-04-10,87,31
2020-04-09,99,42
2020-04-08,92,39
2020-04-07,92,35
2020-04-06,88,30
2020-04-05, ,33
2020-04-04,65, 
2020-04-03,100,23
2020-04-02,101,40
2020-04-01,108,38
2020-03-31,97,44
2020-03-30,94,36
2020-03-29,93,56
2020-03-28,55,43
2020-03-27,114,21
2020-03-26,108,59
2020-03-25, ,71
2020-03-18,80, 
2020-03-17,101,50
2020-03-16, ,45
2020-03-14,81, 
2020-03-13,110,11
2020-03-12,104,39
2020-03-11,101,49
2020-03-10,86,47
2020-03-09,97,37
2020-03-08,120,61
2020-03-07, ,45
2020-03-06,115, 
2020-03-05,77,42
2020-03-04,99,23
2020-03-03,91,28
2020-03-02,78,21
2020-03-01,112,30
2020-02-29,74,60
2020-02-28,101,12
2020-02-27,101,37
2020-02-26,94,50
2020-02-25,94,28
2020-02-24,73,29
2020-02-23,107,28
2020-02-22,93,57
2020-02-21,99,6
2020-02-20,96,49
2020-02-19,103,41
2020-02-18,85,51
2020-02-17,75,44
2020-02-16,91,36
2020-02-15,94,45
2020-02-14,89,2
2020-02-13,73,25
2020-02-12,77,17
2020-02-11,71,24
2020-02-10,59,13
2020-02-09,70,22
2020-02-08,148,32
2020-02-07,65, 
2020-02-06,46,25
2020-02-05,45,11
2020-02-04,36,9
2020-02-03,61,4
2020-02-02,81,23
2020-02-01,38,24
2020-01-31,65,12
2020-01-30,95,20
2020-01-29,89,31
2020-01-28,69,34
2020-01-27,49,28
2020-01-26,71,18
2020-01-25,149,18
2020-01-24,96, 
2020-01-23,67,18
2020-01-22,80,22
2020-01-21,56,34
2020-01-20,74,25
2020-01-19,87,26
2020-01-18,82,30
2020-01-17,92,34
2020-01-16,98,35
2020-01-15,103,43
2020-01-14,85,43
2020-01-13,91,39
2020-01-12,83,32
2020-01-11,73,33
2020-01-10,104,21
2020-01-09,102,41
2020-01-08, ,36
2020-01-05,110, 
2020-01-04,73, 
2020-01-03,47,30
2020-01-02,106,22
2020-01-01, ,10
2019-12-29,42,8
2019-12-28,84,19
2019-12-27,71,30
2019-12-26,60,27
2019-12-25,61,26
2019-12-24,74,29
2019-12-20,102,13
2019-12-19,99,28
2019-12-18,101,32
2019-12-17,67,21
2019-12-16,13,22
2019-12-15,13,31
2019-12-14, , 
2019-12-13,13,37
2019-12-12,13,34
