date, pm25, pm10
2020-08-02,71,29
2020-08-03,73,32
2020-08-04,74,31
2020-08-05,76,34
2020-08-06,78,37
2020-08-07,87, 
2020-07-02,89,34
2020-07-03,93,28
2020-07-04,74,21
2020-07-05,65,21
2020-07-06,66,21
2020-07-07,63,24
2020-07-08,74,51
2020-07-09,86,53
2020-07-10,85,51
2020-07-11,81,42
2020-07-12,62,43
2020-07-13,66,52
2020-07-14,75,54
2020-07-15,77,58
2020-07-16,89,53
2020-07-17,84,53
2020-07-18,90,47
2020-07-19,88,42
2020-07-20,87,45
2020-07-21,79,45
2020-07-22,75,41
2020-07-23,76,34
2020-07-24,66,37
2020-07-25,68,39
2020-07-26,74,25
2020-07-27,60,25
2020-07-28,70,53
2020-07-29,77,25
2020-07-30,70,32
2020-07-31,78,37
2020-08-01,95,36
2020-06-02,38,19
2020-06-03,32,25
2020-06-04,41,22
2020-06-05,46,21
2020-06-06,53,23
2020-06-07,53,22
2020-06-08,51,30
2020-06-09,60,31
2020-06-10,74,25
2020-06-11,58,17
2020-06-12,56,33
2020-06-13,69,35
2020-06-14,71,32
2020-06-15,72,28
2020-06-16,63,21
2020-06-17,38,13
2020-06-18,45,19
2020-06-19,47,11
2020-06-20,40,14
2020-06-21,49,15
2020-06-22,63,40
2020-06-23,58,22
2020-06-24,69,25
2020-06-25,63,19
2020-06-26,54,12
2020-06-27,53,53
2020-06-28,134,55
2020-06-29,86,32
2020-06-30,80,39
2020-07-01,86,32
2020-05-02,55,36
2020-05-03,62,34
2020-05-04,67,40
2020-05-05,77,42
2020-05-06,93,28
2020-05-07,51,32
2020-05-08,60,36
2020-05-09,77,41
2020-05-10,86,39
2020-05-11,72,29
2020-05-12,50,35
2020-05-13,55,43
2020-05-14,60,33
2020-05-15,67,38
2020-05-16,94,33
2020-05-17,83,33
2020-05-18,64,39
2020-05-19,62,41
2020-05-20,69,44
2020-05-21,90,46
2020-05-22,111,37
2020-05-23,78,42
2020-05-24,82,32
2020-05-25,73,29
2020-05-26,68,20
2020-05-27,47,37
2020-05-28,64,36
2020-05-29,71,32
2020-05-30,51,37
2020-05-31,66,26
2020-06-01,52,18
2020-04-02,65,39
2020-04-03,83,35
2020-04-04,81,37
2020-04-05,49,20
2020-04-06,34,22
2020-04-07,49,29
2020-04-08,56,47
2020-04-09,80,46
2020-04-10,86,35
2020-04-11,71,29
2020-04-12,70,46
2020-04-13,73,41
2020-04-14,56,29
2020-04-15,51,24
2020-04-16,68,21
2020-04-17,43,34
2020-04-18,56,55
2020-04-19,61,38
2020-04-20,74,47
2020-04-21,75,55
2020-04-22,132,49
2020-04-23,121,44
2020-04-24,60,60
2020-04-25,109,60
2020-04-26,122,33
2020-04-27,65,39
2020-04-28,63,43
2020-04-29,78,46
2020-04-30,71,42
2020-05-01,64,39
2020-03-11,70,45
2020-03-12,76,33
2020-03-13,77,43
2020-03-14,84,43
2020-03-15,111,49
2020-03-16,58,26
2020-03-21,59,28
2020-03-22,41,19
2020-03-23,54,27
2020-03-24,71,38
2020-03-25,80,45
2020-03-26,83,44
2020-03-27,103,46
2020-03-28,96,50
2020-03-29,92,46
2020-03-30,60,32
2020-03-31,74,36
2020-04-01,70,41
2020-02-02,22,41
2020-02-03,28,53
2020-02-04,34,74
2020-02-05,12,47
2020-02-06,10,30
2020-02-07,12, 
2020-02-08,21, 
2020-01-03,5,27
2020-01-04,6,46
2020-01-05,10,40
2020-01-06,18,63
2020-01-07,16,92
2020-01-08,7,35
2020-01-09,13,44
2020-01-10,28,75
2020-01-11,42,92
2020-01-12,8,41
2020-01-13,18,62
2020-01-14,30,109
2020-01-15,37,114
2020-01-16,39,100
2020-01-17,17,42
2020-01-18,11,16
2020-01-19,17,25
2020-01-20,9,19
2020-01-21,5,27
2020-01-22,5,24
2020-01-23,24,41
2020-01-24,17,58
2020-01-25,8,36
2020-01-26,31,39
2020-01-27,21,58
2020-01-28,11,58
2020-01-29,13,36
2020-01-30,9,54
2020-01-31,15,40
2020-02-01,24,42
2019-10-02,10,34
2019-10-03,11,32
2019-10-04,11,37
2019-10-05,14,48
2019-10-06,16,43
2019-10-07,18,33
2019-10-08,8,48
2019-10-09,16,44
2019-10-10,15,44
2019-10-11,19,67
2019-10-18,24,65
2019-10-19,30,56
2019-10-20,25,46
2019-10-21,27,49
2019-10-22,22,40
2019-10-23,13,34
2019-10-24,9,26
2019-10-25,9,49
2019-10-26,11,68
2019-10-27,47,64
2019-10-28,33,31
2019-10-29,15, 
2019-11-30,55,142
2019-12-01,77,59
2019-12-02,33,35
2019-12-11,11,53
2019-12-12,12,60
2019-12-13,27,147
2019-12-14,19,130
2019-12-15,13,126
2019-12-16,17,97
2019-12-17,14,39
2019-12-18,5,44
2019-12-19,6,54
2019-12-20,11,70
2019-12-21,21,40
2019-12-22,20,73
2019-12-23,17,79
2019-12-24,20,76
2019-12-25,23,64
2019-12-26,54,45
2019-12-27,29,38
2019-12-28,19,29
2019-12-29,22, 
2019-07-02,17,30
2019-07-03,15,36
2019-07-04,19,45
2019-07-05,25,57
2019-07-06,27,33
2019-07-07,13,26
2019-07-08,13,38
2019-07-09,16,40
2019-07-10,18,37
2019-07-11,19,50
2019-07-12,14,37
2019-07-13,13,52
2019-07-14,21,41
2019-07-15,20,52
2019-07-16,18,43
2019-07-17,13,38
2019-07-18,11,39
2019-07-19,13,40
2019-07-20,13,41
2019-07-21,17,43
2019-07-22,18,33
2019-07-23,12,32
2019-07-24,10,29
2019-07-25,11,31
2019-07-26,12,31
2019-07-27,10,31
2019-07-28,11,44
2019-07-29,17,31
2019-07-30,11,52
2019-07-31,19,64
2019-08-01,24,45
2019-08-02,16,31
2019-08-03,8,29
2019-08-04,9,27
2019-08-05,8,34
2019-08-06,8,41
2019-08-07,16,47
2019-08-08,18,42
2019-08-09,16,45
2019-08-10,18,42
2019-08-11,15,29
2019-08-12,10,63
2019-08-13,19,42
2019-08-14,13,38
2019-08-15,15,48
2019-08-16,17,35
2019-08-17,11,43
2019-08-18,18,46
2019-08-19,19,38
2019-08-20,12,54
2019-08-21,19,38
2019-08-22,11,31
2019-08-23,10,29
2019-08-24,9,17
2019-08-25,12,62
2019-08-26,14,43
2019-08-27,14,42
2019-08-28,16,79
2019-08-29,32,68
2019-08-30,22,43
2019-08-31,21,39
2019-09-01,20,17
2019-09-03,16,30
2019-09-04,13,15
2019-09-05,9,16
2019-09-06,4,33
2019-09-07,8,31
2019-09-08,17,31
2019-09-09,13,30
2019-09-10,16,42
2019-09-11,12,27
2019-09-12,12, 
2019-09-14,8,28
2019-09-17,12,49
2019-09-18,10,47
2019-09-19,15,57
2019-09-20,18,41
2019-09-21,19,42
2019-09-22,18,43
2019-09-23,14,41
2019-09-24,15,47
2019-09-25,14,49
2019-09-26,13,48
2019-09-27,18,48
2019-09-28,18,41
2019-09-29,13,31
2019-09-30,13,40
2019-10-01,8,34
2019-04-02, , 
2019-04-03, , 
2019-04-04, , 
2019-04-05, , 
2019-04-06, , 
2019-04-07, , 
2019-04-08, , 
2019-04-09, , 
2019-04-10, , 
2019-04-11, , 
2019-04-12, , 
2019-04-13, , 
2019-04-14, , 
2019-04-15, , 
2019-04-16, , 
2019-04-17, , 
2019-04-18, , 
2019-04-19, , 
2019-04-20, , 
2019-04-21, , 
2019-04-22, , 
2019-04-23, , 
2019-04-24, , 
2019-04-25, , 
2019-04-26, , 
2019-04-27, , 
2019-04-28, , 
2019-04-29, , 
2019-04-30, , 
2019-05-01, , 
2019-05-02, , 
2019-05-03, , 
2019-05-04, , 
2019-05-05, , 
2019-05-06, , 
2019-05-07, , 
2019-05-08, , 
2019-05-09, , 
2019-05-10, , 
2019-05-11, , 
2019-05-12, , 
2019-05-13, , 
2019-05-14, , 
2019-05-15, , 
2019-05-16, , 
2019-05-17, , 
2019-05-18, , 
2019-05-19, , 
2019-05-20, , 
2019-05-21, , 
2019-05-22, , 
2019-05-23, , 
2019-06-11, , 
2019-06-12, , 
2019-06-13, , 
2019-06-14, , 
2019-06-15, , 
2019-06-17, , 
2019-06-18, , 
2019-06-19, , 
2019-06-20, , 
2019-06-21, , 
2019-06-22, , 
2019-06-23, , 
2019-06-24, , 
2019-06-25, , 
2019-06-26, , 
2019-06-27, , 
2019-06-28, ,36
2019-06-29,16,37
2019-06-30,18,38
2019-07-01,19,37
2019-01-02, , 
2019-01-09, , 
2019-01-10, , 
2019-01-11, , 
2019-01-12, , 
2019-01-13, , 
2019-01-14, , 
2019-01-15, , 
2019-01-16, , 
2019-01-17, , 
2019-01-18, , 
