date, pm25, pm10, o3, no2
2020-08-02,70,30,49,16
2020-08-03,74, ,28,18
2020-08-05,75,22,52,13
2020-08-06,46,17,17,10
2020-08-07,27, , , 
2020-07-02,39,27,62,13
2020-07-03,49,28,50,16
2020-07-04,49,30,59,17
2020-07-05,63,23,49,16
2020-07-06,51,20,59,18
2020-07-07,50,15,33,13
2020-07-08,30,9,22,13
2020-07-09,19,21,44,18
2020-07-10,49,27,52,22
2020-07-11,58,19,48,14
2020-07-12,39,18,53,12
2020-07-13,39,21,61,15
2020-07-14,47,30,66,21
2020-07-15,61,25,65,15
2020-07-16,53,41,65,19
2020-07-17,69,43,49,13
2020-07-18,60,36,55,15
2020-07-19,70,34,55,15
2020-07-20,64,35,87,22
2020-07-21,77,29,63,18
2020-07-22,62,20,67,18
2020-07-23,45,29,68,16
2020-07-24,63,21,69,13
2020-07-25,48,30,76,18
2020-07-26,67,10,37,12
2020-07-27,28, ,41,10
2020-07-29,19,15,28,17
2020-07-30,32,31,55,21
2020-07-31,75,22,39,17
2020-08-01,49,26,45,21
2020-06-02,70,32,56,13
2020-06-03,60,15,24,8
2020-06-04,26,25,38,11
2020-06-05,35,27,59,13
2020-06-06,51,27,62,12
2020-06-07,51,20,57,6
2020-06-08,36,20,67,9
2020-06-09,32,28,80,19
2020-06-10,59,27,52,15
2020-06-11,50,19,44,9
2020-06-12,36,17,35,8
2020-06-13,20,24,56,10
2020-06-14,36,23,74,10
2020-06-15,50,32,77,16
2020-06-16,62,33,85,14
2020-06-17,60,38,85,13
2020-06-18,72,32,60,12
2020-06-19,54,29,63,14
2020-06-20,45,30,64,17
2020-06-21,64,24,50,14
2020-06-22,58,25,53,20
2020-06-23,61,20,45,20
2020-06-24,48,9,35,11
2020-06-25,21,11,23,11
2020-06-26,23,15,41,11
2020-06-27,35,36,83,16
2020-06-28,68,32,58,8
2020-06-29,56,32,54,16
2020-06-30,60,27,73,18
2020-07-01,64,18,49,8
2020-05-02,56,36,83,18
2020-05-03,79,32,79,13
2020-05-04,64,35,74,14
2020-05-05,58,40,70,15
2020-05-06,69,27,70,15
2020-05-07,63,32,54,18
2020-05-08,81,30,77,16
2020-05-09,74,33,75,14
2020-05-10,84,25,79,11
2020-05-11,65,28,80,16
2020-05-12,69,35,86,18
2020-05-13,82,42,66,14
2020-05-14,101,49,83,17
2020-05-15,112,46,73,14
2020-05-16,106,36,57,14
2020-05-17,83,34,82,14
2020-05-18,76,43,88,11
2020-05-19,88,40,87,15
2020-05-20,87,56,102,22
2020-05-21,127,64,96,19
2020-05-22,152,55,95,20
2020-05-23,130,43,67,20
2020-05-24,90,37,73,11
2020-05-25,82,34,79,14
2020-05-26,67,45,86,13
2020-05-27,87,56,95,18
2020-05-28,115,49,86,19
2020-05-29,91,28,59,15
2020-05-30,60,18,53,10
2020-05-31,42,18,62,10
2020-06-01,45,32,65,16
2020-04-02,88,51,81,20
2020-04-03,92,38,68,17
2020-04-04,71,34,73,17
2020-04-05,72,29,64,11
2020-04-06,61,39,48,19
2020-04-07,73,40,73,12
2020-04-08,76,41,82,18
2020-04-09,76,38,91,19
2020-04-10,79,43,86,17
2020-04-11,87,47,54,13
2020-04-12,85,37,44,5
2020-04-13,71,44,71,18
2020-04-14,83,49,52,18
2020-04-15,83,52,68,16
2020-04-16,97,48,73,13
2020-04-17,85,52,98,19
2020-04-18,93,52,101,22
2020-04-19,103,51,85,12
2020-04-20,107,56,93,19
2020-04-21,98,61,93,20
2020-04-22,88,42,96,19
2020-04-23,80,36,76,17
2020-04-24,66,47,84,19
2020-04-25,90,42,64,16
2020-04-26,81,29,61,10
2020-04-27,62,27,74,13
2020-04-28,51,40,68,18
2020-04-29,68,41,75,19
2020-04-30,70,25,78,13
2020-05-01,48,23,71,14
2020-03-02,80,47,30,27
2020-03-03,80,43,36,14
2020-03-04,51,38,52,16
2020-03-05,51,57,69,27
2020-03-06,83,55,47,23
2020-03-07,89,55,60,22
2020-03-08,97,47,81,21
2020-03-09,80,46,71,21
2020-03-10,73,51,85,21
2020-03-11,79,42,44,24
2020-03-12,66,54,76,28
2020-03-13,77,49,65,27
2020-03-14,66,45,80,24
2020-03-15,67,38,63,20
2020-03-16,69,34,45,18
2020-03-17,65,39,48,31
2020-03-18,73, , , 
2020-03-20,89,43,57,21
2020-03-21,79,42,70,23
2020-03-22,85,36,68,18
2020-03-23,66,46,73,27
2020-03-24,70,51,78,29
2020-03-25,88,52,91,28
2020-03-26,78,51,67,26
2020-03-27,83,48,41,20
2020-03-28,74,48,70,16
2020-03-29,82,58,90,15
2020-03-30,95,56,94,18
2020-03-31,93,56,56,20
2020-04-01,70,51,88,16
2020-02-02,71,36,30,23
2020-02-03,70,32,20,13
2020-02-04,41,21,18,9
2020-02-05,27,17,13,8
2020-02-06,20,17,27,16
2020-02-07,24,40,32,27
2020-02-08,55,37,35,24
2020-02-09,58,30,36,19
2020-02-10,60,39,33,25
2020-02-11,63,52,41,32
2020-02-12,80,36,30,17
2020-02-13,53,41,9,33
