date, pm25, pm10, o3
2020-08-02,38,18,47
2020-08-03,30,19,57
2020-08-04,31,26,48
2020-08-05,33,22,43
2020-08-06,28,16,34
2020-08-07,23, , 
2020-07-02,32,17,31
2020-07-03,27,20,33
2020-07-04,28,23,38
2020-07-05,32,24,41
2020-07-06,34,23,46
2020-07-07,32,57,70
2020-07-08,68,21,42
2020-07-09,34,24,42
2020-07-10,38,31,46
2020-07-11,45,33,46
2020-07-12,47,23,44
2020-07-13,34,27,39
2020-07-14,36,25, 
2020-07-15,43,29, 
2020-07-16,40,25, 
2020-07-17,43,17,44
2020-07-18,34,20,44
2020-07-19,34,17,54
2020-07-20,29,26,50
2020-07-21,41,30,52
2020-07-22,46,20,37
2020-07-23,39,18,50
2020-07-24,34,17,49
2020-07-25,31,14,76
2020-07-26,29,14,37
2020-07-27,26,15,40
2020-07-28,24,19,46
2020-07-29,29,23,44
2020-07-30,30,33,54
2020-07-31,41,29,48
2020-08-01,39,24,73
2020-06-02,31,19,54
2020-06-03,32,23,48
2020-06-04,31,39,53
2020-06-05,44,36,40
2020-06-06,42,24,52
2020-06-07,33,19,40
2020-06-08,28,32,40
2020-06-09,37,21,43
2020-06-10,28,38,38
2020-06-11,49,46,40
2020-06-12,50,22,42
2020-06-13,34,19,43
2020-06-14,31,31,48
2020-06-15,39,24,59
2020-06-16,35,16,43
2020-06-17,26,16,36
2020-06-18,24,17,37
2020-06-19,29,21,33
2020-06-20,29,26,41
2020-06-21,45,16,41
2020-06-22,34,22,50
2020-06-23,44,58,47
2020-06-24,54,25,57
2020-06-25,37,23,65
2020-06-26,39,33,47
2020-06-27,40,34,43
2020-06-28,39,25,38
2020-06-29,34,27,32
2020-06-30,52,22,33
2020-07-01,41,21,33
2020-05-04,45,18,42
2020-05-05,30,34,44
2020-05-06,40,28,65
2020-05-07,30,27,51
2020-05-08,29,49,42
2020-05-09,38,35,65
2020-05-10,41,26,45
2020-05-11,38,24,56
2020-05-12,32,20,42
2020-05-13,28,18,39
2020-05-14,27,18,39
2020-05-15,27,17,43
2020-05-16,26,18,42
2020-05-17,28,19,43
2020-05-18,30,27,47
2020-05-19,40,24,37
2020-05-20,32,19,39
2020-05-21,27,20,45
2020-05-22,25,21,46
2020-05-23,29,18,41
2020-05-24,25,17,40
2020-05-25,28,21,42
2020-05-26,32,23,54
2020-05-27,37,23,40
2020-05-28,37,26,51
2020-05-29,41,20,46
2020-05-30,27,16,43
2020-05-31,24,15, 
2020-06-01,26,17,40
2020-04-02,33,17,37
2020-04-03,24,21,36
2020-04-04,27,23,38
2020-04-05,29,17,39
2020-04-06,27,17,35
2020-04-07,26,15,33
2020-04-08,24,17,35
2020-04-09,25,16,35
2020-04-10,23,16,40
2020-04-11,25,18,42
2020-04-12,24,29,35
2020-04-13,34,23,39
2020-04-14,30,14,39
2020-04-15,25,20,43
2020-04-16,31,18,43
2020-04-17,29,21,41
2020-04-18,31,23, 
2020-04-19,32,14, 
2020-04-20,26,19,41
2020-04-21,31,21,41
2020-04-22,32,18,43
2020-04-23,29,19,40
2020-04-24,29,19,41
2020-04-25,31,24,45
2020-04-26,40,20,44
2020-04-27,32,21,42
2020-04-28,33,19,43
2020-04-29,30,39,41
