date, pm25, pm10, o3, so2
2020-08-02,50,35,42,31
2020-08-03,6,40,48,31
2020-08-04,51,46,47,19
2020-08-05,58,43,34,15
2020-08-06,62, , , 
2020-07-02,53,40, ,27
2020-07-03,56,58, ,28
2020-07-04,68,50, ,28
2020-07-05,66,41, ,30
2020-07-06,62,46, ,29
2020-07-07,53,39,50,29
2020-07-08,44,41,29,28
2020-07-09,37,34,27,30
2020-07-10,32,47,51,28
2020-07-11,38,53,35,27
2020-07-12,51,38,40,27
2020-07-13,37,42,62,28
2020-07-14,53,56,75,30
2020-07-15,64,57,60,28
2020-07-16,77,52,54,28
2020-07-17,67,62,56,29
2020-07-18,77,58,65,30
2020-07-19,67,30,41,27
2020-07-20,58,40,63,29
2020-07-21,61,39,60,28
2020-07-22,56,46,46,31
2020-07-23,51,38,53,31
2020-07-24,69,44,58,31
2020-07-25,51,35,63,31
2020-07-26,47,29,54,31
2020-07-27,40,36,41,31
2020-07-28,40,45,56,33
2020-07-29,60,52,36,32
2020-07-30,46,34,40,31
2020-07-31,44,37,37,31
2020-08-01,45,37,48,31
2020-06-02,45,71,57,26
2020-06-03,46,74,47,26
2020-06-04,45,68,52,26
2020-06-05,42,57,64,26
2020-06-06,40,71,73,28
2020-06-07,53,40,69,27
2020-06-08,80,47,74,26
2020-06-09,60,40,89,27
2020-06-10,51,49,53,26
2020-06-11,40,65,43,26
2020-06-12,45,53,45,26
2020-06-13,36,69,66,26
2020-06-14,44,63,81,27
2020-06-15,56,72,69,27
2020-06-16,65,65,66,27
2020-06-17,50,54,72,27
2020-06-18,54,48,70,28
2020-06-19,50,55,65,27
2020-06-20,46,56,59,27
2020-06-21,48,42,75,27
2020-06-22,59,60,75,30
2020-06-23,63,38,72,27
2020-06-24,54,46,40,27
2020-06-25,52,39,36,28
2020-06-26,44,43,41,29
2020-06-27,45,44,44,29
2020-06-28,63,60,78,29
2020-06-29,72,37,81,26
2020-06-30,54,44,91,28
2020-07-01,58,38,66,28
2020-05-02,57,58,94,25
2020-05-03,92,55,98,25
2020-05-04,88,60,88,27
2020-05-05,89,53,75,20
2020-05-06,68,50,72,21
2020-05-07,57,45,76,20
2020-05-08,58,39,37,19
2020-05-09,59,51,77,27
2020-05-10,66,55,93,19
2020-05-11,40,47,66,20
2020-05-12,37,45,81,20
2020-05-13,66,60,97,20
2020-05-14,85,60,82,20
2020-05-15,85,59,66,20
2020-05-16,68,60,52,20
2020-05-17,74,59,90,20
2020-05-18,81,71,99,22
2020-05-19,81,67,97,21
2020-05-20,97,67,74,20
2020-05-21,86,55,57,20
2020-05-22,70,50,62,20
2020-05-23,49,61,66,21
2020-05-24,58,40,81,21
2020-05-25,46,51,95,21
2020-05-26,57,56,94,21
2020-05-27,71,59,101,23
2020-05-28,90,63,107,27
2020-05-29,71,54,59,22
2020-05-30,47,39,55,20
2020-05-31,29, , , 
2020-04-02,74,54,79,20
2020-04-03,62,52,74,19
2020-04-04,62,50,69,19
2020-04-05,55,45,49,20
2020-04-06,39,76,46,21
2020-04-07,68,61,57,19
2020-04-08,52,48,65,20
2020-04-09,54,75,58,20
2020-04-10,56,64,56,20
2020-04-11,51,62,55,20
2020-04-12,58, , , 
2020-04-14,44,54,88,20
2020-04-15,84,50,63,21
2020-04-16,90,58,72,20
2020-04-17,91,54,74,20
2020-04-18,114,66,62,20
2020-04-19,68,43,68,20
2020-04-20,57,51,65,20
2020-04-21,61,57,79,20
2020-04-22,62,54,85,20
2020-04-23,65,54,83,20
2020-04-24,129,61,88,20
2020-04-25,109,67,92,21
2020-04-26,104,59,74,20
2020-04-27,94,51,78,20
2020-04-28,74,46,80,20
2020-04-29,86,85,86,20
2020-04-30,92,63,71,20
2020-05-01,67,54,87,22
2020-03-04,58,42,46,16
2020-03-05,45,63,53,22
2020-03-06,66,51,44,16
2020-03-07,41,49,79,17
2020-03-08,55,54,65,25
2020-03-09,65,53,76,19
2020-03-10,63,51,82,17
2020-03-11,52,54,84,20
2020-03-12,72,69,60,22
2020-03-13,73,71,77,20
2020-03-14,67,59,85,25
2020-03-15,65,43,69,22
2020-03-16,57,43,85,21
2020-03-17,72,50,67,23
2020-03-18,56, , , 
2020-03-21,67,60,77,20
2020-03-22,90,48,80,20
2020-03-23,72,56,82,23
2020-03-24,64,64,83,22
2020-03-25,67,62,92,28
2020-03-26,108,69,93,29
2020-03-27,116,53,70,20
2020-03-28,64,45,68,19
2020-03-29,52,66,84,21
2020-03-30,80,55,80,20
2020-03-31,91,59,76,20
2020-04-01,85,54,76,20
2020-02-02,61,43,28,31
2020-02-03,37,49,29,17
2020-02-04,51,24,28,15
2020-02-05,29,21,22,15
2020-02-06,24,32,46,16
2020-02-07,30,52,56,23
2020-02-08,60,53,62,17
2020-02-09,62,44,44,17
2020-02-10,47,41,44,16
2020-02-11,45,52,60,17
2020-02-12,51,39,42,16
2020-02-13,38,34,51,17
2020-02-14,52,49,63,20
2020-02-15,57,56,79,23
2020-02-16,67,64,91,19
2020-02-17,80,56,61,21
2020-02-18,60,65,80,23
2020-02-19,75,62,65,19
2020-02-20,73,60,78,20
2020-02-21,72,53,47,16
2020-02-22,44,49,73,19
2020-02-23,51,62,71,18
2020-02-24,76,44,53,16
2020-02-25,47,55,47,17
2020-02-26,53,59,64,19
2020-02-27,61,44,61,18
2020-02-28,49,62,73,28
2020-02-29,66,54,78,19
2020-03-01,59, , , 
2020-01-03,36,37,53,15
2020-01-04,44,47,53,15
2020-01-05,46,42,107,25
2020-01-06,53,67,126,25
2020-01-07,81,60,45,17
2020-01-08,65,56,77,21
2020-01-09,79,81,88,21
2020-01-10,119,64,55,18
2020-01-11,80,63,71,24
2020-01-12,89,53,66,21
2020-01-13,71,70,85,21
2020-01-14,92,57,69,24
2020-01-15,69,55,50,22
2020-01-16,67,51,46,16
2020-01-17,50,42,53,17
2020-01-18,49,51,54,19
2020-01-19,61,37,37,15
2020-01-20,31,31,70,15
2020-01-21,25,35, ,20
2020-01-22,47,54, ,28
2020-01-23,63,42, ,17
2020-01-24,57,48, ,19
2020-01-25,59,40, ,21
2020-01-26,70,32, ,16
2020-01-27,48,38,51,16
2020-01-28,43,50,57,17
2020-01-29,58,50,56,19
2020-01-30,56,48,44,16
2020-01-31,44,36,44,16
2020-02-01,36,55,28,17
2019-10-02,47,30,43,10
2019-10-03,51,33,33,9
2019-10-04,38,33,39,8
2019-10-05,49,35,52,9
2019-10-06,45,23,47,8
2019-10-07,33,32,37,9
2019-10-08,44,28,39,9
2019-10-09,31,27,44,9
2019-10-10,37,34,41,10
2019-10-11,46,35,46,10
2019-10-12,49,36,39,10
2019-10-13,46,25,57,10
2019-10-14,39,27,36,9
2019-10-15,32,38,52,9
2019-10-16,37,38,30,10
2019-10-17,46,24,32,9
2019-10-18,29,22,36,9
2019-10-19,34,27,40,9
2019-10-20,44,20,26,9
2019-10-21,29,28,39,9
2019-10-22,32,28,35,9
