date, pm25, o3
2020-08-02,63, 
2020-08-03,80,10
2020-08-04,62,8
2020-08-05,59,8
2020-08-06,45,6
2020-08-07,19, 
2020-07-02,80,10
2020-07-03,69,9
2020-07-04,47,10
2020-07-05,62, 
2020-07-06,89,5
2020-07-07,81,8
2020-07-08,91,8
2020-07-09,81,9
2020-07-10,57,7
2020-07-11,56,7
2020-07-12,73,9
2020-07-13,65,8
2020-07-14,65,8
2020-07-15,84,9
2020-07-16,74,9
2020-07-17,85,9
2020-07-18,66,12
2020-07-19,57,10
2020-07-20,56,12
2020-07-21,45,14
2020-07-22,39,10
2020-07-23,45,11
2020-07-24,38,8
2020-07-25,68,7
2020-07-26,40,8
2020-07-27,57,7
2020-07-28,73,8
2020-07-29,75,9
2020-07-30,64,9
2020-07-31,63,9
2020-08-01,61,9
2020-06-02,59,1
2020-06-03,48,1
2020-06-04,68,1
2020-06-05,41,1
2020-06-06,35, 
2020-06-09,108,7
2020-06-10,98,8
2020-06-11,101,8
2020-06-12,97,7
2020-06-13,78,13
2020-06-14,80,14
2020-06-15,84,7
2020-06-16,62,9
2020-06-17,83,8
2020-06-18,79,8
2020-06-19,67,7
2020-06-20,66,8
2020-06-21,80,8
2020-06-22,54,5
2020-06-23,82,6
2020-06-24,125,3
2020-06-25,133,3
2020-06-26,161,8
2020-06-27,131,8
2020-06-28,72,9
2020-06-29,75,8
2020-06-30,101,9
2020-07-01,104,11
2020-05-02,51,19
2020-05-03,51,16
2020-05-04,79,14
2020-05-05,53,14
2020-05-06,93,13
2020-05-07,71,19
2020-05-08,62,20
2020-05-09,59,15
2020-05-10,62,16
2020-05-11,55,20
2020-05-12,57,19
2020-05-13,58,13
2020-05-14,50,12
2020-05-15,53,14
2020-05-16,57,16
2020-05-17,64,13
2020-05-18,82,15
2020-05-19,98,23
2020-05-20,67,14
2020-05-21,57,14
2020-05-22,69,15
2020-05-23,51, 
2020-05-26,122,4
2020-05-27,61,1
2020-05-28,90,2
2020-05-29,75,1
2020-05-30,70,1
2020-05-31,55,1
2020-06-01,89,1
2020-04-02,72,13
2020-04-03,69,13
2020-04-04,48,17
2020-04-05,45,15
2020-04-06,66,13
2020-04-07,63,15
2020-04-08,73,16
2020-04-09,72,20
2020-04-10,81,17
2020-04-11,89,15
2020-04-12,89,24
2020-04-13,82,19
2020-04-14,88,22
2020-04-15,92,16
2020-04-16,106,15
2020-04-17,78,19
2020-04-18,61,18
2020-04-19,71,21
2020-04-20,72,25
2020-04-21,104,20
2020-04-22,73,19
2020-04-23,74,25
2020-04-24,91,22
2020-04-25,93,23
2020-04-26,104, 
2020-04-27,94,16
2020-04-28,63,18
2020-04-29,68,18
2020-04-30,73,21
2020-05-01,56,24
2020-03-02,35,17
2020-03-03,57,11
2020-03-04,50,10
2020-03-05,56,18
2020-03-06,65,21
2020-03-07,37,22
2020-03-08,36,22
2020-03-09,46,20
2020-03-10,49,20
2020-03-11,68,19
2020-03-12,53,18
2020-03-13,50,18
2020-03-14,53,15
2020-03-15,52,14
2020-03-16,58,14
2020-03-17,54,16
2020-03-18,68, 
2020-03-23,112,19
2020-03-24,45,16
2020-03-25,39,18
2020-03-26,53,16
2020-03-27,55,15
2020-03-28,58,18
2020-03-29,58,18
2020-03-30,56,12
2020-03-31,55,12
2020-04-01,60,14
2020-02-02,41,22
2020-02-03,47,19
2020-02-04,59,14
2020-02-05,57,8
2020-02-06,72,14
2020-02-07,81,20
2020-02-08,44,16
2020-02-09,72,10
2020-02-10,65,11
2020-02-11,70,12
2020-02-12,70,11
2020-02-13,79,12
2020-02-14,98,12
2020-02-15,105,13
2020-02-16,70,15
2020-02-17,61,13
2020-02-18,66,11
2020-02-19,58,12
2020-02-20,71,14
2020-02-21,83,11
2020-02-22,52,19
2020-02-23,33,20
2020-02-24,41,15
2020-02-25,56,16
2020-02-26,49,19
2020-02-27,67,19
2020-02-28,47,20
2020-02-29,56,21
2020-03-01,37,21
2020-01-02,135,6
2020-01-03,62,6
2020-01-04,85,2
2020-01-05,38,14
2020-01-06,40,13
2020-01-07,43,12
2020-01-08,52,12
2020-01-09,61,12
2020-01-10,55,7
2020-01-11,67, 
2020-01-13,90,8
2020-01-14,73,9
2020-01-15,84,11
2020-01-16,68,12
2020-01-17,59,11
2020-01-18,56, 
2020-01-20,53,12
2020-01-21,42,14
2020-01-22,37,13
2020-01-23,62,12
2020-01-24,99,19
2020-01-25,59,17
2020-01-26,53,16
2020-01-27,51,14
2020-01-28,46,17
2020-01-29,74,16
2020-01-30,71,20
2020-01-31,55,13
2020-02-01,68,19
2019-10-03,92,9
2019-10-04,57,7
2019-10-05,61,4
2019-10-06,54,4
2019-10-08,114,9
2019-10-09,91,8
2019-10-10,59,5
2019-10-11,82,4
2019-10-12,60,4
2019-10-13,49,6
2019-10-14,56,8
2019-10-15,75,5
2019-10-16,69,6
2019-10-17,60,4
2019-10-18,78,4
2019-10-19,83,3
2019-10-20,103, 
2019-10-21,99, 
2019-10-22,76, 
2019-10-23,49, 
2019-10-24,60, 
2019-10-25,50, 
2019-10-26,51, 
2019-10-27,76, 
2019-10-28,54, 
2019-10-29,53, 
2019-10-30,46, 
2019-10-31,39, 
2019-11-01,57, 
2019-11-02,54, 
2019-11-03,57, 
2019-11-04,46, 
2019-11-05,77, 
2019-11-06,52, 
2019-11-07,47, 
2019-11-08,56, 
2019-11-09,46,4
2019-11-10,48,8
2019-11-11,42,9
2019-11-12,48,9
2019-11-13,48,8
2019-11-14,58,9
2019-11-15,64,6
2019-11-16,34,9
2019-11-17,33,14
2019-11-18,52,15
2019-11-19,47,16
2019-11-20,58,14
2019-11-21,51,13
2019-11-22,41,12
2019-11-23,39,11
2019-11-24,68,12
2019-11-25,76,9
2019-11-26,66,8
2019-11-27,78,7
2019-11-28,52,4
2019-12-02,62,9
2019-12-03,52,10
2019-12-04,45,12
2019-12-05,49,11
2019-12-06,59,10
2019-12-07,58,11
2019-12-08,49,12
2019-12-09,47,10
2019-12-10,50,10
2019-12-11,68,5
2019-12-12,58,6
2019-12-13,54,7
2019-12-14,59,10
2019-12-15,68,7
2019-12-16,60,6
2019-12-17,55,7
2019-12-18,44,7
2019-12-19,44,11
2019-12-20,40,13
2019-12-21,46,13
2019-12-22,32,10
2019-12-23,76,11
2019-12-24,51,15
2019-12-25,47,14
2019-12-26,78,7
2019-12-27,210,12
2019-12-28,66,11
2019-12-29,67,3
2019-07-04,141,8
2019-07-05,74,11
2019-07-06,59,10
2019-07-07,72,11
2019-07-08,67,12
2019-07-09,56,8
2019-07-10,75,9
2019-07-11,76,13
2019-07-12,66,7
2019-07-13,78,10
2019-07-14,99,10
2019-07-15,88,10
2019-07-16,75,9
2019-07-17,88,10
2019-07-18,76,9
2019-07-19,74,10
2019-07-20,65, 
2019-07-22,78,9
2019-07-23,73,14
2019-07-24,69,11
2019-07-25,61,11
2019-07-26,73,6
2019-07-27,83,4
2019-07-28,106,8
2019-07-29,81,8
2019-07-30,68,10
2019-07-31,66,10
2019-08-01,50,10
2019-08-02,75,17
2019-08-03,67,6
2019-08-04,27, 
2019-08-06,113,7
2019-08-07,80,9
2019-08-08,82,10
2019-08-09,95,10
2019-08-10,69,7
2019-08-11,69,10
2019-08-12,59,8
2019-08-13,68,8
2019-08-14,59,10
2019-08-15,64,6
2019-08-16,58,8
2019-08-17,76,3
2019-08-18,71, 
2019-08-24,98, 
2019-08-26,72,6
2019-08-27,55,6
2019-08-28,80,8
2019-08-29,79,11
2019-08-30,82,14
2019-08-31,70,19
2019-09-01,59,15
2019-09-02,58,14
2019-09-03,61,15
2019-09-04,84,10
2019-09-05,71,10
2019-09-06,64,10
2019-09-07,71,7
2019-09-08,69,10
2019-09-09,79,9
2019-09-10,50,7
2019-09-11,87,9
2019-09-12,61,10
2019-09-13,70,11
2019-09-14,66,18
2019-09-15,77,9
2019-09-16,94,7
2019-09-17,79,8
2019-09-18,101,9
2019-09-19,89,15
2019-09-20,73,15
2019-09-21,80,13
2019-09-22,72,11
2019-09-23,99,12
2019-09-24,98,15
2019-09-25,167,35
2019-09-26,526,2
2020-06-08, ,7
2020-05-25, ,3
2020-01-01, ,7
2020-01-12, ,7
2020-01-19, ,11
2019-10-02, ,8
2019-07-03, ,3
2019-07-21, ,11
2019-08-05, ,8
2019-08-23, ,6
2019-09-27, , 
2019-09-30, ,11
2019-10-01, ,8
2020-03-22, , 
