date, pm25, pm10, o3, no2
2020-08-02,54,43,35,4
2020-08-03,39,30,58,6
2020-08-04,34,35,41,4
2020-08-05,27,35,35,4
2020-08-06,28, , , 
2020-07-02,43,39,42,4
2020-07-03,31,35,39,5
2020-07-04,36,29,51,3
2020-07-05,31,22,39,2
2020-07-06,22,33,42,5
2020-07-07,34,40,41,4
2020-07-08,40,44,51,3
2020-07-09,42,64,50,7
2020-07-10,43,44,44,7
2020-07-11,47,46,35,7
2020-07-12,52,35,60,4
2020-07-13,38,40,46,5
2020-07-14,37,49,43,6
2020-07-15,49,33,47,4
2020-07-16,24,38,43,6
2020-07-17,31,35,36,4
2020-07-18,35,30,41,3
2020-07-19,33,26,31,1
2020-07-20,15,43,61,8
2020-07-21,36,45,33,5
2020-07-22,49,41,33,3
2020-07-23,40,39,37,3
2020-07-24,40,39,39,4
2020-07-25,42,31,42,4
2020-07-26,31,28,38,5
2020-07-27,29,34,48,6
2020-07-28,32,40,63,4
2020-07-29,29,44,37,9
2020-07-30,50,43,47,8
2020-07-31,42,36,45,7
2020-08-01,37,73,23,7
2020-06-02,27,39,45,3
2020-06-03,33,32,53,5
2020-06-04,35,43,42,6
2020-06-05,43,82,36,2
2020-06-06,35,25,34,2
2020-06-07,20,17,41,1
2020-06-08,24,38,36,2
2020-06-09,24,24,35,4
2020-06-10,16,31,45,4
2020-06-11,31,58,65,9
2020-06-12,83,55,60,5
2020-06-13,56,26,54,1
2020-06-14,16,13,38,1
2020-06-15,15,38,49,4
2020-06-16,40,37,50,2
2020-06-17,28,31,37,3
2020-06-18,27,41,50,4
2020-06-19,29,40,53,5
2020-06-20,38,36,51,6
2020-06-21,38,33,51,5
2020-06-22,37,40,54,7
2020-06-23,42,46,47,11
2020-06-24,46,39,48,8
2020-06-25,46,39,52,6
2020-06-26,43,48,51,8
2020-06-27,50,43,49,7
2020-06-28,50,40,43,2
2020-06-29,43,45,40,1
2020-06-30,18,32,60,3
2020-07-01,27,40,51,6
2020-05-02,31,28,45,3
2020-05-03,27,21,42,3
2020-05-04,23,25,45,4
2020-05-05,23,34,48,9
2020-05-06,33,35,72,4
2020-05-07,32,40,74,6
2020-05-08,43,42,57,7
2020-05-09,43,41,60,5
2020-05-10,42,37,37,3
2020-05-11,35,39,46,4
2020-05-12,30,47,41,1
2020-05-13,33,16,43,1
2020-05-14,12,28,43,4
2020-05-15,27,24,44,2
2020-05-16,20,38,44,5
2020-05-17,36,32,30,2
2020-05-18,31,39,42,2
2020-05-19,24,36,37,1
2020-05-20,13,21,45,2
2020-05-21,11,24,47,3
2020-05-22,22,40,51,4
2020-05-23,37,22,47,1
2020-05-24,21,20,40,2
2020-05-25,30,32,39,6
2020-05-26,37,33,43,6
2020-05-27,28,47,51,9
2020-05-28,43,44,55,8
2020-05-29,39,39,44,5
2020-05-30,40,51,45,2
2020-05-31,25,18,48,1
2020-06-01,17,31,50,4
2020-04-02,64,31,42,5
2020-04-03,30,23,50,4
2020-04-04,23,27,40,4
2020-04-05,31,27,38,2
2020-04-06,35,30,37,5
2020-04-07,29,18,32,3
2020-04-08,14,14,34,1
2020-04-09,9,10,38,4
2020-04-10,15,3,30,1
2020-04-11,8,12,35,8
2020-04-12,18,12,34,4
2020-04-13,22,6,34,1
2020-04-14,11,21,40,4
2020-04-15,16,22,41,8
2020-04-16,23,27,44,5
2020-04-17,25,34,45,5
2020-04-18,32,8,33,1
2020-04-19,13,14,40,2
2020-04-20,20,16,41,1
2020-04-21,20,16,39,1
2020-04-22,16,21,44,4
2020-04-23,25,36,67,10
2020-04-24,28,36,44,9
2020-04-25,40,30,44,7
2020-04-26,36,22,42,1
2020-04-27,22,18,42,1
2020-04-28,18,38,72,9
2020-04-29,39,42,50,9
2020-04-30,42,45,47,10
2020-05-01,44,37,55,5
2020-03-02,19,14,32,4
2020-03-03,8,35,36,15
2020-03-04,32,34,31,11
2020-03-05,29,38,38,12
2020-03-06,38,32,38,11
2020-03-07,22,24,40,5
2020-03-08,22,10,34,1
2020-03-09,8,30,25,8
2020-03-10,28,5,25,2
2020-03-11,15,16,25,7
2020-03-12,29,8,26,4
2020-03-13,29,12,30,6
2020-03-14,17,26,35,8
2020-03-15,27,15,34,5
2020-03-16,21,26,36,5
2020-03-17,20,20,35,7
2020-03-18,23,8,35,4
2020-03-19,13,14,35,5
2020-03-20,19,23,37,8
2020-03-21,23,14,40,5
2020-03-22,19,14,40,3
2020-03-23,19,17,38,3
2020-03-24,16,13,43,2
2020-03-25,13,41,40,1
2020-03-26,16,17,38,1
2020-03-27,12,12,37,1
2020-03-28,8,30,42,7
2020-03-29,26,13,42,1
2020-03-30,17,19,42,10
2020-03-31,22,48,34,14
2020-04-01,43,56,41,15
2020-02-02,58,38,33,12
2020-02-03,35,61,33,3
2020-02-04,26,38,33,5
2020-02-05,11,36,32,12
2020-02-06,39,77,27,23
2020-02-07,86,63,36,20
2020-02-08,70,64,33,20
2020-02-09,84,20,35,4
2020-02-10,21,10,28,5
2020-02-11,15,17,34,11
2020-02-12,20,41,29,18
2020-02-13,39,42,32,14
