date, pm25, pm10
2020-08-02,41,28
2020-08-03,43,35
2020-08-04,46,36
2020-08-05,49,33
2020-08-06,51,27
2020-08-07,50, 
2020-07-02,90,60
2020-07-03,94,60
2020-07-04,85,45
2020-07-05,65,40
2020-07-06,55,46
2020-07-07,64,48
2020-07-08,77,48
2020-07-09,75,46
2020-07-10,72,46
2020-07-11,68,38
2020-07-12,51,32
2020-07-13,49,49
2020-07-14,55,52
2020-07-15,66,56
2020-07-16,77,61
2020-07-17,80,64
2020-07-18,84,54
2020-07-19,77,48
2020-07-20,80,51
2020-07-21,68,51
2020-07-22,68,39
2020-07-23,57,31
2020-07-24,43,28
2020-07-25,40,34
2020-07-26,43,9
2020-07-27,16,13
2020-07-28,43,22
2020-07-29,47,27
2020-07-30,49,27
2020-07-31,50,56
2020-08-01,74,26
2020-06-02,48,22
2020-06-03,36,28
2020-06-04,45,18
2020-06-05,46,27
2020-06-06,51,24
2020-06-07,43,22
2020-06-08,37,36
2020-06-09,47,54
2020-06-10,71,23
2020-06-11,52,25
2020-06-12,52,30
2020-06-13,50,24
2020-06-14,44,22
2020-06-15,47,28
2020-06-16,50, 
2020-06-18,45,28
2020-06-19,47,32
2020-06-20,49,26
2020-06-21,53,28
2020-06-22,57,39
2020-06-23,61,43
2020-06-24,70,47
2020-06-25,68,41
2020-06-26,56,28
2020-06-27,51,63
2020-06-28,95,36
2020-06-29,58,42
2020-06-30,63,57
2020-07-01,86,62
2020-05-02,52,39
2020-05-03,62,36
2020-05-04,65,37
2020-05-05,67,51
2020-05-06,87,24
2020-05-07,49,28
2020-05-08,53,43
2020-05-09,70,21
2020-05-10,42,20
2020-05-11,54,23
2020-05-12,33,31
2020-05-13,61,32
2020-05-14,60,21
2020-05-15,50,46
2020-05-16,97,42
2020-05-17,85,28
2020-05-18,52,37
2020-05-19,55,43
2020-05-20,65,52
2020-05-21,77,43
2020-05-22,93,40
2020-05-23,80,34
2020-05-24,66,25
2020-05-25,60,32
2020-05-26,64,17
2020-05-27,46,31
2020-05-28,51,40
2020-05-29,66,29
2020-05-30,37,28
2020-05-31,49,25
2020-06-01,52,31
2020-04-02,56,48
2020-04-03,77,48
2020-04-04,77,39
2020-04-05,68,20
2020-04-06,52,39
2020-04-07,72,39
2020-04-08,83,50
2020-04-09,68,39
2020-04-10,67,23
2020-04-11,70,34
2020-04-12,72,59
2020-04-13,48,58
2020-04-14,67,29
2020-04-15,66,5
2020-04-16,28,18
2020-04-17,45,38
2020-04-18,71,27
2020-04-19,60,37
2020-04-20,36,41
2020-04-21,60,57
2020-04-22,129,57
2020-04-23,126,39
2020-04-24,70,49
2020-04-25,68,57
2020-04-26,95,16
2020-04-27,56,29
2020-04-28,59,41
2020-04-29,73,38
2020-04-30,48,22
2020-05-01,49,36
2020-03-02,70,67
2020-03-03,68,86
2020-03-04,119,87
2020-03-05,72,36
2020-03-06,33,35
2020-03-07,31,44
2020-03-08,56,41
2020-03-09,77,49
2020-03-10,76,64
2020-03-11,93,49
2020-03-12,82,66
2020-03-13,86,73
2020-03-14,91,67
2020-03-15,107,51
2020-03-16,57, 
2020-03-21,65,20
2020-03-22,49,42
2020-03-23,91,62
2020-03-24,108,69
2020-03-25,89,47
2020-03-26,66,62
2020-03-27,93,72
2020-03-28,90,65
2020-03-29,77,43
2020-03-30,68,74
2020-03-31,122,55
2020-04-01,75,38
